time,LA Clippers,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Jordan (O. Porter gains possession),,,,Jump ball: M. Gortat vs. D. Jordan (O. Porter gains possession)
11:40.0,,,0-0,,Turnover by M. Gortat (lost ball; steal by L. Mbah a Moute)
11:33.0,D. Jordan misses 2-pt shot from 1 ft (block by M. Gortat),,0-0,,
11:33.0,Offensive rebound by Team,,0-0,,
11:24.0,Offensive charge foul by D. Jordan,,0-0,,
11:24.0,Turnover by D. Jordan (offensive foul),,0-0,,
11:05.0,,,0-0,,M. Morris misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by D. Jordan,,0-0,,
10:59.0,Turnover by C. Paul (bad pass),,0-0,,
10:47.0,,,0-0,,Shooting foul by B. Griffin (drawn by M. Morris)
10:47.0,,,0-1,1,M. Morris makes free throw 1 of 2
10:47.0,,,0-2,1,M. Morris makes free throw 2 of 2
10:30.0,C. Paul misses 3-pt shot from 25 ft,,0-2,,
10:30.0,,,0-2,,Defensive rebound by M. Gortat
10:25.0,,,0-2,,Turnover by J. Wall (bad pass)
10:18.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by M. Gortat),,0-2,,
10:16.0,Offensive rebound by L. Mbah a Moute,,0-2,,
10:04.0,J. Redick makes 2-pt shot from 22 ft (assist by B. Griffin),2,2-2,,
9:52.0,,,2-4,2,M. Morris makes 2-pt shot from 17 ft (assist by B. Beal)
9:42.0,J. Redick misses 3-pt shot from 25 ft,,2-4,,
9:41.0,,,2-4,,Defensive rebound by M. Gortat
9:29.0,,,2-4,,J. Wall misses 2-pt shot from 2 ft
9:29.0,,,2-4,,Offensive rebound by Team
9:25.0,,,2-4,,M. Morris misses 2-pt shot from 11 ft
9:25.0,Defensive rebound by D. Jordan,,2-4,,
9:00.0,C. Paul misses 3-pt shot from 27 ft,,2-4,,
9:00.0,,,2-4,,Defensive rebound by J. Wall
8:51.0,,,2-6,2,J. Wall makes 2-pt shot from 20 ft
8:50.0,LA Clippers full timeout,,2-6,,
8:35.0,,,2-6,,Personal foul by M. Morris (drawn by B. Griffin)
8:21.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,4-6,,
8:05.0,,,4-8,2,B. Beal makes 2-pt shot from 3 ft (assist by M. Morris)
