time,Phoenix,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: S. Adams vs. T. Chandler (M. Chriss gains possession)
11:43.0,D. Booker makes 2-pt shot from 5 ft,2,2-0,,
11:21.0,,,2-2,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
10:54.0,P. Tucker misses 3-pt shot from 23 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by S. Adams
10:48.0,,,2-5,3,A. Morrow makes 3-pt shot from 22 ft (assist by R. Westbrook)
10:33.0,D. Booker misses 2-pt shot from 13 ft,,2-5,,
10:33.0,,,2-5,,Defensive rebound by R. Westbrook
10:29.0,,,2-7,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
10:29.0,,,2-7,,Shooting foul by E. Bledsoe (drawn by S. Adams)
10:29.0,,,2-7,,S. Adams misses free throw 1 of 1
10:28.0,Defensive rebound by M. Chriss,,2-7,,
10:10.0,M. Chriss misses 2-pt shot from 4 ft,,2-7,,
10:10.0,Offensive rebound by M. Chriss,,2-7,,
10:10.0,M. Chriss misses 2-pt shot from 4 ft,,2-7,,
10:08.0,Offensive rebound by M. Chriss,,2-7,,
10:05.0,Turnover by M. Chriss (lost ball; steal by A. Morrow),,2-7,,
9:44.0,,,2-7,,S. Adams misses 2-pt shot from 3 ft
9:43.0,,,2-7,,Offensive rebound by S. Adams
9:43.0,,,2-7,,S. Adams misses 2-pt shot from 1 ft
9:40.0,,,2-7,,Offensive rebound by S. Adams
9:40.0,Jump ball: S. Adams vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: S. Adams vs. T. Chandler (M. Chriss gains possession)
9:40.0,,,2-7,,Turnover by S. Adams (lost ball; steal by T. Chandler)
9:29.0,,,2-7,,Personal foul by R. Westbrook (drawn by M. Chriss)
9:17.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Chriss),3,5-7,,
9:01.0,,,5-7,,D. Sabonis misses 2-pt shot from 1 ft
9:00.0,Defensive rebound by T. Chandler,,5-7,,
8:49.0,D. Booker misses 2-pt shot from 21 ft,,5-7,,
8:49.0,Offensive rebound by P. Tucker,,5-7,,
8:43.0,P. Tucker misses 2-pt shot from 15 ft,,5-7,,
8:43.0,,,5-7,,Defensive rebound by D. Sabonis
8:39.0,Personal foul by T. Chandler (drawn by S. Adams),,5-7,,
8:33.0,,,5-7,,R. Westbrook misses 2-pt shot from 18 ft
8:32.0,Defensive rebound by T. Chandler,,5-7,,
8:16.0,E. Bledsoe makes 2-pt shot from 5 ft,2,7-7,,
8:08.0,,,7-9,2,A. Morrow makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:43.0,Turnover by Team (shot clock),,7-9,,
7:30.0,,,7-11,2,R. Westbrook makes 2-pt shot from 17 ft
7:00.0,M. Chriss misses 2-pt shot from 7 ft,,7-11,,
6:58.0,Offensive rebound by T. Chandler,,7-11,,
6:58.0,T. Chandler makes 2-pt shot from 1 ft,2,9-11,,
6:38.0,,,9-13,2,D. Sabonis makes 2-pt shot at rim
6:19.0,D. Booker misses 2-pt shot from 2 ft,,9-13,,
6:19.0,Offensive rebound by Team,,9-13,,
6:19.0,,,9-13,,Loose ball foul by D. Sabonis (drawn by T. Chandler)
6:14.0,E. Bledsoe misses 3-pt shot from 24 ft,,9-13,,
6:14.0,,,9-13,,Defensive rebound by R. Westbrook
6:03.0,,,9-16,3,D. Sabonis makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:48.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,12-16,,
5:24.0,,,12-16,,D. Sabonis misses 2-pt shot from 2 ft (block by M. Chriss)
5:24.0,Defensive rebound by Team,,12-16,,
5:24.0,,,12-16,,Oklahoma City full timeout
5:24.0,,,12-16,,J. Grant enters the game for A. Morrow
5:08.0,E. Bledsoe misses 2-pt shot from 10 ft,,12-16,,
5:07.0,,,12-16,,Defensive rebound by D. Sabonis
5:03.0,,,12-16,,Turnover by D. Sabonis (bad pass)
4:46.0,Turnover by D. Booker (bad pass; steal by R. Westbrook),,12-16,,
4:41.0,,,12-18,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:14.0,E. Bledsoe misses 2-pt shot from 18 ft,,12-18,,
4:14.0,Offensive rebound by Team,,12-18,,
4:14.0,Turnover by Team (shot clock),,12-18,,
4:14.0,A. Len enters the game for M. Chriss,,12-18,,
4:14.0,B. Knight enters the game for E. Bledsoe,,12-18,,
4:00.0,,,12-21,3,A. Roberson makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:44.0,Turnover by D. Booker (bad pass; steal by D. Sabonis),,12-21,,
3:41.0,,,12-21,,Shooting foul by P. Tucker (drawn by A. Roberson)
3:41.0,,,12-21,,A. Roberson misses free throw 1 of 2
3:41.0,,,12-21,,Offensive rebound by Team
3:41.0,,,12-21,,A. Roberson misses free throw 2 of 2
3:41.0,T. Warren enters the game for D. Booker,,12-21,,
3:41.0,,,12-21,,E. Kanter enters the game for D. Sabonis
3:40.0,,,12-21,,Offensive rebound by Team
3:36.0,,,12-21,,Turnover by R. Westbrook (bad pass; steal by P. Tucker)
3:22.0,,,12-21,,Violation by S. Adams (kicked ball)
3:11.0,B. Knight misses 3-pt shot from 25 ft,,12-21,,
3:11.0,Offensive rebound by A. Len,,12-21,,
3:11.0,Shooting foul by S. Adams (drawn by A. Len),,12-21,,
3:11.0,A. Len makes free throw 1 of 2,1,13-21,,
3:11.0,A. Len makes free throw 2 of 2,1,14-21,,
3:11.0,,,13-21,,N. Collison enters the game for S. Adams
3:01.0,,,14-23,2,R. Westbrook makes 2-pt shot from 19 ft
2:45.0,Phoenix full timeout,,14-23,,
2:45.0,E. Bledsoe enters the game for P. Tucker,,14-23,,
2:45.0,J. Dudley enters the game for T. Chandler,,14-23,,
2:45.0,,,14-23,,S. Christon enters the game for R. Westbrook
2:45.0,Jump ball: J. Grant vs. A. Len,,,,Jump ball: J. Grant vs. A. Len
2:45.0,Turnover by A. Len (lost ball; steal by J. Grant),,14-23,,
2:27.0,,,14-23,,E. Kanter misses 2-pt shot from 1 ft
2:26.0,,,14-23,,Offensive rebound by E. Kanter
2:24.0,,,14-23,,E. Kanter misses 2-pt shot from 8 ft
2:23.0,Defensive rebound by J. Dudley,,14-23,,
2:08.0,Shooting foul by N. Collison (drawn by A. Len),,14-23,,
2:08.0,A. Len makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,16-23,,
2:08.0,A. Len misses free throw 1 of 1,,16-23,,
2:07.0,Offensive rebound by A. Len,,16-23,,
