time,LA Lakers,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Mozgov (D. Russell gains possession),,,,Jump ball: B. Biyombo vs. T. Mozgov (D. Russell gains possession)
11:48.0,,,0-0,,Personal foul by D. Augustin (drawn by T. Mozgov)
11:34.0,T. Mozgov misses 2-pt shot from 8 ft (block by S. Ibaka),,0-0,,
11:32.0,,,0-0,,Defensive rebound by J. Meeks
11:20.0,,,0-3,3,D. Augustin makes 3-pt shot from 25 ft
11:11.0,T. Mozgov misses 2-pt shot from 7 ft (block by S. Ibaka),,0-3,,
11:08.0,,,0-3,,Defensive rebound by S. Ibaka
11:00.0,,,0-5,2,B. Biyombo makes 2-pt shot from 5 ft (assist by S. Ibaka)
10:40.0,Turnover by B. Ingram (lost ball; steal by S. Ibaka),,0-5,,
10:36.0,,,0-5,,S. Ibaka misses 2-pt shot from 1 ft (block by L. Deng)
10:36.0,,,0-5,,Offensive rebound by Team
10:27.0,,,0-5,,A. Gordon misses 2-pt shot from 17 ft
10:25.0,Defensive rebound by L. Deng,,0-5,,
10:16.0,B. Ingram misses 2-pt shot from 19 ft,,0-5,,
10:13.0,,,0-5,,Defensive rebound by J. Meeks
10:06.0,,,0-5,,S. Ibaka misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by L. Deng,,0-5,,
9:57.0,D. Russell misses 3-pt shot from 25 ft,,0-5,,
9:55.0,,,0-5,,Defensive rebound by B. Biyombo
9:51.0,,,0-5,,A. Gordon misses 2-pt shot from 1 ft
9:50.0,,,0-5,,Offensive rebound by A. Gordon
9:50.0,,,0-5,,A. Gordon misses 2-pt shot at rim
9:49.0,Defensive rebound by L. Deng,,0-5,,
9:34.0,D. Russell misses 2-pt shot from 1 ft (block by A. Gordon),,0-5,,
9:33.0,Offensive rebound by Team,,0-5,,
9:26.0,T. Mozgov misses 2-pt shot at rim (block by S. Ibaka),,0-5,,
9:23.0,,,0-5,,Defensive rebound by J. Meeks
9:10.0,,,0-7,2,D. Augustin makes 2-pt shot from 4 ft
8:49.0,D. Russell misses 2-pt shot from 3 ft (block by B. Biyombo),,0-7,,
8:46.0,,,0-7,,Defensive rebound by S. Ibaka
8:40.0,,,0-10,3,D. Augustin makes 3-pt shot from 27 ft
8:40.0,LA Lakers full timeout,,0-10,,
8:24.0,,,0-10,,Personal foul by D. Augustin (drawn by T. Mozgov)
8:24.0,,,0-10,,E. Payton enters the game for D. Augustin
8:11.0,T. Mozgov misses 2-pt shot from 10 ft,,0-10,,
8:10.0,,,0-10,,Defensive rebound by A. Gordon
7:57.0,,,0-10,,S. Ibaka misses 2-pt shot from 10 ft
7:55.0,Defensive rebound by T. Mozgov,,0-10,,
7:38.0,B. Ingram misses 2-pt shot from 13 ft,,0-10,,
7:36.0,Offensive rebound by N. Young,,0-10,,
7:31.0,N. Young misses 2-pt shot from 22 ft,,0-10,,
7:29.0,,,0-10,,Defensive rebound by A. Gordon
7:11.0,,,0-10,,B. Biyombo misses 2-pt shot from 16 ft
7:09.0,Defensive rebound by L. Deng,,0-10,,
7:01.0,J. Clarkson enters the game for B. Ingram,,0-10,,
6:51.0,N. Young makes 3-pt shot from 23 ft (assist by D. Russell),3,3-10,,
6:36.0,,,3-12,2,S. Ibaka makes 2-pt shot from 10 ft
6:21.0,Turnover by D. Russell (bad pass),,3-12,,
6:08.0,,,3-12,,S. Ibaka misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by T. Mozgov,,3-12,,
5:55.0,N. Young makes 2-pt shot from 11 ft,2,5-12,,
5:37.0,,,5-12,,J. Meeks misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by N. Young,,5-12,,
5:22.0,N. Young misses 2-pt shot from 2 ft (block by B. Biyombo),,5-12,,
5:18.0,Offensive rebound by D. Russell,,5-12,,
5:12.0,J. Clarkson misses 3-pt shot from 25 ft (block by E. Payton),,5-12,,
5:08.0,,,5-12,,Defensive rebound by J. Meeks
4:59.0,,,5-14,2,E. Payton makes 2-pt shot from 15 ft (assist by B. Biyombo)
4:41.0,Turnover by L. Deng (bad pass; steal by A. Gordon),,5-14,,
4:35.0,Personal foul by D. Russell (drawn by S. Ibaka),,5-14,,
4:35.0,L. Williams enters the game for D. Russell,,5-14,,
4:31.0,,,5-14,,J. Meeks misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by T. Mozgov,,5-14,,
4:09.0,L. Deng misses 2-pt shot from 2 ft (block by B. Biyombo),,5-14,,
4:09.0,Offensive rebound by Team,,5-14,,
4:09.0,I. Zubac enters the game for T. Mozgov,,5-14,,
