time,Denver,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. J. Nurkic (E. Ilyasova gains possession),,,,Jump ball: J. Embiid vs. J. Nurkic (E. Ilyasova gains possession)
11:48.0,,,0-0,,Shooting foul by K. Faried (drawn by J. Embiid)
11:48.0,,,0-1,1,J. Embiid makes free throw 1 of 2
11:48.0,,,0-2,1,J. Embiid makes free throw 2 of 2
11:31.0,E. Mudiay misses 2-pt shot from 2 ft (block by J. Embiid),,0-2,,
11:29.0,Offensive rebound by J. Nurkic,,0-2,,
11:29.0,J. Nurkic misses 2-pt shot from 1 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by S. Rodriguez
11:16.0,,,0-4,2,J. Embiid makes 2-pt shot from 12 ft
11:06.0,,,0-4,,Shooting block foul by J. Embiid (drawn by D. Gallinari)
11:06.0,D. Gallinari makes free throw 1 of 2,1,1-4,,
11:06.0,D. Gallinari makes free throw 2 of 2,1,2-4,,
10:55.0,,,2-4,,N. Stauskas misses 2-pt shot from 18 ft
10:54.0,Defensive rebound by W. Barton,,2-4,,
10:47.0,,,2-4,,Personal foul by G. Henderson (drawn by D. Gallinari)
10:40.0,E. Mudiay misses 3-pt shot from 25 ft,,2-4,,
10:38.0,,,2-4,,Defensive rebound by E. Ilyasova
10:33.0,,,2-4,,E. Ilyasova misses 2-pt shot from 2 ft (block by J. Nurkic)
10:31.0,Defensive rebound by K. Faried,,2-4,,
10:25.0,J. Nurkic makes 2-pt shot from 2 ft (assist by W. Barton),2,4-4,,
10:19.0,,,4-4,,G. Henderson misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by E. Mudiay,,4-4,,
10:06.0,Turnover by J. Nurkic (3 sec),,4-4,,
9:53.0,Personal foul by D. Gallinari (drawn by J. Embiid),,4-4,,
9:41.0,,,4-6,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by S. Rodriguez)
9:29.0,Turnover by W. Barton (bad pass),,4-6,,
9:14.0,,,4-6,,N. Stauskas misses 3-pt shot from 25 ft
9:12.0,,,4-6,,Offensive rebound by Team
8:59.0,,,4-8,2,G. Henderson makes 2-pt shot from 8 ft
8:44.0,Turnover by J. Nurkic (offensive foul),,4-8,,
8:44.0,Offensive foul by J. Nurkic,,4-8,,
8:36.0,,,4-8,,J. Embiid misses 2-pt shot from 18 ft
8:35.0,Defensive rebound by K. Faried,,4-8,,
