time,Denver,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. M. Plumlee (G. Harris gains possession),,,,Jump ball: N. Noel vs. M. Plumlee (G. Harris gains possession)
11:45.0,Turnover by M. Plumlee (lost ball; steal by J. Barea),,0-0,,
11:26.0,,,0-2,2,N. Noel makes 2-pt shot at rim (assist by J. Barea)
11:09.0,M. Plumlee misses 2-pt shot from 4 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by N. Noel
10:53.0,,,0-2,,D. Nowitzki misses 2-pt shot from 18 ft
10:52.0,Defensive rebound by M. Plumlee,,0-2,,
10:42.0,N. Jokic misses 2-pt shot from 4 ft (block by D. Nowitzki),,0-2,,
10:40.0,,,0-2,,Defensive rebound by D. Nowitzki
10:30.0,,,0-2,,D. Nowitzki misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by N. Jokic,,0-2,,
10:21.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Murray),3,3-2,,
10:05.0,,,3-2,,D. Finney-Smith misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by N. Jokic,,3-2,,
9:53.0,J. Murray makes 2-pt shot from 20 ft (assist by N. Jokic),2,5-2,,
9:39.0,,,5-2,,J. Barea misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by W. Chandler,,5-2,,
9:23.0,J. Murray misses 2-pt shot from 6 ft,,5-2,,
9:22.0,Offensive rebound by M. Plumlee,,5-2,,
9:22.0,M. Plumlee makes 2-pt shot from 1 ft,2,7-2,,
9:06.0,,,7-2,,D. Nowitzki misses 2-pt shot from 18 ft
9:05.0,Defensive rebound by N. Jokic,,7-2,,
8:56.0,W. Chandler misses 2-pt shot from 3 ft (block by D. Nowitzki),,7-2,,
8:53.0,Offensive rebound by W. Chandler,,7-2,,
8:49.0,M. Plumlee misses 2-pt shot at rim,,7-2,,
8:45.0,,,7-2,,Defensive rebound by D. Nowitzki
8:43.0,,,7-4,2,N. Noel makes 2-pt shot from 1 ft (assist by J. Barea)
8:38.0,Shooting foul by J. Barea (drawn by G. Harris),,7-4,,
8:38.0,G. Harris misses free throw 1 of 2,,7-4,,
8:38.0,Offensive rebound by Team,,7-4,,
8:38.0,G. Harris makes free throw 2 of 2,1,8-4,,
8:23.0,,,8-6,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
8:13.0,Turnover by J. Murray (bad pass; steal by N. Noel),,8-6,,
8:11.0,,,8-8,2,N. Noel makes 2-pt shot at rim
8:11.0,,,8-8,,Shooting foul by N. Jokic (drawn by N. Noel)
8:11.0,,,8-8,,N. Noel misses free throw 1 of 1
8:10.0,Defensive rebound by N. Jokic,,8-8,,
7:55.0,Turnover by G. Harris (bad pass; steal by J. Barea),,8-8,,
7:48.0,,,8-8,,J. Barea misses 3-pt shot from 25 ft
7:47.0,,,8-8,,Offensive rebound by D. Finney-Smith
7:40.0,,,8-8,,Offensive foul by N. Noel
7:40.0,,,8-8,,Turnover by N. Noel (offensive foul)
7:32.0,,,8-8,,Personal foul by D. Finney-Smith (drawn by W. Chandler)
7:28.0,N. Jokic misses 3-pt shot from 24 ft,,8-8,,
7:27.0,,,8-8,,Defensive rebound by D. Finney-Smith
7:17.0,,,8-11,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea)
7:03.0,G. Harris misses 3-pt shot from 26 ft,,8-11,,
7:01.0,,,8-11,,Defensive rebound by D. Finney-Smith
6:51.0,,,8-14,3,Y. Ferrell makes 3-pt shot from 22 ft (assist by D. Finney-Smith)
6:29.0,J. Murray makes 3-pt shot from 22 ft (assist by G. Harris),3,11-14,,
6:17.0,,,11-17,3,J. Barea makes 3-pt shot from 24 ft
6:02.0,J. Murray misses 2-pt shot from 3 ft,,11-17,,
6:01.0,,,11-17,,Defensive rebound by J. Barea
5:45.0,,,11-19,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea)
5:33.0,Offensive foul by N. Jokic,,11-19,,
5:33.0,Turnover by N. Jokic (offensive foul),,11-19,,
5:33.0,,,11-19,,Dallas full timeout
5:33.0,,,11-19,,D. Harris enters the game for D. Finney-Smith
5:33.0,,,11-19,,D. Powell enters the game for D. Nowitzki
