time,Chicago,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Lopez (M. Carter-Williams gains possession),,,,Jump ball: M. Gortat vs. R. Lopez (M. Carter-Williams gains possession)
11:35.0,T. Gibson misses 2-pt shot from 17 ft,,0-0,,
11:34.0,Offensive rebound by Team,,0-0,,
11:18.0,T. Gibson misses 2-pt shot from 8 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by M. Gortat
10:56.0,,,0-2,2,M. Morris makes 2-pt shot from 17 ft
10:37.0,Shooting foul by M. Morris (drawn by T. Gibson),,0-2,,
10:37.0,T. Gibson makes free throw 1 of 2,1,1-2,,
10:37.0,T. Gibson makes free throw 2 of 2,1,2-2,,
10:23.0,,,2-2,,M. Gortat misses 2-pt shot from 5 ft
10:23.0,Defensive rebound by T. Gibson,,2-2,,
10:15.0,M. Carter-Williams misses 2-pt shot from 8 ft,,2-2,,
10:14.0,,,2-2,,Defensive rebound by M. Gortat
10:04.0,,,2-4,2,O. Porter makes 2-pt shot from 16 ft (assist by J. Wall)
9:51.0,D. McDermott misses 2-pt shot from 15 ft,,2-4,,
9:50.0,,,2-4,,Defensive rebound by B. Beal
9:44.0,,,2-7,3,M. Morris makes 3-pt shot from 27 ft (assist by B. Beal)
9:25.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,4-7,,
9:25.0,Shooting foul by B. Beal (drawn by M. Carter-Williams),,4-7,,
9:25.0,M. Carter-Williams makes free throw 1 of 1,1,5-7,,
9:17.0,Personal foul by D. McDermott (drawn by O. Porter),,5-7,,
9:11.0,,,5-10,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
8:57.0,M. Carter-Williams misses 2-pt shot from 12 ft,,5-10,,
8:56.0,Offensive rebound by R. Lopez,,5-10,,
8:55.0,R. Lopez makes 2-pt shot from 2 ft,2,7-10,,
8:31.0,,,7-10,,M. Morris misses 2-pt shot from 2 ft
8:31.0,Defensive rebound by R. Lopez,,7-10,,
8:22.0,J. Grant makes 3-pt shot from 28 ft (assist by M. Carter-Williams),3,10-10,,
8:11.0,,,10-12,2,B. Beal makes 2-pt shot from 20 ft
7:52.0,Turnover by R. Lopez (bad pass; steal by M. Morris),,10-12,,
7:45.0,,,10-14,2,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall)
7:27.0,D. McDermott misses 2-pt shot from 2 ft,,10-14,,
7:26.0,,,10-14,,Defensive rebound by M. Morris
7:23.0,,,10-14,,Turnover by M. Morris (bad pass; steal by J. Grant)
7:20.0,T. Gibson makes 2-pt shot from 1 ft (assist by D. McDermott),2,12-14,,
7:03.0,,,12-17,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
6:36.0,R. Lopez misses 2-pt shot from 17 ft,,12-17,,
6:34.0,Offensive rebound by T. Gibson,,12-17,,
6:31.0,Offensive charge foul by D. McDermott,,12-17,,
6:31.0,Turnover by D. McDermott (offensive foul),,12-17,,
6:31.0,D. Valentine enters the game for D. McDermott,,12-17,,
6:31.0,R. Rondo enters the game for M. Carter-Williams,,12-17,,
6:20.0,,,12-19,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris)
5:53.0,D. Valentine makes 3-pt shot from 27 ft (assist by J. Grant),3,15-19,,
5:34.0,,,15-19,,Turnover by J. Wall (lost ball; steal by R. Rondo)
5:32.0,R. Rondo makes 2-pt shot at rim (assist by J. Grant),2,17-19,,
5:32.0,,,17-19,,Washington full timeout
5:11.0,,,17-19,,Turnover by M. Gortat (3 sec)
5:01.0,,,17-19,,Violation by B. Beal (kicked ball)
5:01.0,,,17-19,,J. Smith enters the game for M. Morris
4:49.0,T. Gibson makes 3-pt shot from 23 ft (assist by R. Rondo),3,20-19,,
4:30.0,,,20-19,,O. Porter misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by R. Rondo,,20-19,,
4:25.0,Turnover by R. Rondo (bad pass),,20-19,,
4:15.0,,,20-19,,B. Beal misses 2-pt shot from 11 ft
4:14.0,Defensive rebound by R. Rondo,,20-19,,
4:06.0,R. Rondo makes 2-pt shot from 4 ft,2,22-19,,
3:50.0,,,22-19,,Offensive foul by B. Beal
3:50.0,,,22-19,,Turnover by B. Beal (offensive foul)
3:50.0,B. Portis enters the game for T. Gibson,,22-19,,
3:50.0,,,22-19,,K. Oubre enters the game for O. Porter
3:50.0,,,22-19,,T. Burke enters the game for B. Beal
3:40.0,R. Rondo makes 2-pt shot from 2 ft,2,24-19,,
3:18.0,Personal foul by R. Rondo (drawn by J. Wall),,24-19,,
3:06.0,,,24-19,,Turnover by K. Oubre (step out of bounds)
2:55.0,R. Rondo misses 2-pt shot from 18 ft,,24-19,,
2:55.0,,,24-19,,Defensive rebound by K. Oubre
2:45.0,,,24-19,,K. Oubre misses 3-pt shot from 26 ft
2:44.0,Defensive rebound by D. Valentine,,24-19,,
2:36.0,D. Valentine makes 2-pt shot from 15 ft,2,26-19,,
2:21.0,,,26-22,3,T. Burke makes 3-pt shot from 25 ft (assist by J. Wall)
2:03.0,J. Grant misses 2-pt shot from 9 ft,,26-22,,
2:02.0,,,26-22,,Defensive rebound by K. Oubre
1:57.0,,,26-24,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
1:56.0,Chicago full timeout,,26-24,,
1:56.0,,,26-24,,S. Mac enters the game for J. Wall
1:44.0,Shooting foul by S. Mac (drawn by J. Grant),,26-24,,
1:44.0,J. Grant makes free throw 1 of 2,1,27-24,,
1:44.0,J. Grant makes free throw 2 of 2,1,28-24,,
1:28.0,,,28-24,,T. Burke misses 2-pt shot from 15 ft
1:27.0,,,28-24,,Offensive rebound by J. Smith
1:25.0,,,28-24,,J. Smith misses 2-pt shot from 9 ft
1:25.0,Defensive rebound by J. Grant,,28-24,,
1:25.0,,,28-24,,Loose ball foul by K. Oubre (drawn by J. Grant)
1:25.0,J. Grant makes free throw 1 of 2,1,29-24,,
1:25.0,J. Grant makes free throw 2 of 2,1,30-24,,
1:13.0,,,30-24,,Turnover by J. Smith (bad pass; steal by R. Lopez)
1:01.0,B. Portis makes 3-pt shot from 26 ft (assist by R. Rondo),3,33-24,,
0:50.0,,,33-26,2,J. Smith makes 2-pt shot from 21 ft (assist by T. Burke)
0:32.0,R. Lopez makes 2-pt shot from 17 ft (assist by R. Rondo),2,35-26,,
0:16.0,,,35-26,,K. Oubre misses 2-pt shot from 6 ft
0:14.0,Defensive rebound by B. Portis,,35-26,,
0:01.0,Shooting foul by J. Smith (drawn by R. Lopez),,35-26,,
0:01.0,R. Lopez misses free throw 1 of 2,,35-26,,
0:01.0,Offensive rebound by Team,,35-26,,
0:01.0,R. Lopez makes free throw 2 of 2,1,36-26,,
0:01.0,I. Canaan enters the game for J. Grant,,35-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,36-26,,M. Morris misses 2-pt shot from 16 ft
11:44.0,Defensive rebound by B. Portis,,36-26,,
11:31.0,B. Portis makes 3-pt shot from 23 ft (assist by R. Rondo),3,39-26,,
11:09.0,,,39-26,,K. Oubre misses 3-pt shot from 23 ft
11:08.0,,,39-26,,Offensive rebound by J. Smith
11:07.0,,,39-26,,Turnover by J. Smith (bad pass)
10:42.0,B. Portis misses 2-pt shot from 21 ft,,39-26,,
10:41.0,,,39-26,,Defensive rebound by K. Oubre
10:41.0,,,39-26,,Turnover by M. Morris (bad pass)
10:34.0,,,39-26,,B. Beal enters the game for K. Oubre
10:20.0,R. Rondo misses 3-pt shot from 28 ft,,39-26,,
10:19.0,,,39-26,,Defensive rebound by B. Beal
10:04.0,,,39-26,,J. Smith misses 2-pt shot from 19 ft
10:04.0,Defensive rebound by Team,,39-26,,
