time,Oklahoma City,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Baynes (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. A. Baynes (V. Oladipo gains possession)
11:42.0,Turnover by S. Adams (bad pass),,0-0,,
11:27.0,,,0-0,,T. Harris misses 2-pt shot from 14 ft
11:27.0,Defensive rebound by R. Westbrook,,0-0,,
11:24.0,Turnover by R. Westbrook (bad pass; steal by T. Harris),,0-0,,
11:13.0,,,0-2,2,I. Smith makes 2-pt shot from 1 ft
10:59.0,Shooting foul by A. Baynes (drawn by S. Adams),,0-2,,
10:59.0,S. Adams makes free throw 1 of 2,1,1-2,,
10:59.0,S. Adams misses free throw 2 of 2,,1-2,,
10:58.0,,,1-2,,Defensive rebound by M. Morris
10:42.0,,,1-4,2,K. Caldwell-Pope makes 2-pt shot from 11 ft (assist by M. Morris)
10:28.0,V. Oladipo misses 2-pt shot from 6 ft,,1-4,,
10:27.0,Offensive rebound by S. Adams,,1-4,,
10:14.0,V. Oladipo misses 2-pt shot from 9 ft,,1-4,,
10:14.0,,,1-4,,Defensive rebound by M. Morris
10:08.0,,,1-4,,I. Smith misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by D. Sabonis,,1-4,,
10:01.0,V. Oladipo misses 3-pt shot from 24 ft,,1-4,,
10:01.0,,,1-4,,Defensive rebound by K. Caldwell-Pope
9:55.0,,,1-4,,Turnover by K. Caldwell-Pope (bad pass)
9:39.0,V. Oladipo misses 3-pt shot from 27 ft,,1-4,,
9:38.0,,,1-4,,Defensive rebound by A. Baynes
9:23.0,,,1-6,2,A. Baynes makes 2-pt shot from 15 ft (assist by M. Morris)
9:02.0,D. Sabonis misses 2-pt shot from 6 ft,,1-6,,
9:01.0,,,1-6,,Defensive rebound by I. Smith
8:55.0,,,1-8,2,A. Baynes makes 2-pt shot from 1 ft (assist by I. Smith)
8:31.0,R. Westbrook makes 2-pt shot at rim,2,3-8,,
8:13.0,,,3-8,,T. Harris misses 2-pt shot at rim
8:12.0,Defensive rebound by A. Roberson,,3-8,,
8:04.0,R. Westbrook makes 2-pt shot from 6 ft,2,5-8,,
7:50.0,,,5-8,,Turnover by I. Smith (bad pass; steal by S. Adams)
7:40.0,A. Roberson misses 3-pt shot from 24 ft,,5-8,,
7:39.0,,,5-8,,Defensive rebound by A. Baynes
7:29.0,,,5-8,,M. Morris misses 2-pt shot from 16 ft
7:29.0,Defensive rebound by S. Adams,,5-8,,
7:17.0,V. Oladipo misses 3-pt shot from 26 ft,,5-8,,
7:17.0,,,5-8,,Defensive rebound by T. Harris
7:06.0,,,5-8,,Shooting foul by V. Oladipo (drawn by I. Smith)
