time,New Orleans,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Towns (J. Holiday gains possession),,,,Jump ball: A. Davis vs. K. Towns (J. Holiday gains possession)
11:44.0,Turnover by J. Holiday (bad pass; steal by G. Dieng),,0-0,,
11:28.0,,,0-0,,K. Towns misses 2-pt shot from 19 ft
11:27.0,Defensive rebound by B. Hield,,0-0,,
11:17.0,S. Hill makes 3-pt shot from 23 ft (assist by J. Holiday),3,3-0,,
11:00.0,,,3-0,,B. Rush misses 3-pt shot from 25 ft
10:59.0,,,3-0,,Offensive rebound by A. Wiggins
10:54.0,,,3-0,,R. Rubio misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by S. Hill,,3-0,,
10:35.0,Turnover by D. Cunningham (traveling),,3-0,,
10:21.0,,,3-3,3,G. Dieng makes 3-pt shot from 23 ft (assist by B. Rush)
10:04.0,B. Hield makes 2-pt shot from 1 ft (assist by S. Hill),2,5-3,,
10:04.0,Shooting foul by B. Rush (drawn by B. Hield),,5-3,,
10:04.0,B. Hield makes free throw 1 of 1,1,6-3,,
9:59.0,,,6-5,2,B. Rush makes 2-pt shot at rim (assist by R. Rubio)
9:45.0,A. Davis makes 2-pt shot at rim (assist by B. Hield),2,8-5,,
9:25.0,,,8-7,2,R. Rubio makes 2-pt shot from 1 ft
9:17.0,B. Hield misses 3-pt shot from 25 ft,,8-7,,
9:16.0,,,8-7,,Defensive rebound by K. Towns
9:14.0,,,8-7,,Shooting foul by B. Hield (drawn by B. Rush)
9:14.0,,,8-8,1,B. Rush makes free throw 1 of 2
9:14.0,,,8-8,,B. Rush misses free throw 2 of 2
9:14.0,Defensive rebound by A. Davis,,8-8,,
9:05.0,Turnover by J. Holiday (back court),,8-8,,
9:05.0,New Orleans full timeout,,8-8,,
8:54.0,,,8-10,2,A. Wiggins makes 2-pt shot at rim
8:34.0,Turnover by J. Holiday (lost ball; steal by G. Dieng),,8-10,,
8:24.0,,,8-10,,Shooting foul by A. Davis (drawn by R. Rubio)
8:24.0,,,8-11,1,R. Rubio makes free throw 1 of 2
8:24.0,,,8-11,,R. Rubio misses free throw 2 of 2
8:24.0,Defensive rebound by D. Cunningham,,8-11,,
8:04.0,Shooting foul by K. Towns (drawn by A. Davis),,8-11,,
8:04.0,A. Davis makes free throw 1 of 2,1,9-11,,
8:04.0,A. Davis makes free throw 2 of 2,1,10-11,,
7:50.0,,,10-11,,K. Towns misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by J. Holiday,,10-11,,
7:39.0,D. Cunningham makes 2-pt shot at rim (assist by J. Holiday),2,12-11,,
