time,Charlotte,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Zeller (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. C. Zeller (V. Oladipo gains possession)
11:34.0,,,0-0,,V. Oladipo misses 3-pt shot from 26 ft
11:34.0,Defensive rebound by M. Kidd-Gilchrist,,0-0,,
11:24.0,K. Walker misses 3-pt shot from 24 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by R. Westbrook
11:21.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by N. Batum)
11:03.0,M. Williams misses 3-pt shot from 25 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by R. Westbrook
10:46.0,,,0-2,2,S. Adams makes 2-pt shot at rim (assist by T. Gibson)
10:27.0,Shooting foul by V. Oladipo (drawn by M. Kidd-Gilchrist),,0-2,,
10:27.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,1-2,,
10:27.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,2-2,,
10:17.0,,,2-2,,Turnover by S. Adams (lost ball; steal by N. Batum)
10:06.0,C. Zeller misses 2-pt shot at rim (block by T. Gibson),,2-2,,
10:06.0,,,2-2,,Defensive rebound by R. Westbrook
10:00.0,,,2-4,2,T. Gibson makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:49.0,,,2-4,,Personal foul by T. Gibson (drawn by M. Williams)
9:43.0,M. Williams misses 3-pt shot from 25 ft,,2-4,,
9:42.0,,,2-4,,Defensive rebound by R. Westbrook
9:36.0,,,2-4,,R. Westbrook misses 2-pt shot from 16 ft
9:35.0,Defensive rebound by M. Williams,,2-4,,
9:29.0,Turnover by N. Batum (traveling),,2-4,,
9:18.0,,,2-4,,Turnover by V. Oladipo (bad pass; steal by K. Walker)
9:07.0,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller),3,5-4,,
8:53.0,,,5-6,2,V. Oladipo makes 2-pt shot from 14 ft (assist by R. Westbrook)
8:34.0,C. Zeller misses 2-pt shot from 17 ft,,5-6,,
8:33.0,,,5-6,,Defensive rebound by T. Gibson
8:23.0,,,5-6,,R. Westbrook misses 2-pt shot from 12 ft
8:23.0,Defensive rebound by M. Williams,,5-6,,
8:18.0,Shooting foul by S. Adams (drawn by C. Zeller),,5-6,,
8:18.0,C. Zeller misses free throw 1 of 2,,5-6,,
8:18.0,Offensive rebound by Team,,5-6,,
8:18.0,C. Zeller makes free throw 2 of 2,1,6-6,,
8:07.0,,,6-6,,Turnover by S. Adams (lost ball; steal by C. Zeller)
8:04.0,Turnover by M. Williams (bad pass; steal by V. Oladipo),,6-6,,
7:56.0,,,6-8,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:33.0,M. Williams misses 2-pt shot from 2 ft,,6-8,,
7:31.0,Offensive rebound by C. Zeller,,6-8,,
7:31.0,C. Zeller misses 2-pt shot from 1 ft,,6-8,,
7:30.0,,,6-8,,Defensive rebound by T. Gibson
7:23.0,,,6-11,3,V. Oladipo makes 3-pt shot from 25 ft (assist by A. Roberson)
7:02.0,C. Zeller misses 2-pt shot from 1 ft,,6-11,,
7:01.0,,,6-11,,Defensive rebound by R. Westbrook
6:53.0,,,6-13,2,T. Gibson makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:44.0,Charlotte full timeout,,6-13,,
6:39.0,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker),3,9-13,,
6:22.0,,,9-13,,Turnover by V. Oladipo (bad pass; steal by K. Walker)
6:06.0,N. Batum misses 2-pt shot from 9 ft,,9-13,,
6:05.0,,,9-13,,Defensive rebound by R. Westbrook
5:59.0,,,9-13,,T. Gibson misses 2-pt shot from 2 ft (block by M. Williams)
5:58.0,Defensive rebound by K. Walker,,9-13,,
5:46.0,M. Williams makes 2-pt shot from 10 ft,2,11-13,,
5:30.0,,,11-16,3,R. Westbrook makes 3-pt shot from 25 ft (assist by V. Oladipo)
5:15.0,Shooting foul by S. Adams (drawn by C. Zeller),,11-16,,
5:15.0,C. Zeller makes free throw 1 of 2,1,12-16,,
5:15.0,C. Zeller makes free throw 2 of 2,1,13-16,,
5:15.0,F. Kaminsky enters the game for M. Williams,,12-16,,
5:15.0,,,12-16,,A. Abrines enters the game for V. Oladipo
5:15.0,,,12-16,,E. Kanter enters the game for S. Adams
5:01.0,,,13-16,,E. Kanter misses 2-pt shot from 9 ft
5:01.0,Defensive rebound by C. Zeller,,13-16,,
4:50.0,N. Batum makes 2-pt shot at rim,2,15-16,,
4:35.0,,,15-16,,R. Westbrook misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by N. Batum,,15-16,,
4:29.0,Turnover by K. Walker (lost ball; steal by T. Gibson),,15-16,,
4:26.0,,,15-16,,Turnover by T. Gibson (bad pass; steal by F. Kaminsky)
