time,Phoenix,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,P. Tucker misses 2-pt shot from 1 ft,,0-0,,
12:00.0,Jump ball: T. Chandler vs. M. Harrell (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. M. Harrell (E. Bledsoe gains possession)
11:40.0,,,0-0,,Defensive rebound by J. Harden
11:29.0,,,0-0,,T. Ariza misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by E. Bledsoe,,0-0,,
11:23.0,,,0-0,,Personal foul by R. Anderson (drawn by E. Bledsoe)
11:18.0,Turnover by E. Bledsoe (bad pass; steal by P. Beverley),,0-0,,
11:03.0,,,0-2,2,J. Harden makes 2-pt shot from 2 ft
10:50.0,E. Bledsoe makes 2-pt shot from 3 ft (assist by M. Chriss),2,2-2,,
10:50.0,Shooting foul by T. Ariza (drawn by E. Bledsoe),,2-2,,
10:50.0,E. Bledsoe misses free throw 1 of 1,,2-2,,
10:50.0,,,2-2,,Defensive rebound by T. Ariza
10:35.0,,,2-4,2,R. Anderson makes 2-pt shot from 22 ft
10:25.0,D. Booker misses 3-pt shot from 26 ft,,2-4,,
10:25.0,,,2-4,,Defensive rebound by P. Beverley
10:18.0,,,2-4,,J. Harden misses 3-pt shot from 26 ft
10:17.0,,,2-4,,Offensive rebound by R. Anderson
10:12.0,,,2-7,3,R. Anderson makes 3-pt shot from 24 ft
10:07.0,D. Booker misses 3-pt shot from 25 ft,,2-7,,
10:06.0,,,2-7,,Defensive rebound by T. Ariza
9:42.0,,,2-10,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza)
9:41.0,Phoenix full timeout,,2-10,,
9:19.0,Shooting foul by M. Harrell (drawn by E. Bledsoe),,2-10,,
9:19.0,E. Bledsoe makes free throw 1 of 3,1,3-10,,
9:19.0,E. Bledsoe makes free throw 2 of 3,1,4-10,,
9:19.0,E. Bledsoe makes free throw 3 of 3,1,5-10,,
8:58.0,,,5-10,,Turnover by T. Ariza (bad pass; steal by E. Bledsoe)
8:51.0,E. Bledsoe makes 2-pt shot from 1 ft,2,7-10,,
8:37.0,,,7-10,,P. Beverley misses 3-pt shot from 23 ft
8:37.0,,,7-10,,Offensive rebound by J. Harden
8:33.0,,,7-10,,J. Harden misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by T. Chandler,,7-10,,
8:13.0,D. Booker misses 2-pt shot from 21 ft,,7-10,,
8:12.0,,,7-10,,Defensive rebound by M. Harrell
8:00.0,,,7-12,2,R. Anderson makes 2-pt shot from 14 ft (assist by T. Ariza)
7:46.0,M. Chriss makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,10-12,,
7:42.0,,,10-12,,Shooting foul by M. Chriss (drawn by M. Harrell)
7:42.0,,,10-14,2,M. Harrell makes 2-pt shot from 3 ft (assist by J. Harden)
7:42.0,,,10-15,1,M. Harrell makes free throw 1 of 1
7:30.0,M. Chriss misses 3-pt shot from 23 ft,,10-15,,
7:29.0,Offensive rebound by T. Chandler,,10-15,,
7:25.0,T. Chandler misses 2-pt shot from 6 ft,,10-15,,
7:25.0,Offensive rebound by Team,,10-15,,
7:16.0,D. Booker misses 2-pt shot from 13 ft,,10-15,,
7:15.0,,,10-15,,Defensive rebound by T. Ariza
7:04.0,,,10-17,2,M. Harrell makes 2-pt shot from 7 ft (assist by T. Ariza)
6:48.0,T. Chandler makes 2-pt shot from 2 ft (assist by D. Booker),2,12-17,,
6:35.0,,,12-19,2,J. Harden makes 2-pt shot from 13 ft
6:27.0,Turnover by E. Bledsoe (bad pass),,12-19,,
6:19.0,,,12-21,2,J. Harden makes 2-pt shot at rim
6:05.0,Turnover by M. Chriss (traveling),,12-21,,
6:05.0,,,12-21,,E. Gordon enters the game for P. Beverley
6:05.0,T. Warren enters the game for M. Chriss,,12-21,,
5:52.0,,,12-21,,Offensive foul by J. Harden
5:52.0,,,12-21,,Turnover by J. Harden (offensive foul)
5:34.0,E. Bledsoe misses 2-pt shot from 16 ft,,12-21,,
5:32.0,Offensive rebound by P. Tucker,,12-21,,
5:29.0,P. Tucker misses 2-pt shot from 2 ft,,12-21,,
5:28.0,Offensive rebound by T. Chandler,,12-21,,
5:28.0,T. Chandler makes 2-pt shot from 2 ft,2,14-21,,
5:21.0,,,14-21,,Shooting foul by T. Warren (drawn by J. Harden)
5:21.0,,,14-22,1,J. Harden makes free throw 1 of 3
5:21.0,,,14-22,,J. Harden misses free throw 2 of 3
5:21.0,,,14-22,,Offensive rebound by Team
5:21.0,,,14-23,1,J. Harden makes free throw 3 of 3
5:21.0,,,14-22,,N. Hilario enters the game for M. Harrell
5:21.0,B. Knight enters the game for D. Booker,,14-22,,
5:08.0,Turnover by E. Bledsoe (lost ball; steal by T. Ariza),,14-23,,
5:05.0,,,14-25,2,T. Ariza makes 2-pt shot from 2 ft (assist by E. Gordon)
5:05.0,,,14-25,,Shooting foul by P. Tucker (drawn by T. Ariza)
5:05.0,,,14-26,1,T. Ariza makes free throw 1 of 1
4:48.0,E. Bledsoe misses 3-pt shot from 25 ft,,14-26,,
4:46.0,,,14-26,,Defensive rebound by Team
4:46.0,A. Len enters the game for T. Chandler,,14-26,,
4:39.0,,,14-26,,J. Harden misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by B. Knight,,14-26,,
4:32.0,B. Knight makes 2-pt shot from 11 ft,2,16-26,,
4:21.0,,,16-26,,E. Gordon misses 3-pt shot from 26 ft
4:21.0,Defensive rebound by B. Knight,,16-26,,
4:09.0,E. Bledsoe misses 2-pt shot from 1 ft (block by N. Hilario),,16-26,,
4:08.0,,,16-26,,Defensive rebound by T. Ariza
4:01.0,,,16-29,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
3:45.0,,,16-29,,Shooting block foul by N. Hilario (drawn by E. Bledsoe)
3:45.0,E. Bledsoe makes free throw 1 of 2,1,17-29,,
3:45.0,E. Bledsoe misses free throw 2 of 2,,17-29,,
3:45.0,,,17-29,,Defensive rebound by T. Ariza
3:45.0,,,17-29,,S. Dekker enters the game for R. Anderson
3:35.0,,,17-29,,T. Ariza misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by T. Warren,,17-29,,
3:31.0,Turnover by T. Warren (bad pass; steal by T. Ariza),,17-29,,
3:28.0,,,17-31,2,T. Ariza makes 2-pt shot at rim
3:14.0,T. Warren misses 2-pt shot from 20 ft,,17-31,,
3:13.0,Offensive rebound by P. Tucker,,17-31,,
3:08.0,E. Bledsoe misses 3-pt shot from 26 ft,,17-31,,
3:07.0,,,17-31,,Defensive rebound by T. Ariza
2:55.0,,,17-33,2,N. Hilario makes 2-pt shot at rim (assist by E. Gordon)
2:55.0,,,17-33,,Shooting foul by A. Len (drawn by N. Hilario)
2:55.0,,,17-33,,Houston full timeout
2:55.0,,,17-33,,N. Hilario misses free throw 1 of 1
2:55.0,Defensive rebound by D. Bender,,17-33,,
2:55.0,D. Booker enters the game for P. Tucker,,17-33,,
2:55.0,D. Bender enters the game for E. Bledsoe,,17-33,,
2:31.0,Turnover by Team (shot clock),,17-33,,
2:19.0,,,17-35,2,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden)
2:19.0,,,17-35,,Shooting foul by B. Knight (drawn by N. Hilario)
2:19.0,,,17-36,1,N. Hilario makes free throw 1 of 1
2:19.0,,,17-35,,C. Brewer enters the game for T. Ariza
1:56.0,D. Booker misses 3-pt shot from 26 ft,,17-36,,
1:55.0,,,17-36,,Defensive rebound by E. Gordon
1:41.0,,,17-36,,S. Dekker misses 2-pt shot from 2 ft
1:40.0,Defensive rebound by D. Bender,,17-36,,
1:31.0,D. Booker misses 2-pt shot from 14 ft (block by S. Dekker),,17-36,,
1:31.0,,,17-36,,Defensive rebound by Team
1:15.0,,,17-36,,J. Harden misses 2-pt shot from 9 ft
1:14.0,Defensive rebound by D. Bender,,17-36,,
1:08.0,T. Warren makes 3-pt shot from 23 ft (assist by D. Booker),3,20-36,,
0:49.0,,,20-36,,E. Gordon misses 2-pt shot from 2 ft (block by D. Bender)
0:46.0,Defensive rebound by A. Len,,20-36,,
0:37.0,B. Knight misses 3-pt shot from 26 ft,,20-36,,
0:36.0,,,20-36,,Defensive rebound by N. Hilario
0:26.0,,,20-39,3,E. Gordon makes 3-pt shot from 25 ft (assist by C. Brewer)
0:02.0,D. Booker makes 3-pt shot from 26 ft,3,23-39,,
0:00.0,,,23-39,,J. Harden misses 3-pt shot from 49 ft
0:00.0,,,23-39,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-39,,E. Gordon misses 3-pt shot from 26 ft
11:43.0,Defensive rebound by T. Warren,,23-39,,
11:25.0,Turnover by T. Warren (lost ball; steal by C. Brewer),,23-39,,
11:06.0,,,23-39,,P. Beverley misses 2-pt shot from 2 ft (block by A. Len)
11:02.0,Defensive rebound by D. Bender,,23-39,,
11:02.0,Turnover by D. Bender (lost ball; steal by P. Beverley),,23-39,,
10:55.0,,,23-42,3,S. Dekker makes 3-pt shot from 23 ft (assist by E. Gordon)
10:33.0,B. Knight misses 2-pt shot from 14 ft,,23-42,,
10:31.0,,,23-42,,Defensive rebound by P. Beverley
10:25.0,,,23-42,,E. Gordon misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by A. Len,,23-42,,
10:17.0,T. Warren misses 2-pt shot from 6 ft,,23-42,,
10:16.0,Offensive rebound by D. Bender,,23-42,,
10:16.0,D. Bender misses 2-pt shot from 2 ft,,23-42,,
10:15.0,Offensive rebound by D. Bender,,23-42,,
10:15.0,D. Bender makes 2-pt shot from 1 ft,2,25-42,,
10:00.0,,,25-42,,P. Beverley misses 2-pt shot from 22 ft
9:59.0,Defensive rebound by A. Len,,25-42,,
9:50.0,Turnover by B. Knight (bad pass),,25-42,,
9:38.0,,,25-45,3,S. Dekker makes 3-pt shot from 24 ft (assist by N. Hilario)
9:19.0,D. Bender misses 2-pt shot from 16 ft,,25-45,,
9:19.0,Offensive rebound by Team,,25-45,,
9:12.0,T. Warren misses 2-pt shot from 11 ft,,25-45,,
9:11.0,,,25-45,,Defensive rebound by N. Hilario
8:58.0,,,25-45,,E. Gordon misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by D. Bender,,25-45,,
8:50.0,T. Warren makes 2-pt shot from 2 ft (assist by L. Barbosa),2,27-45,,
8:36.0,,,27-47,2,C. Brewer makes 2-pt shot from 8 ft
8:36.0,,,27-47,,Shooting foul by D. Bender (drawn by C. Brewer)
8:36.0,,,27-47,,Houston full timeout
8:36.0,,,27-48,1,C. Brewer makes free throw 1 of 1
8:36.0,,,27-47,,R. Anderson enters the game for N. Hilario
8:23.0,L. Barbosa misses 2-pt shot from 23 ft,,27-48,,
8:22.0,,,27-48,,Defensive rebound by Team
8:02.0,,,27-51,3,C. Brewer makes 3-pt shot from 23 ft (assist by P. Beverley)
7:49.0,L. Barbosa makes 2-pt shot from 1 ft,2,29-51,,
7:41.0,,,29-51,,Turnover by E. Gordon (lost ball; steal by L. Barbosa)
7:30.0,D. Bender misses 3-pt shot from 25 ft,,29-51,,
7:30.0,Offensive rebound by T. Warren,,29-51,,
7:25.0,T. Warren misses 2-pt shot from 16 ft,,29-51,,
7:25.0,,,29-51,,Defensive rebound by P. Beverley
7:12.0,,,29-51,,Turnover by R. Anderson (lost ball)
7:12.0,E. Bledsoe enters the game for A. Len,,29-51,,
7:02.0,B. Knight makes 3-pt shot from 25 ft,3,32-51,,
6:44.0,,,32-51,,Turnover by E. Gordon (bad pass; steal by T. Warren)
6:19.0,T. Warren misses 3-pt shot from 24 ft,,32-51,,
6:18.0,,,32-51,,Defensive rebound by S. Dekker
6:06.0,Personal foul by E. Bledsoe (drawn by E. Gordon),,32-51,,
6:06.0,,,32-51,,T. Ariza enters the game for C. Brewer
6:06.0,,,32-51,,M. Harrell enters the game for S. Dekker
6:06.0,,,32-51,,J. Harden enters the game for E. Gordon
6:06.0,D. Booker enters the game for L. Barbosa,,32-51,,
5:58.0,,,32-51,,Turnover by M. Harrell (bad pass; steal by D. Bender)
5:51.0,Shooting foul by P. Beverley (drawn by B. Knight),,32-51,,
5:51.0,,,32-51,,Houston full timeout
5:51.0,B. Knight makes free throw 1 of 2,1,33-51,,
5:51.0,B. Knight makes free throw 2 of 2,1,34-51,,
5:41.0,,,34-51,,Turnover by J. Harden (bad pass; steal by D. Booker)
5:33.0,E. Bledsoe misses 3-pt shot from 24 ft,,34-51,,
5:32.0,,,34-51,,Defensive rebound by P. Beverley
5:28.0,Loose ball foul by E. Bledsoe (drawn by R. Anderson),,34-51,,
5:12.0,Personal foul by D. Bender (drawn by P. Beverley),,34-51,,
5:09.0,,,34-54,3,P. Beverley makes 3-pt shot from 25 ft (assist by T. Ariza)
5:04.0,Turnover by E. Bledsoe (lost ball; steal by P. Beverley),,34-54,,
4:55.0,,,34-54,,T. Ariza misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by B. Knight,,34-54,,
4:45.0,D. Bender misses 3-pt shot from 23 ft,,34-54,,
4:45.0,,,34-54,,Defensive rebound by T. Ariza
4:36.0,,,34-54,,J. Harden misses 3-pt shot from 31 ft
4:35.0,Defensive rebound by D. Bender,,34-54,,
4:18.0,E. Bledsoe misses 2-pt shot from 17 ft,,34-54,,
4:17.0,,,34-54,,Defensive rebound by R. Anderson
4:10.0,,,34-54,,M. Harrell misses 2-pt shot from 4 ft (block by D. Bender)
4:09.0,Defensive rebound by B. Knight,,34-54,,
3:59.0,D. Bender misses 2-pt shot from 1 ft,,34-54,,
3:58.0,,,34-54,,Defensive rebound by T. Ariza
3:56.0,Personal foul by D. Booker (drawn by J. Harden),,34-54,,
3:56.0,,,34-55,1,J. Harden makes free throw 1 of 2
3:56.0,,,34-55,,J. Harden misses free throw 2 of 2
3:56.0,Defensive rebound by M. Chriss,,34-55,,
3:56.0,P. Tucker enters the game for T. Warren,,34-54,,
3:56.0,T. Chandler enters the game for B. Knight,,34-54,,
3:56.0,M. Chriss enters the game for D. Bender,,34-54,,
3:56.0,,,34-54,,E. Gordon enters the game for P. Beverley
3:50.0,,,34-55,,Shooting block foul by T. Ariza (drawn by D. Booker)
3:50.0,D. Booker makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,36-55,,
3:50.0,D. Booker makes free throw 1 of 1,1,37-55,,
3:45.0,,,37-55,,Turnover by J. Harden (bad pass; steal by E. Bledsoe)
3:32.0,E. Bledsoe misses 3-pt shot from 25 ft,,37-55,,
3:31.0,Offensive rebound by M. Chriss,,37-55,,
3:30.0,M. Chriss makes 2-pt shot from 1 ft,2,39-55,,
3:30.0,,,39-55,,Houston full timeout
3:15.0,,,39-55,,Offensive charge foul by J. Harden
3:15.0,,,39-55,,Turnover by J. Harden (offensive foul)
3:02.0,E. Bledsoe makes 2-pt shot from 2 ft,2,41-55,,
2:41.0,,,41-57,2,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden)
2:19.0,M. Chriss misses 2-pt shot from 3 ft,,41-57,,
2:18.0,,,41-57,,Defensive rebound by R. Anderson
2:08.0,,,41-59,2,J. Harden makes 2-pt shot from 17 ft
1:44.0,Turnover by P. Tucker (bad pass; steal by T. Ariza),,41-59,,
1:36.0,,,41-59,,R. Anderson misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by E. Bledsoe,,41-59,,
1:29.0,Turnover by E. Bledsoe (bad pass; steal by E. Gordon),,41-59,,
1:22.0,,,41-59,,Shooting foul by T. Chandler (drawn by M. Harrell)
1:22.0,,,41-59,,M. Harrell misses free throw 1 of 2
1:22.0,,,41-59,,Offensive rebound by Team
1:22.0,,,41-60,1,M. Harrell makes free throw 2 of 2
1:07.0,D. Booker misses 2-pt shot from 18 ft,,41-60,,
1:06.0,,,41-60,,Defensive rebound by T. Ariza
1:00.0,Personal foul by E. Bledsoe (drawn by J. Harden),,41-60,,
1:00.0,,,41-61,1,J. Harden makes free throw 1 of 2
1:00.0,,,41-62,1,J. Harden makes free throw 2 of 2
1:00.0,B. Knight enters the game for E. Bledsoe,,41-61,,
0:49.0,B. Knight misses 2-pt shot from 20 ft,,41-62,,
0:47.0,,,41-62,,Defensive rebound by T. Ariza
0:42.0,,,41-65,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
0:37.0,M. Chriss makes 2-pt shot from 2 ft,2,43-65,,
0:31.0,,,43-67,2,J. Harden makes 2-pt shot from 2 ft
0:07.0,Turnover by Team (shot clock),,43-67,,
0:01.0,,,43-67,,Shooting foul by M. Chriss (drawn by E. Gordon)
0:01.0,,,43-68,1,E. Gordon makes free throw 1 of 2
0:01.0,,,43-69,1,E. Gordon makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:54.0,,,43-72,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
11:30.0,M. Chriss misses 3-pt shot from 24 ft,,43-72,,
11:29.0,,,43-72,,Defensive rebound by P. Beverley
11:26.0,,,43-72,,Turnover by P. Beverley (bad pass)
11:18.0,E. Bledsoe misses 2-pt shot from 9 ft,,43-72,,
11:17.0,Offensive rebound by M. Chriss,,43-72,,
11:17.0,M. Chriss makes 2-pt shot at rim,2,45-72,,
10:56.0,,,45-72,,R. Anderson misses 3-pt shot from 27 ft
10:55.0,Defensive rebound by D. Booker,,45-72,,
10:53.0,,,45-72,,Shooting block foul by T. Ariza (drawn by D. Booker)
10:53.0,D. Booker makes free throw 1 of 2,1,46-72,,
10:53.0,D. Booker makes free throw 2 of 2,1,47-72,,
10:38.0,,,47-75,3,J. Harden makes 3-pt shot from 26 ft
10:29.0,M. Chriss misses 3-pt shot from 24 ft,,47-75,,
10:28.0,,,47-75,,Defensive rebound by J. Harden
10:25.0,,,47-75,,Shooting foul by M. Chriss (drawn by M. Harrell)
10:25.0,,,47-77,2,M. Harrell makes 2-pt shot from 3 ft (assist by J. Harden)
10:25.0,,,47-78,1,M. Harrell makes free throw 1 of 1
10:25.0,Phoenix full timeout,,47-78,,
10:25.0,Technical foul by E. Bledsoe,,47-78,,
10:25.0,,,47-79,1,J. Harden makes technical free throw
10:10.0,E. Bledsoe misses 3-pt shot from 25 ft,,47-79,,
10:09.0,,,47-79,,Defensive rebound by P. Beverley
9:46.0,,,47-79,,P. Beverley misses 2-pt shot from 23 ft
9:44.0,,,47-79,,Offensive rebound by R. Anderson
9:43.0,Violation by T. Chandler (def goaltending),,47-79,,
9:43.0,,,47-81,2,R. Anderson makes 2-pt shot from 5 ft
9:27.0,D. Booker makes 2-pt shot from 8 ft,2,49-81,,
9:13.0,,,49-83,2,J. Harden makes 2-pt shot from 16 ft (assist by M. Harrell)
9:03.0,,,49-83,,Personal foul by R. Anderson (drawn by T. Chandler)
8:52.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker),3,52-83,,
8:38.0,,,52-85,2,J. Harden makes 2-pt shot from 3 ft
8:33.0,,,52-85,,Personal foul by J. Harden (drawn by E. Bledsoe)
8:19.0,D. Booker makes 2-pt shot from 3 ft,2,54-85,,
8:10.0,,,54-85,,Turnover by J. Harden (bad pass; steal by P. Tucker)
8:05.0,D. Booker misses 2-pt shot from 3 ft (block by M. Harrell),,54-85,,
8:03.0,,,54-85,,Defensive rebound by M. Harrell
7:56.0,,,54-88,3,J. Harden makes 3-pt shot from 26 ft (assist by R. Anderson)
7:44.0,Shooting foul by J. Harden (drawn by E. Bledsoe),,54-88,,
7:44.0,E. Bledsoe makes free throw 1 of 2,1,55-88,,
7:44.0,E. Bledsoe makes free throw 2 of 2,1,56-88,,
7:36.0,,,56-88,,Turnover by J. Harden (lost ball; steal by P. Tucker)
7:30.0,D. Booker makes 2-pt shot from 4 ft,2,58-88,,
7:19.0,Personal foul by D. Booker (drawn by J. Harden),,58-88,,
7:12.0,,,58-91,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
6:58.0,E. Bledsoe makes 2-pt shot from 2 ft,2,60-91,,
6:58.0,Shooting foul by P. Beverley (drawn by E. Bledsoe),,60-91,,
6:58.0,E. Bledsoe makes free throw 1 of 1,1,61-91,,
6:37.0,,,61-91,,Turnover by P. Beverley (step out of bounds)
6:28.0,E. Bledsoe misses 2-pt shot from 4 ft,,61-91,,
6:27.0,Offensive rebound by T. Chandler,,61-91,,
6:27.0,T. Chandler misses 2-pt shot from 2 ft,,61-91,,
6:26.0,Offensive rebound by T. Chandler,,61-91,,
6:26.0,T. Chandler makes 2-pt shot from 2 ft,2,63-91,,
6:04.0,,,63-91,,R. Anderson misses 2-pt shot from 3 ft (block by M. Chriss)
6:04.0,,,63-91,,Offensive rebound by M. Harrell
6:04.0,,,63-91,,Shooting foul by T. Chandler (drawn by M. Harrell)
6:04.0,,,63-92,1,M. Harrell makes free throw 1 of 2
6:04.0,,,63-92,,M. Harrell misses free throw 2 of 2
6:04.0,Defensive rebound by T. Chandler,,63-92,,
6:04.0,,,63-92,,E. Gordon enters the game for P. Beverley
5:50.0,D. Booker misses 2-pt shot from 10 ft,,63-92,,
5:49.0,Offensive rebound by M. Chriss,,63-92,,
5:41.0,E. Bledsoe misses 3-pt shot from 25 ft,,63-92,,
5:41.0,Offensive rebound by Team,,63-92,,
5:41.0,,,63-92,,Loose ball foul by E. Gordon (drawn by M. Chriss)
5:41.0,M. Chriss misses free throw 1 of 2,,63-92,,
5:41.0,Offensive rebound by Team,,63-92,,
5:41.0,M. Chriss makes free throw 2 of 2,1,64-92,,
5:41.0,,,63-92,,N. Hilario enters the game for M. Harrell
5:30.0,,,64-94,2,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden)
5:21.0,Turnover by P. Tucker (bad pass; steal by T. Ariza),,64-94,,
5:16.0,,,64-94,,T. Ariza misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by Team,,64-94,,
5:14.0,T. Warren enters the game for M. Chriss,,64-94,,
4:53.0,T. Warren misses 2-pt shot from 10 ft,,64-94,,
4:51.0,Offensive rebound by T. Chandler,,64-94,,
4:51.0,T. Chandler misses 2-pt shot from 2 ft,,64-94,,
4:49.0,,,64-94,,Defensive rebound by J. Harden
4:43.0,,,64-94,,J. Harden misses 3-pt shot from 25 ft
4:41.0,,,64-94,,Offensive rebound by N. Hilario
4:39.0,,,64-94,,J. Harden misses 2-pt shot from 14 ft
4:37.0,Defensive rebound by T. Chandler,,64-94,,
4:36.0,Turnover by T. Chandler (bad pass; steal by T. Ariza),,64-94,,
4:31.0,,,64-94,,J. Harden misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by E. Bledsoe,,64-94,,
4:26.0,E. Bledsoe makes 2-pt shot from 2 ft,2,66-94,,
4:19.0,,,66-97,3,R. Anderson makes 3-pt shot from 22 ft (assist by J. Harden)
4:06.0,D. Booker makes 2-pt shot from 18 ft (assist by P. Tucker),2,68-97,,
3:54.0,,,68-97,,Turnover by J. Harden (bad pass; steal by E. Bledsoe)
3:47.0,D. Booker misses 3-pt shot from 25 ft,,68-97,,
3:46.0,,,68-97,,Defensive rebound by R. Anderson
3:39.0,,,68-97,,Shooting foul by D. Booker (drawn by J. Harden)
3:39.0,,,68-98,1,J. Harden makes free throw 1 of 2
3:39.0,,,68-99,1,J. Harden makes free throw 2 of 2
3:39.0,D. Bender enters the game for T. Chandler,,68-98,,
3:39.0,A. Len enters the game for P. Tucker,,68-98,,
3:39.0,,,68-98,,S. Dekker enters the game for R. Anderson
3:30.0,Shooting foul by E. Gordon (drawn by A. Len),,68-99,,
3:30.0,A. Len makes free throw 1 of 2,1,69-99,,
3:30.0,A. Len makes free throw 2 of 2,1,70-99,,
3:13.0,,,70-99,,S. Dekker misses 3-pt shot from 23 ft
3:13.0,Defensive rebound by A. Len,,70-99,,
3:07.0,D. Bender makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,72-99,,
3:01.0,,,72-99,,T. Ariza misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by E. Bledsoe,,72-99,,
2:53.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,74-99,,
2:32.0,,,74-99,,E. Gordon misses 3-pt shot from 26 ft
2:31.0,,,74-99,,Offensive rebound by S. Dekker
2:23.0,,,74-99,,T. Ariza misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by E. Bledsoe,,74-99,,
2:16.0,E. Bledsoe misses 3-pt shot from 26 ft,,74-99,,
2:14.0,Offensive rebound by D. Booker,,74-99,,
2:09.0,D. Booker misses 2-pt shot from 7 ft,,74-99,,
2:08.0,,,74-99,,Defensive rebound by J. Harden
1:54.0,,,74-99,,N. Hilario misses 2-pt shot from 14 ft
1:53.0,Defensive rebound by E. Bledsoe,,74-99,,
1:50.0,Offensive charge foul by D. Booker,,74-99,,
1:50.0,Turnover by D. Booker (offensive foul),,74-99,,
1:50.0,,,74-99,,Houston full timeout
1:50.0,,,74-99,,C. Brewer enters the game for T. Ariza
1:40.0,,,74-101,2,S. Dekker makes 2-pt shot at rim (assist by J. Harden)
1:22.0,D. Booker misses 2-pt shot from 11 ft,,74-101,,
1:21.0,,,74-101,,Defensive rebound by E. Gordon
1:14.0,,,74-101,,E. Gordon misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by D. Bender,,74-101,,
1:07.0,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,76-101,,
1:01.0,,,76-103,2,S. Dekker makes 2-pt shot at rim (assist by J. Harden)
0:42.0,E. Bledsoe makes 2-pt shot from 7 ft,2,78-103,,
0:33.0,Personal foul by D. Booker (drawn by J. Harden),,78-103,,
0:33.0,,,78-104,1,J. Harden makes free throw 1 of 2
0:33.0,,,78-104,,J. Harden misses free throw 2 of 2
0:33.0,Defensive rebound by D. Bender,,78-104,,
0:28.0,E. Bledsoe makes 2-pt shot from 2 ft,2,80-104,,
0:08.0,,,80-104,,Shooting foul by D. Booker (drawn by J. Harden)
0:08.0,,,80-105,1,J. Harden makes free throw 1 of 3
0:08.0,,,80-106,1,J. Harden makes free throw 2 of 3
0:08.0,,,80-107,1,J. Harden makes free throw 3 of 3
0:08.0,B. Knight enters the game for D. Booker,,80-104,,
0:00.0,T. Warren misses 3-pt shot from 24 ft,,80-107,,
0:00.0,Offensive rebound by Team,,80-107,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,T. Warren misses 2-pt shot from 20 ft,,80-107,,
11:47.0,,,80-107,,Defensive rebound by E. Gordon
11:31.0,,,80-109,2,M. Harrell makes 2-pt shot from 3 ft (assist by E. Gordon)
11:10.0,B. Knight misses 3-pt shot from 26 ft,,80-109,,
11:10.0,Offensive rebound by T. Warren,,80-109,,
