time,Houston,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Drummond (T. Harris gains possession),,,,Jump ball: C. Capela vs. A. Drummond (T. Harris gains possession)
11:37.0,,,0-2,2,M. Morris makes 2-pt shot from 16 ft
11:18.0,C. Capela misses 2-pt shot from 5 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by Team
11:06.0,,,0-2,,T. Harris misses 3-pt shot from 27 ft
11:05.0,Defensive rebound by C. Capela,,0-2,,
10:51.0,Turnover by J. Harden (lost ball; steal by K. Caldwell-Pope),,0-2,,
10:46.0,,,0-4,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
10:37.0,,,0-4,,Personal foul by T. Harris (drawn by P. Beverley)
10:36.0,Turnover by T. Ariza (bad pass; steal by A. Drummond),,0-4,,
10:33.0,,,0-4,,Shooting foul by C. Capela (drawn by A. Drummond)
10:33.0,,,0-4,,A. Drummond misses free throw 1 of 2
10:33.0,,,0-4,,Offensive rebound by Team
10:33.0,,,0-5,1,A. Drummond makes free throw 2 of 2
10:19.0,T. Ariza misses 3-pt shot from 26 ft,,0-5,,
10:19.0,Offensive rebound by R. Anderson,,0-5,,
10:10.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,2-5,,
9:54.0,,,2-5,,A. Drummond misses 2-pt shot at rim
9:53.0,Defensive rebound by R. Anderson,,2-5,,
9:39.0,J. Harden misses 2-pt shot from 10 ft,,2-5,,
9:38.0,Offensive rebound by C. Capela,,2-5,,
9:35.0,C. Capela misses 2-pt shot at rim,,2-5,,
9:35.0,Offensive rebound by T. Ariza,,2-5,,
9:35.0,T. Ariza misses 2-pt shot from 2 ft,,2-5,,
9:35.0,,,2-5,,Defensive rebound by Team
9:22.0,,,2-7,2,T. Harris makes 2-pt shot at rim
9:22.0,,,2-7,,Shooting foul by P. Beverley (drawn by T. Harris)
9:22.0,,,2-8,1,T. Harris makes free throw 1 of 1
8:54.0,R. Anderson makes 2-pt shot from 1 ft,2,4-8,,
8:42.0,,,4-8,,T. Harris misses 2-pt shot from 6 ft
8:42.0,Jump ball: C. Capela vs. T. Harris (M. Morris gains possession),,,,Jump ball: C. Capela vs. T. Harris (M. Morris gains possession)
8:42.0,,,4-8,,Offensive rebound by Team
8:29.0,,,4-10,2,K. Caldwell-Pope makes 2-pt shot from 16 ft
8:13.0,R. Anderson makes 2-pt shot at rim,2,6-10,,
7:56.0,,,6-10,,A. Drummond misses 2-pt shot from 6 ft
7:56.0,Defensive rebound by J. Harden,,6-10,,
7:44.0,Turnover by J. Harden (bad pass; steal by A. Drummond),,6-10,,
7:36.0,,,6-10,,K. Caldwell-Pope misses 3-pt shot from 27 ft
7:35.0,,,6-10,,Offensive rebound by T. Harris
7:31.0,,,6-12,2,T. Harris makes 2-pt shot from 18 ft
7:11.0,R. Anderson makes 2-pt shot from 14 ft (assist by J. Harden),2,8-12,,
6:59.0,,,8-15,3,I. Smith makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
6:34.0,T. Ariza misses 2-pt shot at rim,,8-15,,
6:34.0,Offensive rebound by Team,,8-15,,
6:34.0,Turnover by Team (shot clock),,8-15,,
6:12.0,,,8-17,2,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith)
5:59.0,R. Anderson misses 2-pt shot from 5 ft,,8-17,,
5:58.0,,,8-17,,Defensive rebound by I. Smith
5:52.0,,,8-20,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by I. Smith)
5:51.0,Houston full timeout,,8-20,,
5:51.0,E. Gordon enters the game for C. Capela,,8-20,,
5:51.0,N. Hilario enters the game for P. Beverley,,8-20,,
5:42.0,J. Harden makes 2-pt shot at rim,2,10-20,,
5:27.0,,,10-20,,K. Caldwell-Pope misses 2-pt shot from 17 ft
5:25.0,Defensive rebound by T. Ariza,,10-20,,
5:12.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,12-20,,
4:58.0,,,12-20,,M. Morris misses 3-pt shot from 26 ft
