time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. Z. Pachulia (K. Thompson gains possession),,,,Jump ball: C. Capela vs. Z. Pachulia (K. Thompson gains possession)
11:42.0,,,0-2,2,K. Thompson makes 2-pt shot from 15 ft (assist by M. Barnes)
11:36.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,2-2,,
11:21.0,,,2-2,,Shooting foul by C. Capela (drawn by D. Green)
11:21.0,,,2-3,1,D. Green makes free throw 1 of 2
11:21.0,,,2-4,1,D. Green makes free throw 2 of 2
10:54.0,P. Beverley misses 3-pt shot from 25 ft,,2-4,,
10:53.0,Offensive rebound by J. Harden,,2-4,,
10:48.0,Turnover by T. Ariza (bad pass; steal by K. Thompson),,2-4,,
10:41.0,,,2-7,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
10:26.0,T. Ariza misses 3-pt shot from 25 ft,,2-7,,
10:26.0,,,2-7,,Defensive rebound by S. Curry
10:16.0,,,2-10,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
9:48.0,J. Harden makes 2-pt shot from 3 ft,2,4-10,,
9:32.0,,,4-12,2,Z. Pachulia makes 2-pt shot from 2 ft
9:22.0,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden),2,6-12,,
9:11.0,,,6-12,,K. Thompson misses 3-pt shot from 24 ft
9:11.0,Defensive rebound by P. Beverley,,6-12,,
9:03.0,P. Beverley makes 3-pt shot from 25 ft,3,9-12,,
8:44.0,,,9-12,,Turnover by S. Curry (bad pass; steal by T. Ariza)
8:40.0,T. Ariza makes 2-pt shot from 1 ft,2,11-12,,
8:40.0,Shooting foul by M. Barnes (drawn by T. Ariza),,11-12,,
8:40.0,T. Ariza makes free throw 1 of 1,1,12-12,,
8:30.0,,,12-12,,S. Curry misses 2-pt shot from 17 ft
8:26.0,Defensive rebound by Team,,12-12,,
8:15.0,E. Gordon makes 3-pt shot from 24 ft (assist by C. Capela),3,15-12,,
8:02.0,,,15-12,,Turnover by K. Thompson (lost ball; steal by T. Ariza)
8:02.0,,,15-12,,Personal foul by K. Thompson (drawn by T. Ariza)
7:47.0,T. Ariza misses 3-pt shot from 23 ft,,15-12,,
7:46.0,,,15-12,,Defensive rebound by K. Thompson
7:29.0,,,15-12,,Z. Pachulia misses 2-pt shot from 3 ft
7:29.0,Defensive rebound by C. Capela,,15-12,,
7:18.0,E. Gordon misses 3-pt shot from 27 ft,,15-12,,
7:18.0,,,15-12,,Defensive rebound by Team
7:18.0,Loose ball foul by J. Harden (drawn by M. Barnes),,15-12,,
7:07.0,,,15-14,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
6:49.0,C. Capela misses 2-pt shot at rim,,15-14,,
6:49.0,,,15-14,,Defensive rebound by K. Thompson
6:43.0,,,15-14,,K. Thompson misses 3-pt shot from 27 ft
6:43.0,Defensive rebound by Team,,15-14,,
6:30.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,17-14,,
6:16.0,,,17-14,,D. Green misses 2-pt shot from 12 ft
6:15.0,Defensive rebound by Team,,17-14,,
5:56.0,E. Gordon misses 3-pt shot from 25 ft,,17-14,,
5:55.0,Offensive rebound by C. Capela,,17-14,,
5:51.0,,,17-14,,Golden State full timeout
5:51.0,,,17-14,,A. Iguodala enters the game for M. Barnes
5:51.0,,,17-14,,S. Livingston enters the game for D. Green
5:50.0,M. Harrell enters the game for P. Beverley,,17-14,,
5:49.0,L. Williams enters the game for C. Capela,,17-14,,
5:40.0,Turnover by J. Harden (bad pass; steal by S. Curry),,17-14,,
5:35.0,,,17-14,,S. Curry misses 2-pt shot from 15 ft
5:34.0,Defensive rebound by J. Harden,,17-14,,
5:27.0,T. Ariza misses 3-pt shot from 24 ft,,17-14,,
5:23.0,,,17-14,,Defensive rebound by Z. Pachulia
5:00.0,,,17-14,,A. Iguodala misses 2-pt shot from 19 ft
5:00.0,Defensive rebound by L. Williams,,17-14,,
4:49.0,M. Harrell misses 2-pt shot from 5 ft,,17-14,,
4:48.0,,,17-14,,Defensive rebound by S. Curry
4:48.0,,,17-14,,Offensive foul by S. Curry
4:48.0,,,17-14,,Turnover by S. Curry (offensive foul)
4:48.0,,,17-14,,J. McAdoo enters the game for Z. Pachulia
4:34.0,T. Ariza misses 2-pt shot from 2 ft,,17-14,,
4:34.0,,,17-14,,Defensive rebound by Team
4:09.0,,,17-16,2,A. Iguodala makes 2-pt shot from 20 ft
3:55.0,J. Harden misses 2-pt shot from 13 ft,,17-16,,
3:55.0,Offensive rebound by J. Harden,,17-16,,
3:54.0,J. Harden misses 2-pt shot from 4 ft (block by K. Thompson),,17-16,,
3:53.0,Offensive rebound by Team,,17-16,,
3:49.0,S. Dekker enters the game for E. Gordon,,17-16,,
3:49.0,Jump ball: J. Harden vs. K. Thompson (S. Livingston gains possession),,,,Jump ball: J. Harden vs. K. Thompson (S. Livingston gains possession)
3:49.0,Turnover by J. Harden (lost ball; steal by K. Thompson),,17-16,,
3:43.0,,,17-16,,S. Curry misses 2-pt shot from 2 ft (block by M. Harrell)
3:41.0,Defensive rebound by S. Dekker,,17-16,,
3:38.0,L. Williams makes 2-pt shot from 2 ft,2,19-16,,
3:38.0,Shooting foul by S. Livingston (drawn by L. Williams),,19-16,,
3:38.0,L. Williams makes free throw 1 of 1,1,20-16,,
3:38.0,,,19-16,,D. Green enters the game for K. Thompson
3:25.0,,,20-18,2,S. Curry makes 2-pt shot from 19 ft
3:13.0,Turnover by J. Harden (bad pass; steal by A. Iguodala),,20-18,,
3:05.0,,,20-18,,D. Green misses 2-pt shot from 17 ft
3:04.0,Defensive rebound by L. Williams,,20-18,,
2:54.0,J. Harden misses 3-pt shot from 23 ft,,20-18,,
2:53.0,,,20-18,,Defensive rebound by D. Green
2:53.0,,,20-18,,Turnover by D. Green (bad pass)
2:53.0,Houston full timeout,,20-18,,
2:32.0,S. Dekker makes 3-pt shot from 24 ft (assist by J. Harden),3,23-18,,
2:17.0,,,23-18,,S. Curry misses 3-pt shot from 26 ft
2:16.0,,,23-18,,Offensive rebound by J. McAdoo
2:11.0,,,23-18,,S. Curry misses 2-pt shot from 13 ft
2:09.0,,,23-18,,Offensive rebound by J. McAdoo
2:02.0,,,23-21,3,A. Iguodala makes 3-pt shot from 27 ft (assist by S. Livingston)
1:44.0,Turnover by T. Ariza (bad pass),,23-21,,
1:29.0,,,23-21,,A. Iguodala misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by L. Williams,,23-21,,
1:19.0,L. Williams misses 2-pt shot from 2 ft,,23-21,,
1:19.0,Offensive rebound by S. Dekker,,23-21,,
1:07.0,,,23-21,,Personal foul by A. Iguodala (drawn by S. Dekker)
