time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (D. Green gains possession)
11:42.0,,,0-2,2,K. Durant makes 2-pt shot from 16 ft (assist by S. Curry)
11:27.0,,,0-2,,Personal block foul by K. Durant (drawn by J. Ingles)
11:19.0,R. Gobert misses 2-pt shot at rim (block by D. Green),,0-2,,
11:19.0,,,0-2,,Defensive rebound by Z. Pachulia
11:09.0,,,0-5,3,D. Green makes 3-pt shot from 26 ft (assist by K. Durant)
10:44.0,J. Johnson makes 3-pt shot from 26 ft (assist by S. Mack),3,3-5,,
10:24.0,,,3-5,,K. Thompson misses 2-pt shot from 4 ft (block by R. Gobert)
10:23.0,,,3-5,,Offensive rebound by K. Thompson
10:17.0,,,3-8,3,D. Green makes 3-pt shot from 27 ft
10:07.0,Turnover by J. Ingles (bad pass; steal by K. Durant),,3-8,,
9:55.0,,,3-10,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
9:39.0,G. Hayward misses 3-pt shot from 26 ft,,3-10,,
9:39.0,,,3-10,,Defensive rebound by Team
9:39.0,Loose ball foul by R. Gobert (drawn by D. Green),,3-10,,
9:20.0,,,3-12,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant)
9:20.0,Utah full timeout,,3-12,,
8:58.0,J. Johnson misses 2-pt shot from 7 ft,,3-12,,
8:58.0,,,3-12,,Defensive rebound by Z. Pachulia
8:42.0,,,3-12,,S. Curry misses 2-pt shot from 16 ft
8:41.0,Defensive rebound by R. Gobert,,3-12,,
8:31.0,S. Mack makes 3-pt shot from 28 ft,3,6-12,,
8:13.0,,,6-12,,K. Durant misses 2-pt shot from 11 ft
8:12.0,Defensive rebound by R. Gobert,,6-12,,
8:08.0,,,6-12,,Violation by K. Durant (kicked ball)
7:59.0,Turnover by S. Mack (bad pass; steal by D. Green),,6-12,,
7:57.0,Personal foul by J. Johnson (drawn by D. Green),,6-12,,
7:49.0,,,6-14,2,K. Thompson makes 2-pt shot from 11 ft (assist by K. Durant)
7:32.0,Turnover by J. Ingles (bad pass; steal by S. Curry),,6-14,,
7:25.0,,,6-16,2,K. Thompson makes 2-pt shot from 23 ft (assist by S. Curry)
7:06.0,G. Hayward makes 2-pt shot from 7 ft (assist by S. Mack),2,8-16,,
6:49.0,,,8-19,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
6:26.0,Turnover by G. Hayward (bad pass; steal by K. Thompson),,8-19,,
6:19.0,,,8-19,,S. Curry misses 3-pt shot from 30 ft
6:17.0,Defensive rebound by S. Mack,,8-19,,
5:57.0,J. Ingles makes 3-pt shot from 29 ft (assist by S. Mack),3,11-19,,
5:51.0,,,11-19,,Golden State full timeout
5:51.0,R. Hood enters the game for J. Ingles,,11-19,,
5:51.0,,,11-19,,A. Iguodala enters the game for D. Green
5:51.0,,,11-19,,J. McGee enters the game for Z. Pachulia
5:34.0,,,11-19,,A. Iguodala misses 2-pt shot from 5 ft
5:34.0,Defensive rebound by R. Gobert,,11-19,,
5:12.0,S. Mack misses 3-pt shot from 23 ft,,11-19,,
5:12.0,,,11-19,,Defensive rebound by K. Durant
5:05.0,,,11-21,2,K. Durant makes 2-pt shot from 1 ft
4:50.0,R. Hood misses 3-pt shot from 25 ft,,11-21,,
4:49.0,,,11-21,,Defensive rebound by S. Curry
4:36.0,,,11-21,,Turnover by A. Iguodala (bad pass; steal by R. Gobert)
4:14.0,S. Mack misses 2-pt shot from 19 ft,,11-21,,
4:13.0,,,11-21,,Defensive rebound by A. Iguodala
4:08.0,,,11-23,2,J. McGee makes 2-pt shot at rim (assist by K. Durant)
4:08.0,Utah full timeout,,11-23,,
4:08.0,R. Neto enters the game for S. Mack,,11-23,,
4:08.0,,,11-23,,S. Livingston enters the game for K. Thompson
3:53.0,G. Hayward misses 3-pt shot from 26 ft,,11-23,,
3:52.0,,,11-23,,Defensive rebound by S. Livingston
3:49.0,,,11-23,,Turnover by S. Livingston (dbl dribble)
3:36.0,R. Neto misses 3-pt shot from 24 ft,,11-23,,
3:36.0,Offensive rebound by R. Gobert,,11-23,,
3:30.0,R. Hood misses 3-pt shot from 26 ft,,11-23,,
3:30.0,,,11-23,,Defensive rebound by Team
3:21.0,,,11-23,,A. Iguodala misses 2-pt shot from 3 ft
3:20.0,,,11-23,,Offensive rebound by J. McGee
3:20.0,,,11-25,2,J. McGee makes 2-pt shot from 2 ft
3:09.0,,,11-25,,Personal foul by J. McGee (drawn by R. Gobert)
3:09.0,B. Diaw enters the game for J. Johnson,,11-25,,
2:53.0,R. Hood misses 2-pt shot from 7 ft,,11-25,,
2:53.0,,,11-25,,Defensive rebound by S. Curry
2:47.0,,,11-25,,S. Curry misses 3-pt shot from 26 ft
2:46.0,,,11-25,,Offensive rebound by J. McGee
2:46.0,,,11-25,,J. McGee misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by B. Diaw,,11-25,,
2:29.0,Shooting foul by J. McGee (drawn by G. Hayward),,11-25,,
2:29.0,G. Hayward makes free throw 1 of 2,1,12-25,,
2:29.0,G. Hayward makes free throw 2 of 2,1,13-25,,
2:29.0,D. Favors enters the game for R. Gobert,,12-25,,
2:14.0,,,13-27,2,S. Curry makes 2-pt shot from 16 ft
1:48.0,Turnover by Team (shot clock),,13-27,,
1:48.0,,,13-27,,D. Green enters the game for K. Durant
1:38.0,,,13-30,3,D. Green makes 3-pt shot from 26 ft (assist by A. Iguodala)
1:16.0,G. Hayward misses 2-pt shot from 10 ft,,13-30,,
1:15.0,,,13-30,,Defensive rebound by A. Iguodala
1:04.0,,,13-33,3,D. Green makes 3-pt shot from 27 ft (assist by A. Iguodala)
0:50.0,G. Hayward misses 3-pt shot from 26 ft,,13-33,,
0:49.0,,,13-33,,Defensive rebound by D. Green
0:46.0,,,13-33,,Turnover by A. Iguodala (bad pass)
0:32.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto),2,15-33,,
0:19.0,,,15-33,,D. Green misses 3-pt shot from 27 ft
0:16.0,Defensive rebound by D. Favors,,15-33,,
0:12.0,,,15-33,,J. McAdoo enters the game for J. McGee
0:01.0,B. Diaw misses 2-pt shot from 14 ft (block by A. Iguodala),,15-33,,
0:00.0,Offensive rebound by Team,,15-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Ingles misses 2-pt shot from 2 ft,,15-33,,
11:43.0,Offensive rebound by D. Favors,,15-33,,
11:37.0,B. Diaw makes 2-pt shot from 1 ft (assist by D. Exum),2,17-33,,
11:15.0,,,17-35,2,D. West makes 2-pt shot from 6 ft (assist by K. Thompson)
10:54.0,B. Diaw makes 3-pt shot from 27 ft (assist by R. Hood),3,20-35,,
10:41.0,,,20-35,,Turnover by D. Green (lost ball)
10:30.0,D. Exum makes 2-pt shot from 2 ft,2,22-35,,
10:05.0,,,22-38,3,I. Clark makes 3-pt shot from 27 ft
9:51.0,,,22-38,,Personal foul by D. West (drawn by J. Ingles)
9:43.0,R. Hood misses 2-pt shot from 16 ft,,22-38,,
9:42.0,,,22-38,,Defensive rebound by D. West
9:37.0,,,22-38,,Turnover by D. Green (bad pass; steal by J. Ingles)
9:26.0,Shooting foul by A. Iguodala (drawn by D. Favors),,22-38,,
9:26.0,D. Favors misses free throw 1 of 2,,22-38,,
9:26.0,Offensive rebound by Team,,22-38,,
9:26.0,D. Favors makes free throw 2 of 2,1,23-38,,
9:08.0,,,23-38,,Turnover by I. Clark (bad pass; steal by D. Exum)
9:06.0,,,23-38,,Personal foul by K. Thompson (drawn by D. Exum)
9:06.0,J. Johnson enters the game for D. Favors,,23-38,,
8:59.0,Turnover by J. Johnson (lost ball; steal by D. Green),,23-38,,
8:45.0,,,23-38,,D. West misses 2-pt shot from 20 ft
8:45.0,Defensive rebound by Team,,23-38,,
8:45.0,Official timeout,,23-38,,
8:45.0,R. Gobert enters the game for B. Diaw,,23-38,,
8:37.0,D. Exum misses 2-pt shot from 2 ft,,23-38,,
8:37.0,,,23-38,,Defensive rebound by I. Clark
8:35.0,Personal foul by J. Ingles (drawn by I. Clark),,23-38,,
8:19.0,,,23-38,,D. West misses 2-pt shot from 19 ft
8:19.0,Defensive rebound by D. Exum,,23-38,,
8:06.0,Turnover by D. Exum (bad pass; steal by D. Green),,23-38,,
7:56.0,,,23-38,,I. Clark misses 3-pt shot from 26 ft
7:55.0,,,23-38,,Offensive rebound by A. Iguodala
7:55.0,,,23-40,2,A. Iguodala makes 2-pt shot at rim
7:36.0,J. Johnson makes 2-pt shot from 11 ft,2,25-40,,
7:23.0,,,25-40,,K. Thompson misses 2-pt shot from 20 ft
7:23.0,,,25-40,,Offensive rebound by D. West
7:16.0,,,25-42,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
6:57.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,27-42,,
6:46.0,Personal foul by R. Hood (drawn by K. Thompson),,27-42,,
6:46.0,G. Hayward enters the game for R. Hood,,27-42,,
6:46.0,S. Mack enters the game for D. Exum,,27-42,,
6:46.0,,,27-42,,K. Durant enters the game for D. Green
6:46.0,,,27-42,,S. Livingston enters the game for A. Iguodala
6:46.0,,,27-42,,S. Curry enters the game for I. Clark
6:37.0,,,27-44,2,S. Livingston makes 2-pt shot at rim (assist by S. Curry)
6:26.0,Turnover by J. Ingles (bad pass),,27-44,,
6:17.0,,,27-47,3,S. Curry makes 3-pt shot from 25 ft
5:59.0,J. Johnson misses 2-pt shot from 8 ft,,27-47,,
5:59.0,,,27-47,,Defensive rebound by K. Durant
5:57.0,Personal foul by J. Ingles (drawn by K. Durant),,27-47,,
5:57.0,,,27-47,,Golden State full timeout
5:57.0,,,27-47,,P. McCaw enters the game for K. Thompson
5:49.0,,,27-47,,Turnover by K. Durant (bad pass; steal by J. Ingles)
5:35.0,R. Gobert makes 2-pt shot from 4 ft (assist by J. Johnson),2,29-47,,
5:35.0,Shooting foul by K. Durant (drawn by R. Gobert),,29-47,,
5:35.0,R. Gobert misses free throw 1 of 1,,29-47,,
5:33.0,,,29-47,,Defensive rebound by K. Durant
5:20.0,,,29-47,,K. Durant misses 3-pt shot from 29 ft
5:20.0,,,29-47,,Offensive rebound by D. West
5:08.0,,,29-49,2,D. West makes 2-pt shot from 13 ft (assist by S. Curry)
4:50.0,G. Hayward makes 2-pt shot from 3 ft,2,31-49,,
4:43.0,,,31-49,,K. Durant misses 3-pt shot from 27 ft
4:43.0,Defensive rebound by R. Gobert,,31-49,,
4:21.0,J. Johnson misses 2-pt shot from 6 ft,,31-49,,
4:20.0,,,31-49,,Defensive rebound by S. Curry
4:11.0,,,31-49,,D. West misses 2-pt shot from 18 ft
4:11.0,Defensive rebound by R. Gobert,,31-49,,
4:01.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,33-49,,
4:01.0,,,33-49,,Golden State full timeout
4:01.0,,,33-49,,D. Green enters the game for S. Livingston
4:01.0,,,33-49,,A. Iguodala enters the game for D. West
4:01.0,,,33-49,,K. Thompson enters the game for P. McCaw
4:01.0,R. Hood enters the game for J. Ingles,,33-49,,
3:45.0,,,33-49,,Turnover by S. Curry (bad pass)
3:33.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,35-49,,
3:23.0,,,35-49,,Turnover by D. Green (lost ball; steal by R. Hood)
3:15.0,G. Hayward makes 2-pt shot from 12 ft (assist by J. Johnson),2,37-49,,
3:06.0,Personal foul by S. Mack (drawn by S. Curry),,37-49,,
2:57.0,,,37-49,,A. Iguodala misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by R. Hood,,37-49,,
2:41.0,G. Hayward makes 2-pt shot from 10 ft,2,39-49,,
2:26.0,,,39-51,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
2:26.0,,,39-51,,Shooting foul by R. Gobert (drawn by K. Durant)
2:26.0,Utah full timeout,,39-51,,
2:26.0,,,39-51,,K. Durant misses free throw 1 of 1
2:25.0,Defensive rebound by G. Hayward,,39-51,,
2:10.0,J. Johnson misses 3-pt shot from 26 ft,,39-51,,
2:10.0,,,39-51,,Defensive rebound by K. Thompson
1:54.0,,,39-54,3,D. Green makes 3-pt shot from 26 ft (assist by K. Durant)
1:42.0,,,39-54,,Personal foul by S. Curry (drawn by S. Mack)
1:42.0,S. Mack misses free throw 1 of 2,,39-54,,
1:42.0,Offensive rebound by Team,,39-54,,
1:42.0,S. Mack makes free throw 2 of 2,1,40-54,,
1:42.0,D. Exum enters the game for J. Johnson,,39-54,,
1:27.0,,,40-56,2,A. Iguodala makes 2-pt shot at rim (assist by K. Durant)
1:12.0,Turnover by D. Exum (offensive foul),,40-56,,
1:12.0,Offensive charge foul by D. Exum,,40-56,,
1:06.0,Personal foul by G. Hayward (drawn by K. Durant),,40-56,,
1:06.0,,,40-57,1,K. Durant makes free throw 1 of 2
1:06.0,,,40-58,1,K. Durant makes free throw 2 of 2
1:00.0,,,40-58,,Personal foul by A. Iguodala (drawn by G. Hayward)
1:00.0,G. Hayward makes free throw 1 of 2,1,41-58,,
1:00.0,G. Hayward makes free throw 2 of 2,1,42-58,,
0:44.0,,,42-60,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
0:36.0,S. Mack makes 3-pt shot from 28 ft,3,45-60,,
0:31.0,,,45-60,,S. Curry misses 3-pt shot from 28 ft
0:31.0,Defensive rebound by R. Gobert,,45-60,,
0:20.0,R. Hood makes 2-pt shot from 9 ft,2,47-60,,
0:04.0,,,47-60,,D. Green misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by R. Gobert,,47-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Johnson makes 3-pt shot from 23 ft (assist by G. Hayward),3,50-60,,
11:25.0,,,50-63,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
11:17.0,S. Mack makes 3-pt shot from 27 ft (assist by J. Johnson),3,53-63,,
11:16.0,,,53-63,,Golden State full timeout
10:56.0,,,53-63,,K. Thompson misses 2-pt shot from 5 ft
10:56.0,Defensive rebound by J. Ingles,,53-63,,
10:47.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,55-63,,
10:36.0,,,55-63,,Turnover by S. Curry (bad pass; steal by G. Hayward)
10:21.0,R. Gobert misses 2-pt shot from 4 ft,,55-63,,
10:20.0,,,55-63,,Defensive rebound by K. Durant
10:19.0,Personal foul by S. Mack (drawn by K. Durant),,55-63,,
10:19.0,R. Hood enters the game for J. Ingles,,55-63,,
10:04.0,,,55-63,,S. Curry misses 2-pt shot from 9 ft
10:03.0,Defensive rebound by R. Hood,,55-63,,
9:55.0,R. Hood makes 2-pt shot from 11 ft,2,57-63,,
9:40.0,,,57-63,,D. Green misses 3-pt shot from 27 ft
9:40.0,Defensive rebound by R. Gobert,,57-63,,
9:29.0,J. Johnson misses 3-pt shot from 24 ft,,57-63,,
9:28.0,,,57-63,,Defensive rebound by K. Thompson
9:19.0,,,57-65,2,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson)
9:11.0,,,57-65,,Def 3 sec tech foul by Z. Pachulia
9:11.0,G. Hayward makes technical free throw,1,58-65,,
9:11.0,,,58-65,,A. Iguodala enters the game for Z. Pachulia
9:02.0,Turnover by G. Hayward (lost ball; steal by K. Thompson),,58-65,,
8:53.0,,,58-65,,K. Durant misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by R. Gobert,,58-65,,
8:46.0,Turnover by S. Mack (bad pass; steal by S. Curry),,58-65,,
8:44.0,Personal foul by G. Hayward (drawn by S. Curry),,58-65,,
8:44.0,D. Favors enters the game for R. Gobert,,58-65,,
8:37.0,,,58-67,2,S. Curry makes 2-pt shot from 10 ft
8:23.0,G. Hayward misses 2-pt shot from 11 ft,,58-67,,
8:23.0,,,58-67,,Defensive rebound by K. Durant
8:17.0,,,58-69,2,K. Durant makes 2-pt shot at rim
8:09.0,R. Gobert enters the game for D. Favors,,58-69,,
8:07.0,Jump ball: S. Curry vs. S. Mack,,,,Jump ball: S. Curry vs. S. Mack
7:58.0,Turnover by R. Hood (lost ball; steal by A. Iguodala),,58-69,,
7:51.0,,,58-71,2,K. Durant makes 2-pt shot at rim (assist by A. Iguodala)
7:30.0,S. Mack misses 2-pt shot from 1 ft,,58-71,,
7:29.0,,,58-71,,Defensive rebound by K. Durant
7:23.0,,,58-71,,K. Thompson misses 3-pt shot from 24 ft
7:23.0,,,58-71,,Offensive rebound by S. Curry
7:20.0,,,58-71,,Shooting foul by R. Gobert (drawn by S. Curry)
7:20.0,,,58-72,1,S. Curry makes free throw 1 of 2
7:20.0,,,58-73,1,S. Curry makes free throw 2 of 2
7:20.0,D. Exum enters the game for S. Mack,,58-72,,
7:14.0,G. Hayward misses 2-pt shot from 22 ft,,58-73,,
7:11.0,Offensive rebound by R. Gobert,,58-73,,
7:11.0,R. Gobert makes 2-pt shot from 1 ft,2,60-73,,
6:55.0,,,60-73,,Shooting foul by D. Exum (drawn by D. Green)
6:55.0,,,60-74,1,D. Green makes free throw 1 of 2
6:55.0,,,60-75,1,D. Green makes free throw 2 of 2
6:28.0,D. Exum misses 3-pt shot from 23 ft,,60-75,,
6:28.0,,,60-75,,Defensive rebound by K. Durant
6:24.0,,,60-75,,K. Durant misses 3-pt shot from 27 ft
6:23.0,Defensive rebound by R. Gobert,,60-75,,
6:13.0,R. Hood misses 2-pt shot from 2 ft,,60-75,,
6:12.0,,,60-75,,Defensive rebound by D. Green
6:06.0,,,60-75,,A. Iguodala misses 2-pt shot from 6 ft
6:05.0,,,60-75,,Offensive rebound by D. Green
6:05.0,,,60-75,,D. Green misses 2-pt shot at rim
6:04.0,Defensive rebound by G. Hayward,,60-75,,
6:04.0,,,60-75,,Clear path foul by S. Curry
6:04.0,G. Hayward makes clear path free throw 1 of 2,1,61-75,,
6:04.0,G. Hayward makes clear path free throw 2 of 2,1,62-75,,
6:04.0,B. Diaw enters the game for J. Johnson,,60-75,,
5:47.0,G. Hayward makes 2-pt shot from 18 ft,2,64-75,,
5:34.0,,,64-78,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
5:18.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,66-78,,
5:03.0,,,66-78,,S. Curry misses 2-pt shot from 9 ft
5:02.0,Defensive rebound by B. Diaw,,66-78,,
4:56.0,R. Hood misses 3-pt shot from 26 ft,,66-78,,
4:55.0,,,66-78,,Defensive rebound by K. Thompson
4:49.0,,,66-80,2,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson)
4:49.0,,,66-80,,Shooting foul by R. Gobert (drawn by D. Green)
4:49.0,,,66-80,,D. Green misses free throw 1 of 1
4:49.0,R. Neto enters the game for D. Exum,,66-80,,
4:49.0,D. Favors enters the game for R. Gobert,,66-80,,
4:47.0,Defensive rebound by D. Favors,,66-80,,
4:38.0,Turnover by R. Hood (bad pass; steal by D. Green),,66-80,,
4:34.0,,,66-80,,Shooting foul by R. Hood (drawn by K. Durant)
4:34.0,,,66-81,1,K. Durant makes free throw 1 of 2
4:34.0,,,66-82,1,K. Durant makes free throw 2 of 2
4:34.0,,,66-81,,J. McGee enters the game for D. Green
4:25.0,G. Hayward misses 3-pt shot from 25 ft,,66-82,,
4:25.0,,,66-82,,Defensive rebound by K. Durant
4:16.0,,,66-82,,S. Curry misses 2-pt shot from 3 ft (block by D. Favors)
4:15.0,Defensive rebound by G. Hayward,,66-82,,
4:11.0,G. Hayward makes 2-pt shot from 14 ft,2,68-82,,
4:00.0,,,68-82,,Turnover by A. Iguodala (bad pass; steal by R. Neto)
3:50.0,G. Hayward makes 2-pt shot from 11 ft (assist by R. Neto),2,70-82,,
3:35.0,,,70-82,,S. Livingston enters the game for K. Thompson
3:24.0,,,70-82,,A. Iguodala misses 2-pt shot from 12 ft
3:23.0,Defensive rebound by D. Favors,,70-82,,
3:04.0,B. Diaw misses 3-pt shot from 27 ft,,70-82,,
3:04.0,,,70-82,,Defensive rebound by K. Durant
2:55.0,,,70-85,3,S. Curry makes 3-pt shot from 29 ft (assist by S. Livingston)
2:54.0,Utah full timeout,,70-85,,
2:41.0,R. Hood makes 2-pt shot from 18 ft (assist by G. Hayward),2,72-85,,
2:18.0,,,72-88,3,S. Curry makes 3-pt shot from 27 ft (assist by S. Livingston)
2:02.0,R. Neto makes 3-pt shot from 26 ft (assist by B. Diaw),3,75-88,,
1:47.0,,,75-88,,S. Livingston misses 2-pt shot from 18 ft
1:47.0,Defensive rebound by D. Favors,,75-88,,
1:22.0,B. Diaw makes 2-pt shot from 6 ft,2,77-88,,
1:02.0,,,77-88,,Offensive foul by J. McGee
1:02.0,,,77-88,,Turnover by J. McGee (offensive foul)
1:02.0,,,77-88,,D. Green enters the game for K. Durant
1:02.0,,,77-88,,M. Barnes enters the game for J. McGee
0:49.0,G. Hayward makes 3-pt shot from 25 ft,3,80-88,,
0:36.0,,,80-90,2,A. Iguodala makes 2-pt shot at rim (assist by M. Barnes)
0:32.0,,,80-90,,Personal foul by M. Barnes (drawn by G. Hayward)
0:25.0,,,80-90,,Personal foul by S. Curry (drawn by R. Neto)
0:25.0,R. Neto makes free throw 1 of 2,1,81-90,,
0:25.0,R. Neto makes free throw 2 of 2,1,82-90,,
0:02.0,,,82-92,2,M. Barnes makes 2-pt shot from 9 ft (assist by D. Green)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,82-92,,Turnover by K. Thompson (bad pass; steal by S. Mack)
11:35.0,,,82-92,,Personal foul by I. Clark (drawn by R. Hood)
11:21.0,S. Mack misses 2-pt shot from 13 ft,,82-92,,
11:19.0,,,82-92,,Defensive rebound by D. Green
11:13.0,,,82-92,,D. Green misses 2-pt shot from 12 ft
11:13.0,,,82-92,,Offensive rebound by Team
11:09.0,,,82-94,2,I. Clark makes 2-pt shot from 1 ft (assist by K. Thompson)
10:56.0,R. Hood misses 3-pt shot from 27 ft,,82-94,,
10:56.0,,,82-94,,Defensive rebound by K. Thompson
10:49.0,,,82-94,,K. Thompson misses 3-pt shot from 30 ft
10:49.0,,,82-94,,Offensive rebound by D. West
10:44.0,,,82-94,,I. Clark misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by R. Gobert,,82-94,,
10:26.0,S. Mack misses 2-pt shot from 11 ft,,82-94,,
10:26.0,,,82-94,,Defensive rebound by D. West
10:16.0,,,82-97,3,I. Clark makes 3-pt shot from 23 ft (assist by K. Thompson)
10:16.0,Utah full timeout,,82-97,,
10:03.0,,,82-97,,Personal foul by A. Iguodala (drawn by R. Hood)
9:57.0,,,82-97,,Personal foul by D. Green (drawn by R. Gobert)
9:45.0,J. Ingles misses 2-pt shot from 4 ft (block by D. West),,82-97,,
9:45.0,Offensive rebound by Team,,82-97,,
