time,Phoenix,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Gobert (P. Tucker gains possession),,,,Jump ball: T. Chandler vs. R. Gobert (P. Tucker gains possession)
11:45.0,Turnover by E. Bledsoe (bad pass; steal by G. Hayward),,0-0,,
11:21.0,,,0-0,,R. Gobert misses 2-pt shot from 3 ft
11:21.0,,,0-0,,Offensive rebound by R. Gobert
11:13.0,,,0-2,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum)
11:13.0,,,0-2,,Shooting foul by T. Chandler (drawn by R. Gobert)
11:13.0,,,0-3,1,R. Gobert makes free throw 1 of 1
10:56.0,M. Chriss misses 2-pt shot from 3 ft (block by R. Gobert),,0-3,,
10:55.0,Offensive rebound by M. Chriss,,0-3,,
10:52.0,M. Chriss misses 2-pt shot from 2 ft (block by R. Gobert),,0-3,,
10:51.0,,,0-3,,Defensive rebound by D. Exum
10:44.0,,,0-3,,Shooting foul by T. Chandler (drawn by R. Gobert)
10:44.0,,,0-3,,R. Gobert misses free throw 1 of 2
10:44.0,,,0-3,,Offensive rebound by Team
10:44.0,,,0-4,1,R. Gobert makes free throw 2 of 2
10:34.0,Turnover by P. Tucker (traveling),,0-4,,
10:18.0,,,0-7,3,R. Hood makes 3-pt shot from 25 ft (assist by B. Diaw)
9:57.0,M. Chriss misses 3-pt shot from 22 ft,,0-7,,
9:55.0,Offensive rebound by T. Chandler,,0-7,,
9:55.0,T. Chandler makes 2-pt shot at rim,2,2-7,,
9:25.0,,,2-7,,R. Hood misses 2-pt shot from 22 ft
9:24.0,Defensive rebound by E. Bledsoe,,2-7,,
9:17.0,E. Bledsoe misses 2-pt shot from 12 ft,,2-7,,
9:16.0,,,2-7,,Defensive rebound by G. Hayward
9:05.0,Personal foul by M. Chriss (drawn by B. Diaw),,2-7,,
8:52.0,,,2-7,,R. Hood misses 2-pt shot from 9 ft
8:52.0,Defensive rebound by M. Chriss,,2-7,,
8:43.0,M. Chriss makes 2-pt shot from 13 ft,2,4-7,,
8:22.0,,,4-7,,Shooting foul by D. Booker (drawn by B. Diaw)
8:22.0,,,4-8,1,B. Diaw makes free throw 1 of 2
8:22.0,,,4-9,1,B. Diaw makes free throw 2 of 2
8:06.0,E. Bledsoe misses 2-pt shot from 2 ft,,4-9,,
8:05.0,Offensive rebound by T. Chandler,,4-9,,
8:05.0,T. Chandler misses 2-pt shot from 2 ft,,4-9,,
8:02.0,,,4-9,,Defensive rebound by D. Exum
7:57.0,,,4-9,,D. Exum misses 2-pt shot from 1 ft
7:56.0,Defensive rebound by D. Booker,,4-9,,
7:52.0,Turnover by D. Booker (bad pass),,4-9,,
7:31.0,,,4-9,,B. Diaw misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by E. Bledsoe,,4-9,,
