time,Golden State,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. J. McGee (D. Green gains possession),,,,Jump ball: K. Koufos vs. J. McGee (D. Green gains possession)
11:43.0,K. Durant misses 3-pt shot from 23 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by K. Koufos
11:18.0,,,0-2,2,D. Collison makes 2-pt shot from 13 ft
11:04.0,S. Curry misses 2-pt shot from 20 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by K. Koufos
10:48.0,,,0-2,,D. Cousins misses 3-pt shot from 24 ft
10:46.0,Defensive rebound by D. Green,,0-2,,
10:42.0,Turnover by D. Green (bad pass),,0-2,,
10:34.0,,,0-2,,Shooting foul by J. McGee (drawn by D. Cousins)
10:34.0,,,0-3,1,D. Cousins makes free throw 1 of 2
10:34.0,,,0-4,1,D. Cousins makes free throw 2 of 2
10:20.0,K. Thompson misses 2-pt shot from 13 ft,,0-4,,
10:19.0,,,0-4,,Defensive rebound by D. Cousins
10:14.0,,,0-6,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
9:58.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,2-6,,
9:58.0,Shooting foul by B. McLemore (drawn by J. McGee),,2-6,,
9:58.0,J. McGee makes free throw 1 of 1,1,3-6,,
9:50.0,,,3-6,,Turnover by D. Cousins (bad pass)
9:39.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,6-6,,
9:38.0,Violation by Team (jump ball),,6-6,,
9:29.0,,,6-6,,Turnover by D. Cousins (bad pass; steal by S. Curry)
9:24.0,S. Curry makes 3-pt shot from 26 ft,3,9-6,,
9:01.0,,,9-6,,D. Cousins misses 3-pt shot from 25 ft
9:00.0,,,9-6,,Offensive rebound by B. McLemore
8:58.0,,,9-6,,D. Collison misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by D. Green,,9-6,,
8:49.0,S. Curry makes 2-pt shot from 20 ft,2,11-6,,
8:33.0,,,11-8,2,D. Cousins makes 2-pt shot from 2 ft
8:25.0,S. Curry misses 3-pt shot from 26 ft,,11-8,,
8:24.0,,,11-8,,Defensive rebound by K. Koufos
8:14.0,,,11-8,,B. McLemore misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by S. Curry,,11-8,,
8:09.0,K. Thompson makes 2-pt shot from 3 ft (assist by S. Curry),2,13-8,,
7:44.0,,,13-8,,Turnover by D. Cousins (traveling)
7:33.0,Shooting foul by D. Collison (drawn by D. Green),,13-8,,
7:33.0,D. Green misses free throw 1 of 2,,13-8,,
7:33.0,Offensive rebound by Team,,13-8,,
7:33.0,D. Green misses free throw 2 of 2,,13-8,,
7:33.0,,,13-8,,Defensive rebound by K. Koufos
7:17.0,,,13-10,2,K. Koufos makes 2-pt shot from 9 ft (assist by B. McLemore)
6:55.0,K. Thompson misses 3-pt shot from 23 ft,,13-10,,
6:54.0,,,13-10,,Defensive rebound by D. Cousins
6:48.0,,,13-10,,B. McLemore misses 3-pt shot from 25 ft
6:47.0,,,13-10,,Offensive rebound by D. Cousins
6:46.0,,,13-12,2,D. Cousins makes 2-pt shot from 2 ft
6:31.0,D. Green misses 2-pt shot from 3 ft,,13-12,,
6:30.0,,,13-12,,Defensive rebound by D. Cousins
6:21.0,,,13-14,2,D. Collison makes 2-pt shot from 2 ft
6:10.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,16-14,,
5:48.0,,,16-14,,Shooting foul by K. Thompson (drawn by B. McLemore)
5:48.0,,,16-14,,Sacramento full timeout
5:48.0,,,16-14,,B. McLemore misses free throw 1 of 2
5:48.0,,,16-14,,Offensive rebound by Team
5:48.0,,,16-15,1,B. McLemore makes free throw 2 of 2
5:37.0,,,16-15,,Personal foul by D. Cousins (drawn by D. Green)
5:30.0,J. McGee misses 2-pt shot at rim,,16-15,,
5:29.0,Offensive rebound by K. Thompson,,16-15,,
5:25.0,K. Thompson makes 3-pt shot from 23 ft,3,19-15,,
5:09.0,,,19-15,,D. Collison misses 3-pt shot from 23 ft
5:07.0,Defensive rebound by J. McGee,,19-15,,
4:57.0,K. Thompson misses 2-pt shot from 4 ft,,19-15,,
4:56.0,Offensive rebound by J. McGee,,19-15,,
4:48.0,K. Durant misses 3-pt shot from 25 ft,,19-15,,
4:47.0,Offensive rebound by D. Green,,19-15,,
4:40.0,J. McGee misses 2-pt shot from 6 ft,,19-15,,
4:39.0,,,19-15,,Defensive rebound by D. Cousins
4:24.0,,,19-15,,A. Afflalo misses 2-pt shot from 20 ft
4:22.0,Defensive rebound by K. Durant,,19-15,,
4:12.0,Shooting foul by D. Collison (drawn by S. Curry),,19-15,,
4:12.0,S. Curry misses free throw 1 of 2,,19-15,,
4:12.0,Offensive rebound by Team,,19-15,,
4:12.0,S. Curry makes free throw 2 of 2,1,20-15,,
4:12.0,,,19-15,,T. Lawson enters the game for D. Collison
4:12.0,,,19-15,,A. Tolliver enters the game for K. Koufos
4:12.0,K. Looney enters the game for D. Green,,19-15,,
4:12.0,A. Iguodala enters the game for J. McGee,,19-15,,
4:06.0,Personal foul by K. Looney (drawn by D. Cousins),,20-15,,
3:59.0,,,20-15,,Turnover by T. Lawson (bad pass; steal by K. Durant)
3:59.0,,,20-15,,Personal foul by A. Tolliver (drawn by K. Durant)
3:59.0,K. Durant makes free throw 1 of 2,1,21-15,,
3:59.0,K. Durant makes free throw 2 of 2,1,22-15,,
3:39.0,,,22-18,3,A. Tolliver makes 3-pt shot from 23 ft (assist by D. Cousins)
3:27.0,Shooting foul by A. Afflalo (drawn by K. Durant),,22-18,,
3:27.0,K. Durant misses free throw 1 of 2,,22-18,,
3:27.0,Offensive rebound by Team,,22-18,,
3:27.0,K. Durant makes free throw 2 of 2,1,23-18,,
3:27.0,,,22-18,,M. Barnes enters the game for A. Afflalo
3:19.0,,,23-20,2,D. Cousins makes 2-pt shot from 3 ft (assist by T. Lawson)
3:05.0,K. Thompson misses 2-pt shot from 16 ft,,23-20,,
3:04.0,,,23-20,,Defensive rebound by D. Cousins
2:58.0,,,23-22,2,D. Cousins makes 2-pt shot from 3 ft
2:49.0,Golden State full timeout,,23-22,,
2:49.0,P. McCaw enters the game for K. Thompson,,23-22,,
2:41.0,S. Curry makes 3-pt shot from 26 ft (assist by P. McCaw),3,26-22,,
2:18.0,,,26-24,2,D. Cousins makes 2-pt shot from 3 ft
2:07.0,S. Curry makes 2-pt shot from 3 ft,2,28-24,,
1:55.0,,,28-24,,Turnover by D. Cousins (bad pass; steal by K. Looney)
1:54.0,Turnover by K. Looney (bad pass; steal by T. Lawson),,28-24,,
1:53.0,,,28-24,,Turnover by T. Lawson (bad pass)
1:53.0,D. Green enters the game for K. Durant,,28-24,,
1:43.0,Turnover by S. Curry (bad pass; steal by M. Barnes),,28-24,,
1:37.0,,,28-24,,M. Barnes misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by Team,,28-24,,
1:26.0,P. McCaw misses 3-pt shot from 25 ft,,28-24,,
1:25.0,,,28-24,,Defensive rebound by A. Tolliver
1:13.0,,,28-24,,M. Barnes misses 2-pt shot from 3 ft (block by K. Looney)
1:11.0,Defensive rebound by P. McCaw,,28-24,,
1:05.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala),3,31-24,,
0:38.0,,,31-24,,T. Lawson misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by K. Looney,,31-24,,
0:19.0,S. Curry misses 3-pt shot from 25 ft,,31-24,,
0:18.0,,,31-24,,Defensive rebound by D. Cousins
0:03.0,,,31-27,3,B. McLemore makes 3-pt shot from 26 ft (assist by D. Cousins)
0:00.0,D. Green misses 3-pt shot from 27 ft,,31-27,,
0:00.0,Offensive rebound by Team,,31-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Personal foul by A. Iguodala (drawn by M. Barnes),,31-27,,
11:25.0,,,31-27,,T. Lawson misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by D. Green,,31-27,,
11:19.0,D. Green misses 2-pt shot from 3 ft,,31-27,,
11:18.0,,,31-27,,Defensive rebound by M. Barnes
11:10.0,,,31-29,2,M. Barnes makes 2-pt shot at rim (assist by T. Lawson)
10:50.0,,,31-29,,Personal foul by M. Richardson (drawn by K. Thompson)
10:42.0,A. Iguodala misses 3-pt shot from 24 ft,,31-29,,
10:41.0,,,31-29,,Defensive rebound by W. Cauley-Stein
10:33.0,,,31-31,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson)
10:15.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green),2,33-31,,
10:05.0,,,33-31,,Turnover by T. Lawson (lost ball)
9:54.0,D. Green misses 3-pt shot from 25 ft,,33-31,,
9:53.0,Offensive rebound by K. Thompson,,33-31,,
9:52.0,Shooting foul by M. Richardson (drawn by K. Thompson),,33-31,,
9:52.0,K. Thompson makes free throw 1 of 2,1,34-31,,
9:52.0,K. Thompson makes free throw 2 of 2,1,35-31,,
9:36.0,,,35-33,2,M. Richardson makes 2-pt shot from 16 ft
9:20.0,J. McAdoo makes 2-pt shot from 2 ft (assist by K. Thompson),2,37-33,,
9:04.0,,,37-33,,W. Cauley-Stein misses 2-pt shot from 17 ft
9:02.0,,,37-33,,Offensive rebound by M. Barnes
9:02.0,,,37-33,,M. Barnes misses 2-pt shot from 2 ft
9:00.0,Defensive rebound by A. Iguodala,,37-33,,
8:55.0,J. McAdoo misses 2-pt shot from 3 ft,,37-33,,
8:54.0,,,37-33,,Defensive rebound by W. Cauley-Stein
8:43.0,,,37-33,,W. Cauley-Stein misses 2-pt shot at rim
8:43.0,Defensive rebound by Team,,37-33,,
8:43.0,Official timeout,,37-33,,
8:25.0,K. Thompson misses 2-pt shot from 11 ft (block by A. Tolliver),,37-33,,
8:22.0,,,37-33,,Defensive rebound by M. Barnes
8:02.0,,,37-35,2,W. Cauley-Stein makes 2-pt shot from 3 ft
7:41.0,Turnover by K. Thompson (bad pass; steal by W. Cauley-Stein),,37-35,,
7:33.0,,,37-38,3,M. Barnes makes 3-pt shot from 22 ft (assist by M. Richardson)
7:20.0,K. Thompson misses 3-pt shot from 25 ft,,37-38,,
7:19.0,,,37-38,,Defensive rebound by M. Barnes
7:10.0,,,37-40,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by M. Barnes)
7:04.0,Golden State full timeout,,37-40,,
7:04.0,K. Durant enters the game for D. Green,,37-40,,
7:04.0,P. McCaw enters the game for K. Thompson,,37-40,,
7:04.0,J. McGee enters the game for J. McAdoo,,37-40,,
6:51.0,S. Livingston makes 2-pt shot from 14 ft,2,39-40,,
6:26.0,,,39-40,,Turnover by M. Richardson (lost ball; steal by P. McCaw)
6:22.0,Shooting foul by M. Barnes (drawn by K. Durant),,39-40,,
6:22.0,K. Durant makes free throw 1 of 2,1,40-40,,
6:22.0,K. Durant makes free throw 2 of 2,1,41-40,,
6:12.0,Personal foul by J. McGee (drawn by W. Cauley-Stein),,41-40,,
6:12.0,S. Curry enters the game for A. Iguodala,,41-40,,
5:58.0,,,41-42,2,W. Cauley-Stein makes 2-pt shot from 17 ft
5:41.0,Turnover by K. Durant (traveling),,41-42,,
5:41.0,,,41-42,,D. Cousins enters the game for M. Richardson
5:29.0,,,41-44,2,T. Lawson makes 2-pt shot from 2 ft (assist by D. Cousins)
