time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (L. Mbah a Moute gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (L. Mbah a Moute gains possession)
11:38.0,,,0-0,,J. Redick misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by R. Gobert,,0-0,,
11:20.0,R. Gobert misses 2-pt shot from 3 ft (block by D. Jordan),,0-0,,
11:17.0,,,0-0,,Defensive rebound by C. Paul
11:04.0,,,0-0,,D. Jordan misses 2-pt shot from 3 ft
11:03.0,,,0-0,,Offensive rebound by D. Jordan
11:03.0,,,0-0,,D. Jordan misses 2-pt shot at rim
11:00.0,Defensive rebound by R. Hood,,0-0,,
10:52.0,R. Hood misses 2-pt shot from 7 ft,,0-0,,
10:49.0,,,0-0,,Defensive rebound by D. Jordan
10:49.0,,,0-0,,Turnover by D. Jordan (bad pass; steal by J. Johnson)
10:33.0,J. Johnson misses 2-pt shot from 10 ft,,0-0,,
10:32.0,,,0-0,,Defensive rebound by C. Paul
10:25.0,,,0-3,3,C. Paul makes 3-pt shot from 27 ft (assist by L. Mbah a Moute)
10:02.0,Turnover by B. Diaw (bad pass; steal by J. Redick),,0-3,,
9:57.0,,,0-3,,Turnover by B. Griffin (lost ball)
9:42.0,G. Hill makes 3-pt shot from 28 ft (assist by R. Gobert),3,3-3,,
9:21.0,Personal foul by G. Hill (drawn by B. Griffin),,3-3,,
9:14.0,,,3-5,2,B. Griffin makes 2-pt shot from 1 ft
8:56.0,G. Hill misses 3-pt shot from 25 ft,,3-5,,
8:55.0,,,3-5,,Defensive rebound by D. Jordan
8:45.0,,,3-7,2,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul)
8:43.0,Utah full timeout,,3-7,,
8:21.0,J. Johnson makes 2-pt shot from 18 ft,2,5-7,,
8:02.0,,,5-7,,Shooting foul by R. Gobert (drawn by B. Griffin)
8:02.0,,,5-8,1,B. Griffin makes free throw 1 of 2
8:02.0,,,5-9,1,B. Griffin makes free throw 2 of 2
7:49.0,G. Hill misses 2-pt shot from 6 ft,,5-9,,
7:47.0,Offensive rebound by R. Gobert,,5-9,,
7:47.0,Shooting foul by D. Jordan (drawn by R. Gobert),,5-9,,
7:47.0,R. Gobert makes free throw 1 of 2,1,6-9,,
7:47.0,R. Gobert makes free throw 2 of 2,1,7-9,,
7:33.0,,,7-9,,B. Griffin misses 2-pt shot from 3 ft
7:31.0,Defensive rebound by R. Gobert,,7-9,,
7:17.0,Turnover by R. Gobert (traveling),,7-9,,
7:12.0,,,7-9,,Turnover by C. Paul (bad pass)
7:00.0,R. Hood misses 2-pt shot from 16 ft,,7-9,,
6:59.0,,,7-9,,Defensive rebound by B. Griffin
6:50.0,,,7-9,,C. Paul misses 3-pt shot from 27 ft
6:49.0,,,7-9,,Offensive rebound by Team
6:46.0,,,7-11,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
6:21.0,R. Hood makes 3-pt shot from 27 ft (assist by R. Gobert),3,10-11,,
6:07.0,,,10-11,,Shooting foul by R. Gobert (drawn by D. Jordan)
6:07.0,,,10-11,,D. Jordan misses free throw 1 of 2
6:07.0,,,10-11,,Offensive rebound by Team
6:07.0,,,10-12,1,D. Jordan makes free throw 2 of 2
6:07.0,D. Favors enters the game for R. Gobert,,10-11,,
5:55.0,J. Johnson makes 2-pt shot from 12 ft (assist by G. Hill),2,12-12,,
5:42.0,,,12-12,,L. Mbah a Moute misses 3-pt shot from 24 ft
5:41.0,,,12-12,,Offensive rebound by L. Mbah a Moute
5:38.0,,,12-12,,Turnover by L. Mbah a Moute (bad pass; steal by J. Johnson)
5:32.0,J. Johnson makes 3-pt shot from 26 ft,3,15-12,,
5:11.0,,,15-12,,L. Mbah a Moute misses 2-pt shot from 8 ft
5:08.0,Defensive rebound by D. Favors,,15-12,,
4:59.0,D. Favors misses 2-pt shot from 3 ft,,15-12,,
4:57.0,,,15-12,,Defensive rebound by D. Jordan
4:50.0,,,15-12,,Shooting foul by D. Favors (drawn by L. Mbah a Moute)
4:50.0,,,15-13,1,L. Mbah a Moute makes free throw 1 of 2
4:50.0,,,15-13,,L. Mbah a Moute misses free throw 2 of 2
4:50.0,,,15-13,,J. Crawford enters the game for J. Redick
4:48.0,Defensive rebound by D. Favors,,15-13,,
4:24.0,G. Hill makes 2-pt shot from 6 ft (assist by J. Johnson),2,17-13,,
4:24.0,,,17-13,,LA Clippers full timeout
4:24.0,,,17-13,,A. Rivers enters the game for L. Mbah a Moute
4:24.0,D. Exum enters the game for R. Hood,,17-13,,
4:09.0,,,17-13,,B. Griffin misses 2-pt shot from 8 ft
4:06.0,,,17-13,,Offensive rebound by D. Jordan
4:06.0,,,17-13,,D. Jordan misses 2-pt shot from 1 ft
4:03.0,Defensive rebound by B. Diaw,,17-13,,
3:52.0,,,17-13,,R. Felton enters the game for C. Paul
3:44.0,Shooting foul by A. Rivers (drawn by D. Favors),,17-13,,
3:44.0,D. Favors makes free throw 1 of 2,1,18-13,,
3:44.0,D. Favors misses free throw 2 of 2,,18-13,,
3:43.0,,,18-13,,Defensive rebound by D. Jordan
3:20.0,,,18-13,,R. Felton misses 3-pt shot from 26 ft
3:19.0,,,18-13,,Offensive rebound by D. Jordan
3:17.0,,,18-13,,D. Jordan misses 2-pt shot from 2 ft
3:15.0,Defensive rebound by D. Favors,,18-13,,
3:06.0,Turnover by B. Diaw (lost ball; steal by J. Crawford),,18-13,,
3:02.0,,,18-15,2,J. Crawford makes 2-pt shot from 1 ft
2:47.0,D. Favors misses 2-pt shot from 3 ft,,18-15,,
2:44.0,Offensive rebound by G. Hill,,18-15,,
2:40.0,B. Diaw misses 3-pt shot from 26 ft,,18-15,,
2:37.0,,,18-15,,Defensive rebound by B. Griffin
2:25.0,Personal foul by D. Exum (drawn by J. Crawford),,18-15,,
2:25.0,,,18-16,1,J. Crawford makes free throw 1 of 2
2:25.0,,,18-17,1,J. Crawford makes free throw 2 of 2
2:25.0,T. Lyles enters the game for B. Diaw,,18-16,,
2:25.0,,,18-16,,W. Johnson enters the game for D. Jordan
2:09.0,Shooting foul by B. Griffin (drawn by D. Favors),,18-17,,
2:09.0,D. Favors makes free throw 1 of 2,1,19-17,,
2:09.0,D. Favors makes free throw 2 of 2,1,20-17,,
2:09.0,S. Mack enters the game for G. Hill,,19-17,,
1:57.0,,,20-17,,Turnover by R. Felton (bad pass; steal by D. Favors)
1:55.0,,,20-17,,M. Speights enters the game for B. Griffin
1:47.0,D. Exum makes 2-pt shot from 18 ft (assist by S. Mack),2,22-17,,
1:30.0,,,22-17,,M. Speights misses 3-pt shot from 27 ft
1:28.0,Defensive rebound by T. Lyles,,22-17,,
1:06.0,J. Johnson misses 3-pt shot from 26 ft,,22-17,,
1:04.0,,,22-17,,Defensive rebound by R. Felton
0:57.0,,,22-17,,J. Crawford misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by J. Johnson,,22-17,,
0:45.0,Turnover by S. Mack (lost ball),,22-17,,
0:28.0,,,22-19,2,J. Crawford makes 2-pt shot from 4 ft
0:10.0,,,22-19,,Personal foul by R. Felton (drawn by J. Johnson)
