time,Golden State,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. Z. Pachulia (R. Gay gains possession),,,,Jump ball: D. Cousins vs. Z. Pachulia (R. Gay gains possession)
11:44.0,,,0-2,2,D. Cousins makes 2-pt shot at rim
11:42.0,Golden State full timeout,,0-2,,
11:30.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry),2,2-2,,
11:14.0,,,2-5,3,R. Gay makes 3-pt shot from 23 ft (assist by D. Cousins)
11:06.0,K. Thompson misses 3-pt shot from 25 ft,,2-5,,
11:06.0,,,2-5,,Defensive rebound by A. Tolliver
10:54.0,,,2-5,,D. Cousins misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by D. Green,,2-5,,
10:46.0,K. Durant makes 2-pt shot from 18 ft (assist by D. Green),2,4-5,,
10:32.0,Violation by Z. Pachulia (def goaltending),,4-5,,
10:32.0,,,4-7,2,D. Collison makes 2-pt shot from 3 ft
10:25.0,Turnover by D. Green (bad pass),,4-7,,
10:17.0,,,4-7,,Offensive foul by D. Cousins
10:17.0,,,4-7,,Turnover by D. Cousins (offensive foul)
9:58.0,K. Thompson makes 2-pt shot from 12 ft (assist by K. Durant),2,6-7,,
9:43.0,,,6-9,2,R. Gay makes 2-pt shot from 20 ft (assist by D. Cousins)
9:29.0,K. Thompson misses 3-pt shot from 26 ft,,6-9,,
9:29.0,,,6-9,,Defensive rebound by Team
9:29.0,Loose ball foul by Z. Pachulia (drawn by D. Cousins),,6-9,,
9:17.0,,,6-12,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Cousins)
9:06.0,Turnover by S. Curry (bad pass; steal by R. Gay),,6-12,,
9:03.0,,,6-12,,Turnover by G. Temple (lost ball)
8:59.0,Turnover by S. Curry (bad pass; steal by D. Cousins),,6-12,,
8:45.0,,,6-12,,A. Tolliver misses 2-pt shot from 3 ft
8:44.0,Defensive rebound by D. Green,,6-12,,
8:38.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,9-12,,
8:15.0,Personal foul by D. Green (drawn by D. Cousins),,9-12,,
8:00.0,,,9-12,,R. Gay misses 3-pt shot from 28 ft
8:00.0,,,9-12,,Offensive rebound by Team
8:00.0,,,9-12,,Turnover by Team (shot clock)
7:47.0,S. Curry misses 3-pt shot from 26 ft,,9-12,,
7:47.0,Offensive rebound by Z. Pachulia,,9-12,,
7:41.0,D. Green misses 3-pt shot from 25 ft,,9-12,,
7:40.0,Offensive rebound by Z. Pachulia,,9-12,,
7:35.0,K. Durant makes 2-pt shot from 11 ft (assist by Z. Pachulia),2,11-12,,
7:19.0,,,11-15,3,A. Tolliver makes 3-pt shot from 26 ft (assist by D. Collison)
7:00.0,K. Durant misses 3-pt shot from 24 ft,,11-15,,
7:00.0,,,11-15,,Defensive rebound by D. Cousins
6:49.0,,,11-15,,G. Temple misses 3-pt shot from 23 ft
6:49.0,Defensive rebound by D. Green,,11-15,,
6:38.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,14-15,,
6:23.0,,,14-17,2,D. Cousins makes 2-pt shot from 1 ft (assist by R. Gay)
6:08.0,S. Curry misses 2-pt shot from 9 ft,,14-17,,
6:07.0,,,14-17,,Defensive rebound by D. Cousins
6:01.0,,,14-19,2,D. Cousins makes 2-pt shot from 2 ft
6:01.0,,,14-19,,Shooting foul by Z. Pachulia (drawn by D. Cousins)
6:01.0,,,14-20,1,D. Cousins makes free throw 1 of 1
6:01.0,J. McGee enters the game for Z. Pachulia,,14-19,,
5:54.0,,,14-20,,Shooting block foul by D. Cousins (drawn by K. Durant)
5:54.0,K. Durant makes free throw 1 of 2,1,15-20,,
5:54.0,K. Durant makes free throw 2 of 2,1,16-20,,
5:54.0,,,15-20,,K. Koufos enters the game for D. Cousins
5:40.0,,,16-20,,K. Koufos misses 2-pt shot from 4 ft
5:39.0,Defensive rebound by D. Green,,16-20,,
5:34.0,Turnover by K. Thompson (lost ball; steal by R. Gay),,16-20,,
5:27.0,,,16-20,,D. Collison misses 2-pt shot from 22 ft
5:26.0,,,16-20,,Offensive rebound by K. Koufos
5:22.0,,,16-22,2,R. Gay makes 2-pt shot from 2 ft (assist by G. Temple)
5:12.0,D. Green misses 2-pt shot from 3 ft,,16-22,,
5:11.0,,,16-22,,Defensive rebound by K. Koufos
5:03.0,,,16-22,,D. Collison misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by K. Durant,,16-22,,
4:58.0,Turnover by K. Thompson (bad pass; steal by A. Tolliver),,16-22,,
4:53.0,,,16-22,,Sacramento full timeout
4:53.0,A. Iguodala enters the game for K. Durant,,16-22,,
4:47.0,,,16-22,,Shooting foul by J. McGee (drawn by R. Gay)
4:47.0,,,16-23,1,R. Gay makes free throw 1 of 2
4:47.0,,,16-24,1,R. Gay makes free throw 2 of 2
4:35.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,18-24,,
4:12.0,,,18-26,2,R. Gay makes 2-pt shot from 3 ft
3:53.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,20-26,,
3:40.0,,,20-26,,D. Collison misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by A. Iguodala,,20-26,,
3:30.0,S. Curry makes 2-pt shot from 17 ft (assist by A. Iguodala),2,22-26,,
3:06.0,,,22-28,2,R. Gay makes 2-pt shot from 19 ft
2:54.0,S. Curry misses 2-pt shot from 14 ft,,22-28,,
2:53.0,,,22-28,,Defensive rebound by R. Gay
2:48.0,I. Clark enters the game for K. Thompson,,22-28,,
2:48.0,,,22-28,,T. Lawson enters the game for A. Tolliver
2:48.0,,,22-28,,M. Barnes enters the game for G. Temple
2:48.0,K. Durant enters the game for D. Green,,22-28,,
2:33.0,,,22-30,2,R. Gay makes 2-pt shot from 8 ft
2:12.0,A. Iguodala misses 2-pt shot from 21 ft,,22-30,,
2:11.0,Offensive rebound by J. McGee,,22-30,,
2:06.0,Golden State full timeout,,22-30,,
2:06.0,D. West enters the game for J. McGee,,22-30,,
2:04.0,Shooting foul by R. Gay (drawn by K. Durant),,22-30,,
2:04.0,K. Durant makes free throw 1 of 2,1,23-30,,
2:04.0,K. Durant makes free throw 2 of 2,1,24-30,,
1:44.0,,,24-30,,R. Gay misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by A. Iguodala,,24-30,,
1:35.0,I. Clark misses 3-pt shot from 24 ft,,24-30,,
1:34.0,,,24-30,,Defensive rebound by K. Koufos
1:17.0,,,24-30,,T. Lawson misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by D. West,,24-30,,
1:02.0,S. Curry misses 3-pt shot from 24 ft,,24-30,,
1:01.0,,,24-30,,Defensive rebound by Team
1:01.0,,,24-30,,A. Afflalo enters the game for R. Gay
0:44.0,,,24-33,3,A. Afflalo makes 3-pt shot from 25 ft (assist by M. Barnes)
0:33.0,K. Durant misses 2-pt shot from 7 ft,,24-33,,
0:32.0,,,24-33,,Defensive rebound by K. Koufos
0:25.0,,,24-33,,K. Koufos misses 2-pt shot from 9 ft
0:24.0,Defensive rebound by K. Durant,,24-33,,
0:03.0,S. Curry misses 2-pt shot from 18 ft,,24-33,,
0:02.0,Offensive rebound by A. Iguodala,,24-33,,
0:02.0,A. Iguodala misses 2-pt shot from 3 ft,,24-33,,
0:00.0,,,24-33,,Defensive rebound by A. Afflalo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. West makes 2-pt shot from 18 ft,2,26-33,,
11:19.0,,,26-35,2,K. Koufos makes 2-pt shot from 8 ft (assist by T. Lawson)
11:03.0,Turnover by D. West (lost ball; steal by G. Temple),,26-35,,
10:57.0,,,26-37,2,T. Lawson makes 2-pt shot from 3 ft (assist by M. Barnes)
10:57.0,,,26-37,,Shooting foul by I. Clark (drawn by T. Lawson)
10:57.0,,,26-38,1,T. Lawson makes free throw 1 of 1
10:41.0,Turnover by K. Durant (lost ball; steal by M. Barnes),,26-38,,
10:31.0,,,26-40,2,T. Lawson makes 2-pt shot from 14 ft
10:21.0,Turnover by S. Livingston (bad pass; steal by K. Koufos),,26-40,,
10:08.0,,,26-40,,Offensive foul by K. Koufos
10:08.0,,,26-40,,Turnover by K. Koufos (offensive foul)
9:56.0,S. Livingston makes 2-pt shot from 15 ft,2,28-40,,
9:36.0,,,28-42,2,T. Lawson makes 2-pt shot from 14 ft (assist by K. Koufos)
9:21.0,,,28-42,,Personal foul by A. Afflalo (drawn by A. Iguodala)
9:21.0,,,28-42,,D. Cousins enters the game for K. Koufos
9:21.0,K. Thompson enters the game for I. Clark,,28-42,,
9:12.0,K. Thompson misses 2-pt shot from 20 ft,,28-42,,
9:11.0,,,28-42,,Defensive rebound by D. Cousins
8:59.0,,,28-42,,Turnover by D. Cousins (lost ball; steal by D. West)
8:59.0,,,28-42,,Personal foul by T. Lawson (drawn by A. Iguodala)
8:59.0,Official timeout,,28-42,,
8:42.0,K. Durant makes 2-pt shot from 17 ft (assist by A. Iguodala),2,30-42,,
8:22.0,,,30-42,,A. Afflalo misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by S. Livingston,,30-42,,
8:17.0,,,30-42,,Violation by T. Lawson (kicked ball)
8:08.0,K. Durant misses 3-pt shot from 25 ft,,30-42,,
8:08.0,,,30-42,,Defensive rebound by T. Lawson
7:51.0,,,30-45,3,D. Cousins makes 3-pt shot from 25 ft (assist by G. Temple)
7:38.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. West),2,32-45,,
7:21.0,,,32-45,,G. Temple misses 2-pt shot from 2 ft (block by K. Durant)
7:21.0,,,32-45,,Offensive rebound by Team
7:21.0,D. Green enters the game for K. Durant,,32-45,,
7:21.0,S. Curry enters the game for A. Iguodala,,32-45,,
7:14.0,,,32-45,,T. Lawson misses 2-pt shot from 10 ft
7:12.0,Defensive rebound by S. Curry,,32-45,,
7:06.0,S. Curry misses 3-pt shot from 24 ft,,32-45,,
7:05.0,,,32-45,,Defensive rebound by D. Cousins
6:55.0,,,32-48,3,G. Temple makes 3-pt shot from 22 ft (assist by M. Barnes)
6:42.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. West),2,34-48,,
6:26.0,,,34-48,,D. Cousins misses 3-pt shot from 25 ft
