time,Philadelphia,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. M. Turner (T. Young gains possession),,,,Jump ball: R. Holmes vs. M. Turner (T. Young gains possession)
11:50.0,,,0-0,,Turnover by P. George (bad pass; steal by T. McConnell)
11:47.0,T. McConnell makes 2-pt shot from 1 ft,2,2-0,,
11:39.0,,,2-2,2,J. Teague makes 2-pt shot from 4 ft
11:15.0,R. Covington misses 2-pt shot from 2 ft,,2-2,,
11:14.0,Offensive rebound by D. Saric,,2-2,,
11:14.0,D. Saric misses 2-pt shot at rim,,2-2,,
11:13.0,,,2-2,,Defensive rebound by P. George
11:08.0,,,2-2,,T. Young misses 2-pt shot from 1 ft
11:07.0,Defensive rebound by R. Holmes,,2-2,,
10:48.0,D. Saric makes 2-pt shot from 1 ft (assist by T. McConnell),2,4-2,,
10:37.0,,,4-2,,P. George misses 2-pt shot from 18 ft
10:37.0,,,4-2,,Offensive rebound by M. Turner
10:32.0,,,4-4,2,P. George makes 2-pt shot from 4 ft
10:12.0,D. Saric misses 3-pt shot from 27 ft,,4-4,,
10:11.0,,,4-4,,Defensive rebound by P. George
9:58.0,,,4-4,,T. Young misses 2-pt shot from 5 ft
9:58.0,Defensive rebound by R. Covington,,4-4,,
9:47.0,T. McConnell makes 2-pt shot from 1 ft,2,6-4,,
9:37.0,Personal foul by T. Luwawu-Cabarrot (drawn by J. Teague),,6-4,,
9:30.0,,,6-7,3,J. Teague makes 3-pt shot from 28 ft (assist by T. Young)
9:08.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,6-7,,
9:07.0,,,6-7,,Defensive rebound by Team
9:04.0,,,6-7,,Turnover by J. Teague (bad pass; steal by R. Holmes)
8:58.0,R. Covington makes 3-pt shot from 27 ft (assist by T. McConnell),3,9-7,,
8:42.0,,,9-7,,T. Young misses 2-pt shot from 2 ft
8:40.0,,,9-7,,Offensive rebound by T. Young
8:40.0,,,9-7,,T. Young misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by R. Holmes,,9-7,,
8:27.0,R. Covington misses 3-pt shot from 28 ft,,9-7,,
8:26.0,,,9-7,,Defensive rebound by M. Turner
8:13.0,,,9-7,,P. George misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by R. Holmes,,9-7,,
7:59.0,Turnover by D. Saric (lost ball; steal by T. Young),,9-7,,
7:50.0,,,9-7,,M. Ellis misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by T. McConnell,,9-7,,
7:45.0,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by T. McConnell),2,11-7,,
7:30.0,,,11-7,,J. Teague misses 2-pt shot from 19 ft
7:30.0,Defensive rebound by R. Holmes,,11-7,,
7:23.0,Shooting foul by T. Young (drawn by R. Covington),,11-7,,
7:23.0,R. Covington makes free throw 1 of 2,1,12-7,,
7:23.0,R. Covington makes free throw 2 of 2,1,13-7,,
7:08.0,,,13-10,3,M. Ellis makes 3-pt shot from 24 ft (assist by P. George)
7:00.0,G. Henderson enters the game for R. Covington,,13-10,,
6:57.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by M. Ellis),,13-10,,
6:56.0,,,13-10,,Defensive rebound by J. Teague
6:44.0,,,13-12,2,P. George makes 2-pt shot from 19 ft
6:18.0,T. Luwawu-Cabarrot misses 2-pt shot from 19 ft,,13-12,,
6:17.0,,,13-12,,Defensive rebound by P. George
6:00.0,,,13-12,,Shooting foul by T. Luwawu-Cabarrot (drawn by T. Young)
6:00.0,,,13-13,1,T. Young makes free throw 1 of 2
6:00.0,,,13-14,1,T. Young makes free throw 2 of 2
6:00.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,13-13,,
5:49.0,D. Saric misses 3-pt shot from 27 ft,,13-14,,
5:49.0,,,13-14,,Defensive rebound by M. Turner
5:35.0,,,13-14,,P. George misses 2-pt shot from 8 ft
5:35.0,,,13-14,,Offensive rebound by M. Turner
5:27.0,,,13-14,,T. Young misses 2-pt shot from 2 ft
5:27.0,Defensive rebound by D. Saric,,13-14,,
5:21.0,,,13-14,,Personal foul by T. Young (drawn by D. Saric)
5:21.0,,,13-14,,Indiana full timeout
5:21.0,,,13-14,,L. Allen enters the game for T. Young
5:11.0,D. Saric misses 2-pt shot from 7 ft,,13-14,,
5:09.0,Offensive rebound by R. Holmes,,13-14,,
4:58.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,15-14,,
4:40.0,,,15-17,3,J. Teague makes 3-pt shot from 26 ft (assist by M. Ellis)
4:26.0,D. Saric misses 2-pt shot from 1 ft,,15-17,,
4:25.0,,,15-17,,Defensive rebound by P. George
4:19.0,,,15-17,,J. Teague misses 3-pt shot from 27 ft
4:19.0,Defensive rebound by N. Stauskas,,15-17,,
4:11.0,Turnover by N. Stauskas (lost ball; steal by L. Allen),,15-17,,
4:01.0,,,15-17,,P. George misses 3-pt shot from 28 ft
4:00.0,Defensive rebound by R. Holmes,,15-17,,
3:49.0,R. Holmes makes 3-pt shot from 26 ft (assist by G. Henderson),3,18-17,,
3:34.0,,,18-17,,L. Allen misses 2-pt shot from 20 ft
3:33.0,Defensive rebound by T. McConnell,,18-17,,
3:25.0,Philadelphia full timeout,,18-17,,
3:25.0,,,18-17,,R. Stuckey enters the game for M. Ellis
3:25.0,R. Covington enters the game for D. Saric,,18-17,,
3:25.0,S. Long enters the game for R. Holmes,,18-17,,
3:25.0,S. Rodriguez enters the game for T. McConnell,,18-17,,
3:08.0,G. Henderson misses 3-pt shot from 28 ft,,18-17,,
3:08.0,,,18-17,,Defensive rebound by R. Stuckey
2:56.0,,,18-17,,L. Allen misses 2-pt shot from 2 ft (block by R. Covington)
2:56.0,,,18-17,,Offensive rebound by Team
2:56.0,,,18-17,,A. Jefferson enters the game for M. Turner
2:44.0,,,18-17,,R. Stuckey misses 2-pt shot from 20 ft
2:42.0,Defensive rebound by G. Henderson,,18-17,,
2:24.0,G. Henderson misses 2-pt shot from 17 ft,,18-17,,
2:24.0,,,18-17,,Defensive rebound by A. Jefferson
2:12.0,,,18-17,,Turnover by J. Teague (bad pass; steal by S. Rodriguez)
2:05.0,R. Covington misses 3-pt shot from 24 ft,,18-17,,
2:03.0,Offensive rebound by S. Long,,18-17,,
2:03.0,S. Long misses 2-pt shot at rim,,18-17,,
2:02.0,Offensive rebound by S. Long,,18-17,,
2:02.0,S. Long misses 2-pt shot at rim,,18-17,,
2:01.0,Offensive rebound by Team,,18-17,,
2:01.0,,,18-17,,A. Brooks enters the game for J. Teague
2:01.0,,,18-17,,C. Miles enters the game for L. Allen
1:54.0,N. Stauskas misses 3-pt shot from 26 ft,,18-17,,
1:54.0,,,18-17,,Defensive rebound by A. Jefferson
1:39.0,,,18-19,2,A. Jefferson makes 2-pt shot from 7 ft
1:25.0,R. Covington misses 2-pt shot from 18 ft,,18-19,,
1:24.0,,,18-19,,Defensive rebound by C. Miles
1:17.0,,,18-21,2,A. Jefferson makes 2-pt shot from 2 ft (assist by P. George)
1:08.0,N. Stauskas misses 3-pt shot from 25 ft,,18-21,,
1:07.0,,,18-21,,Defensive rebound by P. George
0:56.0,,,18-23,2,P. George makes 2-pt shot from 21 ft
0:35.0,S. Rodriguez misses 3-pt shot from 24 ft,,18-23,,
0:35.0,,,18-23,,Defensive rebound by A. Jefferson
0:28.0,,,18-23,,Shooting foul by R. Covington
0:28.0,,,18-24,1,C. Miles makes free throw 1 of 2
0:28.0,,,18-25,1,C. Miles makes free throw 2 of 2
