time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. D. Jordan (C. Paul gains possession),,,,Jump ball: C. Capela vs. D. Jordan (C. Paul gains possession)
11:44.0,,,0-3,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Griffin)
11:21.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,3-3,,
11:07.0,,,3-3,,L. Mbah a Moute misses 2-pt shot from 15 ft
11:05.0,,,3-3,,Offensive rebound by B. Griffin
11:05.0,,,3-3,,B. Griffin misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by C. Capela,,3-3,,
10:56.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,6-3,,
10:38.0,,,6-6,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Griffin)
10:17.0,R. Anderson misses 3-pt shot from 25 ft,,6-6,,
10:17.0,,,6-6,,Defensive rebound by Team
10:08.0,,,6-9,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by C. Paul)
9:52.0,C. Capela misses 2-pt shot from 2 ft,,6-9,,
9:51.0,Offensive rebound by C. Capela,,6-9,,
9:51.0,C. Capela misses 2-pt shot from 2 ft,,6-9,,
9:48.0,,,6-9,,Defensive rebound by L. Mbah a Moute
9:45.0,,,6-9,,B. Griffin misses 2-pt shot from 4 ft
9:41.0,,,6-9,,Offensive rebound by D. Jordan
9:41.0,,,6-11,2,D. Jordan makes 2-pt shot from 1 ft
9:32.0,P. Beverley misses 3-pt shot from 26 ft,,6-11,,
9:31.0,,,6-11,,Defensive rebound by D. Jordan
9:21.0,,,6-11,,L. Mbah a Moute misses 2-pt shot from 18 ft
9:20.0,Defensive rebound by P. Beverley,,6-11,,
9:13.0,C. Capela makes 2-pt shot from 3 ft (assist by P. Beverley),2,8-11,,
9:02.0,,,8-11,,Shooting foul by R. Anderson (drawn by B. Griffin)
9:02.0,,,8-11,,B. Griffin misses free throw 1 of 2
9:02.0,,,8-11,,Offensive rebound by Team
9:02.0,,,8-12,1,B. Griffin makes free throw 2 of 2
8:41.0,Shooting foul by L. Mbah a Moute (drawn by R. Anderson),,8-12,,
8:41.0,R. Anderson misses free throw 1 of 2,,8-12,,
8:41.0,Offensive rebound by Team,,8-12,,
8:41.0,R. Anderson makes free throw 2 of 2,1,9-12,,
