time,Miami,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: D. Jordan vs. H. Whiteside (G. Dragic gains possession)
11:42.0,W. Ellington misses 3-pt shot from 26 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by L. Mbah a Moute
11:28.0,,,0-0,,J. Redick misses 3-pt shot from 27 ft
11:27.0,Defensive rebound by H. Whiteside,,0-0,,
11:18.0,G. Dragic makes 3-pt shot from 27 ft,3,3-0,,
11:04.0,Violation by G. Dragic (kicked ball),,3-0,,
10:56.0,,,3-3,3,R. Felton makes 3-pt shot from 24 ft (assist by C. Paul)
10:29.0,D. Williams misses 2-pt shot from 17 ft,,3-3,,
10:27.0,,,3-3,,Defensive rebound by D. Jordan
10:16.0,,,3-5,2,C. Paul makes 2-pt shot from 6 ft
10:07.0,,,3-5,,Personal foul by R. Felton (drawn by G. Dragic)
10:00.0,G. Dragic misses 2-pt shot from 19 ft,,3-5,,
9:58.0,,,3-5,,Defensive rebound by J. Redick
9:51.0,Personal foul by W. Ellington (drawn by C. Paul),,3-5,,
9:40.0,,,3-7,2,L. Mbah a Moute makes 2-pt shot from 22 ft (assist by C. Paul)
9:21.0,H. Whiteside misses 2-pt shot from 8 ft,,3-7,,
9:19.0,,,3-7,,Defensive rebound by J. Redick
9:07.0,,,3-9,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
8:55.0,R. McGruder misses 3-pt shot from 26 ft,,3-9,,
8:52.0,,,3-9,,Defensive rebound by C. Paul
8:46.0,,,3-9,,R. Felton misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by H. Whiteside,,3-9,,
8:32.0,Turnover by D. Williams (bad pass; steal by C. Paul),,3-9,,
8:30.0,,,3-11,2,C. Paul makes 2-pt shot from 1 ft
8:12.0,R. McGruder makes 3-pt shot from 25 ft (assist by G. Dragic),3,6-11,,
7:52.0,,,6-13,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
7:36.0,D. Williams misses 2-pt shot from 16 ft,,6-13,,
7:33.0,,,6-13,,Defensive rebound by J. Redick
7:14.0,,,6-13,,J. Redick misses 2-pt shot from 21 ft
7:13.0,Defensive rebound by H. Whiteside,,6-13,,
7:06.0,W. Ellington misses 3-pt shot from 26 ft,,6-13,,
7:05.0,,,6-13,,Defensive rebound by D. Jordan
6:46.0,,,6-13,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by H. Whiteside)
6:44.0,Defensive rebound by G. Dragic,,6-13,,
6:41.0,G. Dragic makes 2-pt shot from 2 ft (assist by R. McGruder),2,8-13,,
6:34.0,,,8-13,,LA Clippers full timeout
6:34.0,J. Johnson enters the game for D. Williams,,8-13,,
6:34.0,T. Johnson enters the game for R. McGruder,,8-13,,
6:26.0,,,8-16,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
6:06.0,T. Johnson makes 2-pt shot from 6 ft,2,10-16,,
5:58.0,Personal foul by W. Ellington (drawn by J. Redick),,10-16,,
5:51.0,,,10-16,,R. Felton misses 3-pt shot from 25 ft
5:50.0,,,10-16,,Offensive rebound by D. Jordan
5:41.0,,,10-16,,C. Paul misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by J. Johnson,,10-16,,
5:32.0,G. Dragic misses 2-pt shot from 2 ft (block by D. Jordan),,10-16,,
5:29.0,,,10-16,,Defensive rebound by D. Jordan
5:26.0,,,10-16,,Turnover by C. Paul (bad pass)
5:26.0,,,10-16,,J. Crawford enters the game for C. Paul
5:26.0,D. Waiters enters the game for W. Ellington,,10-16,,
5:17.0,Turnover by G. Dragic (bad pass; steal by R. Felton),,10-16,,
5:12.0,,,10-18,2,J. Redick makes 2-pt shot from 20 ft (assist by R. Felton)
4:54.0,G. Dragic misses 3-pt shot from 27 ft,,10-18,,
4:53.0,Offensive rebound by H. Whiteside,,10-18,,
4:50.0,H. Whiteside misses 2-pt shot from 2 ft,,10-18,,
4:49.0,,,10-18,,Defensive rebound by R. Felton
4:41.0,,,10-18,,J. Redick misses 2-pt shot from 17 ft (block by T. Johnson)
4:38.0,Defensive rebound by T. Johnson,,10-18,,
4:25.0,T. Johnson misses 3-pt shot from 26 ft,,10-18,,
4:25.0,,,10-18,,Defensive rebound by D. Jordan
4:18.0,,,10-18,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by J. Johnson)
