time,Denver,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Nurkic (A. Roberson gains possession),,,,Jump ball: S. Adams vs. J. Nurkic (A. Roberson gains possession)
11:44.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by J. Nurkic)
11:29.0,D. Gallinari misses 3-pt shot from 25 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by S. Adams
11:16.0,,,0-0,,V. Oladipo misses 3-pt shot from 23 ft
11:16.0,Defensive rebound by W. Barton,,0-0,,
11:11.0,,,0-0,,Personal foul by S. Adams (drawn by J. Nurkic)
10:57.0,D. Gallinari misses 2-pt shot from 12 ft,,0-0,,
10:56.0,Offensive rebound by J. Nurkic,,0-0,,
10:56.0,J. Nurkic misses 2-pt shot from 2 ft,,0-0,,
10:55.0,Offensive rebound by J. Nurkic,,0-0,,
10:55.0,J. Nurkic makes 2-pt shot from 1 ft,2,2-0,,
10:40.0,,,2-2,2,S. Adams makes 2-pt shot from 1 ft (assist by V. Oladipo)
10:16.0,E. Mudiay misses 2-pt shot from 8 ft (block by S. Adams),,2-2,,
10:16.0,Offensive rebound by Team,,2-2,,
10:14.0,D. Arthur misses 2-pt shot from 15 ft,,2-2,,
10:13.0,Offensive rebound by E. Mudiay,,2-2,,
10:09.0,W. Barton makes 3-pt shot from 27 ft (assist by E. Mudiay),3,5-2,,
9:55.0,,,5-2,,V. Oladipo misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by J. Nurkic,,5-2,,
9:43.0,J. Nurkic misses 2-pt shot from 4 ft,,5-2,,
9:43.0,,,5-2,,Defensive rebound by R. Westbrook
9:38.0,,,5-4,2,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook)
9:28.0,D. Arthur makes 3-pt shot from 25 ft (assist by E. Mudiay),3,8-4,,
9:07.0,,,8-6,2,D. Sabonis makes 2-pt shot from 1 ft
8:55.0,,,8-6,,Personal foul by D. Sabonis (drawn by D. Gallinari)
