time,Denver,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Nurkic (T. Harris gains possession),,,,Jump ball: A. Drummond vs. J. Nurkic (T. Harris gains possession)
11:48.0,,,0-0,,Shooting foul by J. Nurkic (drawn by A. Drummond)
11:48.0,,,0-1,1,A. Drummond makes free throw 1 of 2
11:48.0,,,0-1,,A. Drummond misses free throw 2 of 2
11:46.0,,,0-1,,Offensive rebound by M. Morris
11:39.0,,,0-4,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
11:16.0,J. Nurkic misses 2-pt shot at rim (block by A. Drummond),,0-4,,
11:14.0,,,0-4,,Defensive rebound by A. Drummond
11:11.0,,,0-4,,Shooting foul by E. Mudiay (drawn by A. Drummond)
11:11.0,,,0-5,1,A. Drummond makes free throw 1 of 2
11:11.0,,,0-6,1,A. Drummond makes free throw 2 of 2
11:00.0,Turnover by J. Nurkic (bad pass; steal by A. Drummond),,0-6,,
10:55.0,,,0-8,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
10:55.0,Denver full timeout,,0-8,,
10:32.0,E. Mudiay misses 3-pt shot from 26 ft,,0-8,,
10:32.0,Offensive rebound by Team,,0-8,,
10:21.0,Turnover by E. Mudiay (lost ball),,0-8,,
9:58.0,,,0-10,2,T. Harris makes 2-pt shot from 12 ft
9:42.0,J. Nurkic makes 2-pt shot from 2 ft (assist by J. Murray),2,2-10,,
9:28.0,,,2-12,2,I. Smith makes 2-pt shot from 22 ft
9:13.0,N. Jokic misses 2-pt shot from 7 ft,,2-12,,
9:13.0,,,2-12,,Defensive rebound by A. Drummond
9:02.0,,,2-12,,M. Morris misses 2-pt shot from 15 ft
9:01.0,Defensive rebound by E. Mudiay,,2-12,,
8:55.0,Turnover by J. Nurkic (bad pass),,2-12,,
8:42.0,,,2-14,2,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by A. Drummond)
8:29.0,D. Gallinari misses 3-pt shot from 26 ft,,2-14,,
8:28.0,,,2-14,,Defensive rebound by I. Smith
8:22.0,,,2-14,,T. Harris misses 3-pt shot from 27 ft
8:22.0,Defensive rebound by J. Nurkic,,2-14,,
8:06.0,J. Nurkic misses 2-pt shot from 4 ft (block by T. Harris),,2-14,,
8:04.0,,,2-14,,Defensive rebound by A. Drummond
7:46.0,,,2-14,,K. Caldwell-Pope misses 2-pt shot from 19 ft
7:46.0,Defensive rebound by N. Jokic,,2-14,,
7:29.0,J. Murray misses 3-pt shot from 23 ft,,2-14,,
7:29.0,,,2-14,,Defensive rebound by A. Drummond
7:18.0,,,2-16,2,T. Harris makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
7:18.0,Denver full timeout,,2-16,,
7:18.0,J. Nelson enters the game for J. Nurkic,,2-16,,
7:18.0,W. Chandler enters the game for E. Mudiay,,2-16,,
7:01.0,D. Gallinari misses 3-pt shot from 26 ft,,2-16,,
7:00.0,Offensive rebound by Team,,2-16,,
6:46.0,W. Chandler misses 2-pt shot from 22 ft,,2-16,,
6:46.0,Offensive rebound by D. Gallinari,,2-16,,
6:41.0,D. Gallinari makes 2-pt shot from 14 ft,2,4-16,,
6:26.0,,,4-16,,T. Harris misses 2-pt shot from 4 ft
6:24.0,Defensive rebound by J. Nelson,,4-16,,
6:22.0,D. Gallinari misses 2-pt shot from 7 ft,,4-16,,
6:20.0,Offensive rebound by N. Jokic,,4-16,,
6:20.0,N. Jokic misses 2-pt shot from 1 ft,,4-16,,
6:19.0,,,4-16,,Defensive rebound by T. Harris
5:59.0,,,4-18,2,I. Smith makes 2-pt shot at rim
5:42.0,J. Nelson misses 3-pt shot from 26 ft,,4-18,,
5:42.0,,,4-18,,Defensive rebound by T. Harris
5:28.0,,,4-20,2,I. Smith makes 2-pt shot from 5 ft
5:14.0,J. Murray makes 3-pt shot from 27 ft,3,7-20,,
5:02.0,,,7-20,,Turnover by I. Smith (bad pass; steal by N. Jokic)
4:52.0,W. Chandler makes 2-pt shot from 1 ft (assist by D. Gallinari),2,9-20,,
4:38.0,,,9-22,2,M. Morris makes 2-pt shot from 16 ft (assist by I. Smith)
4:11.0,J. Nelson misses 2-pt shot from 1 ft,,9-22,,
4:09.0,,,9-22,,Defensive rebound by A. Drummond
4:04.0,,,9-22,,Turnover by A. Drummond (offensive goaltending)
4:04.0,K. Faried enters the game for N. Jokic,,9-22,,
4:04.0,G. Harris enters the game for J. Murray,,9-22,,
4:04.0,,,9-22,,J. Leuer enters the game for M. Morris
3:43.0,J. Nelson misses 2-pt shot from 21 ft,,9-22,,
3:43.0,,,9-22,,Defensive rebound by A. Drummond
3:29.0,,,9-22,,A. Drummond misses 2-pt shot from 6 ft
3:28.0,Defensive rebound by W. Chandler,,9-22,,
3:15.0,W. Chandler misses 3-pt shot from 26 ft,,9-22,,
3:15.0,,,9-22,,Defensive rebound by A. Drummond
3:02.0,,,9-22,,T. Harris misses 3-pt shot from 23 ft
3:02.0,Defensive rebound by J. Nelson,,9-22,,
2:49.0,W. Chandler misses 2-pt shot from 6 ft,,9-22,,
2:49.0,Offensive rebound by K. Faried,,9-22,,
2:36.0,D. Gallinari misses 3-pt shot from 23 ft,,9-22,,
2:35.0,,,9-22,,Defensive rebound by A. Drummond
2:30.0,,,9-22,,I. Smith misses 2-pt shot from 5 ft
2:30.0,,,9-22,,Offensive rebound by J. Leuer
2:30.0,,,9-22,,Shooting foul by K. Faried (drawn by J. Leuer)
2:30.0,,,9-22,,Detroit full timeout
2:30.0,,,9-23,1,J. Leuer makes free throw 1 of 2
2:30.0,,,9-24,1,J. Leuer makes free throw 2 of 2
2:30.0,J. Hernangomez enters the game for D. Gallinari,,9-22,,
2:30.0,,,9-22,,A. Baynes enters the game for A. Drummond
2:30.0,,,9-22,,B. Udrih enters the game for I. Smith
2:13.0,W. Chandler misses 2-pt shot from 8 ft,,9-24,,
2:11.0,,,9-24,,Defensive rebound by A. Baynes
1:59.0,,,9-27,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Leuer)
1:40.0,K. Faried misses 2-pt shot from 1 ft,,9-27,,
1:39.0,Offensive rebound by K. Faried,,9-27,,
1:36.0,K. Faried makes 2-pt shot at rim,2,11-27,,
1:19.0,,,11-29,2,K. Caldwell-Pope makes 2-pt shot from 17 ft
1:07.0,W. Chandler misses 2-pt shot from 1 ft,,11-29,,
1:06.0,,,11-29,,Defensive rebound by A. Baynes
0:59.0,,,11-29,,A. Baynes misses 2-pt shot from 1 ft
0:59.0,Defensive rebound by Team,,11-29,,
0:59.0,,,11-29,,M. Morris enters the game for T. Harris
0:43.0,Shooting foul by A. Baynes (drawn by G. Harris),,11-29,,
0:43.0,G. Harris misses free throw 1 of 2,,11-29,,
0:43.0,Offensive rebound by Team,,11-29,,
0:43.0,G. Harris makes free throw 2 of 2,1,12-29,,
0:27.0,,,12-29,,M. Morris misses 2-pt shot from 16 ft
0:25.0,Defensive rebound by G. Harris,,12-29,,
0:10.0,J. Nelson misses 3-pt shot from 26 ft,,12-29,,
0:09.0,Offensive rebound by W. Chandler,,12-29,,
0:04.0,W. Chandler misses 3-pt shot from 26 ft,,12-29,,
0:02.0,Offensive rebound by Team,,12-29,,
0:00.0,K. Faried misses 2-pt shot from 1 ft,,12-29,,
0:00.0,Offensive rebound by Team,,12-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Shooting foul by A. Baynes (drawn by K. Faried),,12-29,,
11:45.0,K. Faried makes free throw 1 of 2,1,13-29,,
11:45.0,K. Faried makes free throw 2 of 2,1,14-29,,
11:32.0,,,14-31,2,B. Udrih makes 2-pt shot from 1 ft
11:15.0,W. Chandler makes 3-pt shot from 24 ft (assist by J. Nelson),3,17-31,,
11:00.0,,,17-31,,Turnover by B. Udrih (lost ball; steal by J. Nelson)
10:49.0,K. Faried misses 2-pt shot from 5 ft (block by A. Baynes),,17-31,,
10:48.0,Offensive rebound by K. Faried,,17-31,,
10:47.0,K. Faried misses 2-pt shot from 2 ft,,17-31,,
10:46.0,,,17-31,,Defensive rebound by B. Udrih
10:36.0,Personal foul by K. Faried (drawn by A. Baynes),,17-31,,
10:36.0,Personal foul by J. Nelson (drawn by A. Baynes),,17-31,,
10:36.0,J. Nurkic enters the game for K. Faried,,17-31,,
10:36.0,,,17-31,,A. Drummond enters the game for A. Baynes
10:26.0,,,17-31,,S. Johnson misses 3-pt shot from 25 ft
10:24.0,,,17-31,,Offensive rebound by A. Drummond
10:10.0,,,17-34,3,J. Leuer makes 3-pt shot from 25 ft (assist by B. Udrih)
9:55.0,G. Harris misses 2-pt shot from 11 ft,,17-34,,
9:53.0,Offensive rebound by W. Chandler,,17-34,,
9:52.0,W. Chandler makes 2-pt shot from 1 ft,2,19-34,,
9:52.0,Shooting foul by M. Morris (drawn by W. Chandler),,19-34,,
