time,Detroit,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. K. Porzingis (T. Harris gains possession),,,,Jump ball: A. Drummond vs. K. Porzingis (T. Harris gains possession)
11:47.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Drummond),3,3-0,,
11:35.0,,,3-0,,C. Anthony misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by I. Smith,,3-0,,
11:30.0,Shooting foul by C. Anthony (drawn by T. Harris),,3-0,,
11:30.0,T. Harris makes free throw 1 of 2,1,4-0,,
11:30.0,T. Harris makes free throw 2 of 2,1,5-0,,
11:14.0,,,5-2,2,K. Porzingis makes 2-pt shot from 8 ft
10:58.0,,,5-2,,Personal foul by C. Anthony (drawn by A. Drummond)
10:51.0,I. Smith misses 2-pt shot from 3 ft,,5-2,,
10:50.0,,,5-2,,Defensive rebound by W. Hernangomez
10:45.0,Personal foul by M. Morris (drawn by K. Porzingis),,5-2,,
10:32.0,,,5-2,,C. Anthony misses 2-pt shot from 15 ft
10:31.0,Defensive rebound by A. Drummond,,5-2,,
10:21.0,I. Smith misses 2-pt shot from 1 ft,,5-2,,
10:20.0,Offensive rebound by A. Drummond,,5-2,,
10:20.0,A. Drummond makes 2-pt shot at rim,2,7-2,,
10:07.0,,,7-5,3,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose)
9:49.0,A. Drummond makes 2-pt shot from 7 ft (assist by M. Morris),2,9-5,,
9:39.0,,,9-7,2,W. Hernangomez makes 2-pt shot at rim (assist by C. Anthony)
9:39.0,,,9-7,,Shooting foul by A. Drummond (drawn by W. Hernangomez)
9:39.0,,,9-8,1,W. Hernangomez makes free throw 1 of 1
9:28.0,M. Morris makes 2-pt shot from 18 ft,2,11-8,,
9:13.0,,,11-8,,W. Hernangomez misses 2-pt shot from 7 ft
9:11.0,Defensive rebound by A. Drummond,,11-8,,
9:02.0,I. Smith misses 2-pt shot from 9 ft,,11-8,,
9:01.0,Offensive rebound by A. Drummond,,11-8,,
9:00.0,A. Drummond makes 2-pt shot from 1 ft,2,13-8,,
8:45.0,,,13-8,,D. Rose misses 2-pt shot from 12 ft
8:43.0,,,13-8,,Offensive rebound by W. Hernangomez
8:39.0,,,13-8,,C. Lee misses 2-pt shot from 22 ft
8:37.0,Defensive rebound by A. Drummond,,13-8,,
8:31.0,T. Harris makes 2-pt shot from 1 ft,2,15-8,,
8:23.0,,,15-8,,New York full timeout
8:19.0,,,15-8,,Shooting foul by T. Harris (drawn by K. Porzingis)
8:19.0,,,15-9,1,K. Porzingis makes free throw 1 of 2
8:19.0,,,15-10,1,K. Porzingis makes free throw 2 of 2
8:03.0,M. Morris misses 2-pt shot from 12 ft,,15-10,,
8:01.0,Offensive rebound by A. Drummond,,15-10,,
7:59.0,A. Drummond makes 2-pt shot from 1 ft,2,17-10,,
7:46.0,,,17-12,2,K. Porzingis makes 2-pt shot from 15 ft (assist by C. Anthony)
7:31.0,I. Smith makes 2-pt shot from 4 ft,2,19-12,,
7:19.0,,,19-12,,Turnover by C. Anthony (lost ball; steal by T. Harris)
7:05.0,T. Harris misses 2-pt shot from 1 ft,,19-12,,
7:04.0,,,19-12,,Defensive rebound by Team
6:47.0,,,19-14,2,C. Lee makes 2-pt shot from 14 ft
6:30.0,Shooting foul by K. Porzingis (drawn by M. Morris),,19-14,,
6:30.0,M. Morris makes free throw 1 of 3,1,20-14,,
6:30.0,M. Morris misses free throw 2 of 3,,20-14,,
6:30.0,Offensive rebound by Team,,20-14,,
6:30.0,M. Morris makes free throw 3 of 3,1,21-14,,
6:17.0,,,21-16,2,K. Porzingis makes 2-pt shot from 12 ft (assist by C. Anthony)
5:55.0,I. Smith makes 3-pt shot from 24 ft (assist by M. Morris),3,24-16,,
5:43.0,,,24-18,2,C. Lee makes 2-pt shot from 1 ft (assist by K. Porzingis)
5:24.0,Turnover by K. Caldwell-Pope (bad pass; steal by C. Lee),,24-18,,
5:17.0,,,24-18,,Turnover by C. Anthony (bad pass)
5:02.0,T. Harris misses 2-pt shot from 10 ft,,24-18,,
5:01.0,,,24-18,,Defensive rebound by D. Rose
