time,Miami,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. H. Whiteside (J. Richardson gains possession),,,,Jump ball: A. Drummond vs. H. Whiteside (J. Richardson gains possession)
11:46.0,Turnover by G. Dragic (bad pass; steal by A. Drummond),,0-0,,
11:40.0,,,0-0,,A. Drummond misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by H. Whiteside,,0-0,,
11:30.0,D. Williams misses 3-pt shot from 26 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by A. Drummond
11:23.0,,,0-0,,M. Morris misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by H. Whiteside,,0-0,,
11:15.0,Shooting foul by I. Smith (drawn by G. Dragic),,0-0,,
11:15.0,G. Dragic misses free throw 1 of 2,,0-0,,
11:15.0,Offensive rebound by Team,,0-0,,
11:15.0,G. Dragic makes free throw 2 of 2,1,1-0,,
10:58.0,,,1-0,,M. Morris misses 2-pt shot from 18 ft
10:57.0,Defensive rebound by H. Whiteside,,1-0,,
10:46.0,D. Waiters misses 2-pt shot from 5 ft (block by M. Morris),,1-0,,
10:45.0,Offensive rebound by H. Whiteside,,1-0,,
10:45.0,Turnover by H. Whiteside (traveling),,1-0,,
10:33.0,,,1-0,,Shooting foul by D. Williams (drawn by T. Harris)
10:33.0,,,1-1,1,T. Harris makes free throw 1 of 2
10:33.0,,,1-2,1,T. Harris makes free throw 2 of 2
10:23.0,Turnover by G. Dragic (bad pass; steal by A. Drummond),,1-2,,
10:17.0,,,1-4,2,T. Harris makes 2-pt shot at rim (assist by M. Morris)
10:03.0,D. Waiters misses 3-pt shot from 23 ft,,1-4,,
10:03.0,,,1-4,,Defensive rebound by T. Harris
9:57.0,,,1-7,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Harris)
9:37.0,D. Williams misses 2-pt shot from 22 ft,,1-7,,
9:36.0,,,1-7,,Defensive rebound by I. Smith
9:21.0,,,1-9,2,T. Harris makes 2-pt shot at rim
9:15.0,Miami full timeout,,1-9,,
9:04.0,Shooting foul by A. Drummond (drawn by D. Williams),,1-9,,
9:04.0,D. Williams makes free throw 1 of 2,1,2-9,,
9:04.0,D. Williams misses free throw 2 of 2,,2-9,,
9:03.0,,,2-9,,Defensive rebound by T. Harris
8:53.0,Personal foul by D. Waiters (drawn by M. Morris),,2-9,,
8:43.0,,,2-11,2,A. Drummond makes 2-pt shot from 5 ft (assist by M. Morris)
8:33.0,Turnover by H. Whiteside (lost ball; steal by A. Drummond),,2-11,,
8:26.0,,,2-11,,K. Caldwell-Pope misses 3-pt shot from 27 ft
8:25.0,Defensive rebound by D. Waiters,,2-11,,
8:11.0,,,2-11,,Personal foul by M. Morris (drawn by D. Waiters)
