time,Milwaukee,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. Z. Pachulia (K. Middleton gains possession),,,,Jump ball: T. Maker vs. Z. Pachulia (K. Middleton gains possession)
11:36.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,0-0,,
11:35.0,Offensive rebound by T. Maker,,0-0,,
11:27.0,K. Middleton misses 2-pt shot from 5 ft,,0-0,,
11:27.0,Offensive rebound by T. Maker,,0-0,,
11:26.0,T. Maker makes 2-pt shot from 1 ft,2,2-0,,
11:05.0,,,2-0,,Shooting foul by T. Maker (drawn by Z. Pachulia)
11:05.0,,,2-0,,Z. Pachulia misses free throw 1 of 2
11:05.0,,,2-0,,Offensive rebound by Team
11:05.0,,,2-1,1,Z. Pachulia makes free throw 2 of 2
10:48.0,M. Brogdon makes 3-pt shot from 24 ft (assist by T. Maker),3,5-1,,
10:35.0,,,5-3,2,P. McCaw makes 2-pt shot at rim (assist by Z. Pachulia)
10:21.0,T. Snell makes 3-pt shot from 25 ft (assist by K. Middleton),3,8-3,,
10:04.0,,,8-3,,K. Thompson misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by T. Snell,,8-3,,
9:43.0,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Snell),2,10-3,,
9:23.0,,,10-5,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green)
9:17.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,10-5,,
9:14.0,,,10-5,,Defensive rebound by S. Curry
9:10.0,,,10-5,,S. Curry misses 2-pt shot from 2 ft (block by T. Maker)
9:10.0,,,10-5,,Offensive rebound by Team
9:10.0,Personal foul by T. Snell (drawn by K. Thompson),,10-5,,
9:05.0,,,10-5,,Z. Pachulia misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
9:05.0,Defensive rebound by G. Antetokounmpo,,10-5,,
9:01.0,Shooting foul by K. Thompson (drawn by G. Antetokounmpo),,10-5,,
9:01.0,G. Antetokounmpo misses free throw 1 of 2,,10-5,,
9:01.0,Offensive rebound by Team,,10-5,,
9:01.0,G. Antetokounmpo makes free throw 2 of 2,1,11-5,,
8:52.0,Personal foul by M. Brogdon (drawn by S. Curry),,11-5,,
8:46.0,,,11-5,,Turnover by S. Curry (bad pass; steal by G. Antetokounmpo)
8:39.0,T. Maker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,13-5,,
8:38.0,,,13-5,,Golden State full timeout
8:19.0,,,13-5,,D. Green misses 2-pt shot from 10 ft
8:18.0,Defensive rebound by K. Middleton,,13-5,,
8:14.0,Shooting foul by Z. Pachulia (drawn by T. Maker),,13-5,,
8:14.0,T. Maker makes free throw 1 of 2,1,14-5,,
8:14.0,T. Maker makes free throw 2 of 2,1,15-5,,
8:14.0,,,14-5,,A. Iguodala enters the game for P. McCaw
7:52.0,,,15-5,,A. Iguodala misses 2-pt shot from 17 ft
7:52.0,Defensive rebound by T. Maker,,15-5,,
7:39.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,17-5,,
7:31.0,Violation by T. Maker (kicked ball),,17-5,,
7:31.0,G. Monroe enters the game for T. Maker,,17-5,,
7:31.0,M. Teletovic enters the game for G. Antetokounmpo,,17-5,,
7:21.0,,,17-7,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
6:57.0,Turnover by K. Middleton (bad pass; steal by D. Green),,17-7,,
6:51.0,,,17-9,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
6:28.0,G. Monroe makes 2-pt shot from 1 ft,2,19-9,,
6:20.0,,,19-9,,D. Green misses 2-pt shot from 12 ft
6:19.0,Defensive rebound by K. Middleton,,19-9,,
6:03.0,K. Middleton makes 2-pt shot from 19 ft,2,21-9,,
5:50.0,,,21-9,,Z. Pachulia misses 2-pt shot from 2 ft
5:50.0,Defensive rebound by G. Monroe,,21-9,,
5:40.0,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton),2,23-9,,
5:40.0,,,23-9,,Golden State full timeout
5:40.0,,,23-9,,J. McGee enters the game for Z. Pachulia
5:40.0,,,23-9,,S. Livingston enters the game for D. Green
5:22.0,,,23-11,2,A. Iguodala makes 2-pt shot from 11 ft (assist by S. Livingston)
5:05.0,T. Snell makes 2-pt shot from 3 ft (assist by M. Brogdon),2,25-11,,
4:53.0,,,25-14,3,S. Curry makes 3-pt shot from 26 ft (assist by S. Livingston)
4:34.0,G. Monroe makes 2-pt shot from 3 ft (assist by K. Middleton),2,27-14,,
4:19.0,,,27-14,,A. Iguodala misses 3-pt shot from 26 ft
4:19.0,Defensive rebound by M. Brogdon,,27-14,,
3:59.0,Turnover by G. Monroe (lost ball; steal by S. Curry),,27-14,,
3:58.0,Personal foul by M. Teletovic (drawn by K. Thompson),,27-14,,
3:58.0,M. Dellavedova enters the game for M. Brogdon,,27-14,,
3:58.0,,,27-14,,D. Green enters the game for K. Thompson
3:45.0,,,27-16,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
3:29.0,G. Monroe misses 2-pt shot from 4 ft (block by J. McGee),,27-16,,
3:28.0,,,27-16,,Defensive rebound by S. Livingston
