time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Johnson (D. Schroder gains possession),,,,Jump ball: D. Howard vs. A. Johnson (D. Schroder gains possession)
11:48.0,D. Schroder makes 2-pt shot from 6 ft (assist by P. Millsap),2,2-0,,
11:33.0,,,2-2,2,A. Horford makes 2-pt shot from 19 ft (assist by A. Johnson)
11:16.0,K. Bazemore misses 2-pt shot from 1 ft,,2-2,,
11:15.0,,,2-2,,Defensive rebound by J. Crowder
11:06.0,,,2-4,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Horford)
10:42.0,Offensive foul by P. Millsap,,2-4,,
10:42.0,Turnover by P. Millsap (offensive foul),,2-4,,
10:27.0,,,2-7,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
10:14.0,Turnover by D. Schroder (bad pass),,2-7,,
10:01.0,,,2-7,,A. Horford misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by K. Bazemore,,2-7,,
9:48.0,P. Millsap misses 2-pt shot from 6 ft (block by A. Johnson),,2-7,,
9:47.0,,,2-7,,Defensive rebound by I. Thomas
9:42.0,,,2-7,,J. Crowder misses 2-pt shot at rim (block by T. Sefolosha)
9:40.0,Defensive rebound by P. Millsap,,2-7,,
9:31.0,D. Howard misses 2-pt shot from 1 ft,,2-7,,
9:30.0,,,2-7,,Defensive rebound by A. Horford
9:26.0,,,2-7,,A. Bradley misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by T. Sefolosha,,2-7,,
9:16.0,P. Millsap misses 3-pt shot from 25 ft,,2-7,,
9:15.0,Offensive rebound by D. Howard,,2-7,,
9:14.0,Shooting foul by A. Johnson (drawn by D. Howard),,2-7,,
9:14.0,D. Howard makes free throw 1 of 2,1,3-7,,
9:14.0,D. Howard misses free throw 2 of 2,,3-7,,
9:14.0,,,3-7,,Defensive rebound by J. Crowder
9:00.0,Violation by K. Bazemore (kicked ball),,3-7,,
8:48.0,,,3-7,,I. Thomas misses 3-pt shot from 25 ft
8:47.0,,,3-7,,Offensive rebound by A. Horford
8:34.0,,,3-9,2,A. Horford makes 2-pt shot from 6 ft
8:18.0,Turnover by K. Bazemore (lost ball; steal by A. Bradley),,3-9,,
8:12.0,,,3-9,,Turnover by I. Thomas (bad pass; steal by T. Sefolosha)
8:06.0,K. Bazemore makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,5-9,,
7:55.0,,,5-12,3,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas)
7:40.0,D. Schroder makes 2-pt shot from 1 ft,2,7-12,,
7:26.0,,,7-12,,J. Crowder misses 2-pt shot from 13 ft (block by T. Sefolosha)
7:25.0,Defensive rebound by P. Millsap,,7-12,,
7:23.0,T. Sefolosha misses 2-pt shot from 4 ft (block by I. Thomas),,7-12,,
7:22.0,,,7-12,,Defensive rebound by Team
7:22.0,Loose ball foul by T. Sefolosha (drawn by I. Thomas),,7-12,,
7:10.0,,,7-15,3,I. Thomas makes 3-pt shot from 25 ft
6:45.0,D. Schroder misses 3-pt shot from 25 ft,,7-15,,
6:44.0,Offensive rebound by D. Howard,,7-15,,
6:43.0,D. Howard makes 2-pt shot from 1 ft,2,9-15,,
6:40.0,,,9-15,,Turnover by A. Johnson (bad pass; steal by T. Sefolosha)
6:35.0,K. Bazemore makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,11-15,,
6:14.0,,,11-15,,Turnover by I. Thomas (bad pass; steal by P. Millsap)
6:12.0,,,11-15,,Personal foul by A. Bradley (drawn by P. Millsap)
5:59.0,T. Sefolosha makes 2-pt shot from 20 ft (assist by D. Howard),2,13-15,,
5:59.0,,,13-15,,Boston full timeout
5:59.0,T. Hardaway enters the game for K. Bazemore,,13-15,,
5:59.0,,,13-15,,J. Brown enters the game for A. Horford
5:59.0,,,13-15,,M. Smart enters the game for A. Bradley
5:42.0,,,13-15,,A. Johnson misses 3-pt shot from 23 ft
5:41.0,Defensive rebound by P. Millsap,,13-15,,
5:34.0,Turnover by T. Sefolosha (lost ball),,13-15,,
5:18.0,,,13-15,,J. Brown misses 2-pt shot from 19 ft
5:17.0,Defensive rebound by P. Millsap,,13-15,,
5:07.0,D. Schroder makes 2-pt shot from 2 ft,2,15-15,,
4:46.0,,,15-15,,J. Crowder misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by P. Millsap,,15-15,,
4:36.0,D. Howard misses 2-pt shot from 22 ft,,15-15,,
4:35.0,,,15-15,,Defensive rebound by A. Johnson
4:26.0,,,15-15,,I. Thomas misses 2-pt shot from 2 ft
4:25.0,Defensive rebound by D. Schroder,,15-15,,
4:20.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder),2,17-15,,
4:20.0,Shooting foul by J. Crowder (drawn by P. Millsap),,17-15,,
4:20.0,P. Millsap makes free throw 1 of 1,1,18-15,,
4:20.0,,,17-15,,K. Olynyk enters the game for A. Johnson
4:20.0,E. Ilyasova enters the game for D. Howard,,17-15,,
4:20.0,T. Waller-Prince enters the game for T. Sefolosha,,17-15,,
4:05.0,,,18-17,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
4:05.0,Shooting block foul by E. Ilyasova (drawn by J. Crowder),,18-17,,
4:05.0,,,18-17,,J. Crowder misses free throw 1 of 1
4:05.0,Defensive rebound by P. Millsap,,18-17,,
3:44.0,T. Waller-Prince misses 2-pt shot from 5 ft,,18-17,,
3:44.0,,,18-17,,Defensive rebound by J. Brown
3:31.0,,,18-20,3,J. Brown makes 3-pt shot from 23 ft (assist by J. Crowder)
3:25.0,Atlanta full timeout,,18-20,,
3:12.0,D. Schroder makes 2-pt shot from 2 ft,2,20-20,,
2:47.0,,,20-22,2,K. Olynyk makes 2-pt shot from 11 ft (assist by I. Thomas)
2:30.0,P. Millsap misses 2-pt shot from 9 ft,,20-22,,
2:29.0,,,20-22,,Defensive rebound by K. Olynyk
2:21.0,,,20-22,,I. Thomas misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by P. Millsap,,20-22,,
2:15.0,,,20-22,,Personal block foul by K. Olynyk (drawn by P. Millsap)
2:15.0,,,20-22,,T. Rozier enters the game for I. Thomas
2:15.0,,,20-22,,A. Horford enters the game for J. Crowder
2:15.0,M. Delaney enters the game for D. Schroder,,20-22,,
2:08.0,Turnover by T. Waller-Prince (bad pass; steal by A. Horford),,20-22,,
1:49.0,,,20-22,,Shooting foul by T. Hardaway (drawn by J. Brown)
1:49.0,,,20-22,,J. Brown misses free throw 1 of 2
1:49.0,,,20-22,,Offensive rebound by Team
1:49.0,,,20-22,,J. Brown misses free throw 2 of 2
1:49.0,Defensive rebound by E. Ilyasova,,20-22,,
1:35.0,T. Hardaway misses 3-pt shot from 28 ft,,20-22,,
1:33.0,,,20-22,,Defensive rebound by T. Rozier
1:21.0,,,20-22,,J. Brown misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by T. Waller-Prince,,20-22,,
1:20.0,,,20-22,,Personal foul by K. Olynyk (drawn by T. Waller-Prince)
1:20.0,T. Waller-Prince makes free throw 1 of 2,1,21-22,,
1:20.0,T. Waller-Prince makes free throw 2 of 2,1,22-22,,
1:12.0,Personal foul by T. Waller-Prince (drawn by M. Smart),,22-22,,
1:12.0,,,22-23,1,M. Smart makes free throw 1 of 2
1:12.0,,,22-24,1,M. Smart makes free throw 2 of 2
1:00.0,T. Hardaway misses 2-pt shot from 1 ft,,22-24,,
1:00.0,,,22-24,,Defensive rebound by M. Smart
0:56.0,,,22-24,,Turnover by T. Rozier (step out of bounds)
0:42.0,P. Millsap misses 2-pt shot from 10 ft,,22-24,,
0:41.0,,,22-24,,Defensive rebound by J. Brown
0:35.0,,,22-24,,M. Smart misses 3-pt shot from 23 ft
0:34.0,Defensive rebound by P. Millsap,,22-24,,
0:33.0,,,22-24,,Personal foul by K. Olynyk (drawn by P. Millsap)
0:33.0,P. Millsap makes free throw 1 of 2,1,23-24,,
0:33.0,P. Millsap makes free throw 2 of 2,1,24-24,,
0:18.0,,,24-24,,Turnover by A. Horford (bad pass)
0:01.0,E. Ilyasova misses 3-pt shot from 25 ft,,24-24,,
0:01.0,,,24-24,,Defensive rebound by K. Olynyk
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Personal foul by M. Delaney (drawn by T. Rozier),,24-24,,
11:39.0,,,24-26,2,J. Jerebko makes 2-pt shot from 2 ft (assist by M. Smart)
11:18.0,Shooting foul by M. Smart (drawn by E. Ilyasova),,24-26,,
11:18.0,E. Ilyasova makes free throw 1 of 2,1,25-26,,
11:18.0,E. Ilyasova makes free throw 2 of 2,1,26-26,,
11:03.0,,,26-29,3,J. Jerebko makes 3-pt shot from 24 ft (assist by A. Horford)
10:47.0,M. Delaney makes 2-pt shot from 19 ft,2,28-29,,
10:29.0,,,28-29,,J. Brown misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by T. Waller-Prince,,28-29,,
10:20.0,E. Ilyasova makes 3-pt shot from 24 ft,3,31-29,,
10:01.0,,,31-29,,T. Rozier misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by D. Howard,,31-29,,
9:53.0,Turnover by M. Delaney (bad pass; steal by M. Smart),,31-29,,
9:44.0,,,31-29,,A. Horford misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by T. Waller-Prince,,31-29,,
9:26.0,T. Waller-Prince misses 3-pt shot from 24 ft,,31-29,,
9:25.0,,,31-29,,Defensive rebound by A. Horford
9:11.0,,,31-31,2,A. Horford makes 2-pt shot from 10 ft
8:57.0,Turnover by E. Ilyasova (lost ball),,31-31,,
8:57.0,Official timeout,,31-31,,
8:57.0,,,31-31,,A. Bradley enters the game for J. Brown
8:57.0,K. Bazemore enters the game for E. Ilyasova,,31-31,,
8:35.0,,,31-31,,A. Horford misses 3-pt shot from 26 ft
8:34.0,Defensive rebound by T. Hardaway,,31-31,,
8:30.0,D. Howard makes 2-pt shot at rim (assist by T. Hardaway),2,33-31,,
8:10.0,,,33-31,,A. Horford misses 2-pt shot from 3 ft (block by D. Howard)
8:09.0,Defensive rebound by T. Waller-Prince,,33-31,,
7:59.0,K. Bazemore makes 2-pt shot from 2 ft,2,35-31,,
7:33.0,,,35-31,,A. Horford misses 2-pt shot from 5 ft
7:32.0,,,35-31,,Offensive rebound by Team
7:29.0,,,35-31,,A. Bradley misses 2-pt shot from 3 ft (block by T. Hardaway)
7:28.0,Defensive rebound by T. Waller-Prince,,35-31,,
7:22.0,Turnover by D. Howard (traveling),,35-31,,
7:13.0,,,35-31,,A. Horford misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by T. Hardaway,,35-31,,
7:06.0,,,35-31,,Personal foul by A. Horford (drawn by D. Howard)
7:06.0,,,35-31,,I. Thomas enters the game for M. Smart
7:05.0,Turnover by T. Hardaway (bad pass; steal by A. Bradley),,35-31,,
6:54.0,,,35-34,3,A. Bradley makes 3-pt shot from 25 ft (assist by J. Jerebko)
6:25.0,T. Hardaway misses 3-pt shot from 34 ft,,35-34,,
6:24.0,,,35-34,,Defensive rebound by I. Thomas
6:18.0,,,35-36,2,I. Thomas makes 2-pt shot from 2 ft
6:18.0,Atlanta full timeout,,35-36,,
6:18.0,D. Schroder enters the game for M. Delaney,,35-36,,
6:18.0,,,35-36,,J. Crowder enters the game for A. Horford
6:18.0,,,35-36,,A. Johnson enters the game for T. Rozier
6:04.0,Turnover by K. Bazemore (bad pass; steal by A. Johnson),,35-36,,
5:49.0,,,35-36,,I. Thomas misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by D. Howard,,35-36,,
5:47.0,,,35-36,,Personal foul by A. Bradley (drawn by D. Schroder)
5:47.0,P. Millsap enters the game for T. Hardaway,,35-36,,
5:34.0,D. Howard makes 2-pt shot at rim (assist by P. Millsap),2,37-36,,
