time,Sacramento,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. K. Towns (G. Dieng gains possession),,,,Jump ball: K. Koufos vs. K. Towns (G. Dieng gains possession)
11:42.0,,,0-0,,A. Wiggins misses 2-pt shot from 17 ft
11:41.0,Defensive rebound by D. Cousins,,0-0,,
11:23.0,,,0-0,,Personal foul by R. Rubio (drawn by D. Collison)
11:16.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Collison),2,2-0,,
11:00.0,,,2-0,,R. Rubio misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by B. McLemore,,2-0,,
10:50.0,D. Collison misses 2-pt shot from 1 ft,,2-0,,
10:49.0,,,2-0,,Defensive rebound by K. Towns
10:44.0,,,2-2,2,A. Wiggins makes 2-pt shot from 4 ft (assist by R. Rubio)
10:19.0,D. Cousins misses 2-pt shot from 17 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by K. Towns
10:13.0,,,2-4,2,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine)
9:51.0,D. Cousins makes 2-pt shot from 6 ft,2,4-4,,
9:51.0,Shooting foul by K. Towns (drawn by D. Cousins),,4-4,,
9:51.0,D. Cousins misses free throw 1 of 1,,4-4,,
9:50.0,,,4-4,,Defensive rebound by G. Dieng
9:41.0,Personal foul by D. Cousins (drawn by K. Towns),,4-4,,
9:41.0,,,4-4,,Technical foul by Team
9:41.0,B. McLemore makes technical free throw,1,5-4,,
9:28.0,,,5-4,,A. Wiggins misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by M. Barnes,,5-4,,
9:07.0,M. Barnes misses 3-pt shot from 25 ft,,5-4,,
9:06.0,,,5-4,,Defensive rebound by K. Towns
8:59.0,,,5-4,,Turnover by R. Rubio (lost ball; steal by D. Cousins)
8:53.0,D. Cousins misses 2-pt shot from 1 ft,,5-4,,
8:51.0,,,5-4,,Defensive rebound by Z. LaVine
8:46.0,,,5-6,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
8:40.0,,,5-6,,Personal foul by R. Rubio (drawn by D. Cousins)
8:40.0,,,5-6,,K. Dunn enters the game for R. Rubio
8:32.0,,,5-6,,Personal foul by G. Dieng (drawn by D. Cousins)
8:22.0,K. Koufos makes 2-pt shot from 2 ft (assist by D. Cousins),2,7-6,,
8:02.0,,,7-8,2,Z. LaVine makes 2-pt shot from 9 ft
8:02.0,,,7-8,,Shooting foul by B. McLemore (drawn by Z. LaVine)
8:02.0,,,7-9,1,Z. LaVine makes free throw 1 of 1
7:41.0,M. Barnes makes 2-pt shot from 1 ft,2,9-9,,
7:30.0,,,9-11,2,A. Wiggins makes 2-pt shot from 1 ft
7:15.0,B. McLemore makes 3-pt shot from 22 ft (assist by M. Barnes),3,12-11,,
6:55.0,,,12-11,,Turnover by K. Towns (lost ball; steal by D. Cousins)
6:45.0,D. Cousins misses 3-pt shot from 25 ft,,12-11,,
6:44.0,,,12-11,,Defensive rebound by K. Towns
6:33.0,,,12-11,,A. Wiggins misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by B. McLemore,,12-11,,
6:15.0,K. Koufos misses 2-pt shot from 2 ft (block by G. Dieng),,12-11,,
6:13.0,Offensive rebound by K. Koufos,,12-11,,
6:12.0,K. Koufos makes 2-pt shot from 6 ft,2,14-11,,
5:54.0,,,14-11,,K. Towns misses 2-pt shot from 5 ft
5:53.0,Defensive rebound by D. Cousins,,14-11,,
5:46.0,M. Barnes makes 3-pt shot from 23 ft (assist by D. Collison),3,17-11,,
5:39.0,,,17-11,,Minnesota full timeout
5:31.0,Personal foul by B. McLemore (drawn by Z. LaVine),,17-11,,
5:25.0,,,17-14,3,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Towns)
5:01.0,D. Cousins misses 2-pt shot from 22 ft,,17-14,,
5:00.0,,,17-14,,Defensive rebound by K. Towns
4:46.0,,,17-14,,K. Dunn misses 2-pt shot from 1 ft
4:45.0,,,17-14,,Offensive rebound by K. Towns
4:44.0,,,17-14,,Shooting foul by K. Koufos (drawn by K. Towns)
4:44.0,,,17-14,,K. Towns misses free throw 1 of 2
4:44.0,,,17-14,,Offensive rebound by Team
4:44.0,,,17-15,1,K. Towns makes free throw 2 of 2
4:44.0,G. Temple enters the game for B. McLemore,,17-14,,
4:35.0,Turnover by G. Temple (bad pass),,17-15,,
4:35.0,,,17-15,,S. Muhammad enters the game for Z. LaVine
4:22.0,,,17-15,,Turnover by A. Wiggins (bad pass; steal by K. Koufos)
