time,Dallas,pts.away,score,pts.home,Minnesota
0:29.0,J. Barea misses 2-pt shot from 7 ft,,19-31,,
0:28.0,,,19-31,,Defensive rebound by N. Bjelica
0:08.0,,,19-33,2,A. Wiggins makes 2-pt shot from 20 ft
0:00.0,J. Anderson misses 3-pt shot from 22 ft,,19-33,,
0:00.0,Offensive rebound by Team,,19-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-33,,Z. LaVine misses 3-pt shot from 24 ft
11:44.0,,,19-33,,Offensive rebound by C. Aldrich
11:38.0,,,19-33,,Turnover by C. Aldrich (lost ball)
11:27.0,J. Anderson makes 2-pt shot from 2 ft (assist by J. Barea),2,21-33,,
11:07.0,,,21-35,2,K. Dunn makes 2-pt shot from 19 ft (assist by Z. LaVine)
10:47.0,Turnover by J. Barea (lost ball; steal by K. Dunn),,21-35,,
10:45.0,Flagrant foul type 1 by J. Anderson (drawn by K. Dunn),,21-35,,
10:45.0,,,21-35,,K. Dunn misses flagrant free throw 1 of 2
10:45.0,,,21-35,,Offensive rebound by Team
10:45.0,,,21-36,1,K. Dunn makes flagrant free throw 2 of 2
10:45.0,S. Mejri enters the game for D. Powell,,21-35,,
10:27.0,,,21-36,,S. Muhammad misses 2-pt shot from 19 ft
10:26.0,Defensive rebound by D. Nowitzki,,21-36,,
10:18.0,,,21-36,,Personal foul by S. Muhammad (drawn by D. Harris)
10:06.0,J. Barea misses 3-pt shot from 25 ft,,21-36,,
10:05.0,,,21-36,,Defensive rebound by C. Aldrich
9:57.0,,,21-36,,S. Muhammad misses 2-pt shot from 5 ft
9:56.0,Defensive rebound by S. Mejri,,21-36,,
9:46.0,D. Harris makes 2-pt shot from 2 ft (assist by J. Barea),2,23-36,,
9:26.0,,,23-39,3,N. Bjelica makes 3-pt shot from 24 ft (assist by K. Dunn)
9:16.0,,,23-39,,Personal foul by N. Bjelica (drawn by D. Nowitzki)
9:09.0,J. Barea misses 2-pt shot from 14 ft,,23-39,,
9:07.0,,,23-39,,Defensive rebound by Z. LaVine
8:58.0,,,23-41,2,S. Muhammad makes 2-pt shot from 7 ft (assist by Z. LaVine)
8:57.0,Dallas full timeout,,23-41,,
8:57.0,A. Bogut enters the game for D. Nowitzki,,23-41,,
8:57.0,D. Williams enters the game for J. Barea,,23-41,,
8:57.0,S. Curry enters the game for D. Harris,,23-41,,
8:57.0,W. Matthews enters the game for J. Anderson,,23-41,,
8:57.0,H. Barnes enters the game for S. Mejri,,23-41,,
8:36.0,W. Matthews misses 2-pt shot from 18 ft,,23-41,,
8:35.0,,,23-41,,Defensive rebound by Team
8:35.0,Loose ball foul by A. Bogut (drawn by C. Aldrich),,23-41,,
8:21.0,,,23-44,3,Z. LaVine makes 3-pt shot from 25 ft (assist by C. Aldrich)
8:09.0,Turnover by A. Bogut (lost ball; steal by K. Dunn),,23-44,,
8:04.0,,,23-44,,Turnover by K. Dunn (bad pass)
7:54.0,,,23-44,,Personal foul by S. Muhammad (drawn by W. Matthews)
7:54.0,,,23-44,,G. Dieng enters the game for C. Aldrich
7:40.0,H. Barnes makes 2-pt shot from 15 ft (assist by D. Williams),2,25-44,,
7:23.0,,,25-44,,Turnover by Z. LaVine (lost ball; steal by D. Williams)
7:17.0,W. Matthews misses 2-pt shot from 1 ft (block by K. Dunn),,25-44,,
7:16.0,Offensive rebound by Team,,25-44,,
7:08.0,H. Barnes misses 2-pt shot from 10 ft,,25-44,,
7:07.0,,,25-44,,Defensive rebound by Z. LaVine
