time,Brooklyn,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. B. Lopez (I. Whitehead gains possession),,,,Jump ball: J. Henson vs. B. Lopez (I. Whitehead gains possession)
11:32.0,S. Kilpatrick misses 3-pt shot from 26 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by M. Dellavedova
11:26.0,,,0-0,,J. Parker misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by B. Lopez,,0-0,,
11:11.0,B. Lopez misses 3-pt shot from 29 ft,,0-0,,
11:10.0,Offensive rebound by A. Bennett,,0-0,,
11:03.0,B. Bogdanovic makes 2-pt shot at rim,2,2-0,,
10:47.0,,,2-2,2,J. Henson makes 2-pt shot at rim (assist by J. Parker)
10:28.0,B. Lopez misses 2-pt shot from 9 ft,,2-2,,
10:27.0,Offensive rebound by A. Bennett,,2-2,,
10:26.0,A. Bennett makes 2-pt shot at rim,2,4-2,,
10:09.0,,,4-2,,J. Henson misses 2-pt shot at rim
10:07.0,Defensive rebound by B. Bogdanovic,,4-2,,
10:05.0,Shooting foul by M. Dellavedova (drawn by B. Bogdanovic),,4-2,,
10:05.0,B. Bogdanovic misses free throw 1 of 2,,4-2,,
10:05.0,Offensive rebound by Team,,4-2,,
10:05.0,B. Bogdanovic makes free throw 2 of 2,1,5-2,,
9:56.0,,,5-5,3,T. Snell makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
9:42.0,B. Lopez misses 3-pt shot from 25 ft,,5-5,,
9:41.0,,,5-5,,Defensive rebound by J. Parker
9:32.0,,,5-7,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:17.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Lopez),2,7-7,,
8:59.0,,,7-7,,G. Antetokounmpo misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by A. Bennett,,7-7,,
8:44.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Lopez),2,9-7,,
8:30.0,,,9-9,2,M. Dellavedova makes 2-pt shot from 5 ft
8:13.0,,,9-9,,Violation by G. Antetokounmpo (kicked ball)
8:01.0,I. Whitehead misses 3-pt shot from 26 ft,,9-9,,
8:00.0,,,9-9,,Defensive rebound by G. Antetokounmpo
7:53.0,,,9-9,,M. Dellavedova misses 3-pt shot from 26 ft
7:52.0,,,9-9,,Offensive rebound by J. Parker
7:50.0,,,9-9,,J. Parker misses 2-pt shot from 2 ft (block by B. Lopez)
7:48.0,Defensive rebound by A. Bennett,,9-9,,
7:30.0,Turnover by B. Bogdanovic (bad pass; steal by G. Antetokounmpo),,9-9,,
7:19.0,,,9-9,,Shooting foul by B. Bogdanovic (drawn by G. Antetokounmpo)
7:19.0,,,9-10,1,G. Antetokounmpo makes free throw 1 of 2
7:19.0,,,9-11,1,G. Antetokounmpo makes free throw 2 of 2
7:19.0,J. Harris enters the game for B. Bogdanovic,,9-10,,
7:19.0,J. Hamilton enters the game for B. Lopez,,9-10,,
7:08.0,A. Bennett makes 2-pt shot at rim (assist by J. Harris),2,11-11,,
6:52.0,,,11-13,2,J. Parker makes 2-pt shot from 19 ft (assist by M. Dellavedova)
6:36.0,A. Bennett misses 3-pt shot from 24 ft,,11-13,,
6:35.0,Offensive rebound by J. Hamilton,,11-13,,
6:35.0,J. Hamilton misses 2-pt shot from 1 ft,,11-13,,
6:34.0,,,11-13,,Defensive rebound by G. Antetokounmpo
6:28.0,,,11-13,,T. Snell misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by A. Bennett,,11-13,,
6:21.0,Shooting foul by M. Dellavedova (drawn by S. Kilpatrick),,11-13,,
6:21.0,S. Kilpatrick makes free throw 1 of 2,1,12-13,,
6:21.0,S. Kilpatrick makes free throw 2 of 2,1,13-13,,
6:21.0,,,12-13,,M. Brogdon enters the game for M. Dellavedova
6:21.0,,,12-13,,M. Beasley enters the game for G. Antetokounmpo
6:11.0,,,13-15,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Brogdon)
6:11.0,Brooklyn full timeout,,13-15,,
5:58.0,S. Kilpatrick misses 2-pt shot from 2 ft,,13-15,,
5:57.0,,,13-15,,Defensive rebound by Team
5:40.0,,,13-17,2,J. Parker makes 2-pt shot from 15 ft
5:28.0,J. Harris makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,15-17,,
5:19.0,,,15-17,,Shooting foul by A. Bennett (drawn by J. Henson)
5:19.0,,,15-18,1,J. Henson makes free throw 1 of 2
5:19.0,,,15-18,,J. Henson misses free throw 2 of 2
5:18.0,Defensive rebound by A. Bennett,,15-18,,
5:07.0,I. Whitehead misses 2-pt shot from 8 ft,,15-18,,
5:06.0,,,15-18,,Defensive rebound by J. Henson
4:56.0,,,15-18,,M. Brogdon misses 3-pt shot from 23 ft
4:55.0,Defensive rebound by A. Bennett,,15-18,,
4:49.0,I. Whitehead makes 2-pt shot from 1 ft,2,17-18,,
4:31.0,,,17-18,,J. Parker misses 2-pt shot from 13 ft
4:30.0,Defensive rebound by J. Harris,,17-18,,
4:16.0,,,17-18,,Def 3 sec tech foul by J. Henson
4:16.0,S. Kilpatrick makes technical free throw,1,18-18,,
4:16.0,,,18-18,,G. Monroe enters the game for J. Henson
4:16.0,R. Hollis-Jefferson enters the game for A. Bennett,,18-18,,
4:16.0,B. Bogdanovic enters the game for S. Kilpatrick,,18-18,,
4:16.0,R. Foye enters the game for I. Whitehead,,18-18,,
4:07.0,Turnover by J. Harris (bad pass; steal by G. Monroe),,18-18,,
3:56.0,,,18-18,,M. Beasley misses 2-pt shot from 13 ft
3:55.0,Defensive rebound by J. Hamilton,,18-18,,
3:45.0,J. Harris misses 3-pt shot from 26 ft,,18-18,,
3:44.0,,,18-18,,Defensive rebound by M. Brogdon
3:31.0,,,18-18,,T. Snell misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by J. Harris,,18-18,,
3:21.0,B. Bogdanovic misses 2-pt shot from 5 ft (block by T. Snell),,18-18,,
3:19.0,,,18-18,,Defensive rebound by M. Beasley
3:17.0,,,18-18,,Turnover by M. Beasley (bad pass; steal by J. Harris)
3:13.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Harris),2,20-18,,
2:56.0,,,20-18,,Shooting foul by R. Hollis-Jefferson (drawn by J. Parker)
2:56.0,,,20-18,,Milwaukee full timeout
2:56.0,,,20-18,,J. Parker misses free throw 1 of 2
2:56.0,,,20-18,,Offensive rebound by Team
2:56.0,,,20-19,1,J. Parker makes free throw 2 of 2
2:56.0,B. Lopez enters the game for J. Hamilton,,20-18,,
2:56.0,,,20-18,,J. Terry enters the game for T. Snell
2:41.0,B. Lopez misses 2-pt shot from 2 ft (block by M. Beasley),,20-19,,
2:38.0,,,20-19,,Defensive rebound by G. Monroe
2:31.0,,,20-19,,M. Brogdon misses 2-pt shot from 16 ft
2:30.0,Defensive rebound by J. Harris,,20-19,,
2:24.0,,,20-19,,G. Antetokounmpo enters the game for J. Parker
2:12.0,J. Harris makes 2-pt shot from 4 ft (assist by B. Lopez),2,22-19,,
1:56.0,,,22-21,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
1:39.0,R. Foye misses 3-pt shot from 26 ft,,22-21,,
1:38.0,,,22-21,,Defensive rebound by G. Monroe
1:27.0,,,22-23,2,M. Brogdon makes 2-pt shot at rim (assist by M. Beasley)
1:27.0,,,22-23,,Shooting foul by R. Hollis-Jefferson (drawn by M. Brogdon)
1:27.0,,,22-24,1,M. Brogdon makes free throw 1 of 1
1:12.0,Turnover by B. Bogdanovic (bad pass; steal by G. Monroe),,22-24,,
1:00.0,,,22-24,,G. Monroe misses 2-pt shot from 2 ft
1:00.0,,,22-24,,Offensive rebound by Team
0:53.0,,,22-24,,M. Beasley misses 2-pt shot from 7 ft
0:52.0,Defensive rebound by J. Harris,,22-24,,
0:43.0,B. Lopez misses 3-pt shot from 27 ft,,22-24,,
0:42.0,,,22-24,,Defensive rebound by M. Beasley
0:29.0,,,22-24,,Shooting foul by R. Foye (drawn by M. Beasley)
0:29.0,,,22-24,,M. Beasley misses free throw 1 of 2
0:29.0,,,22-24,,Offensive rebound by Team
0:29.0,,,22-25,1,M. Beasley makes free throw 2 of 2
0:29.0,J. Hamilton enters the game for R. Hollis-Jefferson,,22-24,,
0:06.0,B. Bogdanovic misses 3-pt shot from 26 ft,,22-25,,
0:04.0,,,22-25,,Defensive rebound by Team
0:04.0,R. Hollis-Jefferson enters the game for J. Hamilton,,22-25,,
0:00.0,,,22-25,,M. Brogdon misses 2-pt shot from 19 ft
0:00.0,,,22-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,22-25,,Offensive foul by G. Monroe
11:51.0,,,22-25,,Turnover by G. Monroe (offensive foul)
11:42.0,Turnover by I. Whitehead (bad pass; steal by G. Monroe),,22-25,,
11:36.0,,,22-25,,Turnover by G. Antetokounmpo (bad pass; steal by J. Hamilton)
11:28.0,J. Hamilton misses 3-pt shot from 24 ft,,22-25,,
11:26.0,Offensive rebound by B. Bogdanovic,,22-25,,
11:24.0,L. Scola makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,24-25,,
11:24.0,Shooting foul by G. Monroe (drawn by L. Scola),,24-25,,
11:24.0,L. Scola makes free throw 1 of 1,1,25-25,,
11:00.0,,,25-25,,G. Monroe misses 2-pt shot from 5 ft
10:59.0,Defensive rebound by J. Hamilton,,25-25,,
10:45.0,J. Hamilton misses 2-pt shot from 5 ft,,25-25,,
10:44.0,,,25-25,,Defensive rebound by M. Beasley
10:33.0,,,25-25,,M. Beasley misses 2-pt shot from 7 ft
10:32.0,Defensive rebound by L. Scola,,25-25,,
10:23.0,R. Hollis-Jefferson makes 3-pt shot from 28 ft (assist by J. Hamilton),3,28-25,,
10:10.0,,,28-25,,M. Brogdon misses 2-pt shot from 1 ft (block by L. Scola)
10:10.0,Defensive rebound by Team,,28-25,,
10:10.0,,,28-25,,M. Teletovic enters the game for M. Beasley
9:56.0,Turnover by I. Whitehead (lost ball; steal by G. Monroe),,28-25,,
9:50.0,,,28-28,3,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Brogdon)
9:33.0,Turnover by B. Bogdanovic (bad pass; steal by G. Antetokounmpo),,28-28,,
9:25.0,,,28-28,,M. Teletovic misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by R. Hollis-Jefferson,,28-28,,
9:13.0,Turnover by J. Hamilton (3 sec),,28-28,,
8:54.0,,,28-28,,M. Teletovic misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by R. Hollis-Jefferson,,28-28,,
8:41.0,B. Bogdanovic misses 2-pt shot from 11 ft,,28-28,,
8:40.0,,,28-28,,Defensive rebound by M. Brogdon
8:23.0,,,28-28,,Shooting foul by J. Hamilton (drawn by M. Teletovic)
8:23.0,Official timeout,,28-28,,
8:23.0,,,28-28,,M. Teletovic misses free throw 1 of 2
8:23.0,,,28-28,,Offensive rebound by Team
8:23.0,,,28-29,1,M. Teletovic makes free throw 2 of 2
8:03.0,J. Hamilton misses 3-pt shot from 27 ft,,28-29,,
8:02.0,,,28-29,,Defensive rebound by G. Antetokounmpo
7:48.0,,,28-29,,Offensive charge foul by M. Teletovic
7:48.0,,,28-29,,Turnover by M. Teletovic (offensive foul)
7:22.0,B. Bogdanovic misses 2-pt shot from 18 ft,,28-29,,
7:21.0,,,28-29,,Defensive rebound by G. Monroe
7:07.0,,,28-31,2,G. Monroe makes 2-pt shot from 2 ft
6:55.0,R. Hollis-Jefferson misses 3-pt shot from 27 ft,,28-31,,
6:54.0,,,28-31,,Defensive rebound by G. Monroe
6:42.0,,,28-33,2,G. Monroe makes 2-pt shot from 6 ft (assist by M. Teletovic)
6:42.0,Brooklyn full timeout,,28-33,,
6:42.0,R. Foye enters the game for I. Whitehead,,28-33,,
