time,Utah,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. R. Gobert (D. Favors gains possession),,,,Jump ball: J. Embiid vs. R. Gobert (D. Favors gains possession)
11:34.0,G. Hayward makes 2-pt shot from 16 ft,2,2-0,,
11:18.0,,,2-3,3,R. Covington makes 3-pt shot from 25 ft (assist by S. Rodriguez)
11:03.0,R. Gobert makes 2-pt shot from 3 ft (assist by R. Hood),2,4-3,,
10:41.0,,,4-3,,J. Embiid misses 2-pt shot from 1 ft
10:39.0,Defensive rebound by D. Favors,,4-3,,
10:31.0,Turnover by D. Favors (bad pass; steal by J. Embiid),,4-3,,
10:25.0,,,4-3,,S. Rodriguez misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by R. Gobert,,4-3,,
10:18.0,,,4-3,,Personal foul by G. Henderson (drawn by R. Hood)
10:14.0,R. Hood misses 2-pt shot from 19 ft,,4-3,,
10:12.0,,,4-3,,Defensive rebound by J. Embiid
9:52.0,,,4-5,2,D. Saric makes 2-pt shot from 20 ft
9:35.0,S. Mack makes 3-pt shot from 25 ft (assist by D. Favors),3,7-5,,
9:31.0,,,7-5,,Turnover by S. Rodriguez (bad pass)
9:12.0,G. Hayward misses 2-pt shot from 20 ft,,7-5,,
9:11.0,Offensive rebound by D. Favors,,7-5,,
9:09.0,D. Favors misses 2-pt shot from 3 ft (block by J. Embiid),,7-5,,
9:08.0,,,7-5,,Defensive rebound by S. Rodriguez
9:07.0,Jump ball: R. Hood vs. D. Saric (G. Hayward gains possession),,,,Jump ball: R. Hood vs. D. Saric (G. Hayward gains possession)
9:07.0,,,7-5,,Turnover by D. Saric (lost ball; steal by R. Hood)
8:36.0,R. Gobert misses 2-pt shot at rim,,7-5,,
8:34.0,,,7-5,,Defensive rebound by G. Henderson
8:30.0,,,7-5,,G. Henderson misses 2-pt shot from 15 ft
8:26.0,Defensive rebound by R. Hood,,7-5,,
8:25.0,Offensive charge foul by R. Hood,,7-5,,
8:25.0,Turnover by R. Hood (offensive foul),,7-5,,
8:08.0,,,7-5,,J. Embiid misses 2-pt shot from 4 ft (block by R. Gobert)
