time,Portland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. M. Plumlee (M. Smart gains possession),,,,Jump ball: A. Johnson vs. M. Plumlee (M. Smart gains possession)
11:40.0,,,0-2,2,A. Horford makes 2-pt shot from 13 ft
11:40.0,,,0-2,,Shooting foul by N. Vonleh (drawn by A. Horford)
11:40.0,,,0-2,,A. Horford misses free throw 1 of 1
11:39.0,Defensive rebound by N. Vonleh,,0-2,,
11:25.0,N. Vonleh misses 2-pt shot from 16 ft,,0-2,,
11:24.0,Offensive rebound by Team,,0-2,,
11:24.0,,,0-2,,Loose ball foul by A. Horford (drawn by M. Plumlee)
11:11.0,E. Turner misses 2-pt shot from 17 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by A. Horford
11:02.0,Personal foul by D. Lillard (drawn by I. Thomas),,0-2,,
10:53.0,,,0-2,,M. Smart misses 3-pt shot from 24 ft
10:52.0,,,0-2,,Offensive rebound by A. Horford
10:48.0,,,0-5,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford)
10:31.0,C. McCollum makes 2-pt shot from 10 ft (assist by D. Lillard),2,2-5,,
10:20.0,,,2-5,,A. Horford misses 2-pt shot from 12 ft
10:19.0,Defensive rebound by C. McCollum,,2-5,,
10:12.0,Offensive charge foul by M. Plumlee,,2-5,,
10:12.0,Turnover by M. Plumlee (offensive foul),,2-5,,
9:59.0,,,2-8,3,J. Crowder makes 3-pt shot from 23 ft
9:36.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,4-8,,
9:17.0,,,4-8,,Turnover by M. Smart (bad pass; steal by N. Vonleh)
9:13.0,Turnover by N. Vonleh (bad pass),,4-8,,
8:57.0,,,4-10,2,I. Thomas makes 2-pt shot from 13 ft (assist by J. Crowder)
8:38.0,M. Plumlee misses 2-pt shot from 2 ft (block by A. Johnson),,4-10,,
8:38.0,Offensive rebound by M. Plumlee,,4-10,,
8:38.0,M. Plumlee misses 2-pt shot from 2 ft,,4-10,,
8:36.0,Offensive rebound by M. Plumlee,,4-10,,
8:35.0,M. Plumlee misses 2-pt shot from 6 ft,,4-10,,
8:33.0,,,4-10,,Defensive rebound by A. Horford
8:17.0,,,4-10,,A. Johnson misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by M. Plumlee,,4-10,,
8:07.0,D. Lillard misses 3-pt shot from 25 ft,,4-10,,
8:06.0,,,4-10,,Defensive rebound by M. Smart
7:59.0,,,4-12,2,J. Crowder makes 2-pt shot from 3 ft (assist by M. Smart)
7:58.0,Portland full timeout,,4-12,,
7:58.0,A. Aminu enters the game for N. Vonleh,,4-12,,
7:46.0,C. McCollum makes 2-pt shot from 5 ft (assist by M. Plumlee),2,6-12,,
7:31.0,,,6-14,2,A. Horford makes 2-pt shot from 1 ft (assist by I. Thomas)
7:16.0,D. Lillard misses 2-pt shot from 8 ft,,6-14,,
7:15.0,,,6-14,,Defensive rebound by I. Thomas
7:09.0,,,6-14,,I. Thomas misses 3-pt shot from 25 ft
7:08.0,,,6-14,,Offensive rebound by A. Horford
7:06.0,,,6-14,,J. Crowder misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by Team,,6-14,,
