time,San Antonio,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. H. Whiteside (J. Winslow gains possession),,,,Jump ball: P. Gasol vs. H. Whiteside (J. Winslow gains possession)
11:43.0,,,0-0,,H. Whiteside misses 2-pt shot from 3 ft (block by K. Leonard)
11:43.0,Jump ball: K. Leonard vs. H. Whiteside,,,,Jump ball: K. Leonard vs. H. Whiteside
11:43.0,Offensive rebound by Team,,0-0,,
11:16.0,K. Anderson misses 2-pt shot from 6 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by L. Babbitt
11:06.0,,,0-3,3,G. Dragic makes 3-pt shot from 24 ft (assist by D. Waiters)
10:49.0,P. Gasol makes 2-pt shot from 18 ft (assist by K. Anderson),2,2-3,,
10:34.0,,,2-3,,H. Whiteside misses 2-pt shot from 15 ft
10:33.0,Defensive rebound by D. Lee,,2-3,,
10:21.0,K. Leonard makes 2-pt shot from 17 ft,2,4-3,,
10:04.0,,,4-3,,L. Babbitt misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by P. Gasol,,4-3,,
9:54.0,P. Gasol misses 3-pt shot from 25 ft,,4-3,,
9:53.0,,,4-3,,Defensive rebound by L. Babbitt
9:44.0,,,4-3,,Turnover by D. Waiters (step out of bounds)
9:24.0,K. Leonard makes 2-pt shot from 9 ft,2,6-3,,
9:11.0,,,6-3,,L. Babbitt misses 2-pt shot from 13 ft
9:10.0,Defensive rebound by D. Lee,,6-3,,
8:55.0,K. Leonard misses 2-pt shot from 19 ft,,6-3,,
8:54.0,,,6-3,,Defensive rebound by H. Whiteside
8:44.0,,,6-3,,Turnover by D. Waiters (lost ball; steal by D. Lee)
8:31.0,P. Gasol makes 2-pt shot from 5 ft,2,8-3,,
8:09.0,,,8-3,,J. Winslow misses 2-pt shot from 16 ft
8:08.0,Defensive rebound by D. Lee,,8-3,,
7:58.0,P. Gasol makes 2-pt shot from 19 ft (assist by T. Parker),2,10-3,,
7:58.0,,,10-3,,Miami full timeout
