time,Cleveland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. T. Thompson (R. Anderson gains possession),,,,Jump ball: C. Capela vs. T. Thompson (R. Anderson gains possession)
11:43.0,,,0-0,,J. Harden misses 3-pt shot from 25 ft
11:42.0,,,0-0,,Offensive rebound by C. Capela
11:36.0,,,0-2,2,C. Capela makes 2-pt shot from 2 ft
11:14.0,I. Shumpert misses 2-pt shot from 8 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by C. Capela
11:06.0,,,0-2,,J. Harden misses 3-pt shot from 26 ft
11:06.0,,,0-2,,Offensive rebound by J. Harden
11:02.0,,,0-4,2,J. Harden makes 2-pt shot from 1 ft
10:43.0,K. Irving makes 2-pt shot from 1 ft,2,2-4,,
10:21.0,,,2-4,,T. Ariza misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by R. Jefferson,,2-4,,
10:08.0,K. Irving makes 3-pt shot from 25 ft,3,5-4,,
9:57.0,,,5-4,,C. Capela misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by K. Irving,,5-4,,
9:52.0,Turnover by K. Irving (lost ball; steal by P. Beverley),,5-4,,
9:50.0,,,5-4,,Offensive charge foul by J. Harden
9:50.0,,,5-4,,Turnover by J. Harden (offensive foul)
9:30.0,I. Shumpert misses 3-pt shot from 24 ft,,5-4,,
9:29.0,Offensive rebound by T. Thompson,,5-4,,
9:23.0,L. James makes 3-pt shot from 25 ft (assist by K. Irving),3,8-4,,
9:07.0,,,8-7,3,R. Anderson makes 3-pt shot from 26 ft (assist by T. Ariza)
8:51.0,L. James misses 3-pt shot from 27 ft,,8-7,,
8:50.0,,,8-7,,Defensive rebound by C. Capela
8:42.0,,,8-10,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
8:41.0,Cleveland full timeout,,8-10,,
8:25.0,L. James makes 2-pt shot from 6 ft,2,10-10,,
8:00.0,,,10-12,2,P. Beverley makes 2-pt shot from 4 ft
7:57.0,Turnover by L. James (bad pass),,10-12,,
7:42.0,,,10-12,,Shooting foul by R. Jefferson (drawn by J. Harden)
7:42.0,,,10-12,,J. Harden misses free throw 1 of 2
7:42.0,,,10-12,,Offensive rebound by Team
7:42.0,,,10-13,1,J. Harden makes free throw 2 of 2
7:27.0,R. Jefferson makes 2-pt shot at rim (assist by T. Thompson),2,12-13,,
7:01.0,,,12-13,,J. Harden misses 3-pt shot from 25 ft
7:01.0,,,12-13,,Offensive rebound by P. Beverley
6:57.0,,,12-13,,T. Ariza misses 3-pt shot from 26 ft
6:57.0,,,12-13,,Offensive rebound by C. Capela
6:57.0,Personal foul by T. Thompson (drawn by C. Capela),,12-13,,
6:46.0,,,12-13,,P. Beverley misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by T. Thompson,,12-13,,
6:42.0,Shooting foul by P. Beverley (drawn by L. James),,12-13,,
6:42.0,L. James makes free throw 1 of 2,1,13-13,,
6:42.0,L. James makes free throw 2 of 2,1,14-13,,
6:27.0,,,14-15,2,J. Harden makes 2-pt shot from 2 ft
6:05.0,I. Shumpert misses 3-pt shot from 24 ft,,14-15,,
6:04.0,,,14-15,,Defensive rebound by J. Harden
5:54.0,,,14-15,,J. Harden misses 2-pt shot from 2 ft
5:53.0,Defensive rebound by L. James,,14-15,,
5:49.0,Offensive charge foul by L. James,,14-15,,
5:49.0,Turnover by L. James (offensive foul),,14-15,,
5:49.0,,,14-15,,E. Gordon enters the game for P. Beverley
5:49.0,,,14-15,,N. Hilario enters the game for C. Capela
5:26.0,,,14-15,,R. Anderson misses 2-pt shot from 12 ft
5:25.0,Defensive rebound by I. Shumpert,,14-15,,
5:18.0,R. Jefferson makes 2-pt shot from 1 ft (assist by I. Shumpert),2,16-15,,
4:58.0,,,16-18,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
4:35.0,L. James misses 3-pt shot from 25 ft,,16-18,,
4:34.0,,,16-18,,Defensive rebound by N. Hilario
4:24.0,,,16-18,,N. Hilario misses 2-pt shot from 2 ft (block by I. Shumpert)
4:24.0,Defensive rebound by T. Thompson,,16-18,,
4:16.0,K. Irving makes 2-pt shot from 7 ft,2,18-18,,
4:08.0,,,18-21,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
3:59.0,Cleveland full timeout,,18-21,,
3:59.0,,,18-21,,L. Williams enters the game for R. Anderson
3:59.0,J. Smith enters the game for R. Jefferson,,18-21,,
3:40.0,K. Irving makes 2-pt shot from 3 ft,2,20-21,,
3:20.0,,,20-24,3,J. Harden makes 3-pt shot from 26 ft (assist by E. Gordon)
3:00.0,K. Irving misses 3-pt shot from 25 ft,,20-24,,
2:58.0,,,20-24,,Defensive rebound by L. Williams
2:42.0,,,20-24,,N. Hilario misses 2-pt shot from 2 ft
2:41.0,Defensive rebound by I. Shumpert,,20-24,,
2:35.0,Turnover by L. James (lost ball; steal by T. Ariza),,20-24,,
2:29.0,,,20-24,,J. Harden misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by K. Irving,,20-24,,
2:14.0,J. Smith misses 3-pt shot from 27 ft,,20-24,,
2:14.0,,,20-24,,Defensive rebound by L. Williams
2:07.0,Personal foul by I. Shumpert (drawn by L. Williams),,20-24,,
2:07.0,,,20-24,,Houston full timeout
2:07.0,,,20-24,,S. Dekker enters the game for T. Ariza
2:07.0,D. Williams enters the game for L. James,,20-24,,
1:57.0,,,20-27,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden)
1:43.0,K. Irving misses 2-pt shot from 20 ft,,20-27,,
1:42.0,,,20-27,,Defensive rebound by L. Williams
1:39.0,,,20-27,,L. Williams misses 2-pt shot from 3 ft (block by K. Irving)
1:38.0,,,20-27,,Offensive rebound by L. Williams
1:35.0,,,20-27,,L. Williams misses 2-pt shot from 2 ft
1:35.0,,,20-27,,Offensive rebound by N. Hilario
