time,New York,pts.away,score,pts.home,Denver
2:19.0,,,17-29,1,W. Barton makes free throw 1 of 1
2:19.0,R. Baker enters the game for B. Jennings,,17-28,,
2:03.0,R. Baker misses 3-pt shot from 23 ft,,17-29,,
2:02.0,,,17-29,,Defensive rebound by W. Barton
1:47.0,,,17-29,,J. Nurkic misses 2-pt shot from 13 ft
1:46.0,Defensive rebound by W. Hernangomez,,17-29,,
1:31.0,C. Lee makes 2-pt shot from 17 ft (assist by C. Anthony),2,19-29,,
1:06.0,,,19-29,,W. Chandler misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by R. Baker,,19-29,,
0:59.0,C. Lee misses 2-pt shot from 4 ft,,19-29,,
0:57.0,,,19-29,,Defensive rebound by W. Barton
0:51.0,,,19-29,,J. Nelson misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by R. Baker,,19-29,,
0:48.0,R. Baker makes 2-pt shot from 2 ft,2,21-29,,
0:30.0,,,21-29,,W. Barton misses 2-pt shot from 2 ft
0:26.0,,,21-29,,Offensive rebound by J. Nurkic
0:26.0,,,21-31,2,J. Nurkic makes 2-pt shot from 2 ft
0:23.0,,,21-31,,Personal foul by K. Faried (drawn by W. Hernangomez)
0:23.0,W. Hernangomez misses free throw 1 of 2,,21-31,,
0:23.0,Offensive rebound by Team,,21-31,,
0:23.0,W. Hernangomez makes free throw 2 of 2,1,22-31,,
0:23.0,L. Thomas enters the game for C. Anthony,,21-31,,
0:03.0,,,22-31,,K. Faried misses 2-pt shot from 3 ft (block by L. Thomas)
0:03.0,Jump ball: K. Faried vs. L. Thomas (W. Chandler gains possession),,,,Jump ball: K. Faried vs. L. Thomas (W. Chandler gains possession)
0:03.0,,,22-31,,Offensive rebound by Team
0:00.0,,,22-33,2,W. Chandler makes 2-pt shot from 20 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,22-35,2,K. Faried makes 2-pt shot from 8 ft (assist by W. Barton)
11:23.0,K. Porzingis misses 2-pt shot from 11 ft,,22-35,,
11:21.0,,,22-35,,Defensive rebound by J. Murray
11:03.0,,,22-35,,J. Murray misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by K. Porzingis,,22-35,,
10:48.0,K. Porzingis misses 2-pt shot from 21 ft,,22-35,,
10:46.0,,,22-35,,Defensive rebound by W. Barton
10:29.0,,,22-35,,Turnover by J. Nurkic (lost ball)
10:29.0,Shooting foul by W. Barton (drawn by L. Thomas),,22-35,,
10:29.0,L. Thomas makes free throw 1 of 2,1,23-35,,
10:29.0,L. Thomas makes free throw 2 of 2,1,24-35,,
10:18.0,,,24-38,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson)
10:03.0,Turnover by R. Baker (lost ball; steal by J. Nurkic),,24-38,,
9:57.0,,,24-41,3,J. Murray makes 3-pt shot from 25 ft (assist by J. Nelson)
9:49.0,New York full timeout,,24-41,,
9:49.0,,,24-41,,D. Gallinari enters the game for K. Faried
9:30.0,K. Porzingis misses 2-pt shot from 6 ft,,24-41,,
9:26.0,Offensive rebound by W. Hernangomez,,24-41,,
9:26.0,W. Hernangomez makes 2-pt shot from 2 ft,2,26-41,,
9:15.0,Personal foul by L. Thomas (drawn by W. Barton),,26-41,,
9:15.0,B. Jennings enters the game for R. Baker,,26-41,,
9:03.0,,,26-41,,J. Nurkic misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by K. Porzingis,,26-41,,
8:58.0,B. Jennings misses 2-pt shot from 4 ft (block by J. Murray),,26-41,,
8:57.0,,,26-41,,Defensive rebound by Team
8:43.0,,,26-41,,D. Gallinari misses 3-pt shot from 26 ft
8:43.0,,,26-41,,Offensive rebound by J. Murray
8:30.0,,,26-41,,Turnover by J. Nelson (bad pass; steal by B. Jennings)
8:24.0,K. Porzingis makes 2-pt shot at rim (assist by J. Holiday),2,28-41,,
8:10.0,,,28-41,,Shooting foul by W. Hernangomez (drawn by J. Nurkic)
8:10.0,,,28-41,,J. Nurkic misses free throw 1 of 2
8:10.0,,,28-41,,Offensive rebound by Team
8:10.0,,,28-42,1,J. Nurkic makes free throw 2 of 2
7:54.0,W. Hernangomez makes 2-pt shot at rim (assist by B. Jennings),2,30-42,,
7:54.0,,,30-42,,Denver full timeout
7:54.0,,,30-42,,N. Jokic enters the game for J. Nurkic
7:38.0,,,30-42,,W. Barton misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by K. Porzingis,,30-42,,
7:26.0,Shooting foul by J. Murray (drawn by J. Holiday),,30-42,,
7:26.0,J. Holiday makes free throw 1 of 2,1,31-42,,
7:26.0,J. Holiday makes free throw 2 of 2,1,32-42,,
7:12.0,,,32-42,,D. Gallinari misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by W. Hernangomez,,32-42,,
7:03.0,K. Porzingis makes 2-pt shot from 5 ft (assist by B. Jennings),2,34-42,,
6:49.0,,,34-42,,D. Gallinari misses 3-pt shot from 25 ft
6:48.0,,,34-42,,Offensive rebound by J. Murray
6:43.0,,,34-42,,J. Murray misses 2-pt shot from 2 ft
6:42.0,,,34-42,,Offensive rebound by N. Jokic
6:41.0,,,34-44,2,N. Jokic makes 2-pt shot from 2 ft
6:32.0,Shooting foul by N. Jokic (drawn by W. Hernangomez),,34-44,,
