time,Miami,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: N. Vucevic vs. H. Whiteside (G. Dragic gains possession)
11:43.0,R. McGruder makes 2-pt shot at rim (assist by G. Dragic),2,2-0,,
11:25.0,,,2-0,,N. Vucevic misses 2-pt shot from 9 ft
11:24.0,Defensive rebound by H. Whiteside,,2-0,,
11:09.0,H. Whiteside misses 2-pt shot from 13 ft,,2-0,,
11:08.0,,,2-0,,Defensive rebound by A. Gordon
11:01.0,,,2-0,,A. Gordon misses 2-pt shot from 2 ft (block by H. Whiteside)
10:59.0,,,2-0,,Offensive rebound by A. Gordon
10:59.0,,,2-2,2,A. Gordon makes 2-pt shot from 2 ft
10:45.0,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters),3,5-2,,
10:37.0,,,5-2,,Shooting foul by R. McGruder (drawn by E. Fournier)
10:37.0,,,5-2,,E. Fournier misses free throw 1 of 2
10:37.0,,,5-2,,Offensive rebound by Team
10:37.0,,,5-3,1,E. Fournier makes free throw 2 of 2
10:19.0,G. Dragic misses 2-pt shot from 10 ft,,5-3,,
10:19.0,,,5-3,,Defensive rebound by A. Gordon
10:07.0,,,5-5,2,N. Vucevic makes 2-pt shot from 19 ft (assist by A. Gordon)
9:42.0,G. Dragic misses 2-pt shot from 12 ft (block by T. Ross),,5-5,,
9:42.0,Offensive rebound by Team,,5-5,,
9:38.0,D. Waiters misses 2-pt shot from 19 ft,,5-5,,
9:37.0,,,5-5,,Defensive rebound by A. Gordon
9:32.0,,,5-5,,Shooting foul by L. Babbitt (drawn by A. Gordon)
9:32.0,,,5-6,1,A. Gordon makes free throw 1 of 2
9:32.0,,,5-7,1,A. Gordon makes free throw 2 of 2
9:21.0,G. Dragic misses 2-pt shot from 1 ft,,5-7,,
9:21.0,,,5-7,,Defensive rebound by N. Vucevic
9:15.0,,,5-9,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton)
8:57.0,H. Whiteside misses 2-pt shot from 8 ft,,5-9,,
8:57.0,,,5-9,,Defensive rebound by N. Vucevic
8:51.0,,,5-11,2,E. Payton makes 2-pt shot from 2 ft
8:51.0,Miami full timeout,,5-11,,
8:35.0,D. Waiters misses 2-pt shot from 2 ft,,5-11,,
8:35.0,,,5-11,,Defensive rebound by E. Payton
8:23.0,,,5-13,2,N. Vucevic makes 2-pt shot from 20 ft (assist by T. Ross)
8:05.0,R. McGruder misses 2-pt shot from 6 ft,,5-13,,
8:05.0,,,5-13,,Defensive rebound by A. Gordon
7:57.0,,,5-13,,A. Gordon misses 2-pt shot from 1 ft
7:57.0,Defensive rebound by H. Whiteside,,5-13,,
7:43.0,Turnover by H. Whiteside (lost ball; steal by T. Ross),,5-13,,
7:32.0,,,5-13,,N. Vucevic misses 2-pt shot from 8 ft
7:31.0,Defensive rebound by R. McGruder,,5-13,,
7:22.0,Turnover by D. Waiters (bad pass; steal by E. Payton),,5-13,,
7:22.0,,,5-13,,Turnover by E. Payton (bad pass)
7:06.0,D. Waiters misses 3-pt shot from 25 ft,,5-13,,
7:06.0,,,5-13,,Defensive rebound by E. Payton
7:00.0,,,5-15,2,E. Payton makes 2-pt shot from 1 ft
6:49.0,Shooting foul by E. Fournier (drawn by H. Whiteside),,5-15,,
6:49.0,H. Whiteside makes free throw 1 of 2,1,6-15,,
6:49.0,H. Whiteside makes free throw 2 of 2,1,7-15,,
6:49.0,T. Johnson enters the game for G. Dragic,,6-15,,
6:45.0,,,7-15,,Orlando full timeout
6:45.0,J. Johnson enters the game for H. Whiteside,,7-15,,
6:29.0,,,7-17,2,N. Vucevic makes 2-pt shot from 7 ft
6:05.0,L. Babbitt misses 3-pt shot from 24 ft,,7-17,,
6:04.0,,,7-17,,Defensive rebound by N. Vucevic
5:55.0,,,7-17,,E. Fournier misses 2-pt shot from 19 ft
5:54.0,,,7-17,,Offensive rebound by N. Vucevic
5:49.0,,,7-19,2,N. Vucevic makes 2-pt shot from 1 ft
5:44.0,Shooting foul by T. Ross (drawn by D. Waiters),,7-19,,
5:44.0,D. Waiters misses free throw 1 of 2,,7-19,,
5:44.0,Offensive rebound by Team,,7-19,,
5:44.0,D. Waiters makes free throw 2 of 2,1,8-19,,
5:20.0,,,8-19,,E. Fournier misses 2-pt shot from 1 ft
5:20.0,Defensive rebound by Team,,8-19,,
4:58.0,R. McGruder misses 3-pt shot from 26 ft,,8-19,,
4:57.0,Offensive rebound by D. Waiters,,8-19,,
4:55.0,J. Johnson misses 2-pt shot from 13 ft,,8-19,,
4:50.0,Offensive rebound by D. Waiters,,8-19,,
4:39.0,L. Babbitt makes 3-pt shot from 26 ft,3,11-19,,
4:33.0,,,11-21,2,T. Ross makes 2-pt shot from 9 ft (assist by E. Payton)
4:22.0,J. Johnson makes 2-pt shot from 9 ft (assist by D. Waiters),2,13-21,,
4:04.0,Personal foul by D. Waiters (drawn by E. Fournier),,13-21,,
4:04.0,J. Richardson enters the game for R. McGruder,,13-21,,
4:04.0,O. White enters the game for L. Babbitt,,13-21,,
3:56.0,,,13-21,,T. Ross misses 2-pt shot from 16 ft
3:56.0,,,13-21,,Offensive rebound by Team
3:56.0,Loose ball foul by D. Waiters (drawn by A. Gordon),,13-21,,
3:56.0,G. Dragic enters the game for D. Waiters,,13-21,,
3:53.0,,,13-21,,E. Fournier misses 2-pt shot from 1 ft (block by J. Johnson)
3:50.0,,,13-21,,Offensive rebound by A. Gordon
3:50.0,,,13-23,2,A. Gordon makes 2-pt shot at rim
3:36.0,T. Johnson misses 2-pt shot from 2 ft,,13-23,,
3:36.0,Offensive rebound by O. White,,13-23,,
3:36.0,O. White misses 2-pt shot at rim,,13-23,,
3:35.0,,,13-23,,Defensive rebound by N. Vucevic
3:23.0,,,13-23,,Shooting foul by O. White (drawn by N. Vucevic)
3:23.0,,,13-24,1,N. Vucevic makes free throw 1 of 2
3:23.0,,,13-24,,N. Vucevic misses free throw 2 of 2
3:23.0,,,13-24,,D. Augustin enters the game for E. Payton
3:23.0,,,13-24,,M. Hezonja enters the game for T. Ross
3:22.0,Defensive rebound by O. White,,13-24,,
3:13.0,Turnover by J. Johnson (bad pass; steal by E. Fournier),,13-24,,
3:06.0,,,13-26,2,M. Hezonja makes 2-pt shot from 22 ft (assist by E. Fournier)
2:51.0,O. White misses 2-pt shot from 2 ft,,13-26,,
2:50.0,,,13-26,,Defensive rebound by N. Vucevic
2:42.0,,,13-26,,Turnover by D. Augustin (bad pass; steal by G. Dragic)
2:39.0,G. Dragic makes 2-pt shot from 3 ft (assist by J. Johnson),2,15-26,,
2:39.0,Shooting foul by E. Fournier (drawn by G. Dragic),,15-26,,
2:39.0,G. Dragic makes free throw 1 of 1,1,16-26,,
2:39.0,,,15-26,,J. Green enters the game for A. Gordon
2:39.0,,,15-26,,C. Watson enters the game for E. Fournier
2:39.0,,,15-26,,B. Biyombo enters the game for N. Vucevic
2:32.0,Personal foul by J. Richardson (drawn by M. Hezonja),,16-26,,
2:32.0,,,16-27,1,M. Hezonja makes free throw 1 of 2
2:32.0,,,16-28,1,M. Hezonja makes free throw 2 of 2
2:17.0,J. Richardson makes 3-pt shot from 24 ft (assist by T. Johnson),3,19-28,,
2:03.0,,,19-30,2,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja)
1:50.0,J. Johnson makes 2-pt shot from 14 ft,2,21-30,,
1:36.0,,,21-30,,M. Hezonja misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by T. Johnson,,21-30,,
1:30.0,H. Whiteside enters the game for O. White,,21-30,,
1:18.0,Shooting foul by M. Hezonja (drawn by J. Richardson),,21-30,,
1:18.0,J. Richardson makes free throw 1 of 2,1,22-30,,
1:18.0,J. Richardson makes free throw 2 of 2,1,23-30,,
1:04.0,Violation by H. Whiteside (def goaltending),,23-30,,
1:04.0,,,23-32,2,M. Hezonja makes 2-pt shot from 1 ft
0:45.0,T. Johnson misses 2-pt shot from 21 ft,,23-32,,
0:45.0,,,23-32,,Defensive rebound by J. Green
0:36.0,Personal foul by J. Johnson (drawn by J. Green),,23-32,,
0:36.0,,,23-32,,J. Green misses free throw 1 of 2
