time,Washington,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Towns (O. Porter gains possession),,,,Jump ball: M. Gortat vs. K. Towns (O. Porter gains possession)
11:46.0,Turnover by M. Gortat (lost ball; steal by G. Dieng),,0-0,,
11:25.0,,,0-2,2,R. Rubio makes 2-pt shot from 20 ft
11:13.0,Turnover by J. Wall (bad pass; steal by R. Rubio),,0-2,,
11:03.0,,,0-4,2,K. Towns makes 2-pt shot from 12 ft (assist by R. Rubio)
10:52.0,Offensive foul by M. Morris,,0-4,,
10:52.0,Turnover by M. Morris (offensive foul),,0-4,,
10:31.0,,,0-4,,A. Wiggins misses 2-pt shot from 17 ft
10:29.0,Defensive rebound by M. Morris,,0-4,,
10:22.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,3-4,,
10:08.0,,,3-6,2,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio)
9:53.0,B. Beal misses 2-pt shot from 6 ft,,3-6,,
9:52.0,,,3-6,,Defensive rebound by K. Towns
9:47.0,,,3-9,3,B. Rush makes 3-pt shot from 24 ft (assist by R. Rubio)
9:30.0,Shooting foul by K. Towns (drawn by J. Wall),,3-9,,
9:30.0,J. Wall misses free throw 1 of 2,,3-9,,
9:30.0,Offensive rebound by Team,,3-9,,
9:30.0,J. Wall makes free throw 2 of 2,1,4-9,,
9:17.0,,,4-9,,K. Towns misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by B. Beal,,4-9,,
9:10.0,O. Porter misses 3-pt shot from 24 ft,,4-9,,
9:08.0,Offensive rebound by M. Gortat,,4-9,,
9:07.0,M. Gortat makes 2-pt shot from 1 ft,2,6-9,,
8:53.0,,,6-12,3,B. Rush makes 3-pt shot from 24 ft (assist by A. Wiggins)
8:34.0,,,6-12,,Personal block foul by K. Towns (drawn by M. Morris)
8:34.0,,,6-12,,N. Bjelica enters the game for K. Towns
8:29.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,8-12,,
8:17.0,Personal foul by O. Porter (drawn by A. Wiggins),,8-12,,
8:10.0,,,8-12,,R. Rubio misses 2-pt shot from 14 ft
8:09.0,,,8-12,,Offensive rebound by N. Bjelica
8:07.0,,,8-14,2,N. Bjelica makes 2-pt shot from 1 ft
7:44.0,M. Morris misses 2-pt shot from 15 ft (block by B. Rush),,8-14,,
7:43.0,,,8-14,,Defensive rebound by N. Bjelica
7:39.0,,,8-14,,Turnover by R. Rubio (bad pass; steal by M. Morris)
7:24.0,O. Porter makes 2-pt shot from 11 ft,2,10-14,,
7:04.0,,,10-17,3,B. Rush makes 3-pt shot from 23 ft (assist by R. Rubio)
6:57.0,Shooting foul by B. Rush (drawn by B. Beal),,10-17,,
6:57.0,B. Beal makes free throw 1 of 2,1,11-17,,
6:57.0,B. Beal makes free throw 2 of 2,1,12-17,,
6:47.0,,,12-17,,A. Wiggins misses 2-pt shot from 15 ft
6:46.0,,,12-17,,Offensive rebound by N. Bjelica
6:40.0,,,12-20,3,R. Rubio makes 3-pt shot from 25 ft (assist by N. Bjelica)
6:26.0,B. Beal misses 3-pt shot from 25 ft,,12-20,,
6:24.0,,,12-20,,Defensive rebound by R. Rubio
6:09.0,,,12-22,2,A. Wiggins makes 2-pt shot from 19 ft (assist by R. Rubio)
6:07.0,Washington full timeout,,12-22,,
5:54.0,M. Morris misses 3-pt shot from 25 ft,,12-22,,
5:53.0,,,12-22,,Defensive rebound by R. Rubio
5:49.0,,,12-24,2,N. Bjelica makes 2-pt shot at rim (assist by R. Rubio)
5:33.0,M. Gortat misses 2-pt shot at rim (block by G. Dieng),,12-24,,
5:31.0,,,12-24,,Defensive rebound by N. Bjelica
5:26.0,,,12-26,2,N. Bjelica makes 2-pt shot from 4 ft (assist by R. Rubio)
5:04.0,O. Porter misses 2-pt shot from 11 ft,,12-26,,
5:01.0,,,12-26,,Defensive rebound by Team
5:01.0,J. Smith enters the game for M. Morris,,12-26,,
4:43.0,,,12-29,3,A. Wiggins makes 3-pt shot from 24 ft
4:30.0,J. Wall misses 2-pt shot from 6 ft,,12-29,,
4:29.0,,,12-29,,Defensive rebound by G. Dieng
4:13.0,,,12-29,,B. Rush misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by J. Smith,,12-29,,
4:04.0,J. Smith makes 2-pt shot from 19 ft (assist by J. Wall),2,14-29,,
3:40.0,,,14-31,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
3:24.0,J. Smith misses 2-pt shot from 12 ft,,14-31,,
3:23.0,,,14-31,,Defensive rebound by G. Dieng
3:11.0,,,14-33,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
2:55.0,J. Wall misses 3-pt shot from 25 ft,,14-33,,
2:53.0,,,14-33,,Defensive rebound by A. Wiggins
2:47.0,,,14-35,2,N. Bjelica makes 2-pt shot from 2 ft (assist by R. Rubio)
2:46.0,Washington full timeout,,14-35,,
2:46.0,,,14-35,,Minnesota full timeout
2:46.0,I. Mahinmi enters the game for M. Gortat,,14-35,,
2:46.0,B. Bogdanovic enters the game for O. Porter,,14-35,,
2:46.0,,,14-35,,S. Muhammad enters the game for B. Rush
2:35.0,B. Beal misses 2-pt shot from 19 ft,,14-35,,
2:35.0,,,14-35,,Defensive rebound by S. Muhammad
2:19.0,,,14-35,,R. Rubio misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by J. Smith,,14-35,,
2:14.0,,,14-35,,Shooting block foul by G. Dieng (drawn by J. Wall)
2:14.0,J. Wall makes free throw 1 of 2,1,15-35,,
2:14.0,J. Wall makes free throw 2 of 2,1,16-35,,
2:14.0,B. Jennings enters the game for B. Beal,,15-35,,
1:58.0,Personal foul by J. Smith (drawn by N. Bjelica),,16-35,,
1:50.0,,,16-35,,Shooting foul by B. Bogdanovic (drawn by R. Rubio)
1:50.0,,,16-36,1,R. Rubio makes free throw 1 of 2
1:50.0,,,16-37,1,R. Rubio makes free throw 2 of 2
1:32.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by J. Smith),2,18-37,,
1:08.0,,,18-39,2,R. Rubio makes 2-pt shot from 14 ft
0:56.0,J. Smith makes 2-pt shot from 21 ft (assist by B. Jennings),2,20-39,,
0:40.0,,,20-39,,A. Wiggins misses 2-pt shot from 12 ft
0:39.0,Defensive rebound by J. Wall,,20-39,,
0:32.0,J. Wall makes 3-pt shot from 25 ft,3,23-39,,
0:09.0,,,23-39,,S. Muhammad misses 3-pt shot from 23 ft
0:09.0,,,23-39,,Offensive rebound by G. Dieng
0:08.0,,,23-41,2,G. Dieng makes 2-pt shot from 1 ft
0:00.0,J. Wall misses 3-pt shot from 25 ft,,23-41,,
0:00.0,Offensive rebound by Team,,23-41,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-43,2,K. Towns makes 2-pt shot from 17 ft (assist by T. Jones)
11:29.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Jennings),2,25-43,,
11:11.0,,,25-43,,K. Towns misses 2-pt shot from 12 ft
11:10.0,Defensive rebound by B. Bogdanovic,,25-43,,
10:58.0,B. Bogdanovic makes 2-pt shot from 19 ft,2,27-43,,
10:38.0,Personal foul by J. Smith (drawn by N. Bjelica),,27-43,,
10:34.0,,,27-45,2,N. Bjelica makes 2-pt shot at rim (assist by K. Towns)
10:22.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Jennings),3,30-45,,
10:08.0,,,30-45,,S. Muhammad misses 2-pt shot from 10 ft
10:07.0,Defensive rebound by I. Mahinmi,,30-45,,
10:01.0,B. Bogdanovic misses 3-pt shot from 25 ft,,30-45,,
10:00.0,,,30-45,,Defensive rebound by S. Muhammad
9:56.0,,,30-45,,Offensive charge foul by S. Muhammad
9:56.0,,,30-45,,Turnover by S. Muhammad (offensive foul)
9:43.0,Turnover by I. Mahinmi (bad pass),,30-45,,
9:28.0,,,30-45,,T. Jones misses 2-pt shot from 11 ft
9:27.0,Defensive rebound by B. Bogdanovic,,30-45,,
9:23.0,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Jennings),2,32-45,,
9:23.0,Shooting foul by K. Dunn (drawn by T. Satoransky),,32-45,,
9:23.0,T. Satoransky misses free throw 1 of 1,,32-45,,
9:23.0,,,32-45,,Defensive rebound by N. Bjelica
9:17.0,,,32-45,,Shooting foul by J. Smith (drawn by T. Jones)
9:17.0,,,32-46,1,T. Jones makes free throw 1 of 3
9:17.0,,,32-47,1,T. Jones makes free throw 2 of 3
9:17.0,,,32-48,1,T. Jones makes free throw 3 of 3
9:17.0,M. Morris enters the game for J. Smith,,32-47,,
9:08.0,B. Jennings makes 2-pt shot from 15 ft,2,34-48,,
8:57.0,Personal foul by I. Mahinmi (drawn by K. Towns),,34-48,,
8:57.0,,,34-48,,Minnesota full timeout
8:46.0,,,34-48,,Turnover by K. Dunn (lost ball; steal by B. Jennings)
8:45.0,,,34-48,,Violation by K. Dunn (kicked ball)
8:29.0,Turnover by B. Jennings (lost ball; steal by K. Dunn),,34-48,,
8:16.0,,,34-50,2,K. Towns makes 2-pt shot from 7 ft
8:06.0,,,34-50,,Technical foul by K. Towns
8:06.0,B. Bogdanovic makes technical free throw,1,35-50,,
8:06.0,B. Beal enters the game for T. Satoransky,,35-50,,
8:01.0,B. Bogdanovic misses 2-pt shot from 16 ft (block by K. Dunn),,35-50,,
7:59.0,Offensive rebound by B. Beal,,35-50,,
7:56.0,B. Beal misses 2-pt shot from 8 ft,,35-50,,
7:55.0,,,35-50,,Defensive rebound by N. Bjelica
7:50.0,,,35-50,,K. Dunn misses 2-pt shot at rim
7:49.0,Defensive rebound by I. Mahinmi,,35-50,,
7:45.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by T. Jones),,35-50,,
7:45.0,Offensive rebound by Team,,35-50,,
7:45.0,,,35-50,,A. Wiggins enters the game for K. Dunn
7:45.0,,,35-50,,R. Rubio enters the game for T. Jones
7:38.0,M. Morris makes 2-pt shot from 18 ft,2,37-50,,
7:18.0,,,37-52,2,K. Towns makes 2-pt shot from 10 ft
7:08.0,B. Jennings misses 3-pt shot from 25 ft,,37-52,,
7:07.0,,,37-52,,Defensive rebound by R. Rubio
7:02.0,,,37-52,,Turnover by R. Rubio (bad pass; steal by B. Beal)
6:58.0,Offensive foul by I. Mahinmi,,37-52,,
6:58.0,Turnover by I. Mahinmi (offensive foul),,37-52,,
6:58.0,J. Wall enters the game for B. Jennings,,37-52,,
6:47.0,,,37-52,,R. Rubio misses 2-pt shot from 16 ft
6:46.0,Defensive rebound by M. Morris,,37-52,,
6:42.0,Shooting foul by A. Wiggins (drawn by J. Wall),,37-52,,
6:42.0,J. Wall misses free throw 1 of 2,,37-52,,
6:42.0,Offensive rebound by Team,,37-52,,
6:42.0,J. Wall makes free throw 2 of 2,1,38-52,,
6:36.0,,,38-52,,A. Wiggins misses 2-pt shot from 6 ft (block by I. Mahinmi)
6:35.0,Defensive rebound by I. Mahinmi,,38-52,,
6:30.0,,,38-52,,Shooting block foul by N. Bjelica (drawn by J. Wall)
6:30.0,J. Wall makes free throw 1 of 2,1,39-52,,
6:30.0,J. Wall makes free throw 2 of 2,1,40-52,,
6:20.0,Personal foul by J. Wall (drawn by S. Muhammad),,40-52,,
6:12.0,,,40-52,,N. Bjelica misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by I. Mahinmi,,40-52,,
6:04.0,Turnover by J. Wall (bad pass),,40-52,,
5:48.0,,,40-54,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
5:21.0,B. Beal misses 2-pt shot from 21 ft,,40-54,,
