time,LA Clippers,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. I. Zubac (L. Mbah a Moute gains possession),,,,Jump ball: D. Jordan vs. I. Zubac (L. Mbah a Moute gains possession)
11:38.0,J. Redick makes 2-pt shot from 17 ft (assist by B. Griffin),2,2-0,,
11:19.0,,,2-0,,D. Russell misses 2-pt shot from 19 ft
11:15.0,Defensive rebound by C. Paul,,2-0,,
11:07.0,C. Paul makes 2-pt shot from 17 ft,2,4-0,,
10:48.0,,,4-0,,J. Randle misses 2-pt shot from 16 ft
10:45.0,Defensive rebound by D. Jordan,,4-0,,
10:42.0,,,4-0,,Personal foul by J. Clarkson
10:26.0,B. Griffin misses 2-pt shot from 19 ft,,4-0,,
10:23.0,Offensive rebound by D. Jordan,,4-0,,
10:16.0,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan),3,7-0,,
10:01.0,,,7-2,2,I. Zubac makes 2-pt shot from 12 ft (assist by B. Ingram)
9:39.0,B. Griffin misses 2-pt shot from 21 ft,,7-2,,
9:38.0,,,7-2,,Defensive rebound by I. Zubac
9:22.0,,,7-2,,I. Zubac misses 2-pt shot from 20 ft
9:21.0,Defensive rebound by C. Paul,,7-2,,
9:12.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,9-2,,
8:56.0,,,9-2,,J. Randle misses 2-pt shot from 20 ft
8:55.0,Defensive rebound by D. Jordan,,9-2,,
8:46.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,11-2,,
8:46.0,,,11-2,,LA Lakers full timeout
8:36.0,,,11-2,,Offensive foul by B. Ingram
8:36.0,,,11-2,,Turnover by B. Ingram (offensive foul)
8:22.0,J. Redick makes 2-pt shot from 6 ft (assist by C. Paul),2,13-2,,
8:08.0,Personal foul by J. Redick,,13-2,,
8:04.0,,,13-2,,Turnover by D. Russell (bad pass; steal by C. Paul)
7:56.0,C. Paul misses 3-pt shot from 24 ft,,13-2,,
7:55.0,,,13-2,,Defensive rebound by I. Zubac
7:38.0,,,13-4,2,B. Ingram makes 2-pt shot from 3 ft
7:25.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,13-4,,
7:23.0,,,13-4,,Defensive rebound by J. Clarkson
7:16.0,,,13-4,,I. Zubac misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by J. Redick,,13-4,,
7:10.0,J. Redick makes 3-pt shot from 26 ft,3,16-4,,
7:07.0,,,16-4,,Technical foul by Team
7:07.0,C. Paul makes technical free throw,1,17-4,,
6:50.0,,,17-6,2,I. Zubac makes 2-pt shot from 16 ft (assist by D. Russell)
6:31.0,Turnover by J. Redick (offensive foul),,17-6,,
6:31.0,Offensive foul by J. Redick,,17-6,,
6:31.0,J. Crawford enters the game for J. Redick,,17-6,,
6:20.0,,,17-8,2,J. Randle makes 2-pt shot from 9 ft (assist by J. Clarkson)
6:03.0,Turnover by D. Jordan (traveling),,17-8,,
5:57.0,Personal foul by J. Crawford (drawn by J. Clarkson),,17-8,,
5:50.0,,,17-8,,J. Clarkson misses 3-pt shot from 26 ft
5:49.0,Defensive rebound by C. Paul,,17-8,,
5:36.0,B. Griffin makes 3-pt shot from 25 ft (assist by J. Crawford),3,20-8,,
5:24.0,,,20-8,,Shooting foul by D. Jordan (drawn by J. Clarkson)
5:24.0,,,20-9,1,J. Clarkson makes free throw 1 of 2
5:24.0,,,20-10,1,J. Clarkson makes free throw 2 of 2
5:24.0,A. Rivers enters the game for L. Mbah a Moute,,20-9,,
5:06.0,C. Paul makes 2-pt shot from 16 ft,2,22-10,,
4:52.0,,,22-12,2,I. Zubac makes 2-pt shot at rim (assist by J. Clarkson)
4:35.0,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin),3,25-12,,
4:21.0,,,25-14,2,B. Ingram makes 2-pt shot from 1 ft (assist by J. Clarkson)
4:03.0,C. Paul misses 2-pt shot from 7 ft,,25-14,,
3:59.0,Offensive rebound by D. Jordan,,25-14,,
3:59.0,D. Jordan misses 2-pt shot from 1 ft,,25-14,,
3:55.0,Offensive rebound by D. Jordan,,25-14,,
