time,Brooklyn,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. H. Whiteside (T. Booker gains possession),,,,Jump ball: B. Lopez vs. H. Whiteside (T. Booker gains possession)
11:44.0,Shooting foul by H. Whiteside (drawn by B. Lopez),,0-0,,
11:44.0,B. Lopez makes free throw 1 of 2,1,1-0,,
11:44.0,B. Lopez makes free throw 2 of 2,1,2-0,,
11:30.0,,,2-0,,H. Whiteside misses 2-pt shot from 20 ft
11:29.0,Defensive rebound by S. Dinwiddie,,2-0,,
11:23.0,B. Lopez misses 2-pt shot from 2 ft,,2-0,,
11:22.0,,,2-0,,Defensive rebound by H. Whiteside
11:15.0,,,2-0,,D. Waiters misses 2-pt shot from 2 ft (block by B. Lopez)
11:14.0,,,2-0,,Offensive rebound by Team
11:08.0,,,2-2,2,G. Dragic makes 2-pt shot from 18 ft (assist by D. Waiters)
10:50.0,B. Bogdanovic makes 2-pt shot from 5 ft,2,4-2,,
10:39.0,,,4-2,,Turnover by H. Whiteside (traveling)
10:22.0,T. Booker makes 2-pt shot from 2 ft,2,6-2,,
9:59.0,,,6-4,2,D. Waiters makes 2-pt shot from 17 ft
9:46.0,B. Lopez makes 2-pt shot from 9 ft,2,8-4,,
9:34.0,,,8-6,2,G. Dragic makes 2-pt shot from 9 ft
9:12.0,T. Booker misses 2-pt shot from 10 ft,,8-6,,
9:11.0,,,8-6,,Defensive rebound by L. Babbitt
9:02.0,,,8-6,,Turnover by L. Babbitt (step out of bounds)
8:44.0,B. Lopez makes 2-pt shot from 9 ft (assist by S. Dinwiddie),2,10-6,,
8:21.0,,,10-8,2,H. Whiteside makes 2-pt shot from 5 ft
8:11.0,B. Lopez misses 3-pt shot from 26 ft,,10-8,,
8:10.0,,,10-8,,Defensive rebound by L. Babbitt
8:03.0,,,10-8,,D. Waiters misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by S. Dinwiddie,,10-8,,
7:51.0,R. Foye makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,13-8,,
7:42.0,Personal foul by S. Dinwiddie (drawn by G. Dragic),,13-8,,
7:34.0,,,13-8,,G. Dragic misses 2-pt shot from 19 ft
7:33.0,Defensive rebound by B. Bogdanovic,,13-8,,
7:26.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,15-8,,
7:15.0,,,15-8,,L. Babbitt misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by R. Foye,,15-8,,
7:05.0,R. Foye misses 3-pt shot from 25 ft,,15-8,,
7:04.0,,,15-8,,Defensive rebound by H. Whiteside
7:02.0,,,15-8,,Turnover by H. Whiteside (lost ball; steal by T. Booker)
7:00.0,,,15-8,,J. Johnson enters the game for L. Babbitt
6:56.0,B. Lopez misses 3-pt shot from 26 ft,,15-8,,
6:55.0,,,15-8,,Defensive rebound by Team
6:55.0,Loose ball foul by R. Foye (drawn by G. Dragic),,15-8,,
6:30.0,,,15-11,3,D. Waiters makes 3-pt shot from 25 ft (assist by G. Dragic)
6:13.0,Turnover by B. Bogdanovic (bad pass),,15-11,,
6:13.0,C. LeVert enters the game for R. Foye,,15-11,,
6:01.0,,,15-13,2,D. Waiters makes 2-pt shot from 1 ft
5:48.0,S. Dinwiddie misses 2-pt shot from 2 ft (block by H. Whiteside),,15-13,,
5:47.0,Offensive rebound by Team,,15-13,,
5:47.0,,,15-13,,Miami full timeout
5:38.0,T. Booker makes 2-pt shot from 3 ft (assist by B. Bogdanovic),2,17-13,,
5:38.0,Shooting foul by J. Johnson (drawn by T. Booker),,17-13,,
5:38.0,T. Booker makes free throw 1 of 1,1,18-13,,
5:21.0,,,18-13,,J. Johnson misses 2-pt shot from 9 ft
5:20.0,Defensive rebound by B. Lopez,,18-13,,
5:06.0,B. Lopez makes 2-pt shot from 13 ft,2,20-13,,
4:53.0,,,20-15,2,G. Dragic makes 2-pt shot from 9 ft
