time,Indiana,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Turner (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Turner (R. Jackson gains possession)
11:44.0,,,0-0,,Turnover by R. Jackson (bad pass; steal by M. Turner)
11:44.0,,,0-0,,Loose ball foul by A. Drummond (drawn by J. Teague)
11:29.0,M. Turner misses 2-pt shot from 17 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by A. Drummond
11:18.0,,,0-2,2,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson)
10:53.0,P. George makes 3-pt shot from 26 ft,3,3-2,,
10:34.0,,,3-2,,K. Caldwell-Pope misses 2-pt shot at rim
10:33.0,Defensive rebound by M. Turner,,3-2,,
10:18.0,J. Teague misses 2-pt shot from 16 ft,,3-2,,
10:17.0,,,3-2,,Defensive rebound by A. Drummond
10:03.0,,,3-2,,R. Jackson misses 2-pt shot from 10 ft
10:02.0,Defensive rebound by T. Young,,3-2,,
9:50.0,T. Young makes 2-pt shot from 19 ft (assist by G. Robinson),2,5-2,,
9:35.0,,,5-2,,M. Morris misses 2-pt shot from 4 ft (block by M. Turner)
9:34.0,Defensive rebound by M. Turner,,5-2,,
9:26.0,Turnover by J. Teague (back court),,5-2,,
9:15.0,,,5-2,,Turnover by M. Morris (bad pass; steal by M. Turner)
8:56.0,P. George makes 3-pt shot from 26 ft (assist by J. Teague),3,8-2,,
8:44.0,,,8-2,,K. Caldwell-Pope misses 2-pt shot from 17 ft
8:42.0,Defensive rebound by T. Young,,8-2,,
8:28.0,G. Robinson makes 3-pt shot from 25 ft (assist by T. Young),3,11-2,,
8:23.0,,,11-2,,Detroit full timeout
8:11.0,,,11-2,,M. Morris misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by J. Teague,,11-2,,
8:03.0,G. Robinson misses 2-pt shot at rim,,11-2,,
8:01.0,,,11-2,,Defensive rebound by J. Leuer
7:51.0,,,11-4,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
7:38.0,Shooting foul by M. Morris (drawn by P. George),,11-4,,
7:38.0,P. George makes free throw 1 of 2,1,12-4,,
7:38.0,P. George makes free throw 2 of 2,1,13-4,,
7:21.0,,,13-4,,M. Morris misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by G. Robinson,,13-4,,
7:04.0,T. Young misses 3-pt shot from 24 ft,,13-4,,
7:03.0,,,13-4,,Defensive rebound by K. Caldwell-Pope
6:52.0,,,13-4,,R. Jackson misses 2-pt shot from 7 ft
6:50.0,Defensive rebound by P. George,,13-4,,
6:38.0,J. Teague makes 3-pt shot from 28 ft,3,16-4,,
6:20.0,,,16-6,2,J. Leuer makes 2-pt shot from 10 ft (assist by R. Jackson)
6:11.0,J. Teague makes 2-pt shot from 1 ft,2,18-6,,
5:53.0,,,18-8,2,M. Morris makes 2-pt shot from 6 ft (assist by R. Jackson)
5:42.0,P. George makes 2-pt shot from 17 ft,2,20-8,,
5:26.0,,,20-11,3,R. Jackson makes 3-pt shot from 26 ft (assist by M. Morris)
5:13.0,J. Teague makes 2-pt shot from 6 ft,2,22-11,,
5:07.0,,,22-11,,Detroit full timeout
5:07.0,,,22-11,,T. Harris enters the game for J. Leuer
