time,Memphis,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Hibbert (J. Green gains possession),,,,Jump ball: M. Gasol vs. R. Hibbert (J. Green gains possession)
11:44.0,M. Gasol misses 2-pt shot from 16 ft,,0-0,,
11:42.0,Offensive rebound by T. Allen,,0-0,,
11:32.0,J. Ennis makes 3-pt shot from 24 ft (assist by M. Gasol),3,3-0,,
11:15.0,,,3-0,,M. Williams misses 2-pt shot from 6 ft
11:14.0,Defensive rebound by M. Gasol,,3-0,,
11:03.0,J. Ennis misses 3-pt shot from 26 ft,,3-0,,
11:02.0,,,3-0,,Defensive rebound by M. Williams
10:46.0,,,3-0,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
10:45.0,Defensive rebound by M. Gasol,,3-0,,
10:36.0,M. Conley misses 2-pt shot from 18 ft,,3-0,,
10:34.0,,,3-0,,Defensive rebound by M. Williams
10:25.0,,,3-2,2,R. Hibbert makes 2-pt shot from 1 ft (assist by N. Batum)
10:01.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,6-2,,
9:43.0,,,6-2,,M. Williams misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by T. Allen,,6-2,,
9:36.0,,,6-2,,Personal foul by R. Hibbert (drawn by M. Gasol)
9:23.0,J. Green makes 2-pt shot from 17 ft (assist by M. Gasol),2,8-2,,
9:03.0,,,8-2,,K. Walker misses 3-pt shot from 23 ft
9:01.0,,,8-2,,Offensive rebound by M. Kidd-Gilchrist
8:51.0,,,8-2,,M. Williams misses 3-pt shot from 25 ft
8:49.0,,,8-2,,Offensive rebound by R. Hibbert
8:41.0,,,8-4,2,K. Walker makes 2-pt shot at rim (assist by N. Batum)
8:25.0,J. Ennis makes 2-pt shot at rim (assist by M. Gasol),2,10-4,,
8:04.0,,,10-4,,Turnover by M. Kidd-Gilchrist (bad pass; steal by T. Allen)
8:00.0,T. Allen makes 2-pt shot from 1 ft,2,12-4,,
7:47.0,Personal foul by M. Conley (drawn by K. Walker),,12-4,,
7:38.0,,,12-4,,N. Batum misses 3-pt shot from 28 ft
7:37.0,Defensive rebound by M. Conley,,12-4,,
7:29.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Allen),,12-4,,
7:29.0,T. Allen makes free throw 1 of 2,1,13-4,,
7:29.0,T. Allen misses free throw 2 of 2,,13-4,,
7:26.0,,,13-4,,Defensive rebound by M. Kidd-Gilchrist
7:15.0,,,13-4,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Allen)
