time,Philadelphia,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. J. Okafor (Y. Ferrell gains possession),,,,Jump ball: D. Nowitzki vs. J. Okafor (Y. Ferrell gains possession)
11:42.0,,,0-0,,D. Nowitzki misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by T. McConnell,,0-0,,
11:35.0,J. Okafor misses 2-pt shot from 3 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by D. Nowitzki
11:16.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by W. Matthews)
10:56.0,E. Ilyasova makes 2-pt shot from 13 ft (assist by N. Stauskas),2,2-2,,
10:43.0,,,2-2,,Offensive charge foul by Y. Ferrell
10:43.0,,,2-2,,Turnover by Y. Ferrell (offensive foul)
10:33.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell),2,4-2,,
10:18.0,,,4-2,,H. Barnes misses 2-pt shot from 16 ft
10:17.0,Defensive rebound by T. McConnell,,4-2,,
10:05.0,J. Okafor makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot),2,6-2,,
9:55.0,,,6-2,,Turnover by S. Curry (traveling)
9:55.0,,,6-2,,Dallas full timeout
9:46.0,N. Stauskas misses 3-pt shot from 24 ft,,6-2,,
9:45.0,,,6-2,,Defensive rebound by W. Matthews
9:38.0,,,6-2,,W. Matthews misses 2-pt shot at rim
9:36.0,Defensive rebound by E. Ilyasova,,6-2,,
9:27.0,J. Okafor misses 2-pt shot at rim,,6-2,,
9:26.0,,,6-2,,Defensive rebound by D. Nowitzki
9:13.0,,,6-2,,D. Nowitzki misses 2-pt shot from 20 ft
9:12.0,Defensive rebound by T. Luwawu-Cabarrot,,6-2,,
9:00.0,J. Okafor makes 2-pt shot from 5 ft,2,8-2,,
8:39.0,,,8-2,,Turnover by S. Curry (bad pass)
8:18.0,J. Okafor misses 2-pt shot from 13 ft,,8-2,,
8:17.0,,,8-2,,Defensive rebound by W. Matthews
8:08.0,,,8-2,,D. Nowitzki misses 2-pt shot from 17 ft
8:08.0,Defensive rebound by E. Ilyasova,,8-2,,
7:51.0,Shooting foul by S. Curry (drawn by N. Stauskas),,8-2,,
7:51.0,N. Stauskas misses free throw 1 of 2,,8-2,,
7:51.0,Offensive rebound by Team,,8-2,,
7:51.0,N. Stauskas makes free throw 2 of 2,1,9-2,,
7:31.0,,,9-4,2,W. Matthews makes 2-pt shot from 9 ft
7:21.0,E. Ilyasova misses 2-pt shot from 16 ft,,9-4,,
7:19.0,,,9-4,,Defensive rebound by H. Barnes
7:09.0,,,9-4,,S. Curry misses 2-pt shot from 22 ft
7:08.0,Defensive rebound by E. Ilyasova,,9-4,,
6:59.0,T. Luwawu-Cabarrot makes 2-pt shot at rim,2,11-4,,
6:59.0,,,11-4,,Dallas full timeout
6:59.0,,,11-4,,D. Harris enters the game for D. Nowitzki
6:59.0,,,11-4,,S. Mejri enters the game for Y. Ferrell
6:59.0,D. Saric enters the game for E. Ilyasova,,11-4,,
6:40.0,Shooting block foul by D. Saric (drawn by H. Barnes),,11-4,,
6:40.0,,,11-5,1,H. Barnes makes free throw 1 of 2
6:40.0,,,11-6,1,H. Barnes makes free throw 2 of 2
6:31.0,Turnover by T. McConnell (lost ball; steal by S. Curry),,11-6,,
6:10.0,,,11-6,,Turnover by S. Curry (traveling)
5:57.0,J. Okafor misses 2-pt shot from 10 ft,,11-6,,
5:56.0,,,11-6,,Defensive rebound by W. Matthews
5:40.0,,,11-6,,Shooting foul by T. Luwawu-Cabarrot (drawn by S. Mejri)
5:40.0,,,11-7,1,S. Mejri makes free throw 1 of 2
5:40.0,,,11-7,,S. Mejri misses free throw 2 of 2
5:40.0,N. Noel enters the game for T. Luwawu-Cabarrot,,11-7,,
5:40.0,C. Randle enters the game for J. Okafor,,11-7,,
5:40.0,G. Henderson enters the game for N. Stauskas,,11-7,,
5:39.0,Defensive rebound by G. Henderson,,11-7,,
5:28.0,G. Henderson makes 2-pt shot from 18 ft (assist by N. Noel),2,13-7,,
5:12.0,,,13-7,,S. Mejri misses 2-pt shot from 1 ft
5:11.0,,,13-7,,Offensive rebound by S. Mejri
5:09.0,,,13-7,,S. Mejri misses 2-pt shot from 1 ft
