time,Utah,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Gobert (J. Green gains possession),,,,Jump ball: M. Gasol vs. R. Gobert (J. Green gains possession)
11:48.0,,,0-2,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Conley)
11:32.0,G. Hill makes 2-pt shot from 6 ft,2,2-2,,
11:19.0,,,2-2,,M. Conley misses 2-pt shot from 5 ft (block by G. Hill)
11:16.0,Defensive rebound by R. Gobert,,2-2,,
11:08.0,Turnover by G. Hill (lost ball; steal by J. Green),,2-2,,
11:04.0,,,2-4,2,J. Green makes 2-pt shot at rim
10:26.0,G. Hayward misses 2-pt shot from 18 ft,,2-4,,
10:26.0,,,2-4,,Defensive rebound by T. Allen
10:23.0,,,2-4,,Turnover by T. Allen (bad pass; steal by R. Gobert)
10:16.0,R. Hood makes 2-pt shot from 18 ft (assist by R. Gobert),2,4-4,,
9:58.0,,,4-4,,J. Green misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by G. Hill,,4-4,,
9:48.0,Offensive charge foul by G. Hill,,4-4,,
9:48.0,Turnover by G. Hill (offensive foul),,4-4,,
9:40.0,,,4-6,2,M. Gasol makes 2-pt shot from 4 ft (assist by T. Allen)
9:23.0,,,4-6,,Personal foul by T. Allen (drawn by R. Hood)
9:11.0,D. Favors misses 2-pt shot from 19 ft,,4-6,,
9:10.0,,,4-6,,Defensive rebound by C. Parsons
8:53.0,,,4-6,,Offensive charge foul by M. Gasol
8:53.0,,,4-6,,Turnover by M. Gasol (offensive foul)
8:44.0,G. Hill misses 2-pt shot from 16 ft,,4-6,,
8:42.0,Offensive rebound by R. Gobert,,4-6,,
8:40.0,R. Gobert makes 2-pt shot from 2 ft,2,6-6,,
8:22.0,,,6-6,,M. Gasol misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by R. Hood,,6-6,,
8:01.0,R. Hood misses 2-pt shot from 12 ft,,6-6,,
8:00.0,,,6-6,,Defensive rebound by T. Allen
7:57.0,Personal foul by R. Hood (drawn by J. Green),,6-6,,
7:50.0,,,6-8,2,M. Conley makes 2-pt shot from 19 ft
7:39.0,Turnover by R. Gobert (offensive foul),,6-8,,
7:39.0,Offensive charge foul by R. Gobert,,6-8,,
7:23.0,,,6-10,2,M. Gasol makes 2-pt shot from 13 ft
7:03.0,Turnover by D. Favors (bad pass; steal by M. Gasol),,6-10,,
6:53.0,,,6-10,,M. Conley misses 2-pt shot from 14 ft
6:50.0,Defensive rebound by R. Gobert,,6-10,,
6:44.0,,,6-10,,Personal foul by M. Conley (drawn by G. Hill)
6:44.0,Utah full timeout,,6-10,,
6:29.0,R. Hood misses 3-pt shot from 24 ft,,6-10,,
6:28.0,Offensive rebound by R. Gobert,,6-10,,
6:09.0,Turnover by D. Favors (bad pass; steal by M. Gasol),,6-10,,
5:53.0,,,6-12,2,M. Gasol makes 2-pt shot from 7 ft (assist by C. Parsons)
5:35.0,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors),3,9-12,,
5:11.0,,,9-12,,Offensive foul by M. Gasol
5:11.0,,,9-12,,Turnover by M. Gasol (offensive foul)
5:11.0,B. Diaw enters the game for D. Favors,,9-12,,
5:11.0,,,9-12,,Z. Randolph enters the game for M. Gasol
4:52.0,Shooting foul by J. Green (drawn by G. Hayward),,9-12,,
4:52.0,G. Hayward makes free throw 1 of 2,1,10-12,,
4:52.0,G. Hayward makes free throw 2 of 2,1,11-12,,
4:52.0,S. Mack enters the game for G. Hill,,10-12,,
4:37.0,,,11-12,,T. Allen misses 2-pt shot from 20 ft
4:36.0,,,11-12,,Offensive rebound by J. Green
4:35.0,,,11-14,2,J. Green makes 2-pt shot from 2 ft
4:21.0,G. Hayward misses 3-pt shot from 25 ft,,11-14,,
4:20.0,,,11-14,,Defensive rebound by Z. Randolph
4:08.0,,,11-17,3,C. Parsons makes 3-pt shot from 25 ft
3:44.0,G. Hayward misses 2-pt shot from 22 ft,,11-17,,
3:42.0,,,11-17,,Defensive rebound by M. Conley
3:34.0,,,11-19,2,M. Conley makes 2-pt shot from 4 ft
3:08.0,R. Hood makes 2-pt shot from 8 ft,2,13-19,,
2:58.0,,,13-19,,Memphis full timeout
2:58.0,J. Ingles enters the game for R. Hood,,13-19,,
2:58.0,,,13-19,,J. Ennis enters the game for C. Parsons
2:58.0,,,13-19,,V. Carter enters the game for T. Allen
2:49.0,,,13-19,,V. Carter misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by S. Mack,,13-19,,
2:33.0,Turnover by S. Mack (bad pass; steal by Z. Randolph),,13-19,,
2:26.0,,,13-19,,M. Conley misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by R. Gobert,,13-19,,
2:11.0,G. Hayward makes 3-pt shot from 24 ft (assist by J. Ingles),3,16-19,,
1:50.0,,,16-19,,J. Green misses 2-pt shot from 2 ft
1:49.0,,,16-19,,Offensive rebound by Team
1:49.0,,,16-19,,A. Harrison enters the game for M. Conley
1:49.0,J. Johnson enters the game for G. Hayward,,16-19,,
1:49.0,D. Favors enters the game for R. Gobert,,16-19,,
1:49.0,,,16-19,,M. Gasol enters the game for J. Green
1:36.0,,,16-19,,J. Ennis misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by B. Diaw,,16-19,,
1:21.0,B. Diaw misses 2-pt shot from 23 ft,,16-19,,
1:20.0,Offensive rebound by J. Ingles,,16-19,,
1:07.0,S. Mack misses 3-pt shot from 24 ft,,16-19,,
1:06.0,,,16-19,,Defensive rebound by Team
0:57.0,Personal foul by S. Mack (drawn by A. Harrison),,16-19,,
0:48.0,,,16-19,,M. Gasol misses 2-pt shot from 13 ft
0:47.0,Defensive rebound by D. Favors,,16-19,,
0:32.0,J. Ingles misses 3-pt shot from 24 ft,,16-19,,
0:30.0,Offensive rebound by D. Favors,,16-19,,
0:18.0,J. Johnson makes 2-pt shot from 6 ft,2,18-19,,
0:00.0,,,18-19,,A. Harrison misses 2-pt shot from 17 ft
0:00.0,,,18-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,B. Diaw makes 2-pt shot from 2 ft,2,20-19,,
11:23.0,,,20-21,2,Z. Randolph makes 2-pt shot from 13 ft
10:56.0,J. Johnson makes 2-pt shot from 18 ft,2,22-21,,
10:45.0,Personal foul by S. Mack (drawn by A. Harrison),,22-21,,
10:45.0,G. Hill enters the game for S. Mack,,22-21,,
10:33.0,,,22-21,,Z. Randolph misses 2-pt shot from 9 ft
10:31.0,Defensive rebound by G. Hill,,22-21,,
10:11.0,G. Hill misses 3-pt shot from 25 ft,,22-21,,
10:10.0,,,22-21,,Defensive rebound by Z. Randolph
9:52.0,,,22-23,2,J. Ennis makes 2-pt shot from 8 ft
9:52.0,,,22-23,,Shooting foul by B. Diaw (drawn by J. Ennis)
9:52.0,,,22-24,1,J. Ennis makes free throw 1 of 1
9:31.0,J. Johnson makes 2-pt shot from 20 ft,2,24-24,,
9:05.0,,,24-27,3,A. Harrison makes 3-pt shot from 24 ft (assist by V. Carter)
8:39.0,J. Johnson misses 2-pt shot from 7 ft,,24-27,,
8:36.0,,,24-27,,Defensive rebound by M. Gasol
8:28.0,,,24-27,,A. Harrison misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by J. Ingles,,24-27,,
8:13.0,G. Hill misses 2-pt shot from 14 ft,,24-27,,
8:12.0,,,24-27,,Defensive rebound by M. Gasol
7:56.0,,,24-27,,Z. Randolph misses 2-pt shot from 4 ft
7:55.0,Defensive rebound by J. Ingles,,24-27,,
7:44.0,D. Favors makes 2-pt shot from 19 ft (assist by J. Ingles),2,26-27,,
7:43.0,,,26-27,,Memphis full timeout
7:43.0,,,26-27,,J. Green enters the game for Z. Randolph
7:43.0,,,26-27,,M. Conley enters the game for A. Harrison
7:43.0,T. Lyles enters the game for D. Favors,,26-27,,
7:43.0,R. Gobert enters the game for B. Diaw,,26-27,,
7:43.0,R. Hood enters the game for J. Ingles,,26-27,,
7:28.0,,,26-27,,M. Gasol misses 2-pt shot from 4 ft
7:26.0,Defensive rebound by J. Johnson,,26-27,,
7:15.0,R. Hood misses 3-pt shot from 25 ft,,26-27,,
7:13.0,Offensive rebound by T. Lyles,,26-27,,
7:08.0,Turnover by R. Gobert (bad pass; steal by M. Conley),,26-27,,
7:05.0,,,26-29,2,M. Conley makes 2-pt shot from 1 ft
6:48.0,Turnover by R. Gobert (traveling),,26-29,,
6:48.0,S. Mack enters the game for G. Hill,,26-29,,
6:48.0,,,26-29,,C. Parsons enters the game for V. Carter
6:31.0,,,26-32,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Ennis)
6:13.0,R. Hood makes 2-pt shot from 1 ft,2,28-32,,
6:03.0,,,28-32,,M. Conley misses 2-pt shot from 20 ft
6:01.0,,,28-32,,Offensive rebound by M. Gasol
5:48.0,,,28-32,,M. Gasol misses 2-pt shot from 3 ft
5:45.0,Defensive rebound by R. Gobert,,28-32,,
5:35.0,J. Johnson misses 3-pt shot from 25 ft,,28-32,,
5:34.0,,,28-32,,Defensive rebound by J. Green
5:17.0,,,28-34,2,C. Parsons makes 2-pt shot from 16 ft (assist by M. Conley)
5:17.0,,,28-34,,Shooting foul by T. Lyles (drawn by C. Parsons)
5:17.0,,,28-34,,Memphis full timeout
5:17.0,,,28-35,1,C. Parsons makes free throw 1 of 1
5:17.0,,,28-34,,T. Allen enters the game for J. Ennis
5:17.0,G. Hayward enters the game for J. Johnson,,28-34,,
5:04.0,R. Hood misses 3-pt shot from 25 ft,,28-35,,
5:02.0,Offensive rebound by S. Mack,,28-35,,
4:54.0,S. Mack makes 2-pt shot from 11 ft,2,30-35,,
4:38.0,Personal foul by R. Hood (drawn by C. Parsons),,30-35,,
4:24.0,,,30-37,2,M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley)
4:08.0,,,30-37,,Personal foul by J. Green (drawn by R. Gobert)
4:01.0,Turnover by G. Hayward (offensive foul),,30-37,,
4:01.0,Offensive foul by G. Hayward,,30-37,,
3:51.0,,,30-37,,Turnover by T. Allen (bad pass; steal by R. Gobert)
3:47.0,Shooting foul by C. Parsons (drawn by G. Hayward),,30-37,,
3:47.0,G. Hayward misses free throw 1 of 2,,30-37,,
3:47.0,Offensive rebound by Team,,30-37,,
3:47.0,G. Hayward makes free throw 2 of 2,1,31-37,,
3:47.0,,,30-37,,Z. Randolph enters the game for M. Gasol
3:32.0,,,31-37,,M. Conley misses 2-pt shot from 11 ft
3:30.0,Defensive rebound by S. Mack,,31-37,,
3:14.0,G. Hayward makes 2-pt shot from 2 ft (assist by S. Mack),2,33-37,,
3:14.0,Shooting foul by M. Conley (drawn by G. Hayward),,33-37,,
3:14.0,G. Hayward misses free throw 1 of 1,,33-37,,
3:12.0,Offensive rebound by R. Gobert,,33-37,,
3:10.0,G. Hayward misses 2-pt shot from 19 ft,,33-37,,
3:10.0,,,33-37,,Defensive rebound by Team
2:47.0,,,33-37,,C. Parsons misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by Team,,33-37,,
2:46.0,,,33-37,,Loose ball foul by J. Green (drawn by R. Gobert)
2:46.0,Utah full timeout,,33-37,,
2:46.0,,,33-37,,V. Carter enters the game for J. Green
2:32.0,T. Lyles misses 2-pt shot from 14 ft,,33-37,,
2:30.0,Offensive rebound by R. Gobert,,33-37,,
2:26.0,S. Mack makes 2-pt shot from 10 ft,2,35-37,,
2:04.0,,,35-39,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Conley)
2:04.0,Utah full timeout,,35-39,,
2:04.0,J. Johnson enters the game for T. Lyles,,35-39,,
1:53.0,Turnover by S. Mack (lost ball; steal by Z. Randolph),,35-39,,
1:48.0,,,35-41,2,M. Conley makes 2-pt shot from 2 ft
1:37.0,Turnover by G. Hayward (bad pass; steal by T. Allen),,35-41,,
1:31.0,Personal foul by S. Mack (drawn by M. Conley),,35-41,,
1:31.0,,,35-41,,M. Conley misses free throw 1 of 2
1:31.0,,,35-41,,Offensive rebound by Team
1:31.0,,,35-42,1,M. Conley makes free throw 2 of 2
1:31.0,J. Ingles enters the game for R. Hood,,35-41,,
1:31.0,G. Hill enters the game for S. Mack,,35-41,,
1:08.0,G. Hill misses 2-pt shot from 21 ft,,35-42,,
1:07.0,,,35-42,,Defensive rebound by T. Allen
0:58.0,,,35-42,,Z. Randolph misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by G. Hayward,,35-42,,
0:39.0,Turnover by J. Ingles (bad pass; steal by V. Carter),,35-42,,
0:21.0,,,35-42,,M. Conley misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by J. Ingles,,35-42,,
0:02.0,G. Hill misses 2-pt shot from 1 ft (block by Z. Randolph),,35-42,,
0:00.0,,,35-42,,Defensive rebound by Z. Randolph
0:00.0,,,35-42,,Z. Randolph misses 3-pt shot from 48 ft
0:00.0,,,35-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Favors misses 2-pt shot from 14 ft,,35-42,,
11:41.0,,,35-42,,Defensive rebound by J. Ennis
11:18.0,,,35-42,,M. Conley misses 2-pt shot from 5 ft
11:15.0,Defensive rebound by G. Hayward,,35-42,,
11:06.0,G. Hill makes 2-pt shot from 14 ft,2,37-42,,
10:42.0,,,37-44,2,M. Gasol makes 2-pt shot from 21 ft (assist by T. Allen)
10:17.0,R. Hood misses 2-pt shot from 15 ft,,37-44,,
10:16.0,,,37-44,,Defensive rebound by J. Green
10:11.0,,,37-46,2,M. Conley makes 2-pt shot from 2 ft
9:55.0,G. Hill makes 3-pt shot from 23 ft (assist by R. Hood),3,40-46,,
9:41.0,,,40-48,2,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley)
9:34.0,,,40-48,,Personal foul by M. Conley (drawn by G. Hill)
9:29.0,,,40-48,,Personal foul by J. Ennis (drawn by R. Gobert)
9:23.0,G. Hayward misses 2-pt shot from 2 ft (block by J. Green),,40-48,,
9:22.0,,,40-48,,Defensive rebound by J. Ennis
9:15.0,,,40-48,,M. Gasol misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by R. Hood,,40-48,,
9:05.0,G. Hill makes 3-pt shot from 25 ft (assist by R. Hood),3,43-48,,
8:40.0,,,43-48,,M. Conley misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by G. Hayward,,43-48,,
8:23.0,G. Hill misses 2-pt shot from 2 ft,,43-48,,
8:23.0,,,43-48,,Defensive rebound by Team
8:23.0,Loose ball foul by R. Gobert (drawn by M. Gasol),,43-48,,
8:23.0,,,43-48,,V. Carter enters the game for M. Conley
8:05.0,,,43-48,,M. Gasol misses 2-pt shot from 13 ft
8:03.0,Defensive rebound by D. Favors,,43-48,,
7:50.0,Turnover by G. Hill (bad pass; steal by M. Gasol),,43-48,,
7:41.0,,,43-48,,T. Allen misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by G. Hayward,,43-48,,
7:21.0,D. Favors makes 2-pt shot from 20 ft (assist by G. Hill),2,45-48,,
7:00.0,,,45-51,3,J. Green makes 3-pt shot from 24 ft (assist by V. Carter)
6:34.0,R. Hood misses 2-pt shot from 18 ft,,45-51,,
6:31.0,,,45-51,,Defensive rebound by T. Allen
6:15.0,,,45-51,,M. Gasol misses 2-pt shot from 7 ft
6:13.0,Defensive rebound by R. Hood,,45-51,,
