time,Detroit,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Turner (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Turner (R. Jackson gains possession)
11:43.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Teague
11:25.0,,,0-0,,M. Turner misses 2-pt shot from 15 ft
11:24.0,Defensive rebound by Team,,0-0,,
11:02.0,M. Morris makes 3-pt shot from 23 ft (assist by J. Leuer),3,3-0,,
10:50.0,,,3-2,2,L. Allen makes 2-pt shot from 2 ft (assist by P. George)
10:35.0,Turnover by R. Jackson (bad pass; steal by C. Miles),,3-2,,
10:31.0,,,3-4,2,C. Miles makes 2-pt shot from 3 ft
10:16.0,A. Drummond makes 2-pt shot from 1 ft (assist by M. Morris),2,5-4,,
10:06.0,,,5-4,,P. George misses 2-pt shot from 15 ft
10:05.0,,,5-4,,Offensive rebound by L. Allen
10:02.0,,,5-4,,Turnover by L. Allen (bad pass)
9:51.0,R. Jackson makes 2-pt shot from 20 ft,2,7-4,,
9:37.0,,,7-6,2,P. George makes 2-pt shot from 4 ft (assist by M. Turner)
9:23.0,M. Morris misses 2-pt shot from 13 ft,,7-6,,
9:22.0,,,7-6,,Defensive rebound by L. Allen
9:16.0,,,7-6,,Shooting foul by J. Leuer (drawn by M. Turner)
9:16.0,,,7-7,1,M. Turner makes free throw 1 of 2
9:16.0,,,7-8,1,M. Turner makes free throw 2 of 2
9:11.0,,,7-8,,Personal foul by L. Allen (drawn by A. Drummond)
8:55.0,J. Leuer makes 2-pt shot from 17 ft (assist by M. Morris),2,9-8,,
8:38.0,,,9-8,,L. Allen misses 2-pt shot from 8 ft
8:38.0,Defensive rebound by J. Leuer,,9-8,,
8:27.0,J. Leuer makes 2-pt shot from 16 ft (assist by R. Jackson),2,11-8,,
8:10.0,,,11-10,2,P. George makes 2-pt shot from 2 ft
7:58.0,R. Jackson misses 2-pt shot from 18 ft,,11-10,,
7:58.0,,,11-10,,Defensive rebound by P. George
7:52.0,Personal foul by M. Morris (drawn by M. Turner),,11-10,,
7:32.0,,,11-10,,P. George misses 3-pt shot from 37 ft
7:31.0,Defensive rebound by M. Morris,,11-10,,
7:24.0,R. Jackson makes 3-pt shot from 24 ft (assist by M. Morris),3,14-10,,
7:06.0,,,14-10,,L. Allen misses 2-pt shot from 4 ft (block by A. Drummond)
7:05.0,Defensive rebound by R. Jackson,,14-10,,
6:53.0,M. Morris misses 2-pt shot from 5 ft (block by L. Allen),,14-10,,
6:53.0,Offensive rebound by Team,,14-10,,
6:53.0,,,14-10,,G. Robinson enters the game for C. Miles
6:42.0,M. Morris misses 2-pt shot from 19 ft,,14-10,,
6:42.0,,,14-10,,Defensive rebound by L. Allen
6:29.0,,,14-10,,M. Turner misses 2-pt shot from 18 ft
6:28.0,,,14-10,,Offensive rebound by L. Allen
6:22.0,,,14-12,2,L. Allen makes 2-pt shot from 18 ft (assist by G. Robinson)
6:06.0,J. Leuer makes 2-pt shot from 16 ft (assist by R. Jackson),2,16-12,,
5:49.0,,,16-14,2,L. Allen makes 2-pt shot from 3 ft (assist by P. George)
5:43.0,Detroit full timeout,,16-14,,
5:34.0,J. Leuer misses 3-pt shot from 25 ft,,16-14,,
