time,Golden State,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. Z. Pachulia (P. Mills gains possession),,,,Jump ball: D. Dedmon vs. Z. Pachulia (P. Mills gains possession)
11:37.0,,,0-0,,D. Dedmon misses 2-pt shot from 10 ft
11:35.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-0,,Turnover by Team (shot clock)
11:19.0,P. McCaw misses 2-pt shot from 19 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by D. Dedmon
11:10.0,,,0-2,2,P. Mills makes 2-pt shot from 20 ft
10:53.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by M. Barnes),2,2-2,,
10:43.0,,,2-4,2,D. Dedmon makes 2-pt shot at rim (assist by P. Mills)
10:19.0,M. Barnes makes 3-pt shot from 25 ft (assist by K. Looney),3,5-4,,
10:01.0,,,5-6,2,D. Green makes 2-pt shot from 1 ft (assist by D. Lee)
9:48.0,Z. Pachulia misses 2-pt shot from 19 ft,,5-6,,
9:48.0,,,5-6,,Defensive rebound by D. Lee
9:32.0,,,5-9,3,K. Anderson makes 3-pt shot from 23 ft (assist by P. Mills)
9:13.0,M. Barnes makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,7-9,,
9:00.0,,,7-9,,K. Anderson misses 3-pt shot from 23 ft
8:59.0,Defensive rebound by Z. Pachulia,,7-9,,
8:46.0,P. McCaw misses 3-pt shot from 24 ft,,7-9,,
8:46.0,Offensive rebound by K. Looney,,7-9,,
8:43.0,M. Barnes misses 3-pt shot from 25 ft,,7-9,,
8:41.0,,,7-9,,Defensive rebound by Team
8:27.0,,,7-9,,P. Mills misses 3-pt shot from 26 ft
8:27.0,,,7-9,,Offensive rebound by K. Anderson
8:23.0,,,7-11,2,K. Anderson makes 2-pt shot from 1 ft
8:06.0,K. Looney misses 2-pt shot from 7 ft,,7-11,,
8:05.0,Offensive rebound by Z. Pachulia,,7-11,,
8:03.0,Z. Pachulia makes 2-pt shot from 2 ft,2,9-11,,
7:53.0,,,9-11,,D. Green misses 3-pt shot from 26 ft
7:52.0,Defensive rebound by M. Barnes,,9-11,,
7:44.0,Shooting foul by D. Lee (drawn by Z. Pachulia),,9-11,,
7:44.0,Z. Pachulia makes free throw 1 of 2,1,10-11,,
7:44.0,Z. Pachulia makes free throw 2 of 2,1,11-11,,
7:28.0,,,11-13,2,D. Lee makes 2-pt shot from 6 ft (assist by D. Green)
7:12.0,S. Livingston misses 2-pt shot from 14 ft,,11-13,,
7:11.0,Offensive rebound by Z. Pachulia,,11-13,,
7:07.0,Z. Pachulia misses 2-pt shot from 5 ft (block by K. Anderson),,11-13,,
7:07.0,,,11-13,,Defensive rebound by D. Lee
7:01.0,,,11-15,2,D. Dedmon makes 2-pt shot at rim (assist by P. Mills)
6:40.0,P. McCaw misses 2-pt shot from 2 ft,,11-15,,
6:39.0,Offensive rebound by Z. Pachulia,,11-15,,
6:38.0,Turnover by M. Barnes (traveling),,11-15,,
6:18.0,,,11-17,2,P. Mills makes 2-pt shot from 19 ft
6:07.0,Z. Pachulia misses 2-pt shot from 1 ft,,11-17,,
6:06.0,Offensive rebound by K. Looney,,11-17,,
6:03.0,K. Looney misses 2-pt shot from 1 ft (block by D. Green),,11-17,,
6:03.0,,,11-17,,Defensive rebound by D. Lee
5:59.0,,,11-19,2,P. Mills makes 2-pt shot from 1 ft (assist by D. Lee)
5:59.0,Golden State full timeout,,11-19,,
5:59.0,D. West enters the game for P. McCaw,,11-19,,
5:59.0,I. Clark enters the game for K. Looney,,11-19,,
5:40.0,M. Barnes misses 3-pt shot from 23 ft,,11-19,,
5:39.0,,,11-19,,Defensive rebound by D. Dedmon
5:38.0,,,11-19,,Turnover by D. Dedmon (bad pass)
5:28.0,D. West misses 2-pt shot from 13 ft,,11-19,,
5:27.0,,,11-19,,Defensive rebound by D. Lee
5:17.0,,,11-22,3,P. Mills makes 3-pt shot from 25 ft
5:06.0,Shooting foul by D. Lee (drawn by M. Barnes),,11-22,,
5:06.0,M. Barnes makes free throw 1 of 2,1,12-22,,
5:06.0,M. Barnes makes free throw 2 of 2,1,13-22,,
5:06.0,,,12-22,,P. Gasol enters the game for D. Lee
5:06.0,,,12-22,,M. Ginobili enters the game for P. Mills
4:44.0,,,13-25,3,D. Green makes 3-pt shot from 26 ft (assist by K. Anderson)
4:30.0,D. West makes 2-pt shot from 12 ft (assist by M. Barnes),2,15-25,,
4:11.0,,,15-25,,Turnover by M. Ginobili (bad pass)
4:11.0,J. McGee enters the game for Z. Pachulia,,15-25,,
3:58.0,S. Livingston misses 2-pt shot from 15 ft,,15-25,,
3:57.0,,,15-25,,Defensive rebound by K. Anderson
3:45.0,,,15-25,,Turnover by D. Green (bad pass; steal by J. McGee)
3:38.0,I. Clark misses 2-pt shot from 10 ft,,15-25,,
3:36.0,,,15-25,,Defensive rebound by D. Dedmon
3:28.0,P. McCaw enters the game for M. Barnes,,15-25,,
3:16.0,,,15-25,,Turnover by P. Gasol (lost ball; steal by D. West)
3:13.0,Shooting foul by M. Ginobili (drawn by P. McCaw),,15-25,,
3:13.0,P. McCaw makes free throw 1 of 2,1,16-25,,
3:13.0,P. McCaw makes free throw 2 of 2,1,17-25,,
3:13.0,,,16-25,,J. Simmons enters the game for K. Anderson
3:13.0,,,16-25,,B. Forbes enters the game for D. Green
3:13.0,M. Barnes enters the game for S. Livingston,,16-25,,
2:49.0,,,17-25,,P. Gasol misses 2-pt shot from 16 ft
2:47.0,Defensive rebound by M. Barnes,,17-25,,
2:39.0,M. Barnes makes 3-pt shot from 22 ft (assist by D. West),3,20-25,,
2:38.0,,,20-25,,San Antonio full timeout
2:19.0,,,20-27,2,D. Dedmon makes 2-pt shot at rim (assist by P. Gasol)
2:01.0,D. West makes 2-pt shot from 10 ft,2,22-27,,
1:49.0,,,22-27,,J. Simmons misses 2-pt shot from 14 ft
1:48.0,Defensive rebound by M. Barnes,,22-27,,
1:37.0,Turnover by I. Clark (lost ball; steal by M. Ginobili),,22-27,,
1:32.0,Personal foul by I. Clark (drawn by M. Ginobili),,22-27,,
1:32.0,,,22-27,,D. Bertans enters the game for D. Dedmon
1:32.0,J. McAdoo enters the game for J. McGee,,22-27,,
1:27.0,,,22-27,,P. Gasol misses 2-pt shot from 6 ft (block by J. McAdoo)
1:25.0,,,22-27,,Offensive rebound by M. Ginobili
1:19.0,,,22-27,,M. Ginobili misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by I. Clark,,22-27,,
1:11.0,D. West misses 2-pt shot from 17 ft,,22-27,,
1:10.0,,,22-27,,Defensive rebound by P. Gasol
1:02.0,Personal foul by J. McAdoo (drawn by D. Bertans),,22-27,,
1:02.0,,,22-28,1,D. Bertans makes free throw 1 of 2
1:02.0,,,22-29,1,D. Bertans makes free throw 2 of 2
0:45.0,Turnover by D. West (lost ball),,22-29,,
0:30.0,,,22-31,2,P. Gasol makes 2-pt shot at rim (assist by M. Ginobili)
0:20.0,J. McAdoo misses 2-pt shot from 2 ft (block by P. Gasol),,22-31,,
0:18.0,,,22-31,,Defensive rebound by M. Ginobili
0:01.0,,,22-33,2,P. Gasol makes 2-pt shot from 8 ft (assist by M. Ginobili)
0:01.0,Turnover by M. Barnes (bad pass),,22-33,,
0:00.0,,,22-33,,B. Forbes misses 2-pt shot from 14 ft
0:00.0,,,22-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,I. Clark makes 2-pt shot from 15 ft,2,24-33,,
11:22.0,,,24-33,,M. Ginobili misses 3-pt shot from 26 ft
11:21.0,Defensive rebound by J. McAdoo,,24-33,,
11:11.0,Turnover by J. McAdoo (lost ball; steal by M. Ginobili),,24-33,,
11:05.0,,,24-36,3,D. Bertans makes 3-pt shot from 25 ft (assist by M. Ginobili)
10:40.0,J. McAdoo misses 2-pt shot from 4 ft (block by D. Bertans),,24-36,,
10:39.0,Offensive rebound by M. Barnes,,24-36,,
10:38.0,Shooting foul by M. Ginobili (drawn by M. Barnes),,24-36,,
10:38.0,M. Barnes makes free throw 1 of 2,1,25-36,,
10:38.0,M. Barnes makes free throw 2 of 2,1,26-36,,
10:38.0,,,25-36,,P. Mills enters the game for B. Forbes
10:29.0,,,26-36,,Shooting foul by P. McCaw (drawn by P. Gasol)
10:29.0,,,26-37,1,P. Gasol makes free throw 1 of 2
10:29.0,,,26-37,,P. Gasol misses free throw 2 of 2
10:29.0,S. Livingston enters the game for M. Barnes,,26-37,,
10:27.0,Defensive rebound by D. Jones,,26-37,,
10:11.0,S. Livingston misses 2-pt shot from 10 ft,,26-37,,
10:09.0,Offensive rebound by P. McCaw,,26-37,,
10:09.0,P. McCaw misses 2-pt shot from 1 ft,,26-37,,
10:07.0,Offensive rebound by D. Jones,,26-37,,
9:53.0,D. Jones misses 2-pt shot from 17 ft,,26-37,,
9:53.0,,,26-37,,Defensive rebound by D. Bertans
9:38.0,,,26-37,,Turnover by P. Gasol (bad pass; steal by J. McAdoo)
9:29.0,I. Clark makes 2-pt shot from 21 ft,2,28-37,,
9:29.0,,,28-37,,San Antonio full timeout
9:29.0,,,28-37,,D. Green enters the game for M. Ginobili
9:29.0,,,28-37,,K. Anderson enters the game for J. Simmons
9:21.0,,,28-37,,Shooting foul by D. Jones (drawn by P. Gasol)
9:21.0,,,28-38,1,P. Gasol makes free throw 1 of 2
9:21.0,,,28-39,1,P. Gasol makes free throw 2 of 2
9:05.0,I. Clark makes 2-pt shot from 12 ft (assist by J. McAdoo),2,30-39,,
8:54.0,,,30-39,,Turnover by D. Green (bad pass; steal by J. McAdoo)
8:49.0,J. McAdoo makes 2-pt shot from 2 ft (assist by S. Livingston),2,32-39,,
8:49.0,,,32-39,,San Antonio full timeout
8:49.0,,,32-39,,D. Lee enters the game for P. Gasol
8:38.0,,,32-42,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Green)
8:26.0,Offensive foul by I. Clark,,32-42,,
8:26.0,Turnover by I. Clark (offensive foul),,32-42,,
8:12.0,,,32-42,,D. Lee misses 2-pt shot at rim
8:12.0,,,32-42,,Offensive rebound by D. Lee
8:12.0,,,32-44,2,D. Lee makes 2-pt shot at rim
8:12.0,Golden State full timeout,,32-44,,
7:53.0,S. Livingston makes 2-pt shot from 9 ft,2,34-44,,
