time,New Orleans,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,C. Lee misses 2-pt shot from 21 ft
12:00.0,Jump ball: A. Davis vs. J. Noah (B. Jennings gains possession),,,,Jump ball: A. Davis vs. J. Noah (B. Jennings gains possession)
11:41.0,Defensive rebound by A. Davis,,0-0,,
11:31.0,Offensive foul by J. Holiday,,0-0,,
11:31.0,Turnover by J. Holiday (offensive foul),,0-0,,
11:23.0,,,0-2,2,K. Porzingis makes 2-pt shot at rim (assist by J. Noah)
11:03.0,A. Davis misses 2-pt shot from 10 ft,,0-2,,
11:02.0,Offensive rebound by D. Cunningham,,0-2,,
10:56.0,D. Cunningham makes 3-pt shot from 22 ft (assist by A. Davis),3,3-2,,
10:41.0,,,3-2,,B. Jennings misses 3-pt shot from 26 ft
10:40.0,,,3-2,,Offensive rebound by C. Lee
10:23.0,,,3-4,2,C. Anthony makes 2-pt shot from 21 ft (assist by J. Noah)
10:05.0,A. Davis makes 2-pt shot from 13 ft,2,5-4,,
9:47.0,,,5-6,2,C. Lee makes 2-pt shot from 4 ft (assist by K. Porzingis)
9:34.0,J. Holiday misses 3-pt shot from 26 ft,,5-6,,
9:34.0,,,5-6,,Defensive rebound by J. Noah
9:14.0,,,5-9,3,C. Anthony makes 3-pt shot from 27 ft (assist by B. Jennings)
9:02.0,S. Hill misses 3-pt shot from 26 ft,,5-9,,
9:00.0,,,5-9,,Defensive rebound by J. Noah
8:50.0,,,5-9,,K. Porzingis misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by A. Davis,,5-9,,
8:33.0,S. Hill misses 2-pt shot from 2 ft (block by K. Porzingis),,5-9,,
8:32.0,,,5-9,,Defensive rebound by B. Jennings
8:24.0,,,5-12,3,C. Lee makes 3-pt shot from 26 ft (assist by B. Jennings)
8:16.0,New Orleans full timeout,,5-12,,
8:08.0,S. Hill misses 3-pt shot from 25 ft,,5-12,,
8:08.0,,,5-12,,Defensive rebound by J. Noah
7:44.0,,,5-12,,C. Anthony misses 2-pt shot from 16 ft
7:43.0,,,5-12,,Offensive rebound by J. Noah
7:43.0,,,5-12,,J. Noah misses 2-pt shot from 2 ft
7:42.0,Defensive rebound by A. Davis,,5-12,,
7:34.0,B. Hield makes 3-pt shot from 26 ft (assist by J. Holiday),3,8-12,,
7:14.0,,,8-12,,K. Porzingis misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by A. Davis,,8-12,,
7:00.0,A. Davis makes 2-pt shot from 5 ft (assist by J. Holiday),2,10-12,,
6:32.0,,,10-14,2,K. Porzingis makes 2-pt shot from 14 ft
6:20.0,Shooting foul by C. Anthony (drawn by A. Davis),,10-14,,
6:20.0,A. Davis makes free throw 1 of 2,1,11-14,,
6:20.0,A. Davis makes free throw 2 of 2,1,12-14,,
6:20.0,,,11-14,,L. Thomas enters the game for K. Porzingis
5:55.0,,,12-14,,B. Jennings misses 3-pt shot from 27 ft
5:54.0,Defensive rebound by J. Holiday,,12-14,,
5:43.0,,,12-14,,Personal foul by J. Noah (drawn by A. Davis)
5:26.0,J. Holiday misses 2-pt shot from 8 ft,,12-14,,
5:25.0,Offensive rebound by A. Davis,,12-14,,
5:24.0,A. Davis makes 2-pt shot from 3 ft,2,14-14,,
5:07.0,,,14-16,2,C. Anthony makes 2-pt shot from 11 ft
4:54.0,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Holiday),3,17-16,,
4:41.0,,,17-16,,C. Lee misses 2-pt shot from 16 ft
4:40.0,Defensive rebound by D. Cunningham,,17-16,,
4:25.0,A. Davis makes 2-pt shot from 6 ft,2,19-16,,
4:16.0,,,19-18,2,B. Jennings makes 2-pt shot at rim
3:59.0,B. Hield misses 2-pt shot from 10 ft,,19-18,,
3:58.0,,,19-18,,Defensive rebound by B. Jennings
3:49.0,,,19-18,,B. Jennings misses 2-pt shot from 5 ft
3:48.0,,,19-18,,Offensive rebound by B. Jennings
3:47.0,,,19-20,2,J. Noah makes 2-pt shot at rim (assist by B. Jennings)
3:44.0,,,19-20,,Violation by Team (jump ball)
3:32.0,B. Hield makes 3-pt shot from 25 ft,3,22-20,,
3:06.0,,,22-20,,L. Thomas misses 2-pt shot from 22 ft
3:05.0,,,22-20,,Offensive rebound by J. Noah
3:04.0,,,22-20,,Turnover by J. Noah (lost ball)
3:04.0,T. Evans enters the game for S. Hill,,22-20,,
3:04.0,,,22-20,,K. O'Quinn enters the game for J. Noah
3:04.0,,,22-20,,R. Baker enters the game for B. Jennings
2:52.0,J. Holiday misses 3-pt shot from 25 ft,,22-20,,
2:51.0,,,22-20,,Defensive rebound by C. Anthony
2:41.0,,,22-20,,K. O'Quinn misses 2-pt shot from 12 ft
2:40.0,Defensive rebound by J. Holiday,,22-20,,
2:29.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,24-20,,
2:22.0,,,24-20,,New York full timeout
2:22.0,,,24-20,,J. Holiday enters the game for C. Lee
2:22.0,L. Galloway enters the game for J. Holiday,,24-20,,
2:09.0,,,24-20,,J. Holiday misses 3-pt shot from 26 ft
2:08.0,Defensive rebound by A. Davis,,24-20,,
2:01.0,T. Evans misses 2-pt shot from 1 ft (block by K. O'Quinn),,24-20,,
2:00.0,,,24-20,,Defensive rebound by C. Anthony
1:55.0,,,24-23,3,C. Anthony makes 3-pt shot from 26 ft
1:34.0,L. Galloway makes 3-pt shot from 26 ft (assist by T. Evans),3,27-23,,
1:10.0,,,27-23,,R. Baker misses 2-pt shot from 2 ft (block by A. Davis)
1:09.0,,,27-23,,Offensive rebound by Team
1:06.0,,,27-23,,Turnover by Team (shot clock)
0:52.0,Shooting foul by K. O'Quinn (drawn by A. Davis),,27-23,,
0:52.0,A. Davis makes free throw 1 of 2,1,28-23,,
0:52.0,A. Davis makes free throw 2 of 2,1,29-23,,
0:52.0,E. Moore enters the game for B. Hield,,28-23,,
0:37.0,,,29-25,2,C. Anthony makes 2-pt shot from 12 ft
0:37.0,,,29-25,,Shooting foul by D. Cunningham (drawn by C. Anthony)
0:37.0,,,29-26,1,C. Anthony makes free throw 1 of 1
0:29.0,L. Galloway misses 2-pt shot from 21 ft,,29-26,,
0:29.0,,,29-26,,Defensive rebound by C. Anthony
0:10.0,,,29-26,,C. Anthony misses 2-pt shot from 20 ft
0:09.0,,,29-26,,Offensive rebound by Team
0:06.0,,,29-26,,Turnover by J. Holiday (bad pass)
0:01.0,A. Davis misses 2-pt shot from 11 ft,,29-26,,
0:00.0,Offensive rebound by Team,,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,Turnover by Team (shot clock),,29-26,,
11:34.0,D. Motiejunas enters the game for S. Hill,,29-26,,
11:20.0,,,29-26,,Shooting foul by D. Motiejunas (drawn by L. Thomas)
11:20.0,,,29-27,1,L. Thomas makes free throw 1 of 2
11:20.0,,,29-28,1,L. Thomas makes free throw 2 of 2
11:16.0,,,29-28,,Personal foul by R. Baker (drawn by E. Moore)
11:04.0,L. Galloway misses 3-pt shot from 27 ft,,29-28,,
11:03.0,,,29-28,,Defensive rebound by K. Porzingis
10:53.0,,,29-28,,J. Holiday misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by Team,,29-28,,
10:52.0,,,29-28,,Loose ball foul by L. Thomas (drawn by L. Galloway)
10:42.0,,,29-28,,Personal foul by L. Thomas (drawn by T. Evans)
10:42.0,,,29-28,,B. Jennings enters the game for R. Baker
10:30.0,L. Galloway misses 2-pt shot from 8 ft,,29-28,,
10:28.0,Offensive rebound by D. Motiejunas,,29-28,,
10:28.0,D. Motiejunas misses 2-pt shot from 1 ft,,29-28,,
10:27.0,,,29-28,,Defensive rebound by K. Porzingis
10:22.0,,,29-28,,K. Porzingis misses 2-pt shot from 9 ft
10:21.0,,,29-28,,Offensive rebound by K. O'Quinn
10:19.0,,,29-30,2,K. O'Quinn makes 2-pt shot at rim
10:02.0,T. Evans makes 3-pt shot from 26 ft,3,32-30,,
9:46.0,,,32-33,3,L. Thomas makes 3-pt shot from 26 ft (assist by B. Jennings)
9:35.0,T. Evans makes 3-pt shot from 24 ft,3,35-33,,
9:21.0,,,35-33,,Offensive foul by K. Porzingis
9:21.0,,,35-33,,Turnover by K. Porzingis (offensive foul)
9:10.0,T. Jones misses 2-pt shot from 3 ft,,35-33,,
9:09.0,Offensive rebound by D. Motiejunas,,35-33,,
9:09.0,E. Moore misses 2-pt shot from 2 ft,,35-33,,
9:08.0,Offensive rebound by Team,,35-33,,
8:49.0,T. Jones makes 2-pt shot from 20 ft (assist by T. Evans),2,37-33,,
8:27.0,Personal foul by E. Moore (drawn by K. O'Quinn),,37-33,,
8:27.0,Official timeout,,37-33,,
8:27.0,,,37-33,,C. Lee enters the game for J. Holiday
8:16.0,,,37-33,,K. Porzingis misses 2-pt shot from 8 ft
8:15.0,Defensive rebound by D. Motiejunas,,37-33,,
8:07.0,L. Galloway misses 2-pt shot from 18 ft,,37-33,,
8:06.0,Offensive rebound by T. Jones,,37-33,,
8:04.0,T. Jones makes 2-pt shot from 2 ft,2,39-33,,
7:50.0,,,39-35,2,B. Jennings makes 2-pt shot from 1 ft
7:28.0,D. Motiejunas makes 3-pt shot from 23 ft (assist by L. Galloway),3,42-35,,
7:15.0,,,42-38,3,B. Jennings makes 3-pt shot from 23 ft
6:50.0,T. Jones misses 2-pt shot from 2 ft (block by K. O'Quinn),,42-38,,
6:49.0,,,42-38,,Defensive rebound by B. Jennings
6:46.0,,,42-41,3,B. Jennings makes 3-pt shot from 25 ft
6:28.0,E. Moore misses 2-pt shot from 5 ft,,42-41,,
6:27.0,,,42-41,,Defensive rebound by K. Porzingis
6:21.0,,,42-41,,B. Jennings misses 3-pt shot from 26 ft
6:20.0,Defensive rebound by T. Jones,,42-41,,
6:14.0,,,42-41,,Personal foul by C. Lee (drawn by T. Evans)
6:14.0,J. Holiday enters the game for T. Evans,,42-41,,
6:14.0,A. Davis enters the game for T. Jones,,42-41,,
6:14.0,,,42-41,,R. Baker enters the game for L. Thomas
6:14.0,,,42-41,,J. Noah enters the game for K. O'Quinn
5:59.0,L. Galloway makes 2-pt shot from 12 ft (assist by D. Motiejunas),2,44-41,,
5:34.0,,,44-41,,K. Porzingis misses 2-pt shot from 15 ft
5:32.0,Defensive rebound by A. Davis,,44-41,,
5:23.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,46-41,,
5:03.0,,,46-41,,K. Porzingis misses 2-pt shot from 5 ft
5:02.0,Defensive rebound by J. Holiday,,46-41,,
4:54.0,,,46-41,,Personal foul by J. Noah (drawn by A. Davis)
4:54.0,,,46-41,,New York full timeout
4:54.0,A. Davis makes free throw 1 of 2,1,47-41,,
4:54.0,A. Davis makes free throw 2 of 2,1,48-41,,
4:54.0,,,46-41,,C. Anthony enters the game for K. Porzingis
4:31.0,,,48-41,,C. Anthony misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by A. Davis,,48-41,,
4:17.0,,,48-41,,Personal foul by J. Noah (drawn by A. Davis)
4:17.0,A. Davis makes free throw 1 of 2,1,49-41,,
4:17.0,A. Davis makes free throw 2 of 2,1,50-41,,
4:17.0,,,49-41,,K. Porzingis enters the game for J. Noah
4:17.0,S. Hill enters the game for D. Motiejunas,,49-41,,
4:00.0,Personal foul by E. Moore (drawn by K. Porzingis),,50-41,,
3:48.0,,,50-41,,K. Porzingis misses 2-pt shot from 4 ft (block by A. Davis)
3:47.0,Defensive rebound by A. Davis,,50-41,,
3:41.0,A. Davis misses 2-pt shot from 16 ft,,50-41,,
3:40.0,Offensive rebound by E. Moore,,50-41,,
3:38.0,E. Moore misses 2-pt shot from 3 ft,,50-41,,
3:36.0,,,50-41,,Defensive rebound by C. Anthony
3:30.0,,,50-41,,Shooting foul by L. Galloway (drawn by K. Porzingis)
3:30.0,,,50-42,1,K. Porzingis makes free throw 1 of 2
3:30.0,,,50-43,1,K. Porzingis makes free throw 2 of 2
3:30.0,D. Cunningham enters the game for L. Galloway,,50-42,,
3:30.0,B. Hield enters the game for E. Moore,,50-42,,
3:14.0,Turnover by S. Hill (bad pass; steal by B. Jennings),,50-43,,
2:55.0,,,50-45,2,C. Anthony makes 2-pt shot from 9 ft (assist by C. Lee)
2:45.0,J. Holiday makes 3-pt shot from 24 ft,3,53-45,,
2:24.0,,,53-45,,C. Anthony misses 2-pt shot from 10 ft
2:23.0,Defensive rebound by A. Davis,,53-45,,
2:09.0,A. Davis misses 2-pt shot from 2 ft,,53-45,,
2:08.0,,,53-45,,Defensive rebound by C. Anthony
1:49.0,,,53-45,,Turnover by B. Jennings (lost ball; steal by B. Hield)
1:44.0,B. Hield makes 3-pt shot from 25 ft (assist by J. Holiday),3,56-45,,
1:22.0,,,56-48,3,B. Jennings makes 3-pt shot from 25 ft (assist by R. Baker)
1:08.0,J. Holiday makes 2-pt shot from 3 ft,2,58-48,,
0:56.0,,,58-48,,K. Porzingis misses 3-pt shot from 26 ft
0:55.0,,,58-48,,Offensive rebound by C. Lee
0:51.0,,,58-48,,C. Lee misses 2-pt shot from 2 ft
0:51.0,Defensive rebound by J. Holiday,,58-48,,
0:42.0,A. Davis misses 2-pt shot from 4 ft,,58-48,,
0:41.0,,,58-48,,Defensive rebound by R. Baker
0:35.0,,,58-48,,Shooting foul by A. Davis (drawn by K. Porzingis)
0:35.0,New Orleans full timeout,,58-48,,
0:35.0,,,58-49,1,K. Porzingis makes free throw 1 of 2
0:35.0,,,58-49,,K. Porzingis misses free throw 2 of 2
0:35.0,Defensive rebound by D. Cunningham,,58-49,,
0:26.0,A. Davis makes 2-pt shot from 12 ft (assist by J. Holiday),2,60-49,,
0:03.0,,,60-51,2,B. Jennings makes 2-pt shot from 3 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,A. Davis makes 2-pt shot from 8 ft (assist by B. Hield),2,62-51,,
11:14.0,,,62-51,,K. Porzingis misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by Team,,62-51,,
11:01.0,Shooting foul by J. Noah (drawn by J. Holiday),,62-51,,
11:01.0,J. Holiday makes free throw 1 of 2,1,63-51,,
11:01.0,J. Holiday makes free throw 2 of 2,1,64-51,,
10:48.0,,,64-53,2,K. Porzingis makes 2-pt shot from 14 ft (assist by C. Anthony)
10:35.0,J. Holiday misses 2-pt shot from 17 ft,,64-53,,
10:34.0,,,64-53,,Defensive rebound by J. Noah
10:16.0,,,64-53,,K. Porzingis misses 2-pt shot from 7 ft
