time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession)
11:42.0,,,0-2,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
11:23.0,D. Lillard misses 2-pt shot from 2 ft (block by B. Griffin),,0-2,,
11:23.0,Offensive rebound by Team,,0-2,,
11:17.0,M. Plumlee misses 2-pt shot from 14 ft,,0-2,,
11:16.0,Offensive rebound by M. Harkless,,0-2,,
11:10.0,M. Plumlee makes 2-pt shot from 9 ft (assist by A. Aminu),2,2-2,,
10:50.0,,,2-4,2,B. Griffin makes 2-pt shot from 15 ft (assist by C. Paul)
10:30.0,M. Harkless misses 2-pt shot from 2 ft,,2-4,,
10:29.0,Offensive rebound by M. Plumlee,,2-4,,
10:26.0,M. Plumlee misses 2-pt shot from 16 ft,,2-4,,
10:23.0,Offensive rebound by M. Harkless,,2-4,,
10:22.0,M. Harkless makes 2-pt shot from 1 ft,2,4-4,,
10:02.0,,,4-4,,J. Redick misses 2-pt shot from 2 ft
9:59.0,Defensive rebound by A. Aminu,,4-4,,
9:54.0,A. Aminu misses 3-pt shot from 24 ft,,4-4,,
9:54.0,Offensive rebound by M. Plumlee,,4-4,,
9:54.0,,,4-4,,Personal foul by J. Redick (drawn by M. Plumlee)
9:46.0,C. McCollum misses 2-pt shot from 10 ft,,4-4,,
9:45.0,,,4-4,,Defensive rebound by B. Griffin
9:39.0,,,4-4,,Offensive foul by D. Jordan
9:39.0,,,4-4,,Turnover by D. Jordan (offensive foul)
9:28.0,Turnover by A. Aminu (bad pass; steal by D. Jordan),,4-4,,
9:23.0,,,4-6,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by C. Paul)
9:03.0,A. Aminu makes 3-pt shot from 28 ft (assist by D. Lillard),3,7-6,,
8:46.0,,,7-6,,B. Griffin misses 2-pt shot from 8 ft
8:44.0,,,7-6,,Offensive rebound by B. Griffin
8:42.0,,,7-6,,Turnover by B. Griffin (lost ball; steal by M. Plumlee)
8:32.0,C. McCollum makes 2-pt shot from 21 ft,2,9-6,,
8:28.0,,,9-6,,Shooting foul by M. Harkless (drawn by L. Mbah a Moute)
8:28.0,,,9-7,1,L. Mbah a Moute makes free throw 1 of 2
8:28.0,,,9-8,1,L. Mbah a Moute makes free throw 2 of 2
8:18.0,A. Aminu makes 2-pt shot at rim,2,11-8,,
8:04.0,,,11-10,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
7:52.0,D. Lillard makes 2-pt shot from 17 ft,2,13-10,,
7:40.0,,,13-10,,B. Griffin misses 2-pt shot from 6 ft
7:37.0,Defensive rebound by D. Lillard,,13-10,,
7:33.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,15-10,,
7:15.0,,,15-13,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by B. Griffin)
6:56.0,M. Harkless misses 2-pt shot from 2 ft,,15-13,,
6:54.0,,,15-13,,Defensive rebound by B. Griffin
6:48.0,,,15-16,3,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin)
6:33.0,D. Lillard misses 2-pt shot from 16 ft,,15-16,,
6:32.0,,,15-16,,Defensive rebound by D. Jordan
6:23.0,,,15-18,2,C. Paul makes 2-pt shot from 13 ft
6:00.0,M. Plumlee misses 2-pt shot from 19 ft,,15-18,,
5:58.0,,,15-18,,Defensive rebound by B. Griffin
5:52.0,,,15-18,,C. Paul misses 3-pt shot from 26 ft
5:50.0,Defensive rebound by A. Aminu,,15-18,,
5:44.0,C. McCollum makes 3-pt shot from 25 ft,3,18-18,,
5:25.0,,,18-18,,J. Redick misses 2-pt shot from 21 ft
5:24.0,,,18-18,,Offensive rebound by B. Griffin
5:16.0,,,18-18,,Shooting foul by D. Lillard (drawn by C. Paul)
5:16.0,,,18-18,,LA Clippers full timeout
5:16.0,,,18-19,1,C. Paul makes free throw 1 of 2
5:16.0,,,18-20,1,C. Paul makes free throw 2 of 2
5:16.0,M. Leonard enters the game for M. Plumlee,,18-18,,
5:16.0,E. Davis enters the game for A. Aminu,,18-18,,
5:02.0,C. McCollum misses 2-pt shot from 3 ft (block by J. Redick),,18-20,,
5:01.0,Offensive rebound by E. Davis,,18-20,,
5:01.0,Shooting foul by C. Paul (drawn by E. Davis),,18-20,,
5:01.0,E. Davis makes free throw 1 of 2,1,19-20,,
5:01.0,E. Davis makes free throw 2 of 2,1,20-20,,
4:47.0,,,20-20,,J. Redick misses 3-pt shot from 26 ft
4:46.0,,,20-20,,Offensive rebound by D. Jordan
4:45.0,,,20-22,2,D. Jordan makes 2-pt shot at rim
4:24.0,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum),3,23-22,,
4:05.0,,,23-22,,Turnover by Team (back court)
4:05.0,E. Turner enters the game for C. McCollum,,23-22,,
4:05.0,A. Crabbe enters the game for M. Harkless,,23-22,,
4:05.0,,,23-22,,J. Crawford enters the game for J. Redick
3:52.0,Turnover by A. Crabbe (lost ball; steal by D. Jordan),,23-22,,
3:45.0,,,23-22,,B. Griffin misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by E. Davis,,23-22,,
3:31.0,A. Crabbe misses 2-pt shot from 7 ft (block by J. Crawford),,23-22,,
3:31.0,Offensive rebound by Team,,23-22,,
3:29.0,Turnover by E. Davis (bad pass),,23-22,,
3:10.0,,,23-24,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
3:10.0,,,23-24,,Shooting foul by M. Leonard (drawn by B. Griffin)
3:10.0,,,23-25,1,B. Griffin makes free throw 1 of 1
3:10.0,,,23-24,,R. Felton enters the game for L. Mbah a Moute
2:57.0,D. Lillard misses 3-pt shot from 29 ft,,23-25,,
2:55.0,,,23-25,,Defensive rebound by D. Jordan
2:41.0,,,23-27,2,J. Crawford makes 2-pt shot from 19 ft (assist by C. Paul)
2:41.0,Portland full timeout,,23-27,,
2:41.0,,,23-27,,M. Speights enters the game for D. Jordan
2:41.0,,,23-27,,W. Johnson enters the game for B. Griffin
2:41.0,N. Vonleh enters the game for M. Leonard,,23-27,,
2:24.0,E. Davis misses 2-pt shot at rim (block by W. Johnson),,23-27,,
2:22.0,,,23-27,,Defensive rebound by Team
2:07.0,,,23-29,2,R. Felton makes 2-pt shot from 2 ft (assist by M. Speights)
1:50.0,N. Vonleh misses 2-pt shot from 3 ft,,23-29,,
1:48.0,,,23-29,,Defensive rebound by C. Paul
1:43.0,,,23-29,,C. Paul misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by E. Turner,,23-29,,
1:23.0,E. Turner makes 2-pt shot from 3 ft,2,25-29,,
1:15.0,Violation by N. Vonleh (def goaltending),,25-29,,
1:15.0,,,25-31,2,R. Felton makes 2-pt shot from 1 ft
0:57.0,D. Lillard misses 2-pt shot from 5 ft,,25-31,,
0:56.0,,,25-31,,Defensive rebound by M. Speights
0:52.0,,,25-33,2,J. Crawford makes 2-pt shot from 20 ft
0:52.0,,,25-33,,Shooting foul by E. Turner (drawn by J. Crawford)
