time,Orlando,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Mozgov (S. Ibaka gains possession),,,,Jump ball: B. Biyombo vs. T. Mozgov (S. Ibaka gains possession)
11:40.0,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier),2,2-0,,
11:19.0,,,2-2,2,L. Deng makes 2-pt shot from 8 ft
11:01.0,S. Ibaka makes 2-pt shot from 18 ft (assist by B. Biyombo),2,4-2,,
10:50.0,,,4-4,2,J. Randle makes 2-pt shot from 8 ft
10:41.0,S. Ibaka misses 2-pt shot from 17 ft,,4-4,,
10:40.0,,,4-4,,Defensive rebound by D. Russell
10:30.0,,,4-4,,J. Randle misses 2-pt shot from 20 ft
10:26.0,Defensive rebound by B. Biyombo,,4-4,,
10:21.0,E. Payton makes 2-pt shot from 13 ft,2,6-4,,
10:07.0,,,6-4,,Turnover by N. Young (bad pass)
9:57.0,Turnover by A. Gordon (traveling),,6-4,,
9:40.0,,,6-6,2,T. Mozgov makes 2-pt shot from 9 ft
9:40.0,,,6-6,,Shooting foul by B. Biyombo (drawn by T. Mozgov)
9:40.0,,,6-7,1,T. Mozgov makes free throw 1 of 1
9:29.0,S. Ibaka misses 3-pt shot from 24 ft,,6-7,,
9:28.0,,,6-7,,Defensive rebound by D. Russell
9:20.0,,,6-7,,N. Young misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by E. Fournier,,6-7,,
9:14.0,Turnover by E. Fournier (bad pass; steal by D. Russell),,6-7,,
9:10.0,,,6-7,,Shooting foul by E. Payton (drawn by D. Russell)
9:10.0,,,6-7,,D. Russell misses free throw 1 of 2
9:10.0,,,6-7,,Offensive rebound by Team
9:10.0,,,6-8,1,D. Russell makes free throw 2 of 2
8:59.0,Turnover by A. Gordon (bad pass),,6-8,,
8:40.0,,,6-10,2,D. Russell makes 2-pt shot from 18 ft (assist by J. Randle)
8:20.0,E. Payton makes 2-pt shot from 15 ft,2,8-10,,
7:56.0,,,8-12,2,J. Randle makes 2-pt shot from 4 ft (assist by D. Russell)
7:43.0,B. Biyombo makes 2-pt shot from 10 ft (assist by E. Payton),2,10-12,,
7:29.0,,,10-15,3,L. Deng makes 3-pt shot from 23 ft (assist by T. Mozgov)
7:13.0,S. Ibaka makes 2-pt shot from 4 ft (assist by E. Payton),2,12-15,,
7:05.0,,,12-15,,D. Russell misses 3-pt shot from 27 ft
7:03.0,Defensive rebound by E. Fournier,,12-15,,
7:03.0,,,12-15,,Personal foul by T. Mozgov (drawn by E. Fournier)
6:46.0,S. Ibaka makes 3-pt shot from 25 ft (assist by E. Payton),3,15-15,,
6:39.0,,,15-15,,LA Lakers full timeout
6:35.0,Personal foul by A. Gordon (drawn by N. Young),,15-15,,
6:24.0,,,15-17,2,T. Mozgov makes 2-pt shot from 2 ft (assist by J. Randle)
6:08.0,E. Fournier misses 2-pt shot from 22 ft,,15-17,,
6:05.0,Offensive rebound by A. Gordon,,15-17,,
6:00.0,Turnover by E. Payton (traveling),,15-17,,
5:36.0,,,15-20,3,D. Russell makes 3-pt shot from 23 ft
5:25.0,E. Fournier makes 2-pt shot from 1 ft,2,17-20,,
5:15.0,,,17-20,,N. Young misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by E. Payton,,17-20,,
5:04.0,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier),2,19-20,,
4:44.0,,,19-22,2,J. Randle makes 2-pt shot from 9 ft
4:28.0,E. Payton misses 2-pt shot from 4 ft,,19-22,,
4:27.0,Offensive rebound by B. Biyombo,,19-22,,
4:25.0,B. Biyombo misses 2-pt shot from 4 ft,,19-22,,
4:23.0,Offensive rebound by B. Biyombo,,19-22,,
4:20.0,E. Fournier makes 2-pt shot from 1 ft (assist by B. Biyombo),2,21-22,,
4:12.0,,,21-22,,J. Randle misses 2-pt shot from 4 ft
4:08.0,Defensive rebound by A. Gordon,,21-22,,
4:08.0,Shooting foul by T. Mozgov (drawn by A. Gordon),,21-22,,
4:08.0,A. Gordon misses free throw 1 of 2,,21-22,,
4:08.0,Offensive rebound by Team,,21-22,,
