time,LA Clippers,pts.away,score,pts.home,Sacramento
5:14.0,,,8-19,2,R. Gay makes 2-pt shot from 14 ft (assist by D. Cousins)
4:51.0,R. Felton misses 2-pt shot from 20 ft,,8-19,,
4:50.0,,,8-19,,Defensive rebound by D. Collison
4:45.0,,,8-19,,Turnover by D. Cousins (bad pass; steal by L. Mbah a Moute)
4:28.0,Turnover by A. Rivers (lost ball; steal by D. Cousins),,8-19,,
4:20.0,,,8-19,,D. Collison misses 3-pt shot from 22 ft
4:20.0,,,8-19,,Offensive rebound by M. Barnes
4:16.0,,,8-22,3,R. Gay makes 3-pt shot from 25 ft (assist by M. Barnes)
3:52.0,J. Redick makes 3-pt shot from 24 ft (assist by R. Felton),3,11-22,,
3:47.0,,,11-24,2,D. Collison makes 2-pt shot from 1 ft (assist by M. Barnes)
3:20.0,A. Rivers makes 2-pt shot from 3 ft,2,13-24,,
3:15.0,,,13-24,,Sacramento full timeout
3:15.0,J. Crawford enters the game for J. Redick,,13-24,,
3:15.0,W. Johnson enters the game for A. Rivers,,13-24,,
3:15.0,,,13-24,,A. Afflalo enters the game for R. Gay
3:03.0,,,13-24,,D. Cousins misses 2-pt shot from 18 ft
3:03.0,Defensive rebound by D. Jordan,,13-24,,
2:56.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,15-24,,
2:56.0,Shooting foul by G. Temple (drawn by D. Jordan),,15-24,,
2:56.0,D. Jordan misses free throw 1 of 1,,15-24,,
2:56.0,,,15-24,,Defensive rebound by M. Barnes
2:38.0,,,15-24,,D. Collison misses 2-pt shot from 18 ft
2:37.0,Defensive rebound by R. Felton,,15-24,,
2:26.0,J. Crawford misses 2-pt shot from 6 ft,,15-24,,
2:25.0,,,15-24,,Defensive rebound by G. Temple
2:01.0,,,15-24,,A. Afflalo misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by W. Johnson,,15-24,,
1:53.0,D. Jordan makes 2-pt shot from 2 ft (assist by J. Crawford),2,17-24,,
1:25.0,,,17-26,2,D. Cousins makes 2-pt shot from 19 ft (assist by M. Barnes)
1:06.0,D. Jordan misses 2-pt shot from 4 ft,,17-26,,
1:05.0,,,17-26,,Defensive rebound by D. Collison
0:56.0,,,17-26,,Shooting foul by R. Felton (drawn by M. Barnes)
0:56.0,,,17-27,1,M. Barnes makes free throw 1 of 2
0:56.0,,,17-27,,M. Barnes misses free throw 2 of 2
0:56.0,Defensive rebound by M. Speights,,17-27,,
0:56.0,C. Paul enters the game for L. Mbah a Moute,,17-27,,
0:56.0,M. Speights enters the game for D. Jordan,,17-27,,
0:56.0,,,17-27,,K. Koufos enters the game for D. Cousins
0:42.0,M. Speights misses 2-pt shot from 15 ft,,17-27,,
