time,Miami,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: D. Nowitzki vs. H. Whiteside (G. Dragic gains possession)
11:43.0,Offensive foul by D. Waiters,,0-0,,
11:43.0,Turnover by D. Waiters (offensive foul),,0-0,,
11:26.0,,,0-0,,H. Barnes misses 2-pt shot from 3 ft
11:25.0,Defensive rebound by H. Whiteside,,0-0,,
11:08.0,Turnover by G. Dragic (lost ball),,0-0,,
10:47.0,,,0-0,,W. Matthews misses 2-pt shot from 10 ft (block by R. McGruder)
10:45.0,Defensive rebound by H. Whiteside,,0-0,,
10:42.0,Turnover by H. Whiteside (lost ball; steal by Y. Ferrell),,0-0,,
10:36.0,,,0-0,,Y. Ferrell misses 2-pt shot from 4 ft
10:34.0,Defensive rebound by H. Whiteside,,0-0,,
10:31.0,D. Waiters misses 2-pt shot from 20 ft,,0-0,,
10:26.0,Offensive rebound by H. Whiteside,,0-0,,
10:26.0,H. Whiteside makes 2-pt shot at rim,2,2-0,,
10:12.0,,,2-0,,Turnover by W. Matthews (bad pass; steal by R. McGruder)
10:07.0,G. Dragic makes 2-pt shot from 3 ft (assist by R. McGruder),2,4-0,,
9:48.0,,,4-0,,Shooting foul by L. Babbitt (drawn by H. Barnes)
9:48.0,,,4-1,1,H. Barnes makes free throw 1 of 2
9:48.0,,,4-2,1,H. Barnes makes free throw 2 of 2
9:35.0,G. Dragic misses 3-pt shot from 25 ft,,4-2,,
9:34.0,,,4-2,,Defensive rebound by H. Barnes
9:25.0,,,4-2,,D. Nowitzki misses 2-pt shot from 16 ft
9:24.0,Defensive rebound by L. Babbitt,,4-2,,
9:17.0,D. Waiters misses 2-pt shot from 11 ft (block by D. Nowitzki),,4-2,,
9:17.0,Offensive rebound by Team,,4-2,,
9:14.0,D. Waiters makes 3-pt shot from 26 ft (assist by G. Dragic),3,7-2,,
8:48.0,,,7-4,2,H. Barnes makes 2-pt shot from 17 ft
8:28.0,R. McGruder makes 3-pt shot from 26 ft (assist by D. Waiters),3,10-4,,
8:13.0,,,10-6,2,D. Nowitzki makes 2-pt shot from 4 ft (assist by S. Curry)
8:04.0,D. Waiters misses 2-pt shot from 9 ft,,10-6,,
8:03.0,,,10-6,,Defensive rebound by Y. Ferrell
7:57.0,,,10-6,,Y. Ferrell misses 2-pt shot from 5 ft
7:55.0,,,10-6,,Offensive rebound by H. Barnes
7:55.0,,,10-6,,H. Barnes misses 2-pt shot from 5 ft
7:54.0,Defensive rebound by H. Whiteside,,10-6,,
7:53.0,,,10-6,,Personal block foul by W. Matthews (drawn by G. Dragic)
7:36.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,12-6,,
7:08.0,,,12-8,2,H. Barnes makes 2-pt shot from 11 ft (assist by D. Nowitzki)
6:48.0,H. Whiteside misses 2-pt shot from 4 ft,,12-8,,
6:47.0,,,12-8,,Defensive rebound by D. Nowitzki
6:36.0,,,12-8,,W. Matthews misses 3-pt shot from 26 ft
6:35.0,Defensive rebound by L. Babbitt,,12-8,,
6:19.0,G. Dragic makes 2-pt shot from 11 ft,2,14-8,,
6:18.0,,,14-8,,Dallas full timeout
6:18.0,,,14-8,,Q. Cook enters the game for D. Nowitzki
6:18.0,,,14-8,,N. Noel enters the game for Y. Ferrell
6:16.0,T. Johnson enters the game for G. Dragic,,14-8,,
5:57.0,,,14-8,,Turnover by Q. Cook (bad pass; steal by T. Johnson)
5:54.0,D. Waiters makes 2-pt shot from 3 ft,2,16-8,,
5:54.0,Shooting foul by S. Curry (drawn by D. Waiters),,16-8,,
5:54.0,D. Waiters makes free throw 1 of 1,1,17-8,,
5:38.0,,,17-10,2,H. Barnes makes 2-pt shot from 9 ft
5:17.0,Turnover by T. Johnson (bad pass; steal by W. Matthews),,17-10,,
5:01.0,,,17-10,,Q. Cook misses 2-pt shot from 13 ft
5:00.0,Defensive rebound by T. Johnson,,17-10,,
4:42.0,D. Waiters makes 2-pt shot from 19 ft,2,19-10,,
4:21.0,,,19-10,,S. Curry misses 3-pt shot from 28 ft
4:20.0,Defensive rebound by H. Whiteside,,19-10,,
4:10.0,T. Johnson makes 2-pt shot from 11 ft,2,21-10,,
3:48.0,,,21-10,,H. Barnes misses 2-pt shot from 12 ft
3:47.0,Defensive rebound by T. Johnson,,21-10,,
3:36.0,Shooting foul by N. Noel (drawn by H. Whiteside),,21-10,,
3:36.0,H. Whiteside misses free throw 1 of 2,,21-10,,
3:36.0,Offensive rebound by Team,,21-10,,
3:36.0,H. Whiteside makes free throw 2 of 2,1,22-10,,
3:36.0,J. Johnson enters the game for L. Babbitt,,21-10,,
3:21.0,,,22-13,3,S. Curry makes 3-pt shot from 24 ft
3:07.0,H. Whiteside makes 2-pt shot from 3 ft (assist by D. Waiters),2,24-13,,
2:51.0,,,24-15,2,Q. Cook makes 2-pt shot from 18 ft
2:37.0,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson),2,26-15,,
2:14.0,,,26-15,,Shooting foul by T. Johnson (drawn by W. Matthews)
2:14.0,Miami full timeout,,26-15,,
2:14.0,,,26-16,1,W. Matthews makes free throw 1 of 2
2:14.0,,,26-17,1,W. Matthews makes free throw 2 of 2
2:14.0,,,26-15,,D. Harris enters the game for H. Barnes
2:14.0,,,26-15,,Y. Ferrell enters the game for S. Curry
2:14.0,,,26-15,,D. Nowitzki enters the game for Q. Cook
2:14.0,G. Dragic enters the game for D. Waiters,,26-15,,
1:54.0,T. Johnson makes 2-pt shot from 9 ft,2,28-17,,
1:34.0,,,28-17,,W. Matthews misses 2-pt shot from 16 ft
1:33.0,Defensive rebound by J. Johnson,,28-17,,
1:22.0,G. Dragic makes 2-pt shot from 6 ft,2,30-17,,
1:22.0,Shooting foul by N. Noel (drawn by G. Dragic),,30-17,,
1:22.0,G. Dragic makes free throw 1 of 1,1,31-17,,
1:22.0,,,30-17,,D. Finney-Smith enters the game for W. Matthews
1:22.0,W. Ellington enters the game for R. McGruder,,30-17,,
1:11.0,Personal block foul by T. Johnson (drawn by Y. Ferrell),,31-17,,
0:58.0,,,31-17,,D. Finney-Smith misses 2-pt shot from 9 ft
0:58.0,,,31-17,,Offensive rebound by D. Finney-Smith
0:58.0,,,31-19,2,D. Finney-Smith makes 2-pt shot from 9 ft
0:47.0,G. Dragic misses 2-pt shot from 14 ft,,31-19,,
0:46.0,,,31-19,,Defensive rebound by D. Nowitzki
0:37.0,,,31-22,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris)
0:21.0,G. Dragic misses 2-pt shot from 3 ft,,31-22,,
0:20.0,,,31-22,,Defensive rebound by D. Nowitzki
0:03.0,,,31-22,,Y. Ferrell misses 3-pt shot from 25 ft (block by W. Ellington)
0:00.0,,,31-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
