time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee (A. Harrison gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (A. Harrison gains possession)
11:45.0,,,0-0,,Turnover by T. Williams (bad pass; steal by M. Plumlee)
11:37.0,Turnover by C. McCollum (lost ball),,0-0,,
11:18.0,,,0-0,,A. Harrison misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by E. Turner,,0-0,,
11:02.0,E. Turner misses 2-pt shot from 18 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by J. Green
10:52.0,,,0-0,,M. Gasol misses 2-pt shot from 20 ft
10:49.0,Defensive rebound by E. Turner,,0-0,,
10:41.0,M. Plumlee misses 2-pt shot from 4 ft,,0-0,,
10:37.0,Offensive rebound by M. Plumlee,,0-0,,
10:37.0,M. Plumlee misses 2-pt shot from 2 ft,,0-0,,
10:35.0,,,0-0,,Defensive rebound by M. Gasol
10:31.0,,,0-0,,A. Harrison misses 3-pt shot from 24 ft
10:30.0,,,0-0,,Offensive rebound by M. Gasol
10:24.0,Personal foul by D. Lillard (drawn by T. Allen),,0-0,,
10:15.0,,,0-2,2,J. Green makes 2-pt shot from 19 ft (assist by A. Harrison)
9:58.0,Shooting foul by A. Harrison (drawn by D. Lillard),,0-2,,
9:58.0,D. Lillard makes free throw 1 of 2,1,1-2,,
9:58.0,D. Lillard makes free throw 2 of 2,1,2-2,,
9:37.0,,,2-2,,A. Harrison misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by M. Leonard,,2-2,,
9:31.0,D. Lillard makes 3-pt shot from 24 ft,3,5-2,,
9:12.0,,,5-4,2,M. Gasol makes 2-pt shot from 12 ft (assist by J. Green)
8:46.0,D. Lillard misses 3-pt shot from 25 ft,,5-4,,
8:45.0,,,5-4,,Defensive rebound by J. Green
8:31.0,,,5-4,,Shooting foul by M. Leonard (drawn by M. Gasol)
8:31.0,,,5-4,,M. Gasol misses free throw 1 of 2
8:31.0,,,5-4,,Offensive rebound by Team
8:31.0,,,5-5,1,M. Gasol makes free throw 2 of 2
8:07.0,M. Plumlee misses 2-pt shot from 1 ft,,5-5,,
8:05.0,,,5-5,,Defensive rebound by T. Williams
8:00.0,,,5-8,3,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison)
7:44.0,Shooting foul by T. Williams (drawn by E. Turner),,5-8,,
7:44.0,E. Turner makes free throw 1 of 2,1,6-8,,
7:44.0,E. Turner makes free throw 2 of 2,1,7-8,,
7:27.0,,,7-8,,Turnover by J. Green (bad pass; steal by D. Lillard)
7:20.0,D. Lillard misses 2-pt shot from 2 ft,,7-8,,
7:20.0,Offensive rebound by Team,,7-8,,
7:16.0,M. Leonard misses 2-pt shot from 3 ft,,7-8,,
7:15.0,,,7-8,,Defensive rebound by T. Williams
7:01.0,,,7-10,2,M. Gasol makes 2-pt shot from 7 ft
6:58.0,,,7-10,,Violation by Team (jump ball)
6:42.0,D. Lillard misses 2-pt shot from 24 ft,,7-10,,
6:41.0,,,7-10,,Defensive rebound by M. Gasol
6:33.0,Personal foul by M. Plumlee (drawn by M. Gasol),,7-10,,
6:26.0,,,7-10,,Shooting foul by C. McCollum (drawn by A. Harrison)
6:26.0,,,7-10,,A. Harrison misses free throw 1 of 2
6:26.0,,,7-10,,Offensive rebound by Team
6:26.0,,,7-11,1,A. Harrison makes free throw 2 of 2
6:19.0,Shooting foul by T. Allen (drawn by C. McCollum),,7-11,,
6:19.0,C. McCollum makes free throw 1 of 3,1,8-11,,
6:19.0,C. McCollum makes free throw 2 of 3,1,9-11,,
6:19.0,C. McCollum makes free throw 3 of 3,1,10-11,,
6:03.0,,,10-11,,T. Allen misses 2-pt shot from 4 ft
6:02.0,,,10-11,,Offensive rebound by T. Allen
6:02.0,,,10-11,,Shooting foul by M. Leonard (drawn by T. Allen)
6:02.0,,,10-12,1,T. Allen makes free throw 1 of 2
6:02.0,,,10-12,,T. Allen misses free throw 2 of 2
6:01.0,Defensive rebound by M. Leonard,,10-12,,
5:49.0,C. McCollum makes 3-pt shot from 24 ft (assist by M. Plumlee),3,13-12,,
5:37.0,,,13-12,,J. Green misses 2-pt shot from 20 ft
5:36.0,Defensive rebound by D. Lillard,,13-12,,
5:29.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,15-12,,
5:12.0,,,15-12,,M. Gasol misses 2-pt shot from 14 ft
5:12.0,Defensive rebound by M. Leonard,,15-12,,
5:04.0,Turnover by D. Lillard (lost ball; steal by A. Harrison),,15-12,,
4:57.0,,,15-12,,T. Allen misses 2-pt shot from 2 ft
4:53.0,,,15-12,,Offensive rebound by T. Allen
4:53.0,,,15-14,2,T. Allen makes 2-pt shot from 2 ft
4:36.0,D. Lillard misses 2-pt shot from 2 ft,,15-14,,
4:35.0,Offensive rebound by D. Lillard,,15-14,,
4:34.0,D. Lillard misses 2-pt shot from 2 ft,,15-14,,
4:33.0,,,15-14,,Defensive rebound by J. Green
4:29.0,,,15-14,,Memphis full timeout
4:29.0,,,15-14,,T. Daniels enters the game for T. Allen
4:29.0,,,15-14,,Z. Randolph enters the game for J. Green
4:29.0,A. Aminu enters the game for M. Leonard,,15-14,,
4:29.0,E. Davis enters the game for M. Plumlee,,15-14,,
4:29.0,A. Crabbe enters the game for C. McCollum,,15-14,,
4:20.0,,,15-14,,M. Gasol misses 2-pt shot from 7 ft
4:20.0,,,15-14,,Offensive rebound by Team
4:20.0,M. Plumlee enters the game for E. Turner,,15-14,,
4:07.0,,,15-14,,Z. Randolph misses 2-pt shot from 19 ft
4:06.0,Defensive rebound by A. Crabbe,,15-14,,
3:57.0,A. Crabbe misses 3-pt shot from 25 ft,,15-14,,
3:56.0,Offensive rebound by E. Davis,,15-14,,
3:40.0,A. Crabbe makes 2-pt shot from 15 ft (assist by A. Aminu),2,17-14,,
3:40.0,Shooting foul by T. Daniels (drawn by A. Crabbe),,17-14,,
3:40.0,A. Crabbe misses free throw 1 of 1,,17-14,,
3:39.0,,,17-14,,Defensive rebound by M. Gasol
3:26.0,,,17-14,,A. Harrison misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by M. Plumlee,,17-14,,
3:09.0,A. Aminu makes 2-pt shot from 22 ft,2,19-14,,
2:59.0,,,19-14,,Memphis full timeout
2:59.0,J. Layman enters the game for M. Plumlee,,19-14,,
2:59.0,,,19-14,,D. Davis enters the game for M. Gasol
2:59.0,,,19-14,,W. Baldwin enters the game for T. Williams
2:59.0,,,19-14,,J. Martin enters the game for A. Harrison
2:51.0,,,19-14,,T. Daniels misses 2-pt shot from 21 ft
2:51.0,Defensive rebound by Team,,19-14,,
2:29.0,E. Davis misses 2-pt shot from 5 ft,,19-14,,
2:26.0,,,19-14,,Defensive rebound by Z. Randolph
2:11.0,,,19-14,,Z. Randolph misses 2-pt shot from 4 ft
2:10.0,Defensive rebound by A. Crabbe,,19-14,,
1:59.0,J. Layman misses 2-pt shot from 9 ft,,19-14,,
1:57.0,,,19-14,,Defensive rebound by Z. Randolph
1:56.0,,,19-14,,Turnover by W. Baldwin (offensive foul)
1:56.0,,,19-14,,Offensive charge foul by W. Baldwin
1:39.0,J. Layman misses 3-pt shot from 24 ft,,19-14,,
1:37.0,Offensive rebound by E. Davis,,19-14,,
1:37.0,E. Davis misses 2-pt shot from 1 ft,,19-14,,
1:34.0,,,19-14,,Defensive rebound by D. Davis
1:22.0,,,19-14,,Z. Randolph misses 2-pt shot from 3 ft (block by E. Davis)
1:17.0,,,19-14,,Offensive rebound by Z. Randolph
1:15.0,,,19-14,,T. Daniels misses 3-pt shot from 23 ft
1:14.0,Defensive rebound by E. Davis,,19-14,,
1:12.0,,,19-14,,Personal foul by D. Davis (drawn by D. Lillard)
1:12.0,D. Lillard makes free throw 1 of 2,1,20-14,,
1:12.0,D. Lillard misses free throw 2 of 2,,20-14,,
1:10.0,,,20-14,,Defensive rebound by Z. Randolph
0:52.0,,,20-14,,Turnover by W. Baldwin (bad pass; steal by A. Aminu)
0:36.0,J. Layman misses 3-pt shot from 25 ft,,20-14,,
0:35.0,,,20-14,,Defensive rebound by D. Davis
0:16.0,,,20-14,,T. Daniels misses 2-pt shot from 21 ft
0:15.0,Defensive rebound by A. Crabbe,,20-14,,
0:01.0,D. Lillard makes 2-pt shot from 7 ft,2,22-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. McCollum makes 2-pt shot from 18 ft (assist by E. Davis),2,24-14,,
11:23.0,,,24-16,2,J. Martin makes 2-pt shot from 2 ft (assist by Z. Randolph)
11:10.0,C. McCollum makes 2-pt shot from 7 ft,2,26-16,,
10:51.0,,,26-19,3,T. Douglas makes 3-pt shot from 24 ft
10:30.0,A. Aminu misses 3-pt shot from 25 ft,,26-19,,
10:29.0,Offensive rebound by J. Layman,,26-19,,
10:26.0,J. Layman misses 2-pt shot from 8 ft,,26-19,,
10:26.0,,,26-19,,Defensive rebound by Team
10:26.0,Loose ball foul by E. Davis (drawn by D. Davis),,26-19,,
10:10.0,,,26-19,,T. Daniels misses 2-pt shot from 16 ft
10:09.0,Defensive rebound by A. Aminu,,26-19,,
9:58.0,E. Davis makes 2-pt shot from 4 ft (assist by C. McCollum),2,28-19,,
9:41.0,,,28-21,2,Z. Randolph makes 2-pt shot from 4 ft
9:27.0,Shooting foul by Z. Randolph (drawn by A. Aminu),,28-21,,
9:27.0,A. Aminu misses free throw 1 of 2,,28-21,,
9:27.0,Offensive rebound by Team,,28-21,,
9:27.0,A. Aminu makes free throw 2 of 2,1,29-21,,
9:07.0,,,29-21,,Z. Randolph misses 2-pt shot from 15 ft
9:05.0,Defensive rebound by A. Aminu,,29-21,,
8:54.0,A. Aminu misses 3-pt shot from 25 ft,,29-21,,
