time,Detroit,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. B. Lopez (T. Harris gains possession),,,,Jump ball: A. Drummond vs. B. Lopez (T. Harris gains possession)
11:36.0,I. Smith makes 3-pt shot from 24 ft (assist by A. Drummond),3,3-0,,
11:21.0,,,3-2,2,B. Lopez makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
11:01.0,A. Drummond misses 2-pt shot from 4 ft,,3-2,,
11:00.0,,,3-2,,Defensive rebound by B. Lopez
10:55.0,Personal foul by T. Harris (drawn by J. Lin),,3-2,,
10:50.0,,,3-4,2,J. Lin makes 2-pt shot from 2 ft
10:30.0,M. Morris makes 2-pt shot from 9 ft,2,5-4,,
10:19.0,,,5-6,2,J. Lin makes 2-pt shot from 7 ft
10:06.0,Turnover by A. Drummond (lost ball; steal by R. Hollis-Jefferson),,5-6,,
10:01.0,,,5-6,,Turnover by J. Lin (traveling)
9:51.0,I. Smith misses 2-pt shot from 7 ft,,5-6,,
9:50.0,,,5-6,,Defensive rebound by T. Booker
9:42.0,,,5-9,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by T. Booker)
9:18.0,Turnover by I. Smith (bad pass; steal by T. Booker),,5-9,,
9:08.0,,,5-11,2,B. Lopez makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
9:01.0,Detroit full timeout,,5-11,,
8:55.0,,,5-11,,Personal foul by B. Bogdanovic (drawn by K. Caldwell-Pope)
8:47.0,A. Drummond misses 2-pt shot from 6 ft,,5-11,,
8:46.0,,,5-11,,Defensive rebound by R. Hollis-Jefferson
8:37.0,,,5-13,2,B. Lopez makes 2-pt shot from 4 ft
8:37.0,,,5-13,,Shooting foul by M. Morris (drawn by B. Lopez)
8:37.0,,,5-14,1,B. Lopez makes free throw 1 of 1
8:19.0,M. Morris makes 2-pt shot from 13 ft,2,7-14,,
8:07.0,,,7-16,2,T. Booker makes 2-pt shot from 1 ft
7:51.0,T. Harris makes 3-pt shot from 23 ft (assist by A. Drummond),3,10-16,,
7:43.0,,,10-16,,Shooting foul by I. Smith (drawn by B. Lopez)
7:43.0,,,10-16,,B. Lopez misses free throw 1 of 2
7:43.0,,,10-16,,Offensive rebound by Team
7:43.0,,,10-17,1,B. Lopez makes free throw 2 of 2
7:20.0,M. Morris misses 2-pt shot from 2 ft,,10-17,,
7:19.0,Offensive rebound by K. Caldwell-Pope,,10-17,,
7:18.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,10-17,,
7:16.0,Offensive rebound by K. Caldwell-Pope,,10-17,,
7:08.0,T. Harris makes 2-pt shot from 14 ft (assist by M. Morris),2,12-17,,
6:51.0,,,12-20,3,B. Lopez makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
6:31.0,,,12-20,,J. Hamilton enters the game for T. Booker
6:31.0,,,12-20,,J. Harris enters the game for B. Bogdanovic
6:31.0,Offensive foul by K. Caldwell-Pope,,12-20,,
6:31.0,Turnover by K. Caldwell-Pope (offensive foul),,12-20,,
6:29.0,,,12-22,2,J. Lin makes 2-pt shot at rim (assist by B. Lopez)
6:16.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by I. Smith),2,14-22,,
6:16.0,Shooting foul by J. Harris (drawn by K. Caldwell-Pope),,14-22,,
6:16.0,K. Caldwell-Pope makes free throw 1 of 1,1,15-22,,
6:04.0,,,15-22,,R. Hollis-Jefferson misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by Team,,15-22,,
5:53.0,I. Smith misses 2-pt shot from 3 ft,,15-22,,
5:52.0,,,15-22,,Defensive rebound by B. Lopez
5:50.0,,,15-22,,Turnover by B. Lopez (bad pass; steal by K. Caldwell-Pope)
5:47.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,17-22,,
5:33.0,,,17-25,3,B. Lopez makes 3-pt shot from 23 ft (assist by J. Lin)
5:13.0,A. Drummond makes 2-pt shot from 7 ft (assist by M. Morris),2,19-25,,
4:59.0,,,19-25,,Turnover by J. Hamilton (bad pass; steal by K. Caldwell-Pope)
4:51.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Harris),,19-25,,
4:51.0,T. Harris makes free throw 1 of 2,1,20-25,,
