time,Boston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: A. Johnson vs. M. Plumlee (N. Vonleh gains possession)
11:47.0,,,0-0,,Turnover by M. Plumlee (bad pass; steal by M. Smart)
11:40.0,J. Brown makes 3-pt shot from 25 ft (assist by M. Smart),3,3-0,,
11:23.0,,,3-0,,D. Lillard misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by J. Brown,,3-0,,
11:07.0,A. Horford misses 2-pt shot from 2 ft,,3-0,,
11:07.0,,,3-0,,Defensive rebound by N. Vonleh
10:58.0,,,3-2,2,D. Lillard makes 2-pt shot from 22 ft
10:33.0,I. Thomas misses 3-pt shot from 25 ft,,3-2,,
10:33.0,,,3-2,,Defensive rebound by D. Lillard
10:20.0,,,3-4,2,C. McCollum makes 2-pt shot from 14 ft
9:58.0,A. Horford makes 2-pt shot from 12 ft,2,5-4,,
9:43.0,,,5-4,,Shooting foul by A. Horford (drawn by M. Plumlee)
9:43.0,,,5-4,,M. Plumlee misses free throw 1 of 2
9:43.0,,,5-4,,Offensive rebound by Team
9:43.0,,,5-5,1,M. Plumlee makes free throw 2 of 2
9:25.0,Turnover by A. Horford (lost ball; steal by M. Harkless),,5-5,,
9:19.0,,,5-7,2,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Vonleh)
9:03.0,I. Thomas misses 3-pt shot from 26 ft (block by M. Harkless),,5-7,,
8:59.0,Offensive rebound by A. Horford,,5-7,,
8:55.0,I. Thomas misses 2-pt shot from 2 ft (block by N. Vonleh),,5-7,,
8:53.0,,,5-7,,Defensive rebound by M. Harkless
8:52.0,Personal foul by J. Brown (drawn by M. Plumlee),,5-7,,
8:52.0,,,5-8,1,M. Plumlee makes free throw 1 of 2
8:52.0,,,5-8,,M. Plumlee misses free throw 2 of 2
8:31.0,Defensive rebound by J. Brown,,5-8,,
8:30.0,A. Horford misses 2-pt shot from 11 ft,,5-8,,
8:28.0,,,5-8,,Defensive rebound by N. Vonleh
8:17.0,,,5-8,,M. Plumlee misses 2-pt shot from 1 ft
8:13.0,Defensive rebound by A. Johnson,,5-8,,
8:07.0,I. Thomas misses 3-pt shot from 26 ft,,5-8,,
8:05.0,,,5-8,,Defensive rebound by N. Vonleh
7:47.0,,,5-10,2,C. McCollum makes 2-pt shot from 21 ft
7:38.0,,,5-10,,Personal foul by M. Harkless (drawn by I. Thomas)
7:31.0,J. Brown misses 2-pt shot from 3 ft,,5-10,,
7:30.0,Offensive rebound by A. Johnson,,5-10,,
7:28.0,A. Johnson misses 2-pt shot at rim,,5-10,,
7:27.0,Offensive rebound by A. Johnson,,5-10,,
7:26.0,A. Johnson misses 2-pt shot from 1 ft,,5-10,,
7:25.0,Offensive rebound by A. Johnson,,5-10,,
7:25.0,Shooting foul by N. Vonleh (drawn by A. Johnson),,5-10,,
7:25.0,A. Johnson misses free throw 1 of 2,,5-10,,
7:25.0,Offensive rebound by Team,,5-10,,
7:25.0,A. Johnson makes free throw 2 of 2,1,6-10,,
7:10.0,,,6-10,,M. Harkless misses 2-pt shot at rim
7:10.0,,,6-10,,Offensive rebound by M. Plumlee
7:08.0,,,6-12,2,M. Plumlee makes 2-pt shot from 1 ft
7:05.0,Boston full timeout,,6-12,,
6:53.0,M. Smart misses 3-pt shot from 24 ft,,6-12,,
6:53.0,,,6-12,,Defensive rebound by D. Lillard
6:41.0,,,6-12,,N. Vonleh misses 2-pt shot from 17 ft
6:40.0,Defensive rebound by A. Horford,,6-12,,
6:26.0,I. Thomas makes 2-pt shot from 2 ft,2,8-12,,
6:06.0,,,8-14,2,C. McCollum makes 2-pt shot from 4 ft
5:47.0,J. Brown misses 2-pt shot from 3 ft,,8-14,,
5:45.0,,,8-14,,Defensive rebound by M. Plumlee
5:38.0,,,8-17,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
5:13.0,M. Smart makes 2-pt shot from 22 ft,2,10-17,,
4:56.0,Personal foul by A. Johnson (drawn by M. Plumlee),,10-17,,
4:56.0,K. Olynyk enters the game for J. Brown,,10-17,,
4:56.0,J. Young enters the game for A. Johnson,,10-17,,
4:56.0,,,10-17,,A. Crabbe enters the game for C. McCollum
4:45.0,,,10-19,2,N. Vonleh makes 2-pt shot at rim (assist by M. Plumlee)
4:27.0,M. Smart makes 2-pt shot from 23 ft,2,12-19,,
4:10.0,,,12-19,,Shooting foul by J. Young (drawn by M. Plumlee)
4:10.0,,,12-20,1,M. Plumlee makes free throw 1 of 2
4:10.0,,,12-20,,M. Plumlee misses free throw 2 of 2
4:10.0,Defensive rebound by K. Olynyk,,12-20,,
4:10.0,G. Green enters the game for I. Thomas,,12-20,,
3:55.0,M. Smart makes 2-pt shot from 1 ft (assist by A. Horford),2,14-20,,
3:55.0,,,14-20,,Violation by M. Plumlee (def goaltending)
3:41.0,,,14-23,3,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee)
3:28.0,J. Young misses 2-pt shot from 19 ft,,14-23,,
3:28.0,,,14-23,,Defensive rebound by M. Harkless
3:19.0,,,14-23,,D. Lillard misses 3-pt shot from 25 ft
3:14.0,,,14-23,,Offensive rebound by M. Plumlee
3:14.0,,,14-23,,Turnover by Team (back court)
3:14.0,,,14-23,,A. Aminu enters the game for M. Harkless
3:14.0,,,14-23,,P. Connaughton enters the game for N. Vonleh
3:05.0,M. Smart misses 3-pt shot from 27 ft,,14-23,,
3:05.0,,,14-23,,Defensive rebound by M. Plumlee
2:43.0,,,14-23,,Shooting foul by J. Young (drawn by A. Aminu)
2:43.0,,,14-23,,Portland full timeout
2:43.0,,,14-23,,A. Aminu misses free throw 1 of 3
2:43.0,,,14-23,,Offensive rebound by Team
2:43.0,,,14-23,,A. Aminu misses free throw 2 of 3
2:43.0,,,14-23,,Offensive rebound by Team
2:43.0,,,14-24,1,A. Aminu makes free throw 3 of 3
2:43.0,,,14-23,,M. Leonard enters the game for M. Plumlee
2:43.0,T. Rozier enters the game for M. Smart,,14-23,,
2:21.0,A. Horford misses 2-pt shot from 8 ft,,14-24,,
2:20.0,,,14-24,,Defensive rebound by M. Leonard
2:11.0,,,14-24,,D. Lillard misses 2-pt shot from 2 ft
2:11.0,Defensive rebound by K. Olynyk,,14-24,,
2:02.0,T. Rozier makes 2-pt shot from 2 ft (assist by A. Horford),2,16-24,,
2:02.0,Shooting foul by A. Crabbe (drawn by T. Rozier),,16-24,,
2:02.0,T. Rozier makes free throw 1 of 1,1,17-24,,
2:02.0,J. Jerebko enters the game for A. Horford,,16-24,,
2:02.0,,,16-24,,C. McCollum enters the game for D. Lillard
1:47.0,,,17-27,3,P. Connaughton makes 3-pt shot from 25 ft (assist by C. McCollum)
1:27.0,T. Rozier misses 2-pt shot from 22 ft,,17-27,,
1:27.0,,,17-27,,Defensive rebound by A. Aminu
1:16.0,,,17-27,,A. Aminu misses 2-pt shot from 3 ft
1:16.0,,,17-27,,Offensive rebound by Team
1:09.0,,,17-27,,C. McCollum misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by J. Jerebko,,17-27,,
0:57.0,G. Green makes 2-pt shot from 2 ft,2,19-27,,
0:35.0,,,19-27,,Shooting foul by K. Olynyk (drawn by C. McCollum)
0:35.0,,,19-28,1,C. McCollum makes free throw 1 of 2
0:35.0,,,19-29,1,C. McCollum makes free throw 2 of 2
0:27.0,T. Rozier makes 3-pt shot from 24 ft,3,22-29,,
0:07.0,,,22-31,2,A. Aminu makes 2-pt shot from 2 ft (assist by C. McCollum)
0:07.0,,,22-31,,Shooting foul by J. Young (drawn by A. Aminu)
0:07.0,,,22-32,1,A. Aminu makes free throw 1 of 1
0:00.0,T. Rozier misses 3-pt shot from 26 ft,,22-32,,
0:00.0,Offensive rebound by Team,,22-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
