time,New Orleans,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. L. Nance (D. Cunningham gains possession),,,,Jump ball: A. Ajinca vs. L. Nance (D. Cunningham gains possession)
11:43.0,S. Hill misses 3-pt shot from 25 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Clarkson
11:25.0,,,0-0,,M. World Peace misses 2-pt shot from 23 ft
11:23.0,Defensive rebound by T. Frazier,,0-0,,
11:17.0,Turnover by T. Frazier (lost ball; steal by J. Clarkson),,0-0,,
11:07.0,,,0-0,,B. Ingram misses 2-pt shot from 1 ft
11:02.0,,,0-0,,Offensive rebound by B. Ingram
11:02.0,,,0-2,2,B. Ingram makes 2-pt shot from 1 ft
10:50.0,J. Holiday misses 3-pt shot from 24 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by J. Clarkson
10:38.0,,,0-2,,B. Ingram misses 2-pt shot from 15 ft
10:36.0,Defensive rebound by D. Cunningham,,0-2,,
10:18.0,J. Holiday makes 2-pt shot from 1 ft (assist by T. Frazier),2,2-2,,
10:01.0,,,2-4,2,J. Randle makes 2-pt shot from 9 ft (assist by M. World Peace)
9:45.0,Turnover by J. Holiday (lost ball; steal by M. World Peace),,2-4,,
9:39.0,,,2-4,,Shooting foul by D. Cunningham (drawn by L. Nance)
9:39.0,,,2-5,1,L. Nance makes free throw 1 of 2
9:39.0,,,2-6,1,L. Nance makes free throw 2 of 2
9:18.0,D. Cunningham misses 3-pt shot from 23 ft,,2-6,,
9:16.0,,,2-6,,Defensive rebound by J. Randle
9:08.0,,,2-6,,Shooting foul by A. Ajinca (drawn by J. Randle)
9:08.0,,,2-7,1,J. Randle makes free throw 1 of 2
9:08.0,,,2-8,1,J. Randle makes free throw 2 of 2
8:57.0,T. Frazier misses 2-pt shot from 18 ft,,2-8,,
8:52.0,,,2-8,,Defensive rebound by L. Nance
8:46.0,,,2-8,,B. Ingram misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by A. Ajinca,,2-8,,
8:32.0,J. Holiday makes 2-pt shot from 1 ft,2,4-8,,
8:23.0,Personal foul by T. Frazier (drawn by J. Clarkson),,4-8,,
8:19.0,,,4-8,,L. Nance misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by Team,,4-8,,
8:03.0,T. Frazier makes 3-pt shot from 26 ft (assist by J. Holiday),3,7-8,,
7:51.0,,,7-8,,M. World Peace misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by Team,,7-8,,
7:36.0,A. Ajinca misses 2-pt shot from 8 ft,,7-8,,
7:32.0,,,7-8,,Defensive rebound by M. World Peace
7:23.0,,,7-10,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
7:12.0,A. Ajinca makes 2-pt shot from 18 ft (assist by J. Holiday),2,9-10,,
7:05.0,,,9-10,,Turnover by J. Clarkson (bad pass; steal by D. Cunningham)
7:05.0,New Orleans full timeout,,9-10,,
6:58.0,J. Holiday makes 2-pt shot from 19 ft,2,11-10,,
6:43.0,,,11-12,2,B. Ingram makes 2-pt shot from 1 ft (assist by J. Clarkson)
6:30.0,S. Hill makes 2-pt shot from 1 ft (assist by A. Ajinca),2,13-12,,
6:19.0,,,13-12,,B. Ingram misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by A. Ajinca,,13-12,,
6:11.0,Shooting foul by J. Randle (drawn by A. Ajinca),,13-12,,
6:11.0,A. Ajinca misses free throw 1 of 2,,13-12,,
6:11.0,Offensive rebound by Team,,13-12,,
6:11.0,A. Ajinca makes free throw 2 of 2,1,14-12,,
6:11.0,,,13-12,,T. Ennis enters the game for M. World Peace
5:55.0,,,14-12,,Shooting foul by A. Ajinca (drawn by T. Ennis)
5:55.0,,,14-12,,T. Ennis misses free throw 1 of 2
5:55.0,,,14-12,,Offensive rebound by Team
5:55.0,,,14-13,1,T. Ennis makes free throw 2 of 2
5:42.0,D. Cunningham makes 2-pt shot from 18 ft (assist by T. Frazier),2,16-13,,
5:32.0,,,16-13,,J. Randle misses 2-pt shot from 21 ft
5:31.0,Defensive rebound by D. Cunningham,,16-13,,
