time,Milwaukee,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. T. Maker (T. McConnell gains possession),,,,Jump ball: R. Holmes vs. T. Maker (T. McConnell gains possession)
11:47.0,,,0-0,,D. Saric misses 2-pt shot from 14 ft
11:46.0,Defensive rebound by K. Middleton,,0-0,,
11:25.0,G. Antetokounmpo makes 2-pt shot from 14 ft,2,2-0,,
11:01.0,,,2-0,,R. Holmes misses 2-pt shot at rim
10:59.0,Defensive rebound by M. Brogdon,,2-0,,
10:47.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,5-0,,
10:30.0,,,5-0,,G. Henderson misses 2-pt shot from 6 ft (block by T. Maker)
10:28.0,,,5-0,,Offensive rebound by D. Saric
10:25.0,,,5-0,,Shooting foul by T. Maker (drawn by D. Saric)
10:25.0,,,5-1,1,D. Saric makes free throw 1 of 2
10:25.0,,,5-2,1,D. Saric makes free throw 2 of 2
10:10.0,M. Brogdon makes 2-pt shot from 12 ft (assist by T. Snell),2,7-2,,
9:50.0,,,7-2,,Offensive charge foul by R. Covington
9:50.0,,,7-2,,Turnover by R. Covington (offensive foul)
9:40.0,T. Maker misses 3-pt shot from 28 ft,,7-2,,
9:39.0,,,7-2,,Defensive rebound by T. McConnell
9:26.0,,,7-2,,R. Holmes misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by M. Brogdon,,7-2,,
9:17.0,M. Brogdon misses 2-pt shot from 1 ft,,7-2,,
9:16.0,Offensive rebound by M. Brogdon,,7-2,,
9:11.0,T. Snell makes 2-pt shot from 13 ft (assist by M. Brogdon),2,9-2,,
8:59.0,,,9-2,,R. Covington misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by T. Snell,,9-2,,
8:43.0,T. Maker makes 3-pt shot from 23 ft (assist by K. Middleton),3,12-2,,
8:42.0,,,12-2,,Philadelphia full timeout
