time,Oklahoma City,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. D. Jordan (A. Rivers gains possession),,,,Jump ball: J. Grant vs. D. Jordan (A. Rivers gains possession)
11:41.0,,,0-0,,Turnover by A. Rivers (lost ball; steal by R. Westbrook)
11:22.0,D. Sabonis makes 2-pt shot from 3 ft (assist by V. Oladipo),2,2-0,,
11:10.0,,,2-3,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
10:57.0,V. Oladipo misses 2-pt shot from 12 ft,,2-3,,
10:55.0,,,2-3,,Defensive rebound by C. Paul
10:37.0,,,2-5,2,C. Paul makes 2-pt shot from 17 ft
10:24.0,D. Sabonis misses 2-pt shot from 1 ft (block by D. Jordan),,2-5,,
10:23.0,,,2-5,,Defensive rebound by L. Mbah a Moute
10:17.0,,,2-8,3,C. Paul makes 3-pt shot from 24 ft
10:04.0,R. Westbrook misses 2-pt shot from 11 ft,,2-8,,
10:03.0,Offensive rebound by A. Roberson,,2-8,,
10:00.0,R. Westbrook misses 2-pt shot from 1 ft,,2-8,,
9:59.0,,,2-8,,Defensive rebound by D. Jordan
9:54.0,,,2-8,,Turnover by C. Paul (lost ball; steal by V. Oladipo)
9:48.0,V. Oladipo misses 2-pt shot from 1 ft,,2-8,,
9:47.0,Offensive rebound by R. Westbrook,,2-8,,
9:47.0,R. Westbrook misses 2-pt shot from 2 ft,,2-8,,
9:42.0,,,2-8,,Defensive rebound by J. Redick
9:38.0,,,2-8,,J. Redick misses 2-pt shot from 1 ft
9:35.0,Defensive rebound by V. Oladipo,,2-8,,
9:28.0,J. Grant makes 3-pt shot from 23 ft (assist by D. Sabonis),3,5-8,,
9:15.0,,,5-8,,J. Redick misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by R. Westbrook,,5-8,,
9:03.0,J. Grant makes 3-pt shot from 24 ft (assist by V. Oladipo),3,8-8,,
8:44.0,,,8-8,,Shooting foul by D. Sabonis (drawn by D. Jordan)
8:44.0,,,8-9,1,D. Jordan makes free throw 1 of 2
8:44.0,,,8-9,,D. Jordan misses free throw 2 of 2
8:43.0,Defensive rebound by R. Westbrook,,8-9,,
8:34.0,V. Oladipo misses 2-pt shot from 20 ft,,8-9,,
8:33.0,,,8-9,,Defensive rebound by D. Jordan
8:25.0,,,8-9,,Shooting foul by D. Sabonis (drawn by D. Jordan)
8:25.0,,,8-10,1,D. Jordan makes free throw 1 of 2
8:25.0,,,8-11,1,D. Jordan makes free throw 2 of 2
8:17.0,,,8-11,,Personal foul by A. Rivers
8:10.0,R. Westbrook misses 2-pt shot from 12 ft,,8-11,,
8:08.0,,,8-11,,Defensive rebound by D. Jordan
7:49.0,,,8-11,,D. Jordan misses 2-pt shot from 2 ft (block by J. Grant)
7:48.0,,,8-11,,Offensive rebound by D. Jordan
7:46.0,,,8-13,2,D. Jordan makes 2-pt shot from 1 ft
7:31.0,A. Roberson misses 3-pt shot from 25 ft,,8-13,,
7:30.0,,,8-13,,Defensive rebound by L. Mbah a Moute
7:16.0,,,8-16,3,C. Paul makes 3-pt shot from 25 ft
7:05.0,R. Westbrook makes 3-pt shot from 25 ft,3,11-16,,
6:56.0,,,11-16,,C. Paul misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by R. Westbrook,,11-16,,
6:49.0,D. Sabonis misses 3-pt shot from 23 ft,,11-16,,
6:47.0,Offensive rebound by J. Grant,,11-16,,
6:42.0,D. Sabonis makes 2-pt shot at rim (assist by A. Roberson),2,13-16,,
6:17.0,,,13-19,3,A. Rivers makes 3-pt shot from 26 ft (assist by D. Jordan)
6:08.0,R. Westbrook makes 2-pt shot from 1 ft,2,15-19,,
5:48.0,,,15-21,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:33.0,V. Oladipo misses 2-pt shot from 9 ft,,15-21,,
5:31.0,,,15-21,,Defensive rebound by D. Jordan
5:26.0,,,15-21,,J. Redick misses 3-pt shot from 23 ft
5:25.0,Defensive rebound by A. Roberson,,15-21,,
5:12.0,A. Roberson misses 3-pt shot from 24 ft,,15-21,,
5:11.0,,,15-21,,Defensive rebound by C. Paul
5:01.0,,,15-23,2,L. Mbah a Moute makes 2-pt shot from 1 ft
4:55.0,Oklahoma City full timeout,,15-23,,
4:55.0,E. Kanter enters the game for D. Sabonis,,15-23,,
4:42.0,V. Oladipo misses 3-pt shot from 23 ft,,15-23,,
4:42.0,,,15-23,,Defensive rebound by D. Jordan
4:33.0,,,15-23,,A. Rivers misses 3-pt shot from 27 ft
4:32.0,Defensive rebound by J. Grant,,15-23,,
4:23.0,V. Oladipo misses 3-pt shot from 23 ft,,15-23,,
4:23.0,,,15-23,,Defensive rebound by D. Jordan
4:17.0,,,15-23,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by J. Grant)
4:15.0,Defensive rebound by V. Oladipo,,15-23,,
4:06.0,R. Westbrook misses 3-pt shot from 25 ft,,15-23,,
4:05.0,,,15-23,,Defensive rebound by C. Paul
3:53.0,,,15-23,,Turnover by L. Mbah a Moute (offensive foul)
3:53.0,,,15-23,,Offensive charge foul by L. Mbah a Moute
3:53.0,A. Abrines enters the game for V. Oladipo,,15-23,,
3:35.0,E. Kanter makes 2-pt shot from 13 ft,2,17-23,,
3:19.0,,,17-23,,J. Redick misses 2-pt shot from 22 ft
3:18.0,Defensive rebound by J. Grant,,17-23,,
3:13.0,R. Westbrook makes 2-pt shot from 2 ft,2,19-23,,
2:57.0,,,19-23,,Turnover by C. Paul (lost ball; steal by A. Abrines)
2:51.0,Turnover by J. Grant (lost ball; steal by J. Redick),,19-23,,
2:44.0,,,19-26,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
2:34.0,,,19-26,,LA Clippers full timeout
2:34.0,,,19-26,,A. Anderson enters the game for L. Mbah a Moute
2:34.0,,,19-26,,J. Crawford enters the game for J. Redick
2:34.0,,,19-26,,R. Felton enters the game for C. Paul
2:34.0,J. Lauvergne enters the game for J. Grant,,19-26,,
2:29.0,R. Westbrook misses 2-pt shot from 16 ft,,19-26,,
2:27.0,,,19-26,,Defensive rebound by J. Crawford
2:09.0,,,19-26,,A. Rivers misses 2-pt shot from 2 ft
2:09.0,,,19-26,,Offensive rebound by D. Jordan
2:08.0,,,19-28,2,D. Jordan makes 2-pt shot at rim
2:00.0,Shooting foul by J. Crawford (drawn by E. Kanter),,19-28,,
2:00.0,E. Kanter makes free throw 1 of 2,1,20-28,,
2:00.0,C. Payne enters the game for R. Westbrook,,20-28,,
2:00.0,E. Kanter makes free throw 2 of 2,1,21-28,,
1:50.0,,,21-28,,Shooting foul by A. Abrines (drawn by R. Felton)
1:50.0,,,21-28,,R. Felton misses free throw 1 of 2
1:50.0,,,21-28,,Offensive rebound by Team
1:50.0,,,21-28,,M. Speights enters the game for A. Rivers
1:50.0,,,21-29,1,R. Felton makes free throw 2 of 2
1:30.0,J. Lauvergne misses 3-pt shot from 25 ft,,21-29,,
1:30.0,Offensive rebound by E. Kanter,,21-29,,
1:25.0,C. Payne misses 3-pt shot from 27 ft,,21-29,,
1:24.0,Offensive rebound by J. Lauvergne,,21-29,,
1:21.0,J. Lauvergne makes 2-pt shot from 1 ft,2,23-29,,
1:05.0,,,23-31,2,R. Felton makes 2-pt shot from 6 ft
0:57.0,Offensive charge foul by A. Abrines,,23-31,,
0:57.0,Turnover by A. Abrines (offensive foul),,23-31,,
0:57.0,,,23-31,,B. Bass enters the game for D. Jordan
0:43.0,,,23-33,2,A. Anderson makes 2-pt shot at rim (assist by R. Felton)
0:43.0,,,23-33,,Shooting foul by A. Abrines (drawn by A. Anderson)
0:43.0,J. Grant enters the game for A. Abrines,,23-33,,
0:43.0,,,23-34,1,A. Anderson makes free throw 1 of 1
0:27.0,A. Roberson makes 2-pt shot from 19 ft,2,25-34,,
0:08.0,,,25-34,,M. Speights misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by A. Roberson,,25-34,,
0:02.0,C. Payne misses 3-pt shot from 26 ft,,25-34,,
0:00.0,,,25-34,,Defensive rebound by M. Speights
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,E. Kanter misses 2-pt shot from 17 ft,,25-34,,
11:39.0,,,25-34,,Defensive rebound by R. Felton
11:23.0,,,25-34,,M. Speights misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by J. Grant,,25-34,,
11:08.0,Shooting foul by B. Bass (drawn by A. Morrow),,25-34,,
11:08.0,A. Morrow makes free throw 1 of 2,1,26-34,,
11:08.0,A. Morrow makes free throw 2 of 2,1,27-34,,
10:57.0,Personal foul by A. Morrow,,27-34,,
10:51.0,,,27-36,2,R. Felton makes 2-pt shot from 1 ft
10:42.0,C. Payne misses 2-pt shot from 7 ft (block by R. Felton),,27-36,,
10:36.0,Offensive rebound by Team,,27-36,,
10:36.0,J. Lauvergne misses 2-pt shot from 1 ft,,27-36,,
10:35.0,Offensive rebound by J. Lauvergne,,27-36,,
10:33.0,J. Lauvergne makes 2-pt shot from 3 ft,2,29-36,,
10:23.0,,,29-36,,B. Bass misses 2-pt shot from 2 ft
10:21.0,Defensive rebound by E. Kanter,,29-36,,
10:16.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Payne),2,31-36,,
9:52.0,,,31-36,,A. Anderson misses 2-pt shot from 3 ft
9:51.0,,,31-36,,Offensive rebound by M. Speights
9:46.0,,,31-38,2,M. Speights makes 2-pt shot from 4 ft
9:36.0,C. Payne makes 2-pt shot from 5 ft,2,33-38,,
9:17.0,,,33-38,,M. Speights misses 2-pt shot from 1 ft (block by E. Kanter)
9:16.0,,,33-38,,Offensive rebound by B. Bass
9:14.0,,,33-40,2,B. Bass makes 2-pt shot from 2 ft
9:14.0,,,33-40,,Violation by Team (jump ball)
8:56.0,E. Kanter misses 2-pt shot from 1 ft,,33-40,,
8:55.0,,,33-40,,Defensive rebound by J. Crawford
8:48.0,,,33-40,,J. Crawford misses 2-pt shot from 18 ft
8:46.0,,,33-40,,Offensive rebound by B. Bass
8:41.0,,,33-40,,J. Crawford misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by J. Grant,,33-40,,
8:39.0,Oklahoma City full timeout,,33-40,,
8:25.0,A. Morrow makes 3-pt shot from 25 ft (assist by E. Kanter),3,36-40,,
8:05.0,,,36-42,2,B. Bass makes 2-pt shot from 1 ft (assist by M. Speights)
7:51.0,J. Lauvergne misses 2-pt shot from 19 ft,,36-42,,
7:50.0,,,36-42,,Defensive rebound by M. Speights
7:35.0,,,36-44,2,R. Felton makes 2-pt shot from 1 ft (assist by M. Speights)
7:17.0,Turnover by J. Grant (lost ball),,36-44,,
7:17.0,R. Westbrook enters the game for C. Payne,,36-44,,
7:17.0,D. Sabonis enters the game for J. Lauvergne,,36-44,,
7:17.0,,,36-44,,J. Redick enters the game for A. Anderson
7:17.0,,,36-44,,C. Paul enters the game for J. Crawford
7:00.0,,,36-44,,C. Paul misses 3-pt shot from 25 ft
