time,New Orleans,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gortat (J. Holiday gains possession),,,,Jump ball: A. Davis vs. M. Gortat (J. Holiday gains possession)
11:43.0,Turnover by J. Holiday (bad pass),,0-0,,
11:31.0,,,0-0,,M. Gortat misses 2-pt shot from 11 ft
11:31.0,Defensive rebound by A. Davis,,0-0,,
11:15.0,B. Hield makes 2-pt shot from 2 ft (assist by A. Davis),2,2-0,,
10:59.0,,,2-3,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
10:46.0,Turnover by T. Jones (bad pass; steal by O. Porter),,2-3,,
10:40.0,,,2-5,2,O. Porter makes 2-pt shot from 1 ft
10:18.0,Turnover by S. Hill (lost ball; steal by O. Porter),,2-5,,
10:13.0,,,2-7,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:08.0,New Orleans full timeout,,2-7,,
10:03.0,Turnover by J. Holiday (bad pass; steal by M. Morris),,2-7,,
9:58.0,,,2-7,,Shooting foul by J. Holiday (drawn by J. Wall)
9:58.0,,,2-8,1,J. Wall makes free throw 1 of 2
9:58.0,,,2-9,1,J. Wall makes free throw 2 of 2
9:42.0,J. Holiday misses 3-pt shot from 26 ft,,2-9,,
9:41.0,,,2-9,,Defensive rebound by M. Gortat
9:31.0,,,2-12,3,O. Porter makes 3-pt shot from 27 ft (assist by B. Beal)
9:13.0,A. Davis misses 2-pt shot from 5 ft,,2-12,,
9:12.0,,,2-12,,Defensive rebound by O. Porter
8:58.0,,,2-12,,M. Gortat misses 2-pt shot from 2 ft (block by A. Davis)
8:56.0,Defensive rebound by J. Holiday,,2-12,,
8:39.0,S. Hill misses 3-pt shot from 29 ft,,2-12,,
8:38.0,,,2-12,,Defensive rebound by M. Gortat
8:18.0,,,2-14,2,M. Morris makes 2-pt shot from 9 ft
7:52.0,J. Holiday makes 2-pt shot from 1 ft,2,4-14,,
7:34.0,,,4-14,,B. Beal misses 3-pt shot from 26 ft (block by T. Jones)
7:33.0,,,4-14,,Offensive rebound by M. Gortat
7:30.0,,,4-14,,M. Morris misses 3-pt shot from 24 ft
7:28.0,,,4-14,,Offensive rebound by M. Gortat
7:25.0,,,4-14,,J. Wall misses 3-pt shot from 27 ft
7:24.0,Defensive rebound by S. Hill,,4-14,,
