time,Phoenix,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Jokic (D. Booker gains possession),,,,Jump ball: T. Chandler vs. N. Jokic (D. Booker gains possession)
11:39.0,T. Warren misses 3-pt shot from 24 ft,,0-0,,
11:38.0,Offensive rebound by E. Bledsoe,,0-0,,
11:31.0,Turnover by D. Booker (bad pass; steal by N. Jokic),,0-0,,
11:26.0,,,0-0,,K. Faried misses 2-pt shot from 3 ft
11:25.0,,,0-0,,Offensive rebound by N. Jokic
11:25.0,,,0-2,2,N. Jokic makes 2-pt shot from 1 ft
10:59.0,M. Chriss makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,2-2,,
10:48.0,,,2-2,,G. Harris misses 2-pt shot from 3 ft
10:47.0,,,2-2,,Offensive rebound by Team
10:32.0,,,2-4,2,N. Jokic makes 2-pt shot from 13 ft (assist by D. Gallinari)
10:16.0,D. Booker makes 3-pt shot from 26 ft (assist by T. Chandler),3,5-4,,
10:06.0,,,5-4,,G. Harris misses 2-pt shot from 19 ft
10:05.0,,,5-4,,Offensive rebound by N. Jokic
10:04.0,,,5-4,,Shooting foul by M. Chriss (drawn by N. Jokic)
10:04.0,,,5-5,1,N. Jokic makes free throw 1 of 2
10:04.0,,,5-6,1,N. Jokic makes free throw 2 of 2
9:49.0,E. Bledsoe misses 3-pt shot from 26 ft,,5-6,,
9:48.0,,,5-6,,Defensive rebound by K. Faried
9:33.0,,,5-8,2,D. Gallinari makes 2-pt shot from 1 ft
9:13.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by D. Booker),3,8-8,,
9:02.0,Personal foul by M. Chriss (drawn by N. Jokic),,8-8,,
9:02.0,A. Len enters the game for M. Chriss,,8-8,,
8:53.0,,,8-11,3,J. Nelson makes 3-pt shot from 25 ft (assist by G. Harris)
8:41.0,Shooting foul by G. Harris (drawn by D. Booker),,8-11,,
8:41.0,D. Booker makes free throw 1 of 2,1,9-11,,
8:41.0,D. Booker makes free throw 2 of 2,1,10-11,,
8:25.0,,,10-13,2,K. Faried makes 2-pt shot from 2 ft (assist by N. Jokic)
8:20.0,T. Warren misses 2-pt shot from 12 ft,,10-13,,
8:19.0,Offensive rebound by A. Len,,10-13,,
8:18.0,A. Len makes 2-pt shot from 2 ft,2,12-13,,
7:44.0,,,12-13,,D. Gallinari misses 2-pt shot from 2 ft
7:41.0,,,12-13,,Offensive rebound by K. Faried
7:41.0,,,12-15,2,K. Faried makes 2-pt shot from 1 ft
7:40.0,Shooting foul by J. Nelson (drawn by E. Bledsoe),,12-15,,
7:40.0,E. Bledsoe makes free throw 1 of 3,1,13-15,,
7:40.0,E. Bledsoe makes free throw 2 of 3,1,14-15,,
7:40.0,E. Bledsoe makes free throw 3 of 3,1,15-15,,
7:40.0,P. Tucker enters the game for T. Warren,,14-15,,
7:35.0,Personal foul by A. Len (drawn by N. Jokic),,15-15,,
7:21.0,,,15-15,,J. Nelson misses 3-pt shot from 25 ft
7:20.0,,,15-15,,Offensive rebound by K. Faried
7:18.0,Personal foul by E. Bledsoe (drawn by J. Nelson),,15-15,,
7:13.0,,,15-15,,Turnover by G. Harris (bad pass)
7:07.0,D. Booker misses 3-pt shot from 25 ft,,15-15,,
7:05.0,,,15-15,,Defensive rebound by D. Gallinari
6:53.0,,,15-15,,N. Jokic misses 2-pt shot from 4 ft
6:52.0,,,15-15,,Offensive rebound by K. Faried
6:51.0,,,15-15,,Shooting foul by E. Bledsoe (drawn by K. Faried)
6:51.0,,,15-16,1,K. Faried makes free throw 1 of 2
6:51.0,,,15-17,1,K. Faried makes free throw 2 of 2
6:51.0,B. Knight enters the game for E. Bledsoe,,15-16,,
6:42.0,Turnover by T. Chandler (traveling),,15-17,,
6:34.0,Personal foul by P. Tucker (drawn by D. Gallinari),,15-17,,
6:34.0,,,15-17,,D. Gallinari misses free throw 1 of 2
6:34.0,,,15-17,,Offensive rebound by Team
6:34.0,,,15-18,1,D. Gallinari makes free throw 2 of 2
6:20.0,T. Chandler makes 2-pt shot from 2 ft (assist by D. Booker),2,17-18,,
6:02.0,,,17-21,3,D. Gallinari makes 3-pt shot from 28 ft (assist by J. Nelson)
5:39.0,D. Booker makes 2-pt shot from 16 ft (assist by A. Len),2,19-21,,
5:29.0,,,19-24,3,G. Harris makes 3-pt shot from 27 ft (assist by N. Jokic)
5:29.0,Phoenix full timeout,,19-24,,
5:13.0,P. Tucker misses 2-pt shot from 15 ft,,19-24,,
5:12.0,,,19-24,,Defensive rebound by N. Jokic
4:52.0,,,19-24,,Turnover by J. Nelson (lost ball)
4:32.0,A. Len misses 2-pt shot from 18 ft,,19-24,,
4:32.0,,,19-24,,Defensive rebound by N. Jokic
4:24.0,,,19-24,,K. Faried misses 2-pt shot from 1 ft
4:22.0,,,19-24,,Offensive rebound by N. Jokic
4:22.0,,,19-24,,N. Jokic misses 2-pt shot from 1 ft
