time,Memphis,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Mozgov (D. Russell gains possession),,,,Jump ball: M. Gasol vs. T. Mozgov (D. Russell gains possession)
11:35.0,,,0-0,,J. Randle misses 2-pt shot from 3 ft
11:34.0,,,0-0,,Offensive rebound by J. Randle
11:32.0,,,0-2,2,J. Randle makes 2-pt shot from 3 ft
11:08.0,M. Gasol misses 2-pt shot from 10 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by J. Randle
10:54.0,,,0-5,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle)
10:41.0,,,0-5,,Personal foul by N. Young (drawn by C. Parsons)
10:27.0,M. Conley misses 2-pt shot from 17 ft,,0-5,,
10:26.0,,,0-5,,Defensive rebound by J. Randle
10:11.0,,,0-8,3,D. Russell makes 3-pt shot from 24 ft (assist by N. Young)
9:56.0,Turnover by M. Gasol (lost ball; steal by D. Russell),,0-8,,
9:50.0,,,0-8,,D. Russell misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by T. Allen,,0-8,,
9:39.0,T. Allen misses 2-pt shot from 1 ft,,0-8,,
9:37.0,,,0-8,,Defensive rebound by T. Mozgov
9:26.0,,,0-8,,L. Deng misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by M. Gasol,,0-8,,
9:12.0,M. Gasol makes 2-pt shot from 19 ft (assist by C. Parsons),2,2-8,,
8:46.0,,,2-8,,Turnover by D. Russell (bad pass; steal by M. Gasol)
8:42.0,C. Parsons makes 2-pt shot from 2 ft (assist by T. Allen),2,4-8,,
8:32.0,,,4-10,2,T. Mozgov makes 2-pt shot from 7 ft (assist by D. Russell)
8:10.0,Shooting foul by T. Mozgov (drawn by M. Gasol),,4-10,,
8:10.0,M. Gasol makes free throw 1 of 2,1,5-10,,
8:10.0,M. Gasol makes free throw 2 of 2,1,6-10,,
7:57.0,,,6-10,,T. Mozgov misses 2-pt shot from 16 ft
7:56.0,,,6-10,,Offensive rebound by L. Deng
7:53.0,,,6-10,,Shooting foul by C. Parsons (drawn by J. Randle)
7:53.0,,,6-10,,J. Randle misses free throw 1 of 2
7:53.0,,,6-10,,Offensive rebound by Team
7:53.0,,,6-10,,J. Randle misses free throw 2 of 2
7:51.0,Defensive rebound by J. Green,,6-10,,
7:40.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley),2,8-10,,
7:26.0,,,8-10,,N. Young misses 3-pt shot from 26 ft
7:25.0,Defensive rebound by C. Parsons,,8-10,,
7:17.0,M. Gasol misses 3-pt shot from 28 ft,,8-10,,
7:16.0,,,8-10,,Defensive rebound by L. Deng
7:03.0,,,8-10,,D. Russell misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by J. Green,,8-10,,
6:56.0,Turnover by T. Allen (bad pass),,8-10,,
6:56.0,J. Ennis enters the game for C. Parsons,,8-10,,
6:37.0,,,8-10,,L. Deng misses 2-pt shot from 7 ft
6:34.0,Defensive rebound by J. Ennis,,8-10,,
6:15.0,M. Conley makes 3-pt shot from 25 ft (assist by T. Allen),3,11-10,,
6:15.0,,,11-10,,LA Lakers full timeout
5:51.0,,,11-10,,D. Russell misses 2-pt shot from 4 ft
5:50.0,Defensive rebound by T. Allen,,11-10,,
5:30.0,M. Conley misses 2-pt shot from 7 ft,,11-10,,
5:28.0,,,11-10,,Defensive rebound by L. Deng
5:19.0,,,11-13,3,N. Young makes 3-pt shot from 27 ft (assist by J. Randle)
5:05.0,,,11-13,,Personal foul by J. Randle (drawn by J. Green)
5:05.0,Z. Randolph enters the game for T. Allen,,11-13,,
5:05.0,V. Carter enters the game for M. Gasol,,11-13,,
5:05.0,,,11-13,,B. Ingram enters the game for N. Young
4:55.0,V. Carter makes 3-pt shot from 26 ft (assist by Z. Randolph),3,14-13,,
4:40.0,,,14-15,2,T. Mozgov makes 2-pt shot from 8 ft (assist by B. Ingram)
4:25.0,M. Conley makes 2-pt shot from 3 ft,2,16-15,,
4:16.0,,,16-15,,Shooting foul by J. Ennis (drawn by B. Ingram)
4:16.0,,,16-15,,B. Ingram misses free throw 1 of 2
4:16.0,,,16-15,,Offensive rebound by Team
4:16.0,,,16-15,,B. Ingram misses free throw 2 of 2
4:16.0,,,16-15,,J. Clarkson enters the game for L. Deng
4:15.0,Defensive rebound by J. Green,,16-15,,
3:57.0,J. Green misses 2-pt shot from 12 ft,,16-15,,
3:56.0,,,16-15,,Defensive rebound by D. Russell
3:48.0,,,16-17,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
3:29.0,Turnover by M. Conley (lost ball),,16-17,,
3:29.0,A. Harrison enters the game for M. Conley,,16-17,,
3:09.0,,,16-17,,Shooting foul by J. Ennis (drawn by J. Clarkson)
3:09.0,,,16-17,,J. Clarkson misses free throw 1 of 2
3:09.0,,,16-17,,Offensive rebound by Team
3:09.0,,,16-18,1,J. Clarkson makes free throw 2 of 2
3:09.0,,,16-17,,L. Williams enters the game for D. Russell
2:55.0,Z. Randolph misses 2-pt shot from 18 ft,,16-18,,
2:54.0,,,16-18,,Defensive rebound by J. Randle
2:45.0,,,16-18,,T. Mozgov misses 2-pt shot from 7 ft
2:43.0,Defensive rebound by J. Green,,16-18,,
2:38.0,Turnover by A. Harrison (lost ball; steal by L. Williams),,16-18,,
2:34.0,,,16-20,2,J. Randle makes 2-pt shot from 3 ft (assist by L. Williams)
2:09.0,Z. Randolph misses 2-pt shot from 4 ft (block by T. Mozgov),,16-20,,
2:06.0,,,16-20,,Defensive rebound by J. Clarkson
2:01.0,,,16-22,2,J. Clarkson makes 2-pt shot from 9 ft
1:53.0,Memphis full timeout,,16-22,,
1:53.0,M. Gasol enters the game for J. Green,,16-22,,
1:53.0,T. Daniels enters the game for J. Ennis,,16-22,,
1:53.0,,,16-22,,T. Black enters the game for T. Mozgov
1:41.0,M. Gasol makes 2-pt shot from 8 ft,2,18-22,,
1:21.0,,,18-22,,T. Black misses 2-pt shot from 4 ft
1:20.0,Defensive rebound by Team,,18-22,,
1:20.0,,,18-22,,T. Robinson enters the game for J. Randle
1:00.0,A. Harrison misses 3-pt shot from 24 ft,,18-22,,
0:59.0,,,18-22,,Defensive rebound by Team
0:48.0,,,18-22,,L. Williams misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by A. Harrison,,18-22,,
0:25.0,M. Gasol makes 2-pt shot from 9 ft,2,20-22,,
0:03.0,,,20-22,,Turnover by B. Ingram (lost ball; steal by V. Carter)
0:01.0,V. Carter misses 3-pt shot from 55 ft,,20-22,,
0:00.0,Offensive rebound by Team,,20-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Daniels makes 3-pt shot from 26 ft,3,23-22,,
11:22.0,,,23-25,3,J. Clarkson makes 3-pt shot from 26 ft (assist by T. Robinson)
11:00.0,T. Daniels makes 3-pt shot from 25 ft (assist by A. Harrison),3,26-25,,
10:50.0,,,26-27,2,L. Williams makes 2-pt shot from 6 ft
10:50.0,,,26-27,,Shooting foul by A. Harrison
10:50.0,,,26-28,1,L. Williams makes free throw 1 of 1
10:50.0,C. Parsons enters the game for V. Carter,,26-27,,
10:42.0,Shooting foul by T. Robinson (drawn by A. Harrison),,26-28,,
10:42.0,A. Harrison misses free throw 1 of 2,,26-28,,
10:42.0,Offensive rebound by Team,,26-28,,
10:42.0,A. Harrison makes free throw 2 of 2,1,27-28,,
10:29.0,,,27-28,,Turnover by T. Robinson (offensive foul)
10:29.0,,,27-28,,Offensive foul by T. Robinson
10:14.0,M. Gasol misses 2-pt shot from 12 ft,,27-28,,
10:09.0,,,27-28,,Defensive rebound by T. Black
10:02.0,,,27-28,,T. Robinson misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by M. Gasol,,27-28,,
9:48.0,Z. Randolph makes 3-pt shot from 25 ft (assist by M. Gasol),3,30-28,,
9:32.0,,,30-28,,B. Ingram misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by M. Gasol,,30-28,,
9:24.0,Shooting foul by T. Black (drawn by A. Harrison),,30-28,,
9:24.0,A. Harrison makes free throw 1 of 2,1,31-28,,
9:24.0,A. Harrison makes free throw 2 of 2,1,32-28,,
9:24.0,,,31-28,,N. Young enters the game for B. Ingram
9:24.0,,,31-28,,L. Deng enters the game for J. Clarkson
9:24.0,,,31-28,,T. Mozgov enters the game for L. Williams
9:24.0,,,31-28,,J. Randle enters the game for T. Black
9:24.0,,,31-28,,D. Russell enters the game for T. Robinson
9:07.0,,,32-28,,J. Randle misses 2-pt shot from 19 ft
9:06.0,,,32-28,,Offensive rebound by L. Deng
8:59.0,,,32-28,,N. Young misses 3-pt shot from 26 ft
8:58.0,,,32-28,,Offensive rebound by J. Randle
8:52.0,,,32-31,3,D. Russell makes 3-pt shot from 25 ft (assist by J. Randle)
8:34.0,Z. Randolph misses 2-pt shot from 8 ft,,32-31,,
8:31.0,,,32-31,,Defensive rebound by T. Mozgov
8:24.0,,,32-34,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
8:16.0,Memphis full timeout,,32-34,,
8:16.0,M. Conley enters the game for T. Daniels,,32-34,,
7:58.0,A. Harrison misses 3-pt shot from 24 ft,,32-34,,
7:56.0,Offensive rebound by Z. Randolph,,32-34,,
7:55.0,Z. Randolph makes 2-pt shot from 2 ft,2,34-34,,
7:40.0,,,34-37,3,N. Young makes 3-pt shot from 27 ft (assist by L. Deng)
7:22.0,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol),3,37-37,,
7:04.0,,,37-40,3,N. Young makes 3-pt shot from 26 ft (assist by L. Deng)
6:46.0,Z. Randolph misses 2-pt shot from 4 ft,,37-40,,
6:46.0,Offensive rebound by Team,,37-40,,
6:46.0,J. Green enters the game for Z. Randolph,,37-40,,
6:41.0,C. Parsons misses 2-pt shot from 14 ft,,37-40,,
6:40.0,,,37-40,,Defensive rebound by D. Russell
6:31.0,,,37-40,,J. Randle misses 2-pt shot from 3 ft
6:30.0,Defensive rebound by M. Gasol,,37-40,,
6:09.0,C. Parsons misses 3-pt shot from 26 ft,,37-40,,
6:08.0,,,37-40,,Defensive rebound by T. Mozgov
5:48.0,,,37-43,3,N. Young makes 3-pt shot from 24 ft (assist by L. Deng)
5:35.0,Memphis full timeout,,37-43,,
5:35.0,Official timeout,,37-43,,
5:35.0,T. Allen enters the game for C. Parsons,,37-43,,
5:35.0,V. Carter enters the game for A. Harrison,,37-43,,
5:24.0,V. Carter misses 2-pt shot from 23 ft,,37-43,,
5:24.0,,,37-43,,Defensive rebound by J. Randle
5:09.0,,,37-46,3,D. Russell makes 3-pt shot from 25 ft (assist by N. Young)
4:53.0,Shooting foul by T. Mozgov (drawn by M. Gasol),,37-46,,
4:53.0,M. Gasol makes free throw 1 of 2,1,38-46,,
4:53.0,M. Gasol makes free throw 2 of 2,1,39-46,,
4:42.0,,,39-46,,N. Young misses 3-pt shot from 27 ft
4:40.0,,,39-46,,Offensive rebound by T. Mozgov
4:22.0,,,39-46,,D. Russell misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by J. Green,,39-46,,
4:09.0,M. Gasol misses 3-pt shot from 26 ft,,39-46,,
4:08.0,,,39-46,,Defensive rebound by D. Russell
3:59.0,,,39-48,2,T. Mozgov makes 2-pt shot at rim (assist by L. Deng)
3:42.0,T. Allen makes 2-pt shot from 3 ft (assist by M. Gasol),2,41-48,,
3:24.0,,,41-51,3,D. Russell makes 3-pt shot from 25 ft (assist by T. Mozgov)
3:03.0,M. Gasol misses 2-pt shot from 9 ft,,41-51,,
3:03.0,Offensive rebound by Team,,41-51,,
3:03.0,,,41-51,,Loose ball foul by J. Randle (drawn by J. Green)
2:57.0,M. Conley makes 2-pt shot from 4 ft,2,43-51,,
2:47.0,,,43-51,,LA Lakers full timeout
2:47.0,Z. Randolph enters the game for M. Gasol,,43-51,,
2:41.0,,,43-51,,J. Randle misses 2-pt shot from 3 ft (block by V. Carter)
2:39.0,,,43-51,,Offensive rebound by Team
2:34.0,,,43-51,,N. Young misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by Z. Randolph,,43-51,,
2:17.0,M. Conley misses 2-pt shot from 16 ft,,43-51,,
2:15.0,,,43-51,,Defensive rebound by T. Mozgov
2:05.0,,,43-51,,T. Mozgov misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by Z. Randolph,,43-51,,
1:55.0,V. Carter makes 2-pt shot from 2 ft,2,45-51,,
1:41.0,,,45-53,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
1:26.0,J. Green misses 3-pt shot from 27 ft,,45-53,,
1:22.0,Offensive rebound by Team,,45-53,,
1:14.0,,,45-53,,Def 3 sec tech foul by J. Randle
1:14.0,M. Conley makes technical free throw,1,46-53,,
1:14.0,M. Gasol enters the game for J. Green,,46-53,,
1:00.0,M. Conley misses 3-pt shot from 24 ft,,46-53,,
0:59.0,Offensive rebound by V. Carter,,46-53,,
0:53.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,48-53,,
0:53.0,Violation by Team (jump ball),,48-53,,
0:32.0,,,48-55,2,J. Randle makes 2-pt shot at rim
0:14.0,M. Conley misses 2-pt shot from 18 ft,,48-55,,
0:10.0,,,48-55,,Defensive rebound by J. Randle
0:04.0,,,48-57,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
0:00.0,M. Conley misses 3-pt shot from 25 ft,,48-57,,
0:00.0,Offensive rebound by Team,,48-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley),2,50-57,,
11:20.0,,,50-59,2,T. Mozgov makes 2-pt shot from 20 ft (assist by L. Deng)
11:09.0,Turnover by T. Allen (lost ball),,50-59,,
10:44.0,,,50-59,,J. Randle misses 2-pt shot from 22 ft
10:43.0,Defensive rebound by J. Green,,50-59,,
10:27.0,J. Green makes 2-pt shot from 3 ft (assist by M. Gasol),2,52-59,,
10:27.0,Shooting foul by N. Young (drawn by J. Green),,52-59,,
10:27.0,J. Green makes free throw 1 of 1,1,53-59,,
10:12.0,,,53-62,3,D. Russell makes 3-pt shot from 23 ft (assist by L. Deng)
9:55.0,M. Gasol makes 2-pt shot from 7 ft,2,55-62,,
9:43.0,,,55-65,3,N. Young makes 3-pt shot from 26 ft (assist by J. Randle)
9:31.0,C. Parsons misses 3-pt shot from 24 ft,,55-65,,
9:30.0,,,55-65,,Defensive rebound by J. Randle
9:22.0,,,55-65,,D. Russell misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by M. Gasol,,55-65,,
9:13.0,Shooting foul by T. Mozgov (drawn by M. Gasol),,55-65,,
9:13.0,M. Gasol makes free throw 1 of 2,1,56-65,,
9:13.0,M. Gasol makes free throw 2 of 2,1,57-65,,
8:48.0,,,57-65,,D. Russell misses 2-pt shot from 15 ft
8:46.0,Defensive rebound by M. Conley,,57-65,,
8:37.0,M. Conley misses 3-pt shot from 25 ft,,57-65,,
8:36.0,,,57-65,,Defensive rebound by J. Randle
8:28.0,Personal foul by J. Green (drawn by J. Randle),,57-65,,
8:17.0,,,57-65,,T. Mozgov misses 2-pt shot from 12 ft
8:16.0,Defensive rebound by C. Parsons,,57-65,,
8:00.0,C. Parsons misses 2-pt shot from 14 ft,,57-65,,
7:57.0,,,57-65,,Defensive rebound by J. Randle
7:48.0,,,57-67,2,T. Mozgov makes 2-pt shot from 14 ft (assist by J. Randle)
7:28.0,C. Parsons misses 2-pt shot from 14 ft,,57-67,,
7:27.0,,,57-67,,Defensive rebound by J. Randle
7:20.0,,,57-69,2,T. Mozgov makes 2-pt shot from 14 ft (assist by J. Randle)
7:20.0,Memphis full timeout,,57-69,,
7:20.0,A. Harrison enters the game for C. Parsons,,57-69,,
7:01.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,59-69,,
6:49.0,,,59-69,,Turnover by J. Randle (traveling)
6:39.0,M. Conley makes 2-pt shot from 2 ft (assist by M. Gasol),2,61-69,,
6:23.0,,,61-69,,Turnover by L. Deng (bad pass; steal by J. Green)
6:11.0,J. Green misses 3-pt shot from 25 ft,,61-69,,
6:10.0,Offensive rebound by T. Allen,,61-69,,
6:09.0,Shooting foul by J. Randle (drawn by T. Allen),,61-69,,
6:09.0,T. Allen misses free throw 1 of 2,,61-69,,
