time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. C. Onuaku (L. Mbah a Moute gains possession),,,,Jump ball: D. Jordan vs. C. Onuaku (L. Mbah a Moute gains possession)
11:34.0,,,0-0,,D. Jordan misses 2-pt shot from 3 ft
11:34.0,,,0-0,,Offensive rebound by D. Jordan
11:34.0,,,0-0,,Shooting foul by C. Onuaku (drawn by D. Jordan)
11:34.0,,,0-0,,D. Jordan misses free throw 1 of 2
11:34.0,,,0-0,,Offensive rebound by Team
11:34.0,,,0-0,,D. Jordan misses free throw 2 of 2
11:33.0,Defensive rebound by J. Harden,,0-0,,
11:15.0,Shooting foul by D. Jordan (drawn by E. Gordon),,0-0,,
11:15.0,E. Gordon makes free throw 1 of 2,1,1-0,,
11:15.0,E. Gordon makes free throw 2 of 2,1,2-0,,
10:58.0,,,2-0,,J. Redick misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by C. Onuaku,,2-0,,
10:50.0,T. Ariza makes 2-pt shot from 8 ft (assist by J. Harden),2,4-0,,
10:35.0,,,4-2,2,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by D. Jordan)
10:21.0,R. Anderson misses 3-pt shot from 27 ft,,4-2,,
10:20.0,,,4-2,,Defensive rebound by D. Jordan
10:14.0,,,4-4,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
9:58.0,E. Gordon misses 3-pt shot from 25 ft,,4-4,,
9:56.0,,,4-4,,Defensive rebound by J. Redick
9:44.0,,,4-4,,Shooting foul by E. Gordon (drawn by L. Mbah a Moute)
9:44.0,,,4-5,1,L. Mbah a Moute makes free throw 1 of 2
9:44.0,,,4-6,1,L. Mbah a Moute makes free throw 2 of 2
9:22.0,C. Onuaku misses 2-pt shot at rim,,4-6,,
9:18.0,,,4-6,,Defensive rebound by C. Paul
9:13.0,,,4-8,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
8:56.0,Shooting foul by B. Griffin (drawn by R. Anderson),,4-8,,
8:56.0,R. Anderson makes free throw 1 of 2,1,5-8,,
8:56.0,R. Anderson makes free throw 2 of 2,1,6-8,,
8:34.0,,,6-10,2,D. Jordan makes 2-pt shot from 3 ft (assist by L. Mbah a Moute)
8:22.0,C. Onuaku makes 2-pt shot from 3 ft (assist by J. Harden),2,8-10,,
8:04.0,,,8-10,,L. Mbah a Moute misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by C. Onuaku,,8-10,,
7:57.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,11-10,,
7:49.0,,,11-12,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by B. Griffin)
7:35.0,J. Harden misses 3-pt shot from 26 ft,,11-12,,
7:34.0,,,11-12,,Defensive rebound by C. Paul
7:33.0,Personal foul by R. Anderson (drawn by B. Griffin),,11-12,,
7:26.0,,,11-14,2,C. Paul makes 2-pt shot from 21 ft
7:16.0,,,11-14,,Shooting block foul by B. Griffin (drawn by J. Harden)
7:16.0,J. Harden makes free throw 1 of 2,1,12-14,,
7:16.0,J. Harden makes free throw 2 of 2,1,13-14,,
7:16.0,,,12-14,,P. Pierce enters the game for B. Griffin
7:10.0,,,13-14,,Shooting foul by E. Gordon (drawn by C. Paul)
7:10.0,,,13-15,1,C. Paul makes free throw 1 of 3
7:10.0,,,13-16,1,C. Paul makes free throw 2 of 3
7:10.0,,,13-17,1,C. Paul makes free throw 3 of 3
7:10.0,B. Brown enters the game for E. Gordon,,13-16,,
6:46.0,J. Harden misses 3-pt shot from 25 ft,,13-17,,
6:45.0,Offensive rebound by C. Onuaku,,13-17,,
6:34.0,J. Harden misses 3-pt shot from 27 ft,,13-17,,
6:33.0,,,13-17,,Defensive rebound by C. Paul
6:31.0,Personal foul by J. Harden (drawn by D. Jordan),,13-17,,
6:31.0,,,13-17,,D. Jordan misses free throw 1 of 2
6:31.0,,,13-17,,Offensive rebound by Team
6:31.0,,,13-18,1,D. Jordan makes free throw 2 of 2
6:17.0,R. Anderson makes 2-pt shot from 4 ft (assist by J. Harden),2,15-18,,
6:12.0,,,15-18,,J. Redick misses 3-pt shot from 26 ft
6:10.0,,,15-18,,Offensive rebound by L. Mbah a Moute
6:04.0,,,15-21,3,C. Paul makes 3-pt shot from 25 ft
5:56.0,R. Anderson misses 3-pt shot from 27 ft,,15-21,,
5:54.0,,,15-21,,Defensive rebound by D. Jordan
5:45.0,,,15-21,,L. Mbah a Moute misses 2-pt shot from 2 ft
5:43.0,Defensive rebound by C. Onuaku,,15-21,,
5:41.0,J. Harden makes 2-pt shot from 1 ft,2,17-21,,
5:35.0,Personal foul by R. Anderson (drawn by D. Jordan),,17-21,,
5:35.0,,,17-21,,LA Clippers full timeout
5:35.0,,,17-22,1,D. Jordan makes free throw 1 of 2
5:35.0,,,17-22,,D. Jordan misses free throw 2 of 2
5:35.0,M. Harrell enters the game for C. Onuaku,,17-21,,
5:33.0,Defensive rebound by M. Harrell,,17-22,,
5:11.0,B. Brown makes 3-pt shot from 27 ft (assist by R. Anderson),3,20-22,,
4:47.0,,,20-22,,C. Paul misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by T. Ariza,,20-22,,
4:32.0,J. Harden makes 3-pt shot from 27 ft (assist by R. Anderson),3,23-22,,
4:15.0,,,23-22,,Turnover by P. Pierce (bad pass; steal by T. Ariza)
4:12.0,Shooting foul by P. Pierce (drawn by J. Harden),,23-22,,
4:12.0,J. Harden makes free throw 1 of 2,1,24-22,,
4:12.0,J. Harden makes free throw 2 of 2,1,25-22,,
4:12.0,T. Williams enters the game for R. Anderson,,24-22,,
4:00.0,,,25-22,,J. Redick misses 3-pt shot from 28 ft
3:59.0,,,25-22,,Offensive rebound by Team
3:53.0,,,25-22,,J. Redick misses 3-pt shot from 27 ft
3:51.0,Defensive rebound by M. Harrell,,25-22,,
3:38.0,T. Williams misses 3-pt shot from 27 ft,,25-22,,
3:37.0,,,25-22,,Defensive rebound by J. Redick
3:32.0,,,25-24,2,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul)
3:16.0,B. Brown misses 3-pt shot from 30 ft,,25-24,,
3:15.0,,,25-24,,Defensive rebound by P. Pierce
3:08.0,Personal block foul by T. Williams (drawn by C. Paul),,25-24,,
3:08.0,,,25-25,1,C. Paul makes free throw 1 of 2
3:08.0,,,25-26,1,C. Paul makes free throw 2 of 2
3:08.0,,,25-25,,J. Crawford enters the game for P. Pierce
2:54.0,B. Brown makes 3-pt shot from 26 ft (assist by J. Harden),3,28-26,,
2:40.0,,,28-26,,D. Jordan misses 2-pt shot from 1 ft
2:38.0,,,28-26,,Offensive rebound by D. Jordan
2:38.0,,,28-26,,Turnover by D. Jordan (lost ball; steal by J. Harden)
2:38.0,,,28-26,,Personal foul by C. Paul (drawn by T. Williams)
2:38.0,Houston full timeout,,28-26,,
2:38.0,T. Williams makes free throw 1 of 2,1,29-26,,
2:38.0,T. Williams makes free throw 2 of 2,1,30-26,,
2:38.0,,,28-26,,R. Felton enters the game for J. Redick
2:24.0,,,30-28,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by C. Paul)
2:13.0,T. Williams makes 2-pt shot from 3 ft (assist by J. Harden),2,32-28,,
1:50.0,,,32-30,2,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute)
1:27.0,Shooting foul by L. Mbah a Moute (drawn by J. Harden),,32-30,,
1:27.0,J. Harden misses free throw 1 of 3,,32-30,,
1:27.0,Offensive rebound by Team,,32-30,,
1:27.0,J. Harden makes free throw 2 of 3,1,33-30,,
1:27.0,J. Harden misses free throw 3 of 3,,33-30,,
1:27.0,,,33-30,,M. Speights enters the game for D. Jordan
1:25.0,,,33-30,,Defensive rebound by M. Speights
1:12.0,,,33-30,,J. Crawford misses 2-pt shot from 2 ft
1:10.0,Defensive rebound by T. Williams,,33-30,,
0:55.0,M. Harrell misses 2-pt shot from 5 ft,,33-30,,
0:53.0,,,33-30,,Defensive rebound by J. Crawford
0:46.0,,,33-30,,M. Speights misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by J. Harden,,33-30,,
0:41.0,Turnover by J. Harden (bad pass),,33-30,,
0:35.0,,,33-33,3,J. Crawford makes 3-pt shot from 24 ft (assist by R. Felton)
0:31.0,Turnover by J. Harden (bad pass; steal by C. Paul),,33-33,,
0:09.0,,,33-33,,C. Paul misses 2-pt shot from 3 ft
0:05.0,Defensive rebound by M. Harrell,,33-33,,
0:03.0,Shooting foul by M. Speights (drawn by T. Williams),,33-33,,
0:03.0,T. Williams makes free throw 1 of 2,1,34-33,,
0:03.0,T. Williams makes free throw 2 of 2,1,35-33,,
0:03.0,,,33-33,,J. Redick enters the game for L. Mbah a Moute
0:02.0,Personal foul by T. Ariza (drawn by C. Paul),,35-33,,
0:02.0,,,35-34,1,C. Paul makes free throw 1 of 2
0:02.0,,,35-35,1,C. Paul makes free throw 2 of 2
0:02.0,,,35-34,,L. Mbah a Moute enters the game for J. Redick
0:00.0,J. Harden misses 3-pt shot from 56 ft,,35-35,,
0:00.0,Offensive rebound by Team,,35-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,E. Gordon misses 2-pt shot from 21 ft,,35-35,,
11:39.0,,,35-35,,Defensive rebound by B. Griffin
11:27.0,,,35-35,,J. Crawford misses 3-pt shot from 28 ft
11:26.0,Defensive rebound by R. Anderson,,35-35,,
11:16.0,I. Taylor misses 2-pt shot from 8 ft,,35-35,,
11:13.0,,,35-35,,Defensive rebound by W. Johnson
11:11.0,Personal foul by T. Williams (drawn by J. Crawford),,35-35,,
10:58.0,,,35-37,2,J. Crawford makes 2-pt shot from 16 ft
10:42.0,R. Anderson misses 3-pt shot from 28 ft,,35-37,,
10:41.0,,,35-37,,Defensive rebound by M. Speights
10:33.0,,,35-37,,R. Felton misses 3-pt shot from 26 ft
10:32.0,Defensive rebound by E. Gordon,,35-37,,
10:20.0,T. Williams makes 3-pt shot from 27 ft (assist by I. Taylor),3,38-37,,
10:02.0,,,38-37,,B. Griffin misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by T. Williams,,38-37,,
9:52.0,E. Gordon makes 2-pt shot from 4 ft (assist by T. Williams),2,40-37,,
9:52.0,,,40-37,,LA Clippers full timeout
9:37.0,,,40-37,,M. Speights misses 2-pt shot from 4 ft (block by E. Gordon)
9:37.0,,,40-37,,Offensive rebound by Team
9:27.0,,,40-39,2,B. Griffin makes 2-pt shot from 2 ft (assist by R. Felton)
9:03.0,T. Williams makes 2-pt shot from 16 ft,2,42-39,,
8:56.0,,,42-39,,J. Crawford misses 3-pt shot from 27 ft
8:48.0,Defensive rebound by M. Harrell,,42-39,,
8:48.0,Shooting foul by W. Johnson (drawn by E. Gordon),,42-39,,
8:48.0,E. Gordon makes free throw 1 of 2,1,43-39,,
8:48.0,E. Gordon makes free throw 2 of 2,1,44-39,,
8:48.0,,,43-39,,J. Redick enters the game for W. Johnson
8:32.0,,,44-41,2,B. Griffin makes 2-pt shot from 4 ft
8:14.0,R. Anderson misses 3-pt shot from 28 ft,,44-41,,
8:12.0,Offensive rebound by I. Taylor,,44-41,,
8:09.0,E. Gordon misses 3-pt shot from 27 ft,,44-41,,
8:07.0,,,44-41,,Defensive rebound by J. Redick
7:59.0,,,44-41,,J. Redick misses 2-pt shot from 20 ft
7:56.0,Defensive rebound by E. Gordon,,44-41,,
7:54.0,E. Gordon makes 2-pt shot from 3 ft,2,46-41,,
7:54.0,,,46-41,,Shooting block foul by M. Speights (drawn by E. Gordon)
7:54.0,E. Gordon makes free throw 1 of 1,1,47-41,,
7:54.0,B. Brown enters the game for T. Williams,,46-41,,
7:43.0,,,47-41,,B. Griffin misses 2-pt shot from 7 ft
7:40.0,Defensive rebound by E. Gordon,,47-41,,
