time,New York,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Noah (K. Porzingis gains possession),,,,Jump ball: M. Gortat vs. J. Noah (K. Porzingis gains possession)
11:37.0,C. Lee makes 2-pt shot from 18 ft (assist by J. Noah),2,2-0,,
11:20.0,,,2-0,,M. Morris misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by J. Noah,,2-0,,
11:01.0,D. Rose makes 2-pt shot from 2 ft,2,4-0,,
10:37.0,,,4-0,,Turnover by M. Morris (traveling)
10:12.0,K. Porzingis misses 2-pt shot from 17 ft,,4-0,,
10:12.0,Offensive rebound by Team,,4-0,,
10:12.0,Turnover by Team (shot clock),,4-0,,
9:58.0,,,4-0,,O. Porter misses 2-pt shot from 18 ft
9:57.0,Defensive rebound by J. Noah,,4-0,,
9:52.0,D. Rose misses 2-pt shot from 1 ft,,4-0,,
9:51.0,Offensive rebound by K. Porzingis,,4-0,,
9:51.0,K. Porzingis makes 2-pt shot at rim,2,6-0,,
9:37.0,,,6-0,,J. Wall misses 2-pt shot from 21 ft
9:36.0,Defensive rebound by Team,,6-0,,
9:21.0,C. Anthony misses 3-pt shot from 26 ft,,6-0,,
9:20.0,,,6-0,,Defensive rebound by M. Morris
9:03.0,,,6-2,2,M. Gortat makes 2-pt shot from 1 ft
8:54.0,C. Anthony misses 3-pt shot from 25 ft,,6-2,,
8:53.0,,,6-2,,Defensive rebound by M. Morris
8:43.0,,,6-2,,J. Wall misses 2-pt shot from 8 ft
8:42.0,Defensive rebound by K. Porzingis,,6-2,,
8:31.0,K. Porzingis misses 2-pt shot from 17 ft,,6-2,,
8:30.0,,,6-2,,Defensive rebound by M. Morris
8:18.0,,,6-2,,M. Gortat misses 2-pt shot from 12 ft
8:18.0,Defensive rebound by K. Porzingis,,6-2,,
7:54.0,D. Rose misses 2-pt shot from 4 ft,,6-2,,
7:52.0,,,6-2,,Defensive rebound by M. Morris
7:43.0,,,6-4,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
7:21.0,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Noah),2,8-4,,
7:13.0,,,8-4,,Offensive foul by M. Morris
7:13.0,,,8-4,,Turnover by M. Morris (offensive foul)
7:01.0,C. Lee misses 2-pt shot from 17 ft,,8-4,,
6:59.0,,,8-4,,Defensive rebound by M. Morris
6:53.0,,,8-7,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
6:38.0,D. Rose misses 2-pt shot from 22 ft,,8-7,,
6:37.0,,,8-7,,Defensive rebound by M. Gortat
6:37.0,Personal foul by J. Noah (drawn by J. Wall),,8-7,,
6:28.0,,,8-10,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
6:14.0,Turnover by K. Porzingis (lost ball; steal by O. Porter),,8-10,,
6:09.0,,,8-12,2,B. Beal makes 2-pt shot from 1 ft (assist by O. Porter)
6:03.0,New York full timeout,,8-12,,
6:03.0,W. Hernangomez enters the game for J. Noah,,8-12,,
5:46.0,K. Porzingis misses 2-pt shot from 17 ft,,8-12,,
5:44.0,,,8-12,,Defensive rebound by O. Porter
5:30.0,,,8-12,,Turnover by J. Wall (bad pass; steal by K. Porzingis)
5:08.0,C. Lee misses 3-pt shot from 27 ft,,8-12,,
5:07.0,,,8-12,,Defensive rebound by O. Porter
4:54.0,,,8-14,2,M. Gortat makes 2-pt shot from 9 ft
4:44.0,,,8-14,,Personal foul by O. Porter (drawn by C. Anthony)
4:44.0,B. Jennings enters the game for D. Rose,,8-14,,
4:44.0,M. Ndour enters the game for K. Porzingis,,8-14,,
4:44.0,,,8-14,,K. Oubre enters the game for O. Porter
4:36.0,C. Anthony misses 2-pt shot from 17 ft,,8-14,,
4:35.0,,,8-14,,Defensive rebound by B. Beal
4:21.0,,,8-14,,B. Beal misses 2-pt shot from 7 ft
4:20.0,Defensive rebound by W. Hernangomez,,8-14,,
4:07.0,B. Jennings misses 3-pt shot from 26 ft,,8-14,,
4:06.0,Offensive rebound by Team,,8-14,,
4:05.0,,,8-14,,T. Satoransky enters the game for J. Wall
4:00.0,W. Hernangomez makes 2-pt shot from 10 ft (assist by B. Jennings),2,10-14,,
3:42.0,,,10-14,,B. Beal misses 2-pt shot from 1 ft (block by W. Hernangomez)
3:40.0,Defensive rebound by M. Ndour,,10-14,,
3:36.0,C. Lee makes 2-pt shot from 1 ft (assist by B. Jennings),2,12-14,,
3:27.0,,,12-14,,Washington full timeout
