time,Orlando,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Noah (S. Ibaka gains possession),,,,Jump ball: B. Biyombo vs. J. Noah (S. Ibaka gains possession)
11:43.0,D. Augustin makes 3-pt shot from 24 ft (assist by J. Meeks),3,3-0,,
11:26.0,,,3-2,2,C. Anthony makes 2-pt shot from 19 ft (assist by L. Thomas)
10:59.0,A. Gordon misses 3-pt shot from 26 ft,,3-2,,
10:58.0,,,3-2,,Defensive rebound by J. Noah
10:44.0,,,3-4,2,C. Lee makes 2-pt shot from 15 ft (assist by D. Rose)
10:31.0,J. Meeks makes 3-pt shot from 25 ft (assist by A. Gordon),3,6-4,,
10:17.0,,,6-6,2,D. Rose makes 2-pt shot from 1 ft
9:53.0,J. Meeks makes 3-pt shot from 26 ft (assist by D. Augustin),3,9-6,,
9:34.0,,,9-6,,J. Noah misses 2-pt shot from 3 ft
9:33.0,,,9-6,,Offensive rebound by L. Thomas
9:33.0,,,9-8,2,L. Thomas makes 2-pt shot from 1 ft
9:21.0,B. Biyombo misses 2-pt shot at rim,,9-8,,
9:20.0,,,9-8,,Defensive rebound by J. Noah
9:10.0,,,9-10,2,L. Thomas makes 2-pt shot from 3 ft
8:52.0,S. Ibaka misses 3-pt shot from 25 ft,,9-10,,
8:51.0,Offensive rebound by A. Gordon,,9-10,,
8:47.0,A. Gordon makes 2-pt shot from 1 ft,2,11-10,,
8:38.0,Personal foul by A. Gordon (drawn by C. Anthony),,11-10,,
8:32.0,,,11-10,,C. Lee misses 2-pt shot from 15 ft (block by J. Meeks)
8:31.0,Defensive rebound by B. Biyombo,,11-10,,
8:28.0,,,11-10,,Personal foul by L. Thomas (drawn by S. Ibaka)
8:21.0,J. Meeks makes 2-pt shot from 1 ft (assist by B. Biyombo),2,13-10,,
8:13.0,,,13-10,,C. Anthony misses 3-pt shot from 25 ft
8:13.0,,,13-10,,Offensive rebound by J. Noah
8:10.0,,,13-10,,L. Thomas misses 2-pt shot from 2 ft
8:08.0,,,13-10,,Offensive rebound by J. Noah
8:08.0,,,13-12,2,J. Noah makes 2-pt shot at rim
7:48.0,A. Gordon misses 2-pt shot from 22 ft,,13-12,,
7:47.0,,,13-12,,Defensive rebound by L. Thomas
7:36.0,,,13-12,,L. Thomas misses 2-pt shot from 4 ft (block by B. Biyombo)
7:35.0,,,13-12,,Offensive rebound by L. Thomas
7:29.0,,,13-14,2,D. Rose makes 2-pt shot from 2 ft
7:09.0,D. Augustin makes 3-pt shot from 25 ft (assist by B. Biyombo),3,16-14,,
7:03.0,,,16-14,,New York full timeout
6:57.0,,,16-14,,C. Anthony misses 2-pt shot from 19 ft
6:56.0,Defensive rebound by J. Meeks,,16-14,,
6:39.0,Shooting foul by L. Thomas (drawn by A. Gordon),,16-14,,
6:39.0,A. Gordon misses free throw 1 of 2,,16-14,,
6:39.0,Offensive rebound by Team,,16-14,,
6:39.0,A. Gordon makes free throw 2 of 2,1,17-14,,
6:25.0,,,17-16,2,C. Lee makes 2-pt shot from 4 ft (assist by C. Anthony)
6:06.0,S. Ibaka makes 2-pt shot from 19 ft (assist by D. Augustin),2,19-16,,
5:48.0,,,19-16,,Shooting foul by B. Biyombo (drawn by C. Anthony)
5:48.0,,,19-17,1,C. Anthony makes free throw 1 of 2
5:48.0,,,19-17,,C. Anthony misses free throw 2 of 2
5:48.0,,,19-17,,W. Hernangomez enters the game for L. Thomas
5:48.0,E. Payton enters the game for B. Biyombo,,19-17,,
5:48.0,N. Vucevic enters the game for D. Augustin,,19-17,,
5:47.0,Defensive rebound by N. Vucevic,,19-17,,
5:35.0,S. Ibaka misses 2-pt shot from 17 ft (block by C. Anthony),,19-17,,
5:34.0,,,19-17,,Defensive rebound by J. Noah
5:25.0,,,19-19,2,W. Hernangomez makes 2-pt shot at rim (assist by J. Noah)
5:02.0,A. Gordon makes 2-pt shot from 2 ft,2,21-19,,
4:51.0,,,21-19,,Shooting foul by J. Meeks (drawn by W. Hernangomez)
4:51.0,,,21-19,,W. Hernangomez misses free throw 1 of 2
4:51.0,,,21-19,,Offensive rebound by Team
4:51.0,,,21-19,,W. Hernangomez misses free throw 2 of 2
4:51.0,,,21-19,,K. O'Quinn enters the game for J. Noah
4:50.0,Defensive rebound by N. Vucevic,,21-19,,
4:42.0,J. Meeks makes 3-pt shot from 26 ft,3,24-19,,
4:27.0,,,24-21,2,D. Rose makes 2-pt shot from 1 ft
4:13.0,S. Ibaka misses 2-pt shot from 11 ft,,24-21,,
4:12.0,Offensive rebound by A. Gordon,,24-21,,
4:01.0,E. Payton makes 2-pt shot from 4 ft (assist by N. Vucevic),2,26-21,,
3:36.0,,,26-23,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Anthony)
3:22.0,E. Payton makes 2-pt shot from 4 ft (assist by N. Vucevic),2,28-23,,
3:02.0,,,28-25,2,C. Anthony makes 2-pt shot from 13 ft
2:52.0,Orlando full timeout,,28-25,,
2:52.0,,,28-25,,J. Holiday enters the game for C. Lee
2:52.0,,,28-25,,B. Jennings enters the game for D. Rose
2:52.0,J. Green enters the game for A. Gordon,,28-25,,
2:39.0,Shooting foul by J. Holiday (drawn by J. Meeks),,28-25,,
