time,Dallas,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,,,0-0,,Violation by Team (jump ball)
12:00.0,Jump ball: D. Nowitzki vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: D. Nowitzki vs. Z. Pachulia (D. Green gains possession)
11:47.0,,,0-0,,D. Green misses 2-pt shot from 9 ft
11:46.0,,,0-0,,Offensive rebound by D. Green
11:45.0,,,0-0,,K. Durant misses 3-pt shot from 26 ft
11:43.0,Defensive rebound by D. Williams,,0-0,,
11:32.0,D. Williams makes 2-pt shot from 8 ft,2,2-0,,
11:14.0,,,2-2,2,K. Thompson makes 2-pt shot from 14 ft (assist by K. Durant)
10:56.0,D. Williams makes 3-pt shot from 25 ft,3,5-2,,
10:43.0,,,5-2,,K. Thompson misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by D. Nowitzki,,5-2,,
10:30.0,D. Williams makes 2-pt shot from 2 ft,2,7-2,,
10:18.0,,,7-2,,Z. Pachulia misses 2-pt shot from 3 ft (block by H. Barnes)
10:17.0,,,7-2,,Offensive rebound by Team
10:14.0,,,7-2,,Z. Pachulia misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by D. Nowitzki,,7-2,,
9:59.0,D. Nowitzki misses 2-pt shot from 17 ft,,7-2,,
9:58.0,,,7-2,,Defensive rebound by K. Durant
9:50.0,,,7-5,3,S. Curry makes 3-pt shot from 23 ft (assist by K. Durant)
9:28.0,H. Barnes makes 3-pt shot from 26 ft (assist by D. Williams),3,10-5,,
9:01.0,,,10-7,2,K. Durant makes 2-pt shot from 16 ft
8:38.0,D. Williams misses 3-pt shot from 24 ft,,10-7,,
8:37.0,,,10-7,,Defensive rebound by D. Green
8:32.0,,,10-9,2,D. Green makes 2-pt shot at rim
8:09.0,H. Barnes misses 3-pt shot from 25 ft,,10-9,,
8:08.0,,,10-9,,Defensive rebound by K. Durant
7:58.0,,,10-9,,S. Curry misses 3-pt shot from 30 ft
7:57.0,Defensive rebound by D. Finney-Smith,,10-9,,
7:46.0,Turnover by D. Finney-Smith (lost ball; steal by K. Thompson),,10-9,,
7:45.0,Personal take foul by D. Nowitzki (drawn by S. Curry),,10-9,,
7:31.0,,,10-11,2,S. Curry makes 2-pt shot from 1 ft (assist by K. Durant)
7:11.0,H. Barnes makes 2-pt shot from 15 ft,2,12-11,,
6:51.0,,,12-13,2,K. Durant makes 2-pt shot from 15 ft (assist by D. Green)
6:34.0,D. Williams misses 3-pt shot from 26 ft,,12-13,,
6:33.0,,,12-13,,Defensive rebound by Z. Pachulia
6:24.0,,,12-15,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson)
6:08.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by D. Williams),2,14-15,,
6:08.0,Shooting foul by S. Curry (drawn by D. Nowitzki),,14-15,,
6:08.0,D. Nowitzki makes free throw 1 of 1,1,15-15,,
