time,San Antonio,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. R. Gobert (G. Hill gains possession),,,,Jump ball: D. Dedmon vs. R. Gobert (G. Hill gains possession)
11:37.0,,,0-0,,R. Gobert misses 2-pt shot from 2 ft (block by D. Green)
11:37.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-3,3,G. Hill makes 3-pt shot from 25 ft (assist by G. Hayward)
11:22.0,Turnover by D. Dedmon (lost ball; steal by G. Hill),,0-3,,
11:16.0,,,0-5,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
11:15.0,San Antonio full timeout,,0-5,,
10:58.0,T. Parker makes 2-pt shot from 19 ft,2,2-5,,
10:46.0,Personal foul by K. Leonard (drawn by G. Hayward),,2-5,,
10:39.0,,,2-5,,J. Ingles misses 3-pt shot from 23 ft
10:37.0,Defensive rebound by Team,,2-5,,
10:18.0,K. Leonard misses 2-pt shot from 20 ft,,2-5,,
10:17.0,,,2-5,,Defensive rebound by R. Gobert
9:53.0,,,2-5,,B. Diaw misses 2-pt shot from 18 ft
9:53.0,Defensive rebound by K. Leonard,,2-5,,
9:40.0,L. Aldridge makes 2-pt shot from 16 ft (assist by K. Leonard),2,4-5,,
9:15.0,,,4-5,,G. Hill misses 2-pt shot from 3 ft
9:14.0,,,4-5,,Offensive rebound by Team
9:07.0,,,4-5,,R. Gobert misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by D. Green,,4-5,,
9:00.0,T. Parker makes 2-pt shot from 1 ft,2,6-5,,
8:52.0,,,6-5,,Turnover by R. Gobert (bad pass; steal by D. Green)
8:48.0,D. Green misses 2-pt shot from 1 ft (block by G. Hayward),,6-5,,
8:47.0,,,6-5,,Defensive rebound by G. Hill
8:34.0,,,6-5,,J. Ingles misses 2-pt shot from 2 ft
8:34.0,,,6-5,,Offensive rebound by G. Hill
8:22.0,,,6-7,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
8:06.0,D. Green misses 3-pt shot from 25 ft,,6-7,,
8:05.0,,,6-7,,Defensive rebound by B. Diaw
7:52.0,,,6-9,2,B. Diaw makes 2-pt shot from 1 ft
7:32.0,Turnover by D. Dedmon (bad pass),,6-9,,
7:22.0,,,6-11,2,G. Hill makes 2-pt shot from 2 ft (assist by B. Diaw)
7:04.0,P. Gasol enters the game for D. Dedmon,,6-11,,
7:04.0,,,6-11,,S. Mack enters the game for G. Hill
6:58.0,K. Leonard misses 2-pt shot from 17 ft,,6-11,,
6:58.0,,,6-11,,Defensive rebound by R. Gobert
6:50.0,,,6-11,,Turnover by J. Ingles (bad pass; steal by L. Aldridge)
6:40.0,T. Parker makes 2-pt shot from 14 ft,2,8-11,,
6:22.0,,,8-11,,R. Gobert misses 2-pt shot at rim
6:21.0,Defensive rebound by T. Parker,,8-11,,
6:11.0,D. Green misses 2-pt shot from 10 ft,,8-11,,
6:10.0,,,8-11,,Defensive rebound by R. Gobert
5:55.0,,,8-11,,S. Mack misses 2-pt shot from 6 ft
5:55.0,Defensive rebound by P. Gasol,,8-11,,
5:48.0,San Antonio full timeout,,8-11,,
5:48.0,,,8-11,,R. Hood enters the game for J. Ingles
5:48.0,,,8-11,,J. Johnson enters the game for B. Diaw
5:41.0,K. Leonard makes 2-pt shot from 7 ft,2,10-11,,
5:28.0,,,10-13,2,G. Hayward makes 2-pt shot from 9 ft (assist by S. Mack)
5:14.0,Turnover by T. Parker (bad pass; steal by R. Hood),,10-13,,
5:11.0,,,10-15,2,R. Hood makes 2-pt shot at rim
4:51.0,P. Gasol makes 2-pt shot from 4 ft (assist by T. Parker),2,12-15,,
4:44.0,Personal foul by T. Parker (drawn by S. Mack),,12-15,,
4:44.0,P. Mills enters the game for T. Parker,,12-15,,
4:44.0,M. Ginobili enters the game for D. Green,,12-15,,
4:44.0,D. Lee enters the game for L. Aldridge,,12-15,,
4:26.0,,,12-15,,Turnover by R. Gobert (3 sec)
4:08.0,P. Gasol misses 2-pt shot from 9 ft,,12-15,,
4:07.0,,,12-15,,Defensive rebound by R. Gobert
3:47.0,,,12-17,2,G. Hayward makes 2-pt shot from 17 ft
3:37.0,Turnover by P. Mills (bad pass; steal by G. Hayward),,12-17,,
3:32.0,,,12-17,,G. Hayward misses 3-pt shot from 24 ft
3:31.0,,,12-17,,Offensive rebound by S. Mack
3:24.0,,,12-17,,Turnover by R. Hood (bad pass; steal by P. Mills)
3:08.0,P. Gasol makes 2-pt shot from 8 ft,2,14-17,,
2:51.0,,,14-20,3,J. Johnson makes 3-pt shot from 23 ft (assist by R. Hood)
2:35.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard),3,17-20,,
2:29.0,,,17-20,,Utah full timeout
2:29.0,J. Simmons enters the game for K. Leonard,,17-20,,
2:29.0,,,17-20,,D. Favors enters the game for R. Gobert
2:29.0,,,17-20,,J. Ingles enters the game for G. Hayward
2:29.0,,,17-20,,G. Hill enters the game for S. Mack
2:23.0,,,17-22,2,J. Johnson makes 2-pt shot from 18 ft
2:09.0,M. Ginobili makes 3-pt shot from 23 ft (assist by P. Mills),3,20-22,,
1:55.0,,,20-24,2,G. Hill makes 2-pt shot from 2 ft (assist by D. Favors)
1:40.0,J. Simmons misses 2-pt shot from 9 ft,,20-24,,
1:39.0,,,20-24,,Defensive rebound by Team
1:21.0,,,20-24,,Turnover by D. Favors (lost ball; steal by P. Gasol)
1:11.0,P. Gasol misses 3-pt shot from 24 ft,,20-24,,
1:10.0,,,20-24,,Defensive rebound by D. Favors
0:53.0,,,20-24,,R. Hood misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by P. Gasol,,20-24,,
0:45.0,M. Ginobili misses 3-pt shot from 24 ft,,20-24,,
0:45.0,,,20-24,,Defensive rebound by D. Favors
0:36.0,,,20-24,,Shooting foul by P. Mills (drawn by G. Hill)
0:36.0,,,20-25,1,G. Hill makes free throw 1 of 2
0:36.0,,,20-26,1,G. Hill makes free throw 2 of 2
0:29.0,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili),3,23-26,,
0:11.0,,,23-29,3,J. Ingles makes 3-pt shot from 22 ft (assist by R. Hood)
0:05.0,,,23-29,,Personal foul by J. Ingles (drawn by M. Ginobili)
0:01.0,Turnover by M. Ginobili (traveling),,23-29,,
0:00.0,,,23-32,3,R. Hood makes 3-pt shot from 31 ft (assist by J. Johnson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills),2,25-32,,
11:32.0,,,25-32,,R. Hood misses 3-pt shot from 24 ft
11:31.0,Defensive rebound by P. Mills,,25-32,,
11:23.0,Turnover by M. Ginobili (lost ball; steal by D. Favors),,25-32,,
11:19.0,,,25-32,,Turnover by D. Favors (bad pass; steal by M. Ginobili)
11:14.0,L. Aldridge misses 3-pt shot from 24 ft,,25-32,,
11:14.0,,,25-32,,Defensive rebound by R. Hood
11:00.0,,,25-34,2,D. Favors makes 2-pt shot at rim (assist by G. Hill)
10:39.0,L. Aldridge makes 2-pt shot from 14 ft,2,27-34,,
10:16.0,Def 3 sec tech foul by J. Simmons,,27-34,,
10:16.0,,,27-34,,J. Johnson misses technical free throw
10:16.0,,,27-34,,Offensive rebound by Team
10:16.0,D. Lee enters the game for P. Gasol,,27-34,,
10:16.0,D. Green enters the game for M. Ginobili,,27-34,,
10:16.0,,,27-34,,B. Diaw enters the game for J. Johnson
10:16.0,,,27-34,,S. Mack enters the game for G. Hill
10:09.0,,,27-34,,S. Mack misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by L. Aldridge,,27-34,,
9:50.0,L. Aldridge misses 2-pt shot from 18 ft,,27-34,,
9:49.0,,,27-34,,Defensive rebound by D. Favors
9:39.0,,,27-34,,J. Ingles misses 3-pt shot from 23 ft
9:39.0,Defensive rebound by J. Simmons,,27-34,,
9:26.0,Turnover by L. Aldridge (lost ball; steal by J. Ingles),,27-34,,
9:14.0,,,27-36,2,D. Favors makes 2-pt shot from 3 ft (assist by J. Ingles)
8:56.0,D. Lee makes 2-pt shot from 1 ft (assist by D. Green),2,29-36,,
8:56.0,,,29-36,,Utah full timeout
8:56.0,K. Leonard enters the game for J. Simmons,,29-36,,
8:56.0,T. Parker enters the game for P. Mills,,29-36,,
8:56.0,,,29-36,,G. Hayward enters the game for J. Ingles
8:56.0,,,29-36,,D. Exum enters the game for R. Hood
8:45.0,,,29-36,,Turnover by D. Favors (lost ball; steal by K. Leonard)
8:29.0,Turnover by D. Lee (bad pass; steal by D. Favors),,29-36,,
8:21.0,,,29-38,2,G. Hayward makes 2-pt shot from 3 ft
7:57.0,T. Parker misses 2-pt shot from 21 ft,,29-38,,
7:56.0,,,29-38,,Defensive rebound by Team
7:56.0,,,29-38,,R. Gobert enters the game for D. Favors
7:39.0,,,29-40,2,B. Diaw makes 2-pt shot from 8 ft
7:33.0,Turnover by D. Green (lost ball),,29-40,,
7:20.0,,,29-40,,Turnover by R. Gobert (lost ball; steal by L. Aldridge)
7:05.0,Turnover by T. Parker (bad pass; steal by B. Diaw),,29-40,,
6:52.0,,,29-40,,B. Diaw misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by D. Green,,29-40,,
6:37.0,K. Leonard misses 2-pt shot from 18 ft,,29-40,,
6:36.0,,,29-40,,Defensive rebound by R. Gobert
6:33.0,,,29-40,,Turnover by S. Mack (bad pass; steal by D. Green)
6:29.0,D. Green misses 3-pt shot from 24 ft,,29-40,,
6:28.0,Offensive rebound by D. Green,,29-40,,
6:21.0,T. Parker misses 3-pt shot from 23 ft,,29-40,,
6:21.0,,,29-40,,Defensive rebound by D. Exum
6:01.0,,,29-40,,Shooting foul by D. Green (drawn by R. Gobert)
6:01.0,,,29-41,1,R. Gobert makes free throw 1 of 2
6:01.0,San Antonio full timeout,,29-41,,
6:01.0,,,29-41,,R. Gobert misses free throw 2 of 2
6:01.0,P. Gasol enters the game for D. Lee,,29-41,,
6:01.0,,,29-41,,J. Johnson enters the game for B. Diaw
6:01.0,,,29-41,,G. Hill enters the game for S. Mack
6:00.0,Defensive rebound by K. Leonard,,29-41,,
5:41.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Green),2,31-41,,
5:22.0,,,31-43,2,G. Hayward makes 2-pt shot from 18 ft (assist by J. Johnson)
5:12.0,,,31-43,,Personal foul by D. Exum (drawn by D. Green)
5:12.0,,,31-43,,R. Hood enters the game for D. Exum
5:03.0,Shooting foul by R. Hood (drawn by K. Leonard),,31-43,,
5:03.0,K. Leonard makes free throw 1 of 2,1,32-43,,
5:03.0,K. Leonard makes free throw 2 of 2,1,33-43,,
4:48.0,,,33-46,3,R. Hood makes 3-pt shot from 22 ft (assist by J. Johnson)
4:31.0,L. Aldridge makes 2-pt shot from 1 ft,2,35-46,,
4:20.0,,,35-46,,R. Hood misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by L. Aldridge,,35-46,,
4:09.0,K. Leonard misses 2-pt shot from 14 ft,,35-46,,
4:08.0,Offensive rebound by K. Leonard,,35-46,,
4:07.0,K. Leonard makes 2-pt shot from 7 ft,2,37-46,,
4:07.0,Shooting foul by G. Hill (drawn by K. Leonard),,37-46,,
4:07.0,K. Leonard makes free throw 1 of 1,1,38-46,,
4:07.0,P. Mills enters the game for T. Parker,,37-46,,
4:07.0,M. Ginobili enters the game for D. Green,,37-46,,
3:52.0,,,38-46,,Shooting foul by P. Gasol (drawn by J. Johnson)
3:52.0,,,38-48,2,J. Johnson makes 2-pt shot from 5 ft
3:52.0,,,38-49,1,J. Johnson makes free throw 1 of 1
3:37.0,L. Aldridge makes 2-pt shot from 4 ft,2,40-49,,
3:30.0,,,40-49,,Utah full timeout
3:30.0,,,40-49,,D. Favors enters the game for J. Johnson
3:23.0,,,40-49,,R. Hood misses 2-pt shot from 18 ft
3:23.0,,,40-49,,Offensive rebound by G. Hayward
3:11.0,,,40-51,2,D. Favors makes 2-pt shot from 14 ft (assist by G. Hill)
2:47.0,P. Gasol misses 2-pt shot from 3 ft,,40-51,,
2:46.0,Offensive rebound by P. Gasol,,40-51,,
2:46.0,P. Gasol makes 2-pt shot from 1 ft,2,42-51,,
2:24.0,,,42-53,2,D. Favors makes 2-pt shot at rim (assist by G. Hill)
2:07.0,P. Mills makes 2-pt shot from 19 ft,2,44-53,,
1:57.0,,,44-53,,Offensive foul by G. Hayward
1:57.0,,,44-53,,Turnover by G. Hayward (offensive foul)
1:57.0,San Antonio full timeout,,44-53,,
1:57.0,,,44-53,,J. Ingles enters the game for G. Hayward
1:45.0,K. Leonard misses 2-pt shot from 15 ft,,44-53,,
1:45.0,,,44-53,,Defensive rebound by R. Gobert
1:26.0,,,44-53,,R. Hood misses 2-pt shot from 7 ft
1:26.0,Defensive rebound by P. Gasol,,44-53,,
1:13.0,M. Ginobili misses 3-pt shot from 24 ft,,44-53,,
1:13.0,,,44-53,,Defensive rebound by R. Gobert
1:02.0,,,44-53,,R. Hood misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by L. Aldridge,,44-53,,
0:55.0,L. Aldridge misses 2-pt shot from 19 ft,,44-53,,
0:55.0,,,44-53,,Defensive rebound by R. Hood
0:32.0,,,44-53,,G. Hill misses 2-pt shot from 2 ft
0:31.0,,,44-53,,Offensive rebound by R. Hood
0:28.0,,,44-53,,R. Hood misses 3-pt shot from 28 ft
0:27.0,Defensive rebound by P. Mills,,44-53,,
0:07.0,K. Leonard makes 2-pt shot from 20 ft,2,46-53,,
0:01.0,,,46-53,,G. Hill misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by M. Ginobili,,46-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,T. Parker misses 2-pt shot from 4 ft,,46-53,,
11:41.0,Offensive rebound by D. Dedmon,,46-53,,
11:39.0,D. Dedmon misses 2-pt shot from 2 ft (block by R. Gobert),,46-53,,
11:37.0,Offensive rebound by D. Dedmon,,46-53,,
11:36.0,Shooting foul by B. Diaw (drawn by D. Dedmon),,46-53,,
11:36.0,D. Dedmon misses free throw 1 of 2,,46-53,,
11:36.0,Offensive rebound by Team,,46-53,,
11:36.0,D. Dedmon misses free throw 2 of 2,,46-53,,
11:36.0,Offensive rebound by L. Aldridge,,46-53,,
11:18.0,Violation by K. Leonard (kicked ball),,46-53,,
11:08.0,L. Aldridge misses 2-pt shot from 15 ft,,46-53,,
11:06.0,Offensive rebound by D. Green,,46-53,,
11:06.0,D. Green misses 2-pt shot at rim,,46-53,,
11:04.0,Offensive rebound by D. Dedmon,,46-53,,
11:03.0,D. Dedmon makes 2-pt shot from 2 ft,2,48-53,,
11:01.0,,,48-53,,Utah full timeout
10:41.0,,,48-56,3,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hill)
10:23.0,K. Leonard misses 2-pt shot from 10 ft,,48-56,,
10:22.0,,,48-56,,Defensive rebound by G. Hayward
10:10.0,,,48-58,2,G. Hayward makes 2-pt shot from 12 ft
9:54.0,,,48-58,,Loose ball foul by B. Diaw (drawn by L. Aldridge)
9:49.0,T. Parker makes 2-pt shot from 17 ft,2,50-58,,
9:26.0,,,50-60,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
9:06.0,T. Parker makes 2-pt shot from 2 ft,2,52-60,,
8:41.0,,,52-62,2,G. Hill makes 2-pt shot from 2 ft
8:36.0,Shooting foul by B. Diaw (drawn by T. Parker),,52-62,,
8:36.0,T. Parker makes free throw 1 of 2,1,53-62,,
8:36.0,T. Parker makes free throw 2 of 2,1,54-62,,
8:11.0,,,54-62,,G. Hayward misses 2-pt shot from 10 ft
8:11.0,Defensive rebound by K. Leonard,,54-62,,
8:04.0,Offensive foul by K. Leonard,,54-62,,
8:04.0,Turnover by K. Leonard (offensive foul),,54-62,,
8:04.0,P. Gasol enters the game for D. Dedmon,,54-62,,
7:45.0,,,54-62,,Shooting foul by T. Parker (drawn by G. Hill)
7:45.0,,,54-63,1,G. Hill makes free throw 1 of 2
7:45.0,,,54-64,1,G. Hill makes free throw 2 of 2
7:45.0,,,54-63,,D. Favors enters the game for B. Diaw
7:26.0,L. Aldridge makes 2-pt shot from 16 ft,2,56-64,,
7:26.0,,,56-64,,Personal foul by J. Ingles (drawn by P. Gasol)
7:26.0,Personal foul by P. Gasol,,56-64,,
7:26.0,Technical foul by P. Gasol,,56-64,,
7:26.0,,,56-64,,G. Hill misses technical free throw
7:26.0,,,56-64,,Offensive rebound by Team
7:01.0,,,56-66,2,G. Hayward makes 2-pt shot from 12 ft
6:45.0,D. Green makes 2-pt shot from 13 ft,2,58-66,,
6:23.0,,,58-68,2,G. Hayward makes 2-pt shot from 15 ft (assist by D. Favors)
6:04.0,P. Gasol misses 2-pt shot from 21 ft,,58-68,,
6:03.0,,,58-68,,Defensive rebound by J. Ingles
