time,Detroit,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. C. Zeller (T. Harris gains possession),,,,Jump ball: A. Drummond vs. C. Zeller (T. Harris gains possession)
11:49.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by I. Smith),2,2-0,,
11:38.0,,,2-2,2,C. Zeller makes 2-pt shot from 14 ft (assist by K. Walker)
11:20.0,T. Harris makes 2-pt shot from 8 ft,2,4-2,,
11:02.0,,,4-2,,Turnover by N. Batum (bad pass; steal by M. Morris)
10:42.0,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,7-2,,
10:22.0,,,7-2,,C. Zeller misses 2-pt shot from 1 ft (block by T. Harris)
10:20.0,Defensive rebound by T. Harris,,7-2,,
10:10.0,A. Drummond misses 2-pt shot from 13 ft,,7-2,,
10:09.0,,,7-2,,Defensive rebound by M. Kidd-Gilchrist
9:56.0,,,7-2,,F. Kaminsky misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by M. Morris,,7-2,,
9:46.0,Turnover by M. Morris (bad pass; steal by K. Walker),,7-2,,
9:38.0,,,7-2,,K. Walker misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by A. Drummond,,7-2,,
9:29.0,A. Drummond misses 2-pt shot from 1 ft,,7-2,,
9:28.0,Offensive rebound by A. Drummond,,7-2,,
9:28.0,A. Drummond makes 2-pt shot at rim,2,9-2,,
9:28.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Drummond),,9-2,,
9:28.0,A. Drummond makes free throw 1 of 1,1,10-2,,
9:19.0,,,10-2,,K. Walker misses 2-pt shot at rim
9:19.0,Defensive rebound by Team,,10-2,,
9:03.0,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,13-2,,
8:55.0,,,13-2,,Charlotte full timeout
8:45.0,,,13-2,,N. Batum misses 2-pt shot from 6 ft
8:45.0,,,13-2,,Offensive rebound by C. Zeller
8:45.0,Personal foul by I. Smith (drawn by C. Zeller),,13-2,,
8:36.0,,,13-5,3,K. Walker makes 3-pt shot from 24 ft (assist by F. Kaminsky)
8:11.0,T. Harris makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,15-5,,
8:00.0,,,15-5,,F. Kaminsky misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by I. Smith,,15-5,,
7:54.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,15-5,,
7:50.0,,,15-5,,Defensive rebound by N. Batum
7:42.0,,,15-5,,K. Walker misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by K. Caldwell-Pope,,15-5,,
7:31.0,A. Drummond misses 2-pt shot from 6 ft,,15-5,,
7:28.0,,,15-5,,Defensive rebound by N. Batum
7:23.0,,,15-5,,Shooting foul by M. Morris (drawn by M. Kidd-Gilchrist)
7:23.0,,,15-6,1,M. Kidd-Gilchrist makes free throw 1 of 2
7:23.0,,,15-7,1,M. Kidd-Gilchrist makes free throw 2 of 2
7:10.0,M. Morris misses 3-pt shot from 24 ft,,15-7,,
7:08.0,,,15-7,,Defensive rebound by C. Zeller
6:49.0,,,15-7,,F. Kaminsky misses 2-pt shot from 12 ft
6:48.0,Defensive rebound by T. Harris,,15-7,,
6:39.0,I. Smith makes 2-pt shot from 16 ft,2,17-7,,
6:27.0,Personal foul by I. Smith (drawn by K. Walker),,17-7,,
6:27.0,B. Udrih enters the game for I. Smith,,17-7,,
6:18.0,,,17-7,,N. Batum misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by A. Drummond,,17-7,,
6:05.0,A. Drummond misses 2-pt shot from 12 ft (block by K. Walker),,17-7,,
6:04.0,,,17-7,,Defensive rebound by M. Kidd-Gilchrist
5:49.0,,,17-9,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
5:30.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by A. Drummond),3,20-9,,
5:12.0,,,20-11,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by N. Batum)
4:52.0,T. Harris misses 2-pt shot from 19 ft,,20-11,,
4:51.0,,,20-11,,Defensive rebound by N. Batum
4:34.0,,,20-13,2,K. Walker makes 2-pt shot from 19 ft
4:26.0,Detroit full timeout,,20-13,,
4:26.0,,,20-13,,M. Belinelli enters the game for F. Kaminsky
4:26.0,,,20-13,,S. Hawes enters the game for N. Batum
4:26.0,J. Leuer enters the game for M. Morris,,20-13,,
4:08.0,T. Harris makes 2-pt shot from 6 ft,2,22-13,,
3:55.0,,,22-16,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Belinelli)
3:40.0,Turnover by T. Harris (bad pass),,22-16,,
3:40.0,,,22-16,,J. Lamb enters the game for M. Kidd-Gilchrist
3:28.0,,,22-18,2,K. Walker makes 2-pt shot at rim
3:13.0,A. Drummond misses 2-pt shot from 7 ft,,22-18,,
3:12.0,,,22-18,,Defensive rebound by M. Belinelli
3:04.0,,,22-20,2,M. Belinelli makes 2-pt shot from 17 ft
2:48.0,J. Leuer makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,25-20,,
2:26.0,,,25-23,3,S. Hawes makes 3-pt shot from 24 ft (assist by J. Lamb)
2:18.0,Detroit full timeout,,25-23,,
2:18.0,,,25-23,,R. Hibbert enters the game for C. Zeller
2:12.0,,,25-23,,Def 3 sec tech foul by R. Hibbert
2:12.0,J. Leuer makes technical free throw,1,26-23,,
2:03.0,B. Udrih makes 2-pt shot from 13 ft,2,28-23,,
1:47.0,,,28-23,,J. Lamb misses 3-pt shot from 23 ft
1:46.0,Defensive rebound by A. Drummond,,28-23,,
1:38.0,Turnover by B. Udrih (bad pass; steal by R. Hibbert),,28-23,,
1:27.0,,,28-23,,J. Lamb misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by A. Drummond,,28-23,,
1:14.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Harris),3,31-23,,
0:49.0,,,31-23,,M. Belinelli misses 3-pt shot from 31 ft
0:49.0,Defensive rebound by Team,,31-23,,
0:49.0,A. Baynes enters the game for A. Drummond,,31-23,,
0:49.0,,,31-23,,R. Sessions enters the game for K. Walker
0:37.0,Turnover by B. Udrih (bad pass; steal by S. Hawes),,31-23,,
0:24.0,,,31-25,2,M. Belinelli makes 2-pt shot from 1 ft (assist by R. Sessions)
0:07.0,,,31-25,,Personal foul by R. Sessions (drawn by B. Udrih)
0:00.0,J. Leuer makes 2-pt shot from 13 ft,2,33-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,33-27,2,M. Belinelli makes 2-pt shot from 13 ft (assist by R. Hibbert)
11:31.0,M. Morris makes 2-pt shot from 20 ft (assist by B. Udrih),2,35-27,,
11:14.0,,,35-29,2,R. Sessions makes 2-pt shot from 6 ft
10:58.0,M. Morris misses 2-pt shot from 17 ft,,35-29,,
10:57.0,,,35-29,,Defensive rebound by S. Hawes
10:49.0,,,35-29,,M. Belinelli misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by A. Baynes,,35-29,,
10:37.0,A. Baynes makes 2-pt shot at rim (assist by B. Udrih),2,37-29,,
10:06.0,,,37-29,,J. Lamb misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by J. Leuer,,37-29,,
9:57.0,J. Leuer misses 3-pt shot from 25 ft,,37-29,,
9:56.0,,,37-29,,Defensive rebound by M. Belinelli
9:51.0,,,37-29,,S. Hawes misses 2-pt shot from 8 ft
9:51.0,Defensive rebound by Team,,37-29,,
9:39.0,M. Morris misses 2-pt shot from 11 ft (block by M. Belinelli),,37-29,,
9:39.0,Offensive rebound by Team,,37-29,,
9:31.0,M. Morris makes 2-pt shot from 19 ft (assist by B. Udrih),2,39-29,,
9:25.0,,,39-29,,Charlotte full timeout
9:11.0,,,39-32,3,S. Hawes makes 3-pt shot from 29 ft (assist by R. Hibbert)
8:48.0,J. Leuer misses 2-pt shot from 2 ft,,39-32,,
8:47.0,Offensive rebound by A. Baynes,,39-32,,
8:36.0,Jump ball: R. Hibbert vs. J. Leuer (S. Hawes gains possession),,,,Jump ball: R. Hibbert vs. J. Leuer (S. Hawes gains possession)
8:36.0,Turnover by A. Baynes (lost ball),,39-32,,
8:31.0,,,39-32,,Turnover by S. Hawes (bad pass; steal by B. Udrih)
8:23.0,B. Udrih makes 3-pt shot from 24 ft,3,42-32,,
8:07.0,,,42-34,2,R. Hibbert makes 2-pt shot from 6 ft (assist by M. Belinelli)
7:53.0,M. Morris misses 2-pt shot from 17 ft,,42-34,,
7:52.0,,,42-34,,Defensive rebound by J. Lamb
7:47.0,,,42-34,,Shooting foul by A. Baynes (drawn by J. Lamb)
7:47.0,,,42-35,1,J. Lamb makes free throw 1 of 2
7:47.0,,,42-36,1,J. Lamb makes free throw 2 of 2
7:47.0,,,42-35,,N. Batum enters the game for M. Belinelli
7:28.0,M. Morris makes 2-pt shot from 2 ft (assist by B. Udrih),2,44-36,,
7:20.0,,,44-36,,R. Sessions misses 2-pt shot from 14 ft
7:19.0,Defensive rebound by B. Udrih,,44-36,,
7:14.0,B. Udrih misses 2-pt shot from 2 ft (block by J. Lamb),,44-36,,
7:14.0,Offensive rebound by Team,,44-36,,
7:11.0,B. Udrih misses 2-pt shot from 17 ft,,44-36,,
7:10.0,,,44-36,,Defensive rebound by S. Hawes
7:00.0,,,44-38,2,J. Lamb makes 2-pt shot from 1 ft
6:45.0,M. Morris makes 2-pt shot from 17 ft (assist by B. Udrih),2,46-38,,
6:27.0,,,46-38,,S. Hawes misses 2-pt shot from 6 ft
6:27.0,,,46-38,,Offensive rebound by Team
6:27.0,Loose ball foul by M. Morris (drawn by R. Hibbert),,46-38,,
6:27.0,,,46-38,,M. Kidd-Gilchrist enters the game for J. Lamb
6:27.0,,,46-38,,F. Kaminsky enters the game for S. Hawes
6:20.0,,,46-38,,Shooting foul by B. Udrih (drawn by R. Sessions)
6:20.0,,,46-38,,R. Sessions misses free throw 1 of 2
6:20.0,,,46-38,,Offensive rebound by Team
6:20.0,,,46-39,1,R. Sessions makes free throw 2 of 2
6:08.0,J. Leuer misses 2-pt shot from 17 ft,,46-39,,
6:07.0,,,46-39,,Defensive rebound by R. Hibbert
5:56.0,,,46-39,,Shooting foul by A. Baynes (drawn by R. Hibbert)
5:56.0,Official timeout,,46-39,,
5:56.0,,,46-39,,R. Hibbert misses free throw 1 of 2
5:56.0,,,46-39,,Offensive rebound by Team
5:56.0,,,46-40,1,R. Hibbert makes free throw 2 of 2
5:56.0,,,46-39,,K. Walker enters the game for R. Sessions
5:56.0,I. Smith enters the game for B. Udrih,,46-39,,
5:56.0,A. Drummond enters the game for A. Baynes,,46-39,,
5:40.0,J. Leuer misses 2-pt shot from 10 ft,,46-40,,
5:39.0,,,46-40,,Defensive rebound by F. Kaminsky
5:23.0,,,46-40,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
5:21.0,,,46-40,,Offensive rebound by K. Walker
5:14.0,,,46-40,,R. Hibbert misses 2-pt shot from 3 ft (block by A. Drummond)
5:12.0,Defensive rebound by A. Drummond,,46-40,,
4:53.0,Turnover by S. Johnson (bad pass; steal by R. Hibbert),,46-40,,
4:47.0,,,46-43,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
4:26.0,M. Morris misses 3-pt shot from 25 ft,,46-43,,
4:25.0,,,46-43,,Defensive rebound by F. Kaminsky
4:09.0,,,46-46,3,K. Walker makes 3-pt shot from 24 ft
4:09.0,Flagrant foul type 1 by A. Drummond (drawn by R. Hibbert),,46-46,,
4:09.0,,,46-47,1,R. Hibbert makes flagrant free throw 1 of 1
4:09.0,A. Baynes enters the game for A. Drummond,,46-46,,
4:09.0,K. Caldwell-Pope enters the game for J. Leuer,,46-47,,
4:09.0,T. Harris enters the game for S. Johnson,,46-47,,
4:08.0,,,46-47,,C. Zeller enters the game for R. Hibbert
3:55.0,,,46-47,,F. Kaminsky misses 2-pt shot from 2 ft (block by T. Harris)
3:53.0,Defensive rebound by M. Morris,,46-47,,
3:44.0,K. Caldwell-Pope misses 2-pt shot at rim,,46-47,,
3:42.0,Offensive rebound by A. Baynes,,46-47,,
3:42.0,A. Baynes misses 2-pt shot from 1 ft,,46-47,,
3:38.0,Offensive rebound by A. Baynes,,46-47,,
3:38.0,A. Baynes misses 2-pt shot from 1 ft,,46-47,,
3:35.0,,,46-47,,Defensive rebound by C. Zeller
3:30.0,,,46-50,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
3:26.0,Detroit full timeout,,46-50,,
3:07.0,I. Smith makes 2-pt shot from 1 ft,2,48-50,,
2:52.0,,,48-52,2,C. Zeller makes 2-pt shot from 10 ft (assist by N. Batum)
2:28.0,I. Smith misses 3-pt shot from 25 ft,,48-52,,
2:27.0,,,48-52,,Defensive rebound by N. Batum
2:12.0,,,48-52,,M. Kidd-Gilchrist misses 2-pt shot from 13 ft
2:11.0,Defensive rebound by T. Harris,,48-52,,
2:07.0,I. Smith makes 2-pt shot from 1 ft,2,50-52,,
2:07.0,Shooting foul by F. Kaminsky (drawn by I. Smith),,50-52,,
2:07.0,I. Smith makes free throw 1 of 1,1,51-52,,
2:07.0,J. Leuer enters the game for M. Morris,,50-52,,
1:46.0,,,51-52,,F. Kaminsky misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by J. Leuer,,51-52,,
1:40.0,I. Smith makes 2-pt shot at rim,2,53-52,,
1:40.0,,,53-52,,Charlotte full timeout
1:40.0,B. Udrih enters the game for I. Smith,,53-52,,
1:31.0,,,53-52,,K. Walker misses 3-pt shot from 25 ft
1:30.0,,,53-52,,Offensive rebound by N. Batum
1:23.0,,,53-52,,K. Walker misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by A. Baynes,,53-52,,
1:14.0,A. Baynes makes 2-pt shot from 12 ft (assist by B. Udrih),2,55-52,,
1:00.0,,,55-54,2,M. Kidd-Gilchrist makes 2-pt shot from 6 ft (assist by N. Batum)
0:46.0,Shooting foul by F. Kaminsky (drawn by K. Caldwell-Pope),,55-54,,
0:46.0,K. Caldwell-Pope makes free throw 1 of 2,1,56-54,,
0:46.0,K. Caldwell-Pope makes free throw 2 of 2,1,57-54,,
0:46.0,,,56-54,,S. Hawes enters the game for F. Kaminsky
0:34.0,,,57-54,,N. Batum misses 3-pt shot from 24 ft
0:32.0,,,57-54,,Offensive rebound by M. Kidd-Gilchrist
0:25.0,,,57-54,,Turnover by K. Walker (lost ball; steal by K. Caldwell-Pope)
0:01.0,Turnover by Team (shot clock),,57-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,57-54,,F. Kaminsky misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by Team,,57-54,,
11:40.0,,,57-54,,Loose ball foul by C. Zeller (drawn by J. Leuer)
11:24.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Leuer),3,60-54,,
11:06.0,,,60-54,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by K. Caldwell-Pope,,60-54,,
10:57.0,T. Harris misses 3-pt shot from 25 ft,,60-54,,
10:56.0,,,60-54,,Defensive rebound by C. Zeller
10:47.0,,,60-54,,Shooting foul by M. Morris (drawn by M. Kidd-Gilchrist)
10:47.0,,,60-55,1,M. Kidd-Gilchrist makes free throw 1 of 2
10:47.0,,,60-56,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:36.0,M. Morris misses 3-pt shot from 24 ft,,60-56,,
10:35.0,,,60-56,,Defensive rebound by N. Batum
10:18.0,,,60-58,2,K. Walker makes 2-pt shot from 17 ft
